Model,Sequence,FPS,Med ms,P95 ms,Mem MB,MOTA,IDF1,IDSW,IDSW/GT,Frag
yolo26n,MOT17-09,227.8,4.4,4.9,68.5,0.548,0.572,47,1.808,0.115
yolo26n,MOT17-02,223.0,4.5,5.0,77.6,0.305,0.429,45,0.849,0.075
yolo26n,MOT17-04,219.1,4.6,5.1,87.3,0.252,0.359,56,0.709,0.139
yolo26s,MOT17-09,210.7,4.7,5.3,1665.3,0.567,0.566,37,1.423,0.0
yolo26s,MOT17-02,216.1,4.6,5.2,1707.9,0.336,0.529,40,0.755,0.17
yolo26s,MOT17-04,204.4,4.9,5.5,1711.8,0.321,0.441,46,0.582,0.101
yolo26m,MOT17-09,156.2,6.4,6.6,1679.2,0.563,0.586,26,1.0,0.077
yolo26m,MOT17-02,153.8,6.5,6.8,1717.3,0.411,0.542,41,0.774,0.132
yolo26m,MOT17-04,152.2,6.6,6.8,1725.6,0.294,0.425,42,0.532,0.089
yolo26l,MOT17-09,126.9,7.9,8.2,233.9,0.516,0.631,28,1.077,0.077
yolo26l,MOT17-02,126.2,7.9,8.1,335.5,0.424,0.557,45,0.849,0.094
yolo26l,MOT17-04,124.6,8.0,8.3,434.3,0.281,0.434,45,0.57,0.076
yolo26x,MOT17-09,79.3,12.6,13.0,708.7,0.586,0.642,30,1.154,0.038
yolo26x,MOT17-02,78.3,12.8,13.1,636.9,0.395,0.522,50,0.943,0.075
yolo26x,MOT17-04,78.5,12.7,13.0,870.0,0.283,0.427,31,0.392,0.025
