model,seq,fps,median_ms,p95_ms,peak_mem_mb,mean_det,mota,idf1,num_switches,idsw_per_gt_track,frag_ratio
yolo26n.pt,MOT17-09,227.8,4.39,4.89,68.5,8.2,0.548,0.572,47,1.808,0.115
yolo26n.pt,MOT17-02,223.0,4.48,4.97,77.6,7.8,0.305,0.429,45,0.849,0.075
yolo26n.pt,MOT17-04,219.1,4.56,5.08,87.3,11.4,0.252,0.359,56,0.709,0.139
yolo26s.pt,MOT17-09,210.7,4.75,5.34,1665.3,8.9,0.567,0.566,37,1.423,0.0
yolo26s.pt,MOT17-02,216.1,4.63,5.24,1707.9,10.3,0.336,0.529,40,0.755,0.17
yolo26s.pt,MOT17-04,204.4,4.89,5.47,1711.8,14.4,0.321,0.441,46,0.582,0.101
yolo26m.pt,MOT17-09,156.2,6.4,6.61,1679.2,9.0,0.563,0.586,26,1.0,0.077
yolo26m.pt,MOT17-02,153.8,6.5,6.76,1717.3,10.2,0.411,0.542,41,0.774,0.132
yolo26m.pt,MOT17-04,152.2,6.57,6.78,1725.6,13.1,0.294,0.425,42,0.532,0.089
yolo26l.pt,MOT17-09,126.9,7.88,8.18,233.9,9.3,0.516,0.631,28,1.077,0.077
yolo26l.pt,MOT17-02,126.2,7.92,8.1,335.5,10.5,0.424,0.557,45,0.849,0.094
yolo26l.pt,MOT17-04,124.6,8.03,8.33,434.3,14.7,0.281,0.434,45,0.57,0.076
yolo26x.pt,MOT17-09,79.3,12.61,12.96,708.7,8.9,0.586,0.642,30,1.154,0.038
yolo26x.pt,MOT17-02,78.3,12.77,13.08,636.9,11.9,0.395,0.522,50,0.943,0.075
yolo26x.pt,MOT17-04,78.5,12.74,13.03,870.0,12.8,0.283,0.427,31,0.392,0.025
