timestamp,voltage_V,current_A,power_W,resistance_ohm,temp_C,dp_V,dm_V,energy0_mWh,energy1_mWh
1773739433.8033702,5.105300000000001,0.22041000000000002,1.124,2.31,19.0,2.96,2.96,0,1164971
1773739434.877522,5.1052,0.18503000000000003,0.9436,2.75,19.0,2.96,2.96,0,1164971
1773739435.9514558,5.1052,0.20805,1.061,2.45,19.0,2.96,2.96,0,1164971
1773739437.0248168,5.1051,0.17589000000000002,0.897,2.9,19.0,2.96,2.96,0,1164972
1773739438.096507,5.104900000000001,0.11725000000000001,0.5979,4.3500000000000005,19.0,2.96,2.96,0,1164972
1773739439.1722946,5.1046000000000005,0.1784,0.9098,2.86,19.0,2.96,2.96,0,1164972
1773739440.2439446,5.1045,0.11086000000000001,0.5653,4.6000000000000005,19.0,2.96,2.96,0,1164972
1773739441.3178337,5.1047,0.11737000000000002,0.5985,4.34,19.0,2.96,2.96,0,1164973
1773739442.3924422,5.1048,0.11329000000000002,0.5777,4.5,19.0,2.96,2.96,0,1164973
1773739443.4653952,5.1047,0.14945,0.7621,3.41,19.0,2.96,2.96,0,1164973
1773739444.5387943,5.1046000000000005,0.11190000000000001,0.5706,4.5600000000000005,19.0,2.96,2.96,0,1164973
1773739445.6129487,5.1043,0.17685,0.9019,2.88,19.0,2.96,2.96,0,1164973
1773739446.689193,5.1043,0.16761,0.8548,3.04,19.0,2.96,2.96,0,1164974
1773739447.7653973,5.1041,0.11192,0.5707,4.5600000000000005,19.0,2.96,2.96,0,1164974
1773739448.8436823,5.1044,0.11264,0.5744,4.53,19.0,2.96,2.96,0,1164974
1773739449.919477,5.1044,0.16298,0.8311000000000001,3.13,19.0,2.96,2.95,0,1164974
1773739450.997818,5.1045,0.10649000000000002,0.543,4.79,19.0,2.96,2.96,0,1164975
1773739452.0735133,5.1045,0.16147,0.8234,3.16,19.0,2.96,2.96,0,1164975
1773739453.146651,5.1045,0.17553000000000002,0.8952,2.9,19.0,2.96,2.96,0,1164975
1773739454.222204,5.1048,0.12565,0.6408,4.0600000000000005,19.0,2.96,2.96,0,1164975
1773739455.2990725,5.105,0.10489000000000001,0.5349,4.86,19.0,2.96,2.96,0,1164975
1773739456.3729649,5.104900000000001,0.11092,0.5656,4.6000000000000005,19.0,2.96,2.96,0,1164975
1773739457.4467556,5.1046000000000005,0.14382,0.7334,3.54,19.0,2.96,2.96,0,1164976
1773739458.519383,5.1043,0.18428000000000003,0.9398000000000001,2.7600000000000002,19.0,2.96,2.96,0,1164976
1773739459.5980935,5.1044,0.10611000000000001,0.5411,4.8100000000000005,19.0,2.96,2.96,0,1164976
1773739460.6760623,5.1044,0.16808,0.8572000000000001,3.0300000000000002,19.0,2.96,2.96,0,1164976
1773739461.754389,5.1045,0.10589000000000001,0.54,4.82,19.0,2.96,2.96,0,1164977
1773739462.8287916,5.1047,0.10551,0.5381,4.83,19.0,2.96,2.96,0,1164977
