timestamp,voltage_V,current_A,power_W,resistance_ohm,temp_C,dp_V,dm_V,energy0_mWh,energy1_mWh
1773740750.2677748,5.1063,0.19057000000000002,0.9719000000000001,2.67,18.0,2.96,2.96,0,1165798
1773740751.340279,5.1054,0.13026000000000001,0.6643,3.91,18.0,2.96,2.96,0,1165798
1773740752.4149554,5.1054,0.22696000000000002,1.1574,2.24,18.0,2.96,2.96,0,1165798
1773740753.4880414,5.105,0.15765,0.804,3.23,18.0,2.96,2.96,0,1165798
1773740754.5588324,5.104900000000001,0.23374000000000003,1.192,2.18,18.0,2.96,2.96,0,1165799
1773740755.631847,5.1052,0.24218,1.2351,2.1,18.0,2.96,2.95,0,1165799
1773740756.70752,5.105300000000001,0.18616000000000002,0.9494,2.74,18.0,2.96,2.96,0,1165799
1773740757.7778378,5.1055,0.19674000000000003,1.0033,2.59,18.0,2.96,2.96,0,1165799
1773740758.8502357,5.1054,0.24414000000000002,1.2451,2.09,18.0,2.96,2.96,0,1165800
1773740759.9213486,5.105700000000001,0.19515000000000002,0.9952000000000001,2.61,18.0,2.96,2.96,0,1165800
1773740760.9929194,5.1056,0.23848000000000003,1.2162,2.14,18.0,2.97,2.96,0,1165801
1773740762.0636811,5.1055,0.23787000000000003,1.2131,2.14,18.0,2.96,2.96,0,1165801
1773740763.1399515,5.1054,0.23513,1.1991,2.17,18.0,2.96,2.96,0,1165801
1773740764.2152185,5.1054,0.18843000000000001,0.9609000000000001,2.7,18.0,2.96,2.96,0,1165802
1773740765.2882977,5.1055,0.21784,1.1109,2.34,18.0,2.96,2.96,0,1165802
1773740766.3582716,5.1033,0.25857,1.3187,1.97,18.0,2.96,2.96,0,1165802
1773740767.4287531,5.1055,0.18933000000000003,0.9655,2.69,18.0,2.96,2.96,0,1165803
1773740768.5026693,5.1051,0.24657,1.2575,2.07,18.0,2.96,2.96,0,1165803
1773740769.5766032,5.1045,0.47928000000000004,2.4443,1.06,18.0,2.97,2.96,0,1165803
1773740770.6508563,5.1052,0.56084,2.8602000000000003,0.91,18.0,2.97,2.97,0,1165804
1773740771.722449,5.1077,0.47835000000000005,2.4395000000000002,1.06,18.0,2.97,2.97,0,1165805
1773740772.7949657,5.1056,0.46681000000000006,2.3807,1.09,18.0,2.97,2.96,0,1165806
1773740773.8683815,5.1022,0.53119,2.709,0.96,18.0,2.97,2.96,0,1165807
1773740774.9401715,5.0962000000000005,0.5010800000000001,2.5504000000000002,1.01,18.0,2.97,2.96,0,1165807
1773740776.011374,5.1037,0.41830000000000006,2.1333,1.22,18.0,2.97,2.97,0,1165808
1773740777.0863676,5.1041,0.62502,3.1876,0.81,18.0,2.97,2.96,0,1165809
1773740778.1593285,5.1023000000000005,0.40188,2.0495,1.26,18.0,2.97,2.97,0,1165809
1773740779.2304542,5.105300000000001,0.56806,2.8971,0.89,18.0,2.97,2.96,0,1165810
1773740780.3028018,5.1031,0.5755100000000001,2.9351000000000003,0.88,18.0,2.97,2.97,0,1165811
1773740781.3776367,5.098,0.46009000000000005,2.3418,1.1,18.0,2.97,2.96,0,1165811
1773740782.4481568,5.1067,0.46113000000000004,2.3517,1.1,18.0,2.97,2.97,0,1165812
1773740783.520406,5.109100000000001,0.59752,3.0473000000000003,0.85,18.0,2.97,2.96,0,1165813
1773740784.5915954,5.1028,0.49902,2.545,1.02,18.0,2.97,2.97,0,1165814
1773740785.662934,5.1039,0.42187,2.1515,1.2,18.0,2.96,2.96,0,1165814
1773740786.735827,5.1083,0.44912,2.2905,1.1300000000000001,18.0,2.97,2.97,0,1165816
1773740787.8108592,5.1005,0.5246000000000001,2.6754000000000002,0.97,18.0,2.97,2.97,0,1165816
1773740788.8822765,5.1017,0.5605,2.8585000000000003,0.91,18.0,2.97,2.97,0,1165817
1773740789.957349,5.1084000000000005,0.36962,1.885,1.3800000000000001,18.0,2.97,2.96,0,1165818
1773740791.030064,5.1077,0.47115,2.4028,1.08,18.0,2.97,2.96,0,1165819
1773740792.1031349,5.1055,0.54562,2.7826,0.93,18.0,2.97,2.96,0,1165819
1773740793.173813,5.0997,0.44395,2.2597,1.1400000000000001,18.0,2.97,2.96,0,1165820
1773740794.2459533,5.108700000000001,0.44556,2.2723,1.1400000000000001,18.0,2.97,2.96,0,1165821
1773740795.3165112,5.096900000000001,0.6506200000000001,3.3116000000000003,0.78,18.0,2.97,2.96,0,1165821
1773740796.3868217,5.0997,0.40396000000000004,2.0561000000000003,1.26,18.0,2.97,2.97,0,1165822
1773740797.4578242,5.1003,0.5201600000000001,2.6528,0.98,18.0,2.97,2.96,0,1165823
1773740798.5299635,5.104900000000001,0.5102300000000001,2.6021,1.0,18.0,2.97,2.97,0,1165823
1773740799.604936,5.1078,0.34405,1.7546000000000002,1.48,18.0,2.97,2.96,0,1165824
1773740800.6763515,5.1031,0.44002,2.2441,1.1500000000000001,18.0,2.96,2.96,0,1165825
1773740801.7525144,5.1061000000000005,0.5014000000000001,2.5571,1.01,18.0,2.97,2.96,0,1165826
1773740802.8228421,5.1033,0.41703,2.1268000000000002,1.22,18.0,2.97,2.97,0,1165827
1773740803.8959396,5.099200000000001,0.42376,2.1569000000000003,1.2,18.0,2.97,2.97,0,1165827
1773740804.966823,5.0989,0.59291,3.0179,0.85,18.0,2.97,2.96,0,1165828
1773740806.0397673,5.1016,0.41391000000000006,2.1109,1.23,18.0,2.97,2.96,0,1165829
1773740807.1126142,5.107,0.54329,2.7707,0.9400000000000001,18.0,2.97,2.97,0,1165829
1773740808.1890464,5.0991,0.42860000000000004,2.1815,1.18,18.0,2.97,2.97,0,1165830
1773740809.2640967,5.1055,0.44113,2.2497000000000003,1.1500000000000001,18.0,2.97,2.96,0,1165830
1773740810.3376205,5.1109,0.5414300000000001,2.7667,0.9400000000000001,18.0,2.97,2.96,0,1165831
1773740811.4122245,5.1092,0.37941,1.9349,1.34,18.0,2.97,2.97,0,1165832
1773740812.4865363,5.107,0.47273000000000004,2.4109000000000003,1.08,18.0,2.97,2.96,0,1165832
1773740813.559259,5.1077,0.42201000000000005,2.1522,1.21,18.0,2.97,2.97,0,1165833
1773740814.6318378,5.1077,0.44519000000000003,2.2704,1.1400000000000001,18.0,2.97,2.96,0,1165834
1773740815.7066565,5.1073,0.54471,2.778,0.93,18.0,2.97,2.96,0,1165835
1773740816.7773294,5.1073,0.5212,2.6581,0.97,18.0,2.97,2.96,0,1165836
1773740817.8512368,5.1051,0.46579000000000004,2.3755,1.09,18.0,2.97,2.96,0,1165836
1773740818.921561,5.101100000000001,0.46930000000000005,2.3934,1.08,18.0,2.97,2.96,0,1165837
1773740819.9925838,5.1043,0.46108000000000005,2.3515,1.1,18.0,2.97,2.96,0,1165838
1773740821.0678148,5.1067,0.46146000000000004,2.3534,1.1,18.0,2.97,2.96,0,1165838
1773740822.1397705,5.1084000000000005,0.39717,2.0255,1.28,18.0,2.97,2.97,0,1165839
1773740823.2122018,5.11,0.43565000000000004,2.2261,1.17,18.0,2.97,2.97,0,1165840
1773740824.284149,5.1044,0.42302,2.1574,1.2,18.0,2.97,2.97,0,1165841
1773740825.3578815,5.1052,0.49673000000000006,2.5333,1.02,18.0,2.97,2.96,0,1165841
1773740826.4305892,5.1059,0.49036,2.5008,1.04,18.0,2.97,2.96,0,1165842
1773740827.5028825,5.1022,0.5443600000000001,2.7762000000000002,0.93,18.0,2.97,2.96,0,1165843
1773740828.5765967,5.1067,0.43784000000000006,2.2329000000000003,1.16,18.0,2.97,2.96,0,1165843
1773740829.6501524,5.0909,0.55852,2.8428,0.91,18.0,2.97,2.96,0,1165845
1773740830.7230525,5.1078,0.44544000000000006,2.2717,1.1400000000000001,18.0,2.97,2.96,0,1165846
1773740831.7949085,5.1003,0.59341,3.0263,0.85,18.0,2.97,2.96,0,1165846
1773740832.8667998,5.1102,0.36985,1.8899000000000001,1.3800000000000001,18.0,2.97,2.97,0,1165847
1773740833.938777,5.113700000000001,0.48374000000000006,2.4719,1.05,18.0,2.96,2.96,0,1165847
1773740835.0095744,5.1039,0.5419,2.7636000000000003,0.9400000000000001,18.0,2.97,2.96,0,1165848
1773740836.0815191,5.1077,0.41811000000000004,2.1323000000000003,1.22,18.0,2.97,2.96,0,1165849
1773740837.1514738,5.1077,0.35846000000000006,1.8281,1.42,18.0,2.96,2.96,0,1165849
1773740838.223328,5.1069,0.47733000000000003,2.4343,1.06,18.0,2.97,2.96,0,1165850
1773740839.2971554,5.1055,0.45989,2.3454,1.11,18.0,2.97,2.96,0,1165851
1773740840.3676875,5.1059,0.48218000000000005,2.4591000000000003,1.05,18.0,2.97,2.96,0,1165851
1773740841.4400723,5.1033,0.46538,2.3734,1.09,18.0,2.97,2.96,0,1165852
1773740842.5125866,5.1003,0.44783000000000006,2.2839,1.1300000000000001,18.0,2.97,2.96,0,1165852
1773740843.5886612,5.1033,0.34031,1.7355,1.49,18.0,2.96,2.96,0,1165854
1773740844.660941,5.104900000000001,0.33411,1.7039000000000002,1.52,18.0,2.97,2.97,0,1165854
1773740845.7328787,5.1073,0.38237000000000004,1.9500000000000002,1.33,18.0,2.97,2.96,0,1165855
1773740846.8050032,5.1008000000000004,0.41995000000000005,2.1417,1.21,18.0,2.97,2.96,0,1165855
1773740847.878326,5.1048,0.34404,1.7546000000000002,1.48,18.0,2.97,2.96,0,1165856
1773740848.952386,5.1048,0.41976,2.1407000000000003,1.21,18.0,2.97,2.97,0,1165857
1773740850.0257897,5.1046000000000005,0.44253000000000003,2.2569,1.1500000000000001,18.0,2.97,2.97,0,1165857
1773740851.0973318,5.101100000000001,0.48050000000000004,2.4505,1.06,18.0,2.97,2.96,0,1165858
1773740852.169524,5.1108,0.38198000000000004,1.9519000000000002,1.33,18.0,2.97,2.96,0,1165859
1773740853.2405934,5.1019000000000005,0.42296000000000006,2.157,1.2,18.0,2.97,2.96,0,1165859
1773740854.3134243,5.1041,0.33371,1.7019000000000002,1.52,18.0,2.97,2.96,0,1165860
1773740855.384898,5.1039,0.36695000000000005,1.8714000000000002,1.3900000000000001,18.0,2.97,2.96,0,1165860
1773740856.4568777,5.103800000000001,0.44831000000000004,2.2863,1.1300000000000001,18.0,2.97,2.97,0,1165861
1773740857.5283966,5.1066,0.32773,1.6714,1.55,18.0,2.97,2.96,0,1165862
1773740858.6034205,5.1048,0.33074000000000003,1.6867,1.54,18.0,2.96,2.96,0,1165862
