timestamp,voltage_V,current_A,power_W,resistance_ohm,temp_C,dp_V,dm_V,energy0_mWh,energy1_mWh
1772813710.7057064,5.1052,0.6371300000000001,3.2493000000000003,0.8,22.0,2.25,2.25,0,258074
1772813711.7815661,5.1064,0.64131,3.2706,0.79,22.0,2.25,2.25,0,258075
1772813712.8571281,5.1005,0.7515000000000001,3.8326000000000002,0.67,22.0,2.25,2.25,0,258076
1772813713.9342177,5.0939000000000005,1.4421300000000001,7.340400000000001,0.35000000000000003,22.0,2.25,2.25,0,258078
1772813715.0144444,5.0981000000000005,1.2734500000000002,6.481800000000001,0.4,22.0,2.25,2.25,0,258080
1772813716.093684,5.1047,1.27254,6.4899000000000004,0.4,22.0,2.25,2.25,0,258082
1772813717.172081,5.0945,1.489,7.579000000000001,0.34,22.0,2.25,2.25,0,258084
1772813718.2507694,5.1103000000000005,1.16518,5.954000000000001,0.43,22.0,2.25,2.25,0,258086
1772813719.329655,5.1064,1.33244,6.7954,0.38,22.0,2.25,2.25,0,258088
1772813720.4076087,5.0898,1.3489000000000002,6.8524,0.37,22.0,2.25,2.25,0,258090
1772813721.4885225,5.1062,1.2991000000000001,6.6254,0.39,22.0,2.25,2.25,0,258093
1772813722.5675402,5.1062,1.2051100000000001,6.146,0.42,22.0,2.24,2.24,0,258095
1772813723.6457345,5.0975,1.40056,7.1288,0.36,22.0,2.25,2.25,0,258097
1772813724.7222576,5.0920000000000005,1.26008,6.4138,0.4,22.0,2.25,2.25,0,258099
1772813725.7991953,5.0922,1.33875,6.8142000000000005,0.38,22.0,2.25,2.25,0,258101
1772813726.8745306,5.1083,1.1994500000000001,6.117100000000001,0.42,22.0,2.25,2.25,0,258103
1772813727.9526262,5.1086,1.4491,7.3904000000000005,0.35000000000000003,22.0,2.25,2.25,0,258105
1772813729.026695,5.0952,1.3775000000000002,7.0114,0.36,22.0,2.25,2.25,0,258106
1772813730.1008635,5.103000000000001,1.3989200000000002,7.1344,0.36,22.0,2.25,2.25,0,258108
1772813731.1770148,5.0984,1.1,5.599,0.46,22.0,2.25,2.24,0,258110
1772813732.251819,5.1044,1.3798100000000002,7.037,0.36,22.0,2.25,2.25,0,258112
1772813733.3259897,5.1000000000000005,1.20663,6.1538,0.42,22.0,2.25,2.25,0,258114
1772813734.4029245,5.1045,1.4000400000000002,7.1402,0.36,22.0,2.25,2.25,0,258117
1772813735.4793026,5.103000000000001,1.34932,6.8815,0.37,22.0,2.25,2.25,0,258119
1772813736.55327,5.103800000000001,1.18334,6.035,0.43,22.0,2.25,2.25,0,258121
1772813737.6298034,5.1102,1.4082000000000001,7.1959,0.36,22.0,2.25,2.25,0,258123
1772813738.7076972,5.109500000000001,1.24544,6.3517,0.41000000000000003,22.0,2.25,2.25,0,258125
1772813739.7863848,5.0998,1.31891,6.7132000000000005,0.38,22.0,2.25,2.24,0,258127
1772813740.8625913,5.1045,1.41626,7.2229,0.36,22.0,2.25,2.25,0,258128
1772813741.9373958,5.1002,1.40988,7.190300000000001,0.36,22.0,2.25,2.25,0,258131
1772813743.0128531,5.1128,1.33468,6.820200000000001,0.38,22.0,2.25,2.25,0,258132
1772813744.088376,5.086600000000001,1.4327500000000002,7.278300000000001,0.35000000000000003,22.0,2.25,2.25,0,258135
1772813745.1625872,5.0966000000000005,1.35135,6.8783,0.37,22.0,2.25,2.25,0,258136
1772813746.2387335,5.1061000000000005,1.34827,6.8761,0.37,22.0,2.25,2.25,0,258138
1772813747.3178785,5.1022,1.25746,6.413,0.4,22.0,2.25,2.25,0,258140
1772813748.3956883,5.1056,1.22726,6.259,0.41000000000000003,22.0,2.25,2.24,0,258144
1772813749.4774213,5.1080000000000005,1.3539100000000002,6.9049000000000005,0.37,22.0,2.25,2.25,0,258146
1772813750.5580196,5.0959,1.22285,6.2243,0.41000000000000003,22.0,2.25,2.25,0,258148
1772813751.6349182,5.1005,1.3067000000000002,6.6641,0.39,22.0,2.25,2.24,0,258150
1772813752.7110727,5.101500000000001,1.3417800000000002,6.843,0.38,22.0,2.25,2.25,0,258151
1772813753.7862825,5.1058,1.33182,6.7922,0.38,22.0,2.25,2.25,0,258153
1772813754.8627079,5.107200000000001,1.34098,6.838900000000001,0.38,22.0,2.25,2.25,0,258155
1772813755.9405606,5.1024,1.26051,6.4286,0.4,22.0,2.25,2.25,0,258157
1772813757.0163343,5.1003,1.40877,7.1847,0.36,22.0,2.24,2.24,0,258159
1772813758.0919368,5.0966000000000005,1.38742,7.0619000000000005,0.36,22.0,2.25,2.25,0,258161
1772813759.1693146,5.1059,1.41884,7.236000000000001,0.35000000000000003,22.0,2.25,2.25,0,258163
1772813760.2465549,5.1061000000000005,1.27679,6.5116000000000005,0.39,22.0,2.25,2.25,0,258165
1772813761.323199,5.1092,1.32875,6.7766,0.38,22.0,2.25,2.25,0,258169
1772813762.40273,5.1047,1.26498,6.451300000000001,0.4,22.0,2.25,2.25,0,258170
1772813763.4788861,5.1061000000000005,1.35158,6.893000000000001,0.37,22.0,2.25,2.25,0,258172
1772813764.5569837,5.1027000000000005,1.1109900000000001,5.666,0.45,22.0,2.25,2.25,0,258174
1772813765.6324465,5.0936,1.1916,6.0652,0.42,22.0,2.25,2.24,0,258176
1772813766.7117896,5.103000000000001,1.342,6.844200000000001,0.38,22.0,2.25,2.25,0,258178
1772813767.78749,5.0987,1.2923300000000002,6.5779000000000005,0.39,22.0,2.25,2.25,0,258180
1772813768.8646135,5.1066,1.41456,7.2142,0.36,22.0,2.25,2.25,0,258182
1772813769.9427805,5.1009,1.3473300000000001,6.871300000000001,0.37,22.0,2.25,2.25,0,258184
1772813771.0212471,5.1036,1.3284600000000002,6.7751,0.38,22.0,2.25,2.25,0,258186
1772813772.0991857,5.1083,1.4759900000000001,7.527500000000001,0.34,22.0,2.25,2.25,0,258188
1772813773.1759994,5.1131,1.26502,6.4642,0.4,22.0,2.25,2.25,0,258190
1772813774.2549646,5.092700000000001,1.2796,6.5131000000000006,0.39,22.0,2.25,2.24,0,258193
1772813775.334883,5.0967,1.34694,6.8559,0.37,22.0,2.25,2.25,0,258195
1772813776.4136906,5.1111,1.3516700000000001,6.907,0.37,22.0,2.25,2.25,0,258197
1772813777.4937208,5.0919,1.38843,7.0671,0.36,22.0,2.25,2.25,0,258199
1772813778.5700703,5.1077,1.37525,7.0137,0.37,22.0,2.25,2.25,0,258201
1772813779.6450331,5.1006,1.28183,6.5373,0.39,22.0,2.25,2.25,0,258203
1772813780.7221408,5.1084000000000005,1.3638100000000002,6.9554,0.37,22.0,2.25,2.24,0,258205
1772813781.800664,5.1055,1.24354,6.3420000000000005,0.41000000000000003,22.0,2.25,2.25,0,258207
1772813782.8738925,5.096900000000001,1.3111700000000002,6.6738,0.38,22.0,2.24,2.24,0,258209
1772813783.9475758,5.098,1.4992100000000002,7.6309000000000005,0.34,22.0,2.25,2.25,0,258211
1772813785.022284,5.1022,1.3692300000000002,6.9830000000000005,0.37,22.0,2.25,2.25,0,258213
1772813786.0972798,5.1009,1.3710900000000001,6.992500000000001,0.37,22.0,2.25,2.25,0,258215
1772813787.1710038,5.0997,1.4246100000000002,7.251200000000001,0.35000000000000003,22.0,2.25,2.25,0,258217
1772813788.247654,5.1112,1.19228,6.0925,0.42,22.0,2.25,2.25,0,258220
1772813789.3229485,5.0997,1.36464,6.946000000000001,0.37,22.0,2.25,2.25,0,258222
1772813790.4008205,5.1022,1.30129,6.636500000000001,0.39,22.0,2.25,2.25,0,258224
1772813791.476496,5.1006,1.2100600000000001,6.1713000000000005,0.42,22.0,2.25,2.24,0,258226
