timestamp,voltage_V,current_A,power_W,resistance_ohm,temp_C,dp_V,dm_V,energy0_mWh,energy1_mWh
1773154242.2894986,5.1048,0.6733,3.4338,0.75,21.0,2.22,2.21,0,587114
1773154243.3602343,5.1048,0.63997,3.2638000000000003,0.79,21.0,2.22,2.22,0,587115
1773154244.4291763,5.1017,0.6400800000000001,3.2644,0.79,21.0,2.24,2.23,0,587116
1773154245.4974523,5.1036,0.6502100000000001,3.3160000000000003,0.78,21.0,2.24,2.23,0,587117
1773154246.566665,5.105,0.651,3.3201,0.78,21.0,2.23,2.23,0,587118
1773154247.6358232,5.105300000000001,0.64097,3.2689000000000004,0.79,21.0,2.24,2.23,0,587119
1773154248.7048497,5.1037,0.6385700000000001,3.2567000000000004,0.79,21.0,2.23,2.23,0,587120
1773154249.7746148,5.1039,0.63907,3.2592000000000003,0.79,21.0,2.23,2.23,0,587121
1773154250.8440278,5.104,0.63953,3.2616,0.79,21.0,2.23,2.23,0,587122
1773154251.9139795,5.1039,0.68093,3.4727,0.74,21.0,2.23,2.23,0,587124
1773154252.98768,5.1045,0.6377200000000001,3.2523,0.8,21.0,2.24,2.24,0,587124
1773154254.0570245,5.1039,0.6381500000000001,3.2545,0.79,21.0,2.24,2.23,0,587125
1773154255.1262574,5.1048,0.66786,3.406,0.76,21.0,2.23,2.23,0,587126
1773154256.1954918,5.1047,0.6462500000000001,3.2958000000000003,0.78,21.0,2.24,2.23,0,587127
1773154257.2652185,5.1042000000000005,0.6665800000000001,3.3995,0.76,21.0,2.24,2.23,0,587128
1773154258.335062,5.1045,0.65912,3.3615000000000004,0.77,21.0,2.23,2.23,0,587129
1773154259.4079707,5.1041,0.6394000000000001,3.2609000000000004,0.79,21.0,2.24,2.23,0,587130
1773154260.4807854,5.1044,0.6405500000000001,3.2668000000000004,0.79,21.0,2.23,2.23,0,587131
1773154261.5527139,5.1045,0.67347,3.4346,0.75,21.0,2.24,2.23,0,587132
1773154262.622223,5.1042000000000005,0.6841200000000001,3.4890000000000003,0.74,21.0,2.24,2.23,0,587133
1773154263.6931884,5.1067,0.6404500000000001,3.2662,0.79,21.0,2.23,2.23,0,587134
1773154264.7613358,5.1067,0.6855500000000001,3.4963,0.74,21.0,2.23,2.23,0,587135
1773154265.8324203,5.103800000000001,0.64214,3.2749,0.79,21.0,2.23,2.23,0,587136
1773154266.904342,5.0995,0.64426,3.2792000000000003,0.79,21.0,2.24,2.23,0,587137
1773154267.973371,5.1014,0.67683,3.4518,0.75,21.0,2.24,2.23,0,587138
1773154269.0438738,5.1044,0.6353200000000001,3.2401,0.8,21.0,2.23,2.23,0,587139
1773154270.116129,5.1009,0.6434200000000001,3.2814,0.79,21.0,2.24,2.23,0,587140
1773154271.1882863,5.1043,0.64156,3.2719,0.79,21.0,2.24,2.24,0,587141
1773154272.2615685,5.104,0.68291,3.4828,0.74,21.0,2.23,2.23,0,587142
