timestamp,voltage_V,current_A,power_W,resistance_ohm,temp_C,dp_V,dm_V,energy0_mWh,energy1_mWh
1772717355.357226,4.8928,0.60163,2.9419,0.81,21.0,1.3800000000000001,1.3800000000000001,0,140971
1772717356.7074065,4.8872,0.9356200000000001,4.5658,0.52,21.0,1.4000000000000001,1.4000000000000001,0,140971
1772717358.0386667,4.8767000000000005,1.09634,5.3391,0.44,21.0,1.3800000000000001,1.3800000000000001,0,140973
1772717359.3887978,4.8789,1.01169,4.9269,0.48,21.0,1.34,1.34,0,140975
1772717360.7387373,4.8753,1.01783,4.9568,0.47000000000000003,21.0,1.32,1.32,0,140977
1772717362.0701475,4.876,1.06817,5.2019,0.45,21.0,1.31,1.31,0,140978
1772717363.4200368,4.8786000000000005,1.03384,5.034800000000001,0.47000000000000003,21.0,1.31,1.3,0,140981
1772717364.7513201,4.878,0.98318,4.788,0.49,21.0,1.3,1.3,0,140982
1772717366.1011543,4.875100000000001,1.00408,4.8898,0.48,21.0,1.29,1.29,0,140984
1772717367.4521203,4.875100000000001,1.0482600000000002,5.105,0.46,21.0,1.29,1.29,0,140987
1772717368.801474,4.8794,0.9717000000000001,4.7321,0.5,21.0,1.29,1.28,0,140988
1772717370.1325169,4.8744000000000005,1.0518500000000002,5.1225000000000005,0.46,21.0,1.28,1.28,0,140989
1772717371.4825141,4.877800000000001,1.0362500000000001,5.0465,0.47000000000000003,21.0,1.28,1.28,0,140992
1772717372.83295,4.8746,1.01577,4.9467,0.47000000000000003,21.0,1.28,1.27,0,140994
1772717374.1638732,4.8775,1.0275,5.003900000000001,0.47000000000000003,21.0,1.28,1.27,0,140995
1772717375.5137687,4.8769,1.05803,5.1526000000000005,0.46,21.0,1.28,1.27,0,140998
1772717376.8637311,4.8749,0.9897400000000001,4.82,0.49,21.0,1.27,1.27,0,140999
1772717378.1967847,4.8747,1.05241,5.1252,0.46,21.0,1.27,1.27,0,141001
1772717379.545029,4.8748000000000005,1.03543,5.0425,0.47000000000000003,21.0,1.27,1.27,0,141003
1772717380.8949637,4.8746,1.03989,5.0642000000000005,0.46,21.0,1.27,1.27,0,141005
1772717382.2451003,4.875,1.03332,5.0322000000000005,0.47000000000000003,21.0,1.27,1.27,0,141006
1772717383.580104,4.877800000000001,1.02343,4.984100000000001,0.47000000000000003,21.0,1.27,1.27,0,141009
1772717384.9262054,4.8769,1.0217100000000001,4.975700000000001,0.47000000000000003,21.0,1.26,1.27,0,141010
1772717386.2763264,4.875,1.03407,5.0359,0.47000000000000003,21.0,1.26,1.26,0,141013
1772717387.6081722,4.875500000000001,1.01635,4.9496,0.47000000000000003,21.0,1.26,1.26,0,141015
1772717388.9575353,4.8791,0.99272,4.8345,0.49,21.0,1.26,1.26,0,141016
1772717390.288815,4.875100000000001,1.0681500000000002,5.2018,0.45,21.0,1.26,1.26,0,141019
1772717391.638749,4.877400000000001,1.00967,4.917,0.48,21.0,1.26,1.26,0,141020
1772717392.988749,4.8754,1.04878,5.1075,0.46,21.0,1.26,1.26,0,141022
1772717394.3201988,4.877800000000001,0.97552,4.7507,0.5,21.0,1.26,1.26,0,141024
1772717395.670082,4.8733,1.06071,5.1656,0.45,21.0,1.26,1.26,0,141026
1772717397.00129,4.8789,0.99975,4.8687000000000005,0.48,21.0,1.26,1.26,0,141027
1772717398.3512392,4.8757,0.9957600000000001,4.8493,0.48,21.0,1.26,1.25,0,141030
1772717399.6825943,4.875500000000001,1.00001,4.87,0.48,21.0,1.26,1.25,0,141031
1772717401.0325718,4.8722,1.0622200000000002,5.173,0.45,21.0,1.26,1.26,0,141033
1772717402.3825905,4.8754,1.0562,5.1436,0.46,21.0,1.25,1.25,0,141035
1772717403.713827,4.8747,1.0420800000000001,5.0749,0.46,21.0,1.25,1.25,0,141037
1772717405.0638902,4.8746,1.0025600000000001,4.8824000000000005,0.48,21.0,1.25,1.25,0,141038
1772717406.4137838,4.875,1.0546200000000001,5.1359,0.46,21.0,1.25,1.25,0,141041
1772717407.7450097,4.877800000000001,1.05596,5.1425,0.46,21.0,1.25,1.25,0,141042
1772717409.0951557,4.8792,1.01996,4.9672,0.47000000000000003,21.0,1.25,1.25,0,141043
1772717410.4450781,4.8716,1.04769,5.1022,0.46,21.0,1.25,1.25,0,141046
1772717411.7763085,4.8785,1.03603,5.0454,0.47000000000000003,21.0,1.25,1.25,0,141048
1772717413.1264067,4.8741,1.03255,5.0285,0.47000000000000003,21.0,1.25,1.25,0,141049
1772717414.4766235,4.8763000000000005,1.03248,5.0281,0.47000000000000003,21.0,1.25,1.25,0,141052
1772717415.845089,4.875500000000001,1.0693300000000001,5.2076,0.45,21.0,1.25,1.25,0,141053
1772717417.1951342,4.8752,1.0322500000000001,5.027,0.47000000000000003,21.0,1.25,1.25,0,141056
1772717418.5451164,4.8747,0.9696800000000001,4.722300000000001,0.5,21.0,1.25,1.25,0,141057
1772717419.9139123,4.8767000000000005,1.01769,4.9561,0.47000000000000003,21.0,1.25,1.25,0,141059
1772717421.2654176,4.8745,1.02503,4.9918000000000005,0.47000000000000003,21.0,1.25,1.25,0,141061
1772717422.6142452,4.877800000000001,1.02767,5.004700000000001,0.47000000000000003,21.0,1.25,1.25,0,141063
1772717423.945115,4.8733,1.05062,5.1165,0.46,21.0,1.25,1.25,0,141064
1772717425.2951493,4.876,0.9434500000000001,4.5946,0.51,21.0,1.25,1.25,0,141067
1772717426.645168,4.8762,1.06966,5.2092,0.45,21.0,1.25,1.25,0,141068
1772717428.0138128,4.8768,0.9378200000000001,4.5671,0.52,21.0,1.25,1.25,0,141069
1772717429.3639965,4.8769,0.9881000000000001,4.812,0.49,21.0,1.25,1.25,0,141072
1772717430.7138739,4.8792,0.9606300000000001,4.6782,0.5,21.0,1.25,1.25,0,141073
1772717432.0450966,4.8753,0.99404,4.8409,0.49,21.0,1.24,1.24,0,141075
1772717433.39517,4.873,1.0284600000000002,5.0086,0.47000000000000003,21.0,1.25,1.25,0,141078
1772717434.7451456,4.8733,1.02773,5.005,0.47000000000000003,21.0,1.25,1.24,0,141079
1772717436.1327152,4.875,1.05522,5.1389000000000005,0.46,21.0,1.25,1.24,0,141082
1772717437.4639301,4.8796,0.9947100000000001,4.8442,0.49,21.0,1.25,1.24,0,141083
1772717438.8139398,4.8741,1.04092,5.0692,0.46,21.0,1.25,1.25,0,141085
1772717440.1640487,4.875,1.0189000000000001,4.962000000000001,0.47000000000000003,21.0,1.25,1.25,0,141087
1772717441.5145507,4.8743,1.05698,5.1474,0.46,21.0,1.25,1.25,0,141089
1772717442.8452191,4.8728,1.04488,5.0885,0.46,21.0,1.25,1.25,0,141090
1772717444.1952188,4.8746,1.02702,5.0015,0.47000000000000003,21.0,1.25,1.24,0,141093
1772717445.545206,4.8744000000000005,0.9920200000000001,4.8311,0.49,21.0,1.25,1.25,0,141094
1772717446.8952181,4.8746,1.07657,5.2428,0.45,21.0,1.25,1.25,0,141096
1772717448.2452102,4.877400000000001,1.0648600000000001,5.1858,0.45,21.0,1.25,1.25,0,141099
1772717449.613961,4.8789,0.9935700000000001,4.8386000000000005,0.49,21.0,1.25,1.24,0,141100
1772717450.9640267,4.8756,1.03389,5.035,0.47000000000000003,21.0,1.25,1.24,0,141101
1772717452.313938,4.8754,0.9948600000000001,4.8449,0.49,21.0,1.24,1.24,0,141104
1772717453.6453407,4.8748000000000005,1.0358800000000001,5.044700000000001,0.47000000000000003,21.0,1.25,1.24,0,141106
1772717454.995251,4.8771,1.0374,5.0521,0.47000000000000003,21.0,1.24,1.24,0,141108
1772717456.3451698,4.8747,1.06389,5.1811,0.45,21.0,1.25,1.24,0,141110
1772717457.6952298,4.875100000000001,0.99167,4.829400000000001,0.49,21.0,1.24,1.24,0,141111
1772717459.0266602,4.8747,1.0403200000000001,5.0663,0.46,21.0,1.24,1.24,0,141114
1772717460.3764827,4.8747,1.0619500000000002,5.171600000000001,0.45,21.0,1.24,1.24,0,141115
1772717461.7263842,4.875100000000001,1.07487,5.2346,0.45,21.0,1.25,1.25,0,141117
1772717463.0765302,4.8771,1.04482,5.0882000000000005,0.46,21.0,1.25,1.24,0,141120
1772717464.4652598,4.877400000000001,1.0198200000000002,4.9665,0.47000000000000003,21.0,1.24,1.24,0,141121
1772717465.8327568,4.8746,0.9887400000000001,4.8151,0.49,21.0,1.25,1.25,0,141122
1772717467.1826754,4.8771,1.06542,5.1885,0.45,21.0,1.25,1.24,0,141125
1772717468.5328104,4.8744000000000005,1.06072,5.1657,0.45,21.0,1.24,1.24,0,141126
1772717469.8828113,4.875,1.0102,4.9196,0.48,21.0,1.24,1.24,0,141128
1772717471.2140365,4.8742,0.9942700000000001,4.8420000000000005,0.49,21.0,1.25,1.25,0,141130
1772717472.5640454,4.8752,0.9943600000000001,4.8425,0.49,21.0,1.24,1.24,0,141132
1772717473.9140253,4.8749,1.00432,4.891,0.48,21.0,1.24,1.24,0,141133
1772717475.264206,4.8772,1.0266000000000002,4.9995,0.47000000000000003,21.0,1.24,1.24,0,141136
1772717476.6145856,4.875,1.02489,4.9912,0.47000000000000003,21.0,1.24,1.25,0,141137
1772717477.9828627,4.8741,0.9870000000000001,4.8066,0.49,21.0,1.24,1.24,0,141140
1772717479.3328912,4.8805000000000005,0.9699500000000001,4.7333,0.5,21.0,1.24,1.24,0,141141
1772717480.6827934,4.8738,1.0163600000000002,4.9496,0.47000000000000003,21.0,1.24,1.24,0,141143
1772717482.0328333,4.8745,1.03705,5.050400000000001,0.47000000000000003,21.0,1.25,1.24,0,141146
1772717483.3641443,4.8754,1.0183600000000002,4.9594000000000005,0.47000000000000003,21.0,1.24,1.24,0,141147
1772717484.7139938,4.8754,1.02259,4.98,0.47000000000000003,21.0,1.24,1.24,0,141148
1772717486.0640924,4.8735,0.98218,4.7832,0.49,21.0,1.25,1.24,0,141151
1772717487.3953762,4.8771,1.0526900000000001,5.1266,0.46,21.0,1.25,1.24,0,141152
1772717488.745287,4.873600000000001,1.0718,5.219600000000001,0.45,21.0,1.24,1.24,0,141154
1772717490.0953178,4.8748000000000005,1.03014,5.0167,0.47000000000000003,21.0,1.24,1.24,0,141157
1772717491.4266138,4.8752,0.9929300000000001,4.835500000000001,0.49,21.0,1.24,1.24,0,141158
1772717492.780309,4.8722,1.0219900000000002,4.977,0.47000000000000003,21.0,1.24,1.24,0,141160
1772717494.1268165,4.8744000000000005,1.0040900000000001,4.8899,0.48,21.0,1.24,1.24,0,141162
1772717495.4766054,4.8749,0.9786900000000001,4.7662,0.49,21.0,1.24,1.24,0,141164
1772717496.8647053,4.873600000000001,0.9953600000000001,4.8474,0.48,21.0,1.25,1.24,0,141166
1772717498.2328591,4.8769,0.99328,4.8372,0.49,21.0,1.24,1.24,0,141168
1772717499.5828998,4.8819,0.9232100000000001,4.5052,0.52,21.0,1.24,1.24,0,141169
1772717500.9328287,4.875,1.05484,5.1370000000000005,0.46,21.0,1.24,1.24,0,141172
1772717502.2832875,4.8756,1.0444200000000001,5.0863000000000005,0.46,21.0,1.24,1.24,0,141173
1772717503.6141298,4.8758,0.9955600000000001,4.8483,0.48,21.0,1.24,1.24,0,141175
1772717504.9640903,4.875900000000001,1.0309700000000002,5.0208,0.47000000000000003,21.0,1.24,1.24,0,141178
1772717506.2954319,4.878,0.95886,4.6696,0.5,21.0,1.25,1.24,0,141179
1772717507.6458392,4.8728,1.04929,5.11,0.46,21.0,1.24,1.24,0,141180
1772717508.9953675,4.8764,1.0099900000000002,4.9186000000000005,0.48,21.0,1.24,1.24,0,141183
1772717510.364209,4.8763000000000005,0.9792500000000001,4.7689,0.49,21.0,1.24,1.24,0,141185
1772717511.7141275,4.8769,1.0462200000000001,5.095000000000001,0.46,21.0,1.24,1.24,0,141186
1772717513.0641758,4.8754,1.00112,4.8754,0.48,21.0,1.24,1.24,0,141189
1772717514.4329903,4.8743,1.03352,5.0332,0.47000000000000003,21.0,1.24,1.24,0,141190
1772717515.7832222,4.8767000000000005,1.03648,5.0476,0.47000000000000003,21.0,1.24,1.24,0,141193
1772717517.1329162,4.873200000000001,1.0819100000000001,5.2689,0.45,21.0,1.24,1.24,0,141194
1772717518.4844656,4.8748000000000005,0.9774200000000001,4.76,0.49,21.0,1.24,1.24,0,141196
1772717519.8329518,4.8766,1.0251000000000001,4.9922,0.47000000000000003,21.0,1.24,1.24,0,141199
1772717521.2016337,4.875100000000001,0.9945100000000001,4.8432,0.49,21.0,1.24,1.24,0,141200
1772717522.5523655,4.8745,1.04921,5.1096,0.46,21.0,1.24,1.24,0,141201
1772717523.901702,4.8745,1.05746,5.1498,0.46,21.0,1.24,1.24,0,141204
1772717525.2525804,4.8746,1.0749000000000002,5.2347,0.45,21.0,1.24,1.24,0,141206
1772717526.582928,4.875100000000001,1.0047300000000001,4.893,0.48,21.0,1.24,1.24,0,141207
1772717527.9329844,4.875,1.06343,5.1789000000000005,0.45,21.0,1.24,1.24,0,141210
1772717529.2829587,4.8724,1.0461,5.0945,0.46,21.0,1.24,1.24,0,141211
1772717530.6145737,4.8754,1.01581,4.9469,0.47000000000000003,21.0,1.24,1.24,0,141212
1772717531.9642365,4.8777,0.9937600000000001,4.8396,0.49,21.0,1.24,1.24,0,141215
1772717533.3141942,4.8749,1.0157800000000001,4.9468000000000005,0.47000000000000003,21.0,1.24,1.24,0,141216
1772717534.6459289,4.8747,1.01688,4.9522,0.47000000000000003,21.0,1.24,1.25,0,141218
1772717535.9954672,4.8767000000000005,0.9979000000000001,4.8597,0.48,21.0,1.24,1.24,0,141221
1772717537.3454201,4.8745,1.0757800000000002,5.239,0.45,21.0,1.24,1.24,0,141222
1772717538.6955128,4.8747,0.95962,4.6733,0.5,21.0,1.24,1.24,0,141225
1772717540.0832758,4.8740000000000006,1.0101900000000001,4.9196,0.48,21.0,1.24,1.24,0,141226
1772717541.4329674,4.8786000000000005,1.04742,5.1009,0.46,21.0,1.24,1.24,0,141228
1772717542.8018126,4.8747,1.05858,5.155200000000001,0.46,21.0,1.24,1.24,0,141230
1772717544.151795,4.8777,1.0641,5.1821,0.45,21.0,1.24,1.24,0,141232
1772717545.5217721,4.8771,1.04291,5.0789,0.46,21.0,1.24,1.24,0,141233
1772717546.8704927,4.8783,0.9920700000000001,4.831300000000001,0.49,21.0,1.24,1.24,0,141236
1772717548.223852,4.8777,0.99165,4.8293,0.49,21.0,1.24,1.24,0,141237
1772717549.552055,4.875900000000001,1.0730000000000002,5.2255,0.45,21.0,1.24,1.24,0,141238
1772717550.901738,4.881,0.89397,4.3625,0.54,21.0,1.24,1.24,0,141241
1772717552.2330456,4.8714,1.01092,4.9231,0.48,21.0,1.25,1.24,0,141243
1772717553.582998,4.8768,0.9837100000000001,4.7906,0.49,21.0,1.24,1.24,0,141244
1772717554.936447,4.875500000000001,1.0116,4.9264,0.48,21.0,1.24,1.24,0,141247
1772717556.2643423,4.8738,1.01984,4.966600000000001,0.47000000000000003,21.0,1.24,1.24,0,141248
1772717557.6141949,4.8758,1.06265,5.1751000000000005,0.45,21.0,1.24,1.24,0,141249
1772717558.9645529,4.8727,1.0162900000000001,4.9493,0.47000000000000003,21.0,1.24,1.24,0,141252
1772717560.295669,4.8756,0.9997100000000001,4.8685,0.48,21.0,1.24,1.24,0,141254
1772717561.6454542,4.878,1.0392100000000002,5.0609,0.46,21.0,1.24,1.24,0,141256
1772717562.995536,4.8753,1.0542200000000002,5.134,0.46,21.0,1.24,1.24,0,141258
1772717564.345809,4.8754,1.03756,5.0529,0.46,21.0,1.25,1.24,0,141259
1772717565.7142842,4.8754,0.9859000000000001,4.8013,0.49,21.0,1.24,1.24,0,141262
1772717567.0643907,4.8796,1.0086300000000001,4.912,0.48,21.0,1.24,1.24,0,141263
1772717568.4143174,4.8752,1.0313700000000001,5.0227,0.47000000000000003,21.0,1.24,1.24,0,141265
1772717569.745578,4.8738,1.06711,5.1968000000000005,0.45,21.0,1.25,1.24,0,141268
1772717571.0955596,4.8775,1.00644,4.9013,0.48,21.0,1.24,1.24,0,141269
1772717572.4455326,4.8758,0.9966700000000001,4.8537,0.48,21.0,1.25,1.24,0,141270
1772717573.776818,4.8753,1.0301500000000001,5.0168,0.47000000000000003,21.0,1.24,1.24,0,141273
1772717575.145782,4.8741,1.0080600000000002,4.9092,0.48,21.0,1.24,1.24,0,141275
1772717576.5143828,4.875,1.01847,4.9599,0.47000000000000003,21.0,1.24,1.24,0,141276
1772717577.8643236,4.8738,1.04579,5.0929,0.46,21.0,1.25,1.25,0,141279
1772717579.23316,4.8754,1.00502,4.8944,0.48,21.0,1.24,1.24,0,141280
1772717580.5835161,4.8763000000000005,0.9877100000000001,4.8101,0.49,21.0,1.24,1.24,0,141283
1772717581.9330885,4.8786000000000005,1.03515,5.0411,0.47000000000000003,21.0,1.24,1.24,0,141284
1772717583.264501,4.8725000000000005,1.06216,5.1727,0.45,21.0,1.24,1.24,0,141286
