timestamp,voltage_V,current_A,power_W,resistance_ohm,temp_C,dp_V,dm_V,energy0_mWh,energy1_mWh
1772712692.3514626,4.8899,0.63758,3.1113,0.76,21.0,1.3900000000000001,1.3900000000000001,0,134625
1772712693.7015722,4.8925,0.95098,4.6502,0.51,21.0,1.41,1.4000000000000001,0,134626
1772712695.051774,4.873600000000001,1.06536,5.1883,0.45,21.0,1.37,1.37,0,134627
1772712696.4207706,4.877800000000001,0.9944900000000001,4.843100000000001,0.49,21.0,1.35,1.35,0,134630
1772712697.7703748,4.8746,0.9532600000000001,4.6423000000000005,0.51,21.0,1.34,1.34,0,134631
1772712699.1207137,4.8721000000000005,1.0230000000000001,4.982,0.47000000000000003,21.0,1.33,1.33,0,134633
1772712700.4892945,4.878,0.9521400000000001,4.6369,0.51,21.0,1.32,1.32,0,134635
1772712701.8392663,4.8771,0.9899300000000001,4.8209,0.49,21.0,1.31,1.31,0,134637
1772712703.189408,4.8771,0.9919500000000001,4.8307,0.49,21.0,1.31,1.31,0,134638
1772712704.5205963,4.877400000000001,1.01059,4.9215,0.48,21.0,1.3,1.3,0,134641
1772712705.8706279,4.879700000000001,1.0204600000000001,4.9696,0.47000000000000003,21.0,1.29,1.29,0,134642
1772712707.2205963,4.879700000000001,0.9502100000000001,4.6275,0.51,21.0,1.3,1.3,0,134643
1772712708.5894072,4.8786000000000005,0.9366500000000001,4.5614,0.52,21.0,1.3,1.29,0,134646
1772712709.9398086,4.8764,1.0151400000000002,4.943700000000001,0.48,21.0,1.29,1.29,0,134647
1772712711.2894547,4.8739,1.0402200000000001,5.0658,0.46,21.0,1.29,1.28,0,134649
1772712712.6207519,4.8791,0.9706500000000001,4.727,0.5,21.0,1.29,1.29,0,134652
1772712713.970753,4.8767000000000005,1.01214,4.9291,0.48,21.0,1.28,1.28,0,134653
1772712715.3019733,4.8771,1.04091,5.0692,0.46,21.0,1.28,1.28,0,134656
1772712716.6521053,4.876,0.9750400000000001,4.7484,0.5,21.0,1.28,1.28,0,134657
1772712718.0019913,4.8766,0.9686600000000001,4.7173,0.5,21.0,1.28,1.28,0,134659
1772712719.3724325,4.8814,0.9838800000000001,4.8013,0.49,21.0,1.28,1.28,0,134661
1772712720.7398176,4.873600000000001,1.00373,4.8881000000000006,0.48,21.0,1.28,1.28,0,134663
1772712722.1084325,4.8771,0.9807800000000001,4.7763,0.49,21.0,1.28,1.28,0,134664
1772712723.4583237,4.8783,0.99394,4.8404,0.49,21.0,1.28,1.28,0,134667
