timestamp,voltage_V,current_A,power_W,resistance_ohm,temp_C,dp_V,dm_V,energy0_mWh,energy1_mWh
1772709602.304059,4.8935,0.59164,2.8931,0.8200000000000001,21.0,1.4000000000000001,1.3900000000000001,0,130403
1772709603.6921763,4.8903,0.9348400000000001,4.5713,0.52,21.0,1.41,1.41,0,130403
1772709605.0417507,4.8746,1.0018200000000002,4.8788,0.48,21.0,1.3800000000000001,1.3800000000000001,0,130406
1772709606.3919468,4.8791,0.9649400000000001,4.6992,0.5,21.0,1.35,1.35,0,130407
1772709607.7607155,4.8716,0.9643200000000001,4.6962,0.5,21.0,1.34,1.34,0,130410
1772709609.1106443,4.8772,0.9834700000000001,4.7894000000000005,0.49,21.0,1.33,1.33,0,130411
1772709610.4606717,4.8796,1.0359,5.0448,0.47000000000000003,21.0,1.32,1.32,0,130413
1772709611.82945,4.877800000000001,0.9992700000000001,4.8664000000000005,0.48,21.0,1.32,1.32,0,130415
1772709613.1982298,4.8752,1.0253400000000001,4.9934,0.47000000000000003,21.0,1.31,1.31,0,130417
1772709614.5670607,4.8767000000000005,1.01194,4.928100000000001,0.48,21.0,1.31,1.3,0,130418
1772709615.89827,4.873200000000001,1.05084,5.117500000000001,0.46,21.0,1.3,1.3,0,130421
1772709617.2482762,4.8788,0.9450200000000001,4.6022,0.51,21.0,1.3,1.3,0,130422
1772709618.579557,4.875900000000001,0.9846600000000001,4.7952,0.49,21.0,1.3,1.3,0,130424
1772709619.9301827,4.875900000000001,0.9865900000000001,4.804600000000001,0.49,21.0,1.3,1.29,0,130426
1772709621.2796292,4.8741,1.00773,4.9076,0.48,21.0,1.29,1.29,0,130428
1772709622.6108966,4.8752,1.0437800000000002,5.083200000000001,0.46,21.0,1.29,1.29,0,130429
1772709623.960926,4.875900000000001,0.9926200000000001,4.8340000000000005,0.49,21.0,1.29,1.29,0,130432
1772709625.3109682,4.8766,0.9366500000000001,4.5614,0.52,21.0,1.29,1.29,0,130433
1772709626.68064,4.8742,0.9967400000000001,4.8541,0.48,21.0,1.29,1.29,0,130436
1772709628.0297325,4.8772,0.9673100000000001,4.7107,0.5,21.0,1.29,1.29,0,130437
1772709629.3803408,4.8786000000000005,0.9687300000000001,4.7177,0.5,21.0,1.28,1.28,0,130439
1772709630.7110744,4.8776,0.9977600000000001,4.859,0.48,21.0,1.28,1.28,0,130441
1772709632.0610774,4.8766,0.97467,4.7466,0.5,21.0,1.28,1.28,0,130443
1772709633.4300153,4.877800000000001,1.03444,5.0377,0.47000000000000003,21.0,1.28,1.28,0,130444
1772709634.779942,4.873600000000001,0.98233,4.7839,0.49,21.0,1.28,1.28,0,130447
1772709636.1298726,4.8777,1.06207,5.1722,0.45,21.0,1.28,1.28,0,130448
1772709637.46131,4.877800000000001,1.02423,4.988,0.47000000000000003,21.0,1.29,1.28,0,130449
1772709638.811278,4.8741,1.00988,4.9181,0.48,21.0,1.28,1.28,0,130452
1772709640.1424806,4.8765,0.9673700000000001,4.711,0.5,21.0,1.28,1.28,0,130453
1772709641.4928348,4.8766,1.0108300000000001,4.9227,0.48,21.0,1.28,1.28,0,130455
1772709642.8425515,4.8764,1.01244,4.9305,0.48,21.0,1.28,1.28,0,130457
1772709644.1739573,4.8758,0.9854100000000001,4.798900000000001,0.49,21.0,1.28,1.28,0,130459
1772709645.5242624,4.876,0.9561700000000001,4.6565,0.5,21.0,1.28,1.28,0,130460
1772709646.892569,4.8805000000000005,1.03645,5.0578,0.47000000000000003,21.0,1.28,1.28,0,130463
1772709648.2426114,4.8749,1.01929,4.963900000000001,0.47000000000000003,21.0,1.28,1.28,0,130464
1772709649.5926442,4.878,1.0197200000000002,4.966,0.47000000000000003,21.0,1.28,1.27,0,130467
1772709650.9239872,4.8719,0.9835800000000001,4.79,0.49,21.0,1.28,1.28,0,130468
1772709652.2739425,4.8716,1.0677800000000002,5.2,0.45,21.0,1.28,1.27,0,130469
1772709653.6052575,4.875,0.9871400000000001,4.807300000000001,0.49,21.0,1.27,1.27,0,130472
1772709654.955269,4.8756,1.0350000000000001,5.0404,0.47000000000000003,21.0,1.28,1.28,0,130474
1772709656.3053257,4.8749,0.9752600000000001,4.7495,0.49,21.0,1.28,1.28,0,130475
1772709657.673996,4.8763000000000005,0.9678200000000001,4.7132000000000005,0.5,21.0,1.28,1.28,0,130478
1772709659.0240695,4.875500000000001,1.02397,4.9867,0.47000000000000003,21.0,1.27,1.27,0,130479
1772709660.374097,4.8762,1.00156,4.8775,0.48,21.0,1.28,1.27,0,130480
1772709661.7428145,4.8791,1.00394,4.8891,0.48,21.0,1.27,1.27,0,130483
1772709663.0929172,4.8746,1.0160200000000001,4.948,0.47000000000000003,21.0,1.27,1.27,0,130484
1772709664.442948,4.876,1.0103600000000001,4.9204,0.48,21.0,1.27,1.27,0,130486
1772709665.7931073,4.871300000000001,1.05685,5.1468,0.46,21.0,1.28,1.27,0,130488
1772709667.1622133,4.8758,1.0210400000000002,4.9724,0.47000000000000003,21.0,1.28,1.27,0,130490
1772709668.5118463,4.8722,1.0598800000000002,5.1616,0.45,21.0,1.28,1.27,0,130493
1772709669.843023,4.8757,1.0212,4.9732,0.47000000000000003,21.0,1.28,1.27,0,130494
1772709671.1930509,4.878,0.9865800000000001,4.804600000000001,0.49,21.0,1.27,1.27,0,130495
1772709672.5246077,4.8766,1.00604,4.8994,0.48,21.0,1.28,1.27,0,130498
1772709673.8744383,4.8716,1.03689,5.0496,0.46,21.0,1.28,1.28,0,130499
1772709675.2244027,4.8771,0.97879,4.7667,0.49,21.0,1.28,1.27,0,130501
1772709676.5558796,4.8744000000000005,0.9746300000000001,4.7464,0.5,21.0,1.27,1.27,0,130503
1772709677.9056962,4.876,0.9770800000000001,4.7583,0.49,21.0,1.27,1.27,0,130505
1772709679.2370453,4.8761,1.0341,5.0360000000000005,0.47000000000000003,21.0,1.27,1.27,0,130506
1772709680.6058292,4.875900000000001,1.02282,4.9811000000000005,0.47000000000000003,21.0,1.27,1.27,0,130509
1772709681.974527,4.876,0.9889500000000001,4.8161000000000005,0.49,21.0,1.28,1.27,0,130510
1772709683.306174,4.8762,0.9720500000000001,4.7338000000000005,0.5,21.0,1.27,1.27,0,130512
1772709684.6558917,4.871,1.06221,5.1729,0.45,21.0,1.27,1.27,0,130514
1772709686.0058253,4.8766,0.98538,4.7988,0.49,21.0,1.27,1.27,0,130516
1772709687.3746076,4.8765,0.9745400000000001,4.746,0.5,21.0,1.27,1.27,0,130517
1772709688.7246885,4.8788,1.00498,4.8942000000000005,0.48,21.0,1.27,1.27,0,130520
1772709690.0746844,4.8766,1.00424,4.8906,0.48,21.0,1.27,1.27,0,130521
1772709691.4435143,4.8794,1.04528,5.0905000000000005,0.46,21.0,1.27,1.27,0,130524
1772709692.7935064,4.877000000000001,0.9629300000000001,4.6894,0.5,21.0,1.27,1.27,0,130525
1772709694.1247327,4.877000000000001,1.00081,4.8739,0.48,21.0,1.27,1.27,0,130526
1772709695.4749012,4.8775,1.03491,5.04,0.47000000000000003,21.0,1.27,1.27,0,130529
1772709696.8247988,4.8762,0.9694,4.7209,0.5,21.0,1.27,1.27,0,130531
1772709698.1561077,4.8753,0.9777000000000001,4.7613,0.49,21.0,1.27,1.27,0,130532
1772709699.505984,4.8783,0.9869300000000001,4.8063,0.49,21.0,1.27,1.27,0,130535
1772709700.8562386,4.875100000000001,1.04,5.0648,0.46,21.0,1.27,1.27,0,130536
1772709702.2249033,4.8756,1.02601,4.9966,0.47000000000000003,21.0,1.28,1.27,0,130537
1772709703.5749388,4.8783,0.9606000000000001,4.678100000000001,0.5,21.0,1.27,1.27,0,130540
1772709704.924969,4.876,1.00004,4.8701,0.48,21.0,1.27,1.27,0,130541
1772709706.2569053,4.8775,1.01959,4.9654,0.47000000000000003,21.0,1.27,1.27,0,130543
1772709707.606257,4.8716,1.01081,4.9226,0.48,21.0,1.27,1.27,0,130545
1772709708.956382,4.8767000000000005,0.97635,4.7548,0.49,21.0,1.27,1.27,0,130547
1772709710.325033,4.8763000000000005,0.9954000000000001,4.8475,0.48,21.0,1.27,1.27,0,130549
1772709711.6751313,4.8733,1.06394,5.1813,0.45,21.0,1.27,1.27,0,130551
1772709713.0250497,4.8752,1.0453700000000001,5.0909,0.46,21.0,1.27,1.27,0,130552
1772709714.3563912,4.8775,0.9803200000000001,4.7741,0.49,21.0,1.27,1.27,0,130555
1772709715.7064252,4.8785,1.0454700000000001,5.0914,0.46,21.0,1.27,1.27,0,130556
1772709717.0564764,4.875,1.03221,5.026800000000001,0.47000000000000003,21.0,1.27,1.27,0,130558
1772709718.425166,4.8775,0.9653800000000001,4.7014000000000005,0.5,21.0,1.27,1.27,0,130560
1772709719.7751803,4.881,0.9515600000000001,4.6436,0.51,21.0,1.27,1.27,0,130562
1772709721.1065125,4.8763000000000005,1.01384,4.9374,0.48,21.0,1.27,1.27,0,130563
1772709722.4568522,4.8761,0.9973200000000001,4.8569,0.48,21.0,1.27,1.27,0,130566
1772709723.8064978,4.8763000000000005,0.99377,4.8396,0.49,21.0,1.27,1.27,0,130567
1772709725.1565607,4.8742,1.0124600000000001,4.9306,0.48,21.0,1.27,1.27,0,130568
1772709726.5254915,4.875100000000001,1.0157100000000001,4.9465,0.47000000000000003,21.0,1.27,1.27,0,130571
1772709727.8753312,4.875,1.03936,5.0616,0.46,21.0,1.27,1.27,0,130572
1772709729.2073772,4.8791,0.99677,4.8542000000000005,0.48,21.0,1.27,1.27,0,130574
1772709730.5573263,4.881,0.9892400000000001,4.8274,0.49,21.0,1.27,1.27,0,130577
1772709731.9067912,4.8788,0.9892500000000001,4.8176000000000005,0.49,21.0,1.27,1.27,0,130578
1772709733.2754576,4.875500000000001,0.9927600000000001,4.834700000000001,0.49,21.0,1.27,1.27,0,130581
1772709734.625531,4.8727,1.04458,5.0871,0.46,21.0,1.27,1.27,0,130582
1772709735.9568028,4.8763000000000005,0.98462,4.795,0.49,21.0,1.27,1.27,0,130583
1772709737.3069363,4.875,1.00974,4.917400000000001,0.48,21.0,1.27,1.27,0,130586
1772709738.6572354,4.875100000000001,1.00671,4.9026000000000005,0.48,21.0,1.27,1.27,0,130587
1772709740.0256,4.8777,0.9807000000000001,4.776,0.49,21.0,1.27,1.27,0,130589
1772709741.3756132,4.876,0.99848,4.8625,0.48,21.0,1.27,1.27,0,130591
1772709742.7257454,4.8764,0.99065,4.8244,0.49,21.0,1.27,1.27,0,130593
1772709744.0944197,4.8766,1.02617,4.9974,0.47000000000000003,21.0,1.27,1.27,0,130594
1772709745.4444075,4.877000000000001,0.9863400000000001,4.8034,0.49,21.0,1.27,1.27,0,130597
1772709746.7757268,4.8768,1.01828,4.9590000000000005,0.47000000000000003,21.0,1.27,1.27,0,130598
1772709748.1257384,4.8758,1.04251,5.077,0.46,21.0,1.27,1.27,0,130600
1772709749.4758034,4.8763000000000005,1.01007,4.9190000000000005,0.48,21.0,1.27,1.27,0,130603
1772709750.807196,4.875500000000001,0.9978600000000001,4.859500000000001,0.48,21.0,1.27,1.27,0,130604
1772709752.1570837,4.873200000000001,1.00149,4.8772,0.48,21.0,1.27,1.27,0,130605
1772709753.4887016,4.8756,0.9956100000000001,4.8486,0.48,21.0,1.27,1.27,0,130608
1772709754.8393354,4.8786000000000005,0.9837000000000001,4.7906,0.49,21.0,1.27,1.27,0,130609
1772709756.188399,4.8742,1.00705,4.9043,0.48,21.0,1.27,1.27,0,130612
1772709757.5571918,4.8791,0.9698700000000001,4.7232,0.5,21.0,1.27,1.27,0,130613
1772709758.9071987,4.8803,1.0430400000000002,5.09,0.46,21.0,1.27,1.27,0,130615
1772709760.257206,4.8764,1.02414,4.9875,0.47000000000000003,21.0,1.27,1.27,0,130617
1772709761.6260378,4.8767000000000005,1.03386,5.034800000000001,0.47000000000000003,21.0,1.27,1.27,0,130619
1772709762.9760313,4.8786000000000005,0.95681,4.6596,0.5,21.0,1.27,1.27,0,130620
1772709764.3261821,4.8802,1.0462900000000002,5.1058,0.46,21.0,1.27,1.27,0,130623
1772709765.6573968,4.8766,1.0081600000000002,4.9097,0.48,21.0,1.27,1.27,0,130624
1772709767.0073159,4.8792,0.93988,4.5772,0.51,21.0,1.27,1.27,0,130626
1772709768.3386426,4.8765,1.0295500000000002,5.0139000000000005,0.47000000000000003,21.0,1.27,1.27,0,130628
1772709769.6889076,4.8727,1.0106600000000001,4.9219,0.48,21.0,1.27,1.27,0,130630
1772709771.0387242,4.873600000000001,1.04695,5.0986,0.46,21.0,1.27,1.27,0,130631
1772709772.4074895,4.8785,0.9845600000000001,4.7948,0.49,21.0,1.27,1.27,0,130634
1772709773.757445,4.8805000000000005,0.96957,4.7315000000000005,0.5,21.0,1.27,1.27,0,130635
1772709775.107541,4.877800000000001,0.9995200000000001,4.8676,0.48,21.0,1.27,1.27,0,130638
1772709776.4387877,4.877400000000001,0.9895700000000001,4.8192,0.49,21.0,1.27,1.27,0,130639
1772709777.788777,4.871300000000001,1.0484900000000001,5.1061000000000005,0.46,21.0,1.27,1.27,0,130640
1772709779.1388228,4.879700000000001,0.9799700000000001,4.7724,0.49,21.0,1.27,1.27,0,130643
1772709780.5080638,4.8769,1.0016500000000002,4.878,0.48,21.0,1.27,1.27,0,130644
1772709781.8575761,4.8744000000000005,1.02384,4.9861,0.47000000000000003,21.0,1.27,1.27,0,130646
1772709783.2076359,4.8761,1.00203,4.8798,0.48,21.0,1.27,1.27,0,130648
1772709784.5390306,4.8794,0.9844200000000001,4.7941,0.49,21.0,1.27,1.27,0,130650
1772709785.94532,4.8725000000000005,0.9764,4.755,0.49,21.0,1.27,1.27,0,130651
1772709787.3139925,4.8756,0.9885100000000001,4.814,0.49,21.0,1.27,1.27,0,130654
1772709788.6640222,4.8789,1.0152700000000001,4.9443,0.48,21.0,1.27,1.27,0,130655
1772709789.9952748,4.8781,0.9975100000000001,4.8578,0.48,21.0,1.27,1.27,0,130657
1772709791.3452775,4.8762,1.01862,4.9606,0.47000000000000003,21.0,1.27,1.27,0,130659
1772709792.6766725,4.8767000000000005,1.0243,4.988300000000001,0.47000000000000003,21.0,1.27,1.27,0,130661
1772709794.0265849,4.8744000000000005,1.0009700000000001,4.8747,0.48,21.0,1.27,1.27,0,130663
1772709795.3766005,4.873,0.9864200000000001,4.8038,0.49,21.0,1.27,1.27,0,130665
1772709796.745351,4.8741,1.05319,5.1290000000000004,0.46,21.0,1.27,1.27,0,130666
1772709798.0954378,4.878,0.9800700000000001,4.7729,0.49,21.0,1.27,1.27,0,130669
1772709799.445456,4.8741,1.01672,4.9514000000000005,0.47000000000000003,21.0,1.27,1.27,0,130670
1772709800.776644,4.8777,0.9891300000000001,4.817,0.49,21.0,1.27,1.26,0,130672
1772709802.1267247,4.8758,1.05217,5.1240000000000006,0.46,21.0,1.27,1.26,0,130674
1772709803.4580092,4.873600000000001,1.06016,5.1629000000000005,0.45,21.0,1.27,1.27,0,130676
1772709804.8080626,4.8762,0.99687,4.8547,0.48,21.0,1.27,1.27,0,130677
1772709806.158048,4.8763000000000005,1.0093400000000001,4.9154,0.48,21.0,1.27,1.27,0,130680
1772709807.490049,4.8762,1.0055500000000002,4.897,0.48,21.0,1.27,1.27,0,130681
1772709808.839364,4.8757,1.00788,4.9083000000000006,0.48,21.0,1.27,1.27,0,130682
1772709810.170603,4.8733,1.03326,5.0319,0.47000000000000003,21.0,1.27,1.27,0,130685
1772709811.5206926,4.873200000000001,1.01835,4.9593,0.47000000000000003,21.0,1.27,1.27,0,130687
1772709812.870738,4.8728,1.00849,4.911300000000001,0.48,21.0,1.27,1.27,0,130688
1772709814.2020254,4.8721000000000005,1.0336,5.0336,0.47000000000000003,21.0,1.27,1.26,0,130691
1772709815.5520525,4.8747,0.9857100000000001,4.800400000000001,0.49,21.0,1.27,1.27,0,130692
