timestamp,voltage_V,current_A,power_W,resistance_ohm,temp_C,dp_V,dm_V,energy0_mWh,energy1_mWh
1772718280.1891582,4.8926,0.5978600000000001,2.9235,0.81,21.0,1.35,1.35,0,142240
1772718281.5394595,4.8841,0.8918800000000001,4.3523000000000005,0.54,21.0,1.3800000000000001,1.3800000000000001,0,142241
1772718282.8708475,4.8796,1.1020800000000002,5.367100000000001,0.44,21.0,1.34,1.34,0,142243
1772718284.2242606,4.8749,1.00299,4.8845,0.48,21.0,1.32,1.32,0,142246
1772718285.5725393,4.8803,1.04621,5.1055,0.46,21.0,1.3,1.3,0,142247
1772718286.9020886,4.8738,1.05865,5.155600000000001,0.46,21.0,1.3,1.3,0,142248
1772718288.2522144,4.8764,0.8901600000000001,4.335,0.54,21.0,1.3,1.3,0,142251
1772718289.583532,4.8792,0.93715,4.5639,0.52,21.0,1.3,1.29,0,142253
1772718290.9335504,4.875500000000001,1.0364900000000001,5.0477,0.47000000000000003,21.0,1.29,1.29,0,142254
1772718292.2835405,4.8762,1.0182600000000002,4.9589,0.47000000000000003,21.0,1.29,1.29,0,142257
1772718293.6201596,4.879700000000001,0.9506300000000001,4.6295,0.51,21.0,1.29,1.28,0,142258
1772718295.0211222,4.8752,1.0516400000000001,5.1214,0.46,21.0,1.29,1.28,0,142261
1772718296.3899922,4.8771,1.0137800000000001,4.9371,0.48,21.0,1.29,1.29,0,142262
1772718297.7400188,4.8769,1.0471700000000002,5.0997,0.46,21.0,1.28,1.28,0,142264
1772718299.0900033,4.8814,0.9463800000000001,4.6183000000000005,0.51,21.0,1.28,1.28,0,142266
1772718300.4213855,4.8782000000000005,0.9522300000000001,4.637300000000001,0.51,21.0,1.28,1.28,0,142268
1772718301.7714014,4.8747,0.9919600000000001,4.8308,0.49,21.0,1.29,1.29,0,142269
1772718303.1214302,4.8767000000000005,1.02254,4.9797,0.47000000000000003,21.0,1.28,1.28,0,142272
1772718304.4903548,4.8753,1.02404,4.987,0.47000000000000003,21.0,1.28,1.28,0,142273
1772718305.840522,4.8786000000000005,1.05281,5.1271,0.46,21.0,1.28,1.28,0,142274
1772718307.1903148,4.8792,0.9714200000000001,4.7308,0.5,21.0,1.28,1.28,0,142277
1772718308.5256174,4.876,0.9260700000000001,4.5099,0.52,21.0,1.28,1.28,0,142278
1772718309.8718734,4.88,0.9582,4.676,0.5,21.0,1.28,1.28,0,142280
1772718311.2222147,4.881,1.01088,4.933,0.48,21.0,1.28,1.28,0,142282
1772718312.6093826,4.8789,0.94703,4.612,0.51,21.0,1.27,1.27,0,142284
1772718314.0160525,4.8803,1.0600200000000002,5.1728000000000005,0.46,21.0,1.28,1.28,0,142287
1772718315.3656127,4.8749,1.04528,5.0905000000000005,0.46,21.0,1.29,1.28,0,142288
1772718316.7157485,4.8763000000000005,0.91412,4.451700000000001,0.53,21.0,1.28,1.28,0,142289
1772718318.0656922,4.8802,0.9604600000000001,4.687,0.5,21.0,1.28,1.28,0,142292
1772718319.3970342,4.8771,1.0539,5.1324000000000005,0.46,21.0,1.28,1.27,0,142293
1772718320.7470045,4.8765,1.0169400000000002,4.9524,0.47000000000000003,21.0,1.27,1.28,0,142295
1772718322.0783534,4.8775,0.9815900000000001,4.7803,0.49,21.0,1.28,1.28,0,142297
1772718323.4283698,4.8761,0.99655,4.8531,0.48,21.0,1.28,1.28,0,142298
1772718324.759753,4.8728,1.0215400000000001,4.9748,0.47000000000000003,21.0,1.28,1.28,0,142300
1772718326.1096544,4.8765,1.03885,5.0591,0.46,21.0,1.27,1.27,0,142303
1772718327.4597466,4.8771,0.9701900000000001,4.7248,0.5,21.0,1.28,1.28,0,142304
1772718328.8286061,4.8768,0.9566100000000001,4.6586,0.5,21.0,1.28,1.28,0,142307
1772718330.1785715,4.876,1.01837,4.9594000000000005,0.47000000000000003,21.0,1.28,1.28,0,142308
1772718331.5286224,4.8753,1.00587,4.8985,0.48,21.0,1.28,1.28,0,142309
1772718332.8607752,4.873,1.02886,5.0105,0.47000000000000003,21.0,1.28,1.28,0,142312
1772718334.2098975,4.888,1.07911,5.266,0.45,21.0,1.28,1.28,0,142313
1772718335.5600488,4.885000000000001,0.9675600000000001,4.7216000000000005,0.5,21.0,1.28,1.28,0,142315
1772718336.9100192,4.8791,0.9146700000000001,4.454400000000001,0.53,21.0,1.28,1.28,0,142317
1772718338.2789109,4.8813,0.9363600000000001,4.5694,0.52,21.0,1.28,1.28,0,142319
1772718339.6476562,4.8746,1.0551700000000002,5.1386,0.46,21.0,1.28,1.28,0,142320
1772718341.0166104,4.8761,0.9813000000000001,4.7789,0.49,21.0,1.27,1.27,0,142323
1772718342.3668733,4.8768,1.0310400000000002,5.021100000000001,0.47000000000000003,21.0,1.27,1.27,0,142324
1772718343.697727,4.8763000000000005,1.0404300000000002,5.066800000000001,0.46,21.0,1.28,1.28,0,142325
1772718345.066532,4.8768,0.9926100000000001,4.8340000000000005,0.49,21.0,1.28,1.28,0,142328
1772718346.4353347,4.8765,1.0000600000000002,4.8702000000000005,0.48,21.0,1.28,1.28,0,142329
1772718347.7854016,4.879700000000001,1.0119,4.9279,0.48,21.0,1.28,1.28,0,142332
1772718349.116673,4.8762,1.0160500000000001,4.9481,0.47000000000000003,21.0,1.28,1.27,0,142333
1772718350.4854808,4.8802,1.01357,4.9462,0.48,21.0,1.28,1.27,0,142335
1772718351.8542879,4.876,1.0091400000000001,4.9145,0.48,21.0,1.28,1.27,0,142337
1772718353.1856143,4.8777,1.01964,4.9656,0.47000000000000003,21.0,1.28,1.28,0,142339
1772718354.5355577,4.8738,1.03102,5.021,0.47000000000000003,21.0,1.27,1.27,0,142340
1772718355.866906,4.8822,0.8759500000000001,4.2746,0.55,21.0,1.27,1.28,0,142343
1772718357.2169092,4.8803,0.9486300000000001,4.629300000000001,0.51,21.0,1.28,1.28,0,142344
1772718358.5669398,4.875,0.9685,4.7165,0.5,21.0,1.28,1.28,0,142346
1772718359.8982456,4.8763000000000005,1.0202,4.9683,0.47000000000000003,21.0,1.28,1.28,0,142348
1772718361.248362,4.8791,0.9691900000000001,4.7199,0.5,21.0,1.28,1.28,0,142350
1772718362.5983303,4.8777,1.0471700000000002,5.0997,0.46,21.0,1.27,1.28,0,142351
1772718363.9296575,4.8878,0.89136,4.3498,0.54,21.0,1.27,1.27,0,142354
1772718365.279779,4.8766,1.0080500000000001,4.9092,0.48,21.0,1.28,1.28,0,142355
1772718366.6109962,4.881600000000001,0.90573,4.4199,0.53,21.0,1.28,1.28,0,142356
1772718367.9611034,4.88,1.03221,5.037100000000001,0.47000000000000003,21.0,1.28,1.28,0,142359
1772718369.2924705,4.8838,1.0450000000000002,5.099600000000001,0.46,21.0,1.28,1.27,0,142360
1772718370.6426356,4.8794,0.9305700000000001,4.5318000000000005,0.52,21.0,1.27,1.27,0,142361
1772718371.9924426,4.8764,1.04645,5.0962000000000005,0.46,21.0,1.28,1.28,0,142364
1772718373.3425012,4.876,1.0194800000000002,4.9648,0.47000000000000003,21.0,1.28,1.28,0,142365
1772718374.7112567,4.8758,0.99743,4.8574,0.48,21.0,1.28,1.28,0,142368
1772718376.0612829,4.8811,0.95986,4.6841,0.5,21.0,1.28,1.28,0,142369
1772718377.4112835,4.8697,0.9707500000000001,4.7178,0.5,21.0,1.28,1.28,0,142371
