timestamp,voltage_V,current_A,power_W,resistance_ohm,temp_C,dp_V,dm_V,energy0_mWh,energy1_mWh
1772465982.7425497,5.0986,0.9113800000000001,4.6389000000000005,0.55,21.0,0.03,0.03,0,44310
1772465984.1113074,5.0975,0.84406,4.2962,0.6,21.0,0.03,0.03,0,44311
1772465985.4800384,5.0971,0.8459200000000001,4.3057,0.6,21.0,0.03,0.03,0,44314
1772465986.8487973,5.0972,0.83228,4.2363,0.61,21.0,0.03,0.03,0,44315
1772465988.217657,5.0995,0.7001700000000001,3.5638,0.72,21.0,0.03,0.03,0,44317
1772465989.5864701,5.0983,0.69096,3.5169,0.73,21.0,0.03,0.03,0,44318
1772465990.9551518,5.098800000000001,0.6997000000000001,3.5614000000000003,0.72,21.0,0.03,0.03,0,44319
1772465992.323952,5.0986,0.7003600000000001,3.5648,0.72,21.0,0.03,0.03,0,44321
1772465993.6927013,5.0986,0.6849900000000001,3.4865000000000004,0.74,21.0,0.03,0.03,0,44322
1772465995.0614805,5.0987,0.6886300000000001,3.5051,0.74,21.0,0.03,0.03,0,44323
1772465996.4302814,5.0986,0.6923900000000001,3.5242,0.73,21.0,0.03,0.03,0,44325
1772465997.780219,5.0982,0.70032,3.5646,0.72,21.0,0.03,0.03,0,44326
1772465999.1302605,5.0983,0.69894,3.5576000000000003,0.72,21.0,0.03,0.03,0,44328
1772466000.4615085,5.0985000000000005,0.69908,3.5583,0.72,21.0,0.03,0.03,0,44329
1772466001.830286,5.0984,0.6867800000000001,3.4957000000000003,0.74,21.0,0.03,0.03,0,44330
1772466003.1803179,5.0985000000000005,0.6881200000000001,3.5025,0.74,21.0,0.03,0.03,0,44332
1772466004.5490892,5.0985000000000005,0.6952600000000001,3.5388,0.73,21.0,0.03,0.03,0,44333
1772466005.8990812,5.0985000000000005,0.69715,3.5484,0.73,21.0,0.03,0.03,0,44334
1772466007.2491238,5.0985000000000005,0.69303,3.5275000000000003,0.73,21.0,0.03,0.03,0,44336
1772466008.5804265,5.098800000000001,0.69613,3.5433000000000003,0.73,21.0,0.03,0.03,0,44337
1772466009.9491422,5.098800000000001,0.71991,3.6643000000000003,0.7000000000000001,21.0,0.03,0.03,0,44338
