timestamp,voltage_V,current_A,power_W,resistance_ohm,temp_C,dp_V,dm_V,energy0_mWh,energy1_mWh
1772469179.9526937,5.0925,1.0491300000000001,5.34,0.48,25.0,0.04,0.04,0,50700
1772469181.2843251,5.0942,1.336,6.8002,0.38,25.0,0.05,0.05,0,50703
1772469182.634117,5.0964,1.6086600000000002,8.188,0.31,25.0,0.06,0.06,0,50705
1772469183.984148,5.0822,1.3683900000000002,6.9514000000000005,0.37,25.0,0.06,0.06,0,50708
1772469185.3342073,5.0797,1.34311,6.8095,0.37,25.0,0.06,0.06,0,50712
1772469186.7029624,5.105300000000001,1.6546900000000002,8.4389,0.3,25.0,0.06,0.06,0,50715
1772469188.052959,5.1025,1.6378800000000002,8.3531,0.31,25.0,0.06,0.06,0,50719
1772469189.4217405,5.1075,1.56996,8.0067,0.32,25.0,0.06,0.06,0,50721
1772469190.7726643,5.075200000000001,1.84325,9.3452,0.27,25.0,0.06,0.06,0,50724
1772469192.1405258,5.0853,1.54515,7.8493,0.32,25.0,0.06,0.06,0,50728
1772469193.509338,5.0903,1.48513,7.5593,0.34,25.0,0.07,0.07,0,50731
1772469194.8814275,5.0872,1.9115000000000002,9.7104,0.26,25.0,0.06,0.06,0,50733
1772469196.2280817,5.1045,1.3684200000000002,6.9789,0.37,25.0,0.06,0.06,0,50738
1772469197.578135,5.1039,1.38575,7.0673,0.36,25.0,0.06,0.06,0,50741
1772469198.948041,5.0898,1.6226300000000002,8.2429,0.31,25.0,0.07,0.07,0,50743
1772469200.2969508,5.0939000000000005,1.67449,8.523100000000001,0.3,25.0,0.06,0.06,0,50747
1772469201.646966,5.0758,1.8995600000000001,9.630700000000001,0.26,25.0,0.06,0.06,0,50750
1772469203.015738,5.1069,1.8764200000000002,9.569700000000001,0.27,25.0,0.06,0.06,0,50754
1772469204.3893635,5.0955,1.55908,7.935700000000001,0.32,25.0,0.06,0.06,0,50757
1772469205.7346284,5.0959,1.9532600000000002,9.942,0.26,25.0,0.07,0.07,0,50759
1772469207.0855527,5.097700000000001,1.45497,7.4057,0.35000000000000003,25.0,0.05,0.05,0,50763
1772469208.43454,5.1169,1.3846,7.0753,0.36,25.0,0.06,0.06,0,50765
1772469209.784567,5.0756000000000006,1.63894,8.3094,0.3,25.0,0.06,0.06,0,50767
1772469211.1159983,5.078600000000001,1.52313,7.7222,0.33,25.0,0.06,0.06,0,50772
1772469212.4471064,5.0958000000000006,1.4332600000000002,7.2952,0.35000000000000003,25.0,0.06,0.06,0,50774
1772469213.797111,5.0964,1.70086,8.657300000000001,0.29,25.0,0.05,0.05,0,50776
1772469215.1693094,5.0886000000000005,1.8409200000000001,9.3518,0.27,25.0,0.07,0.07,0,50781
1772469216.5346582,5.0873,1.80614,9.1751,0.28,25.0,0.06,0.06,0,50783
1772469217.8846822,5.0833,1.8398400000000001,9.346300000000001,0.27,25.0,0.06,0.06,0,50786
1772469219.2347016,5.0925,1.4613500000000001,7.4382,0.34,25.0,0.06,0.06,0,50791
1772469220.5847378,5.0936,1.6284500000000002,8.2888,0.31,25.0,0.07,0.07,0,50793
1772469221.9349563,5.0961,1.39951,7.1235,0.36,25.0,0.06,0.06,0,50797
1772469223.3035314,5.1009,1.69829,8.661200000000001,0.3,25.0,0.06,0.06,0,50799
1772469224.6535292,5.1042000000000005,1.5695400000000002,8.0046,0.32,25.0,0.06,0.06,0,50802
1772469226.0037382,5.0978,1.50685,7.6698,0.33,25.0,0.06,0.06,0,50807
1772469227.3348267,5.105,1.51825,7.743,0.33,25.0,0.06,0.06,0,50809
1772469228.666082,5.1092,1.4234600000000002,7.259600000000001,0.35000000000000003,25.0,0.06,0.06,0,50811
1772469230.0161211,5.0972,1.5813000000000001,8.0488,0.32,25.0,0.06,0.06,0,50815
1772469231.3849647,5.0819,1.8627700000000003,9.4628,0.27,25.0,0.05,0.05,0,50818
1772469232.7352731,5.0895,1.9062000000000001,9.6834,0.26,25.0,0.05,0.06,0,50820
1772469234.0849254,5.0647,1.7133,8.6692,0.29,25.0,0.06,0.06,0,50824
1772469235.4537106,5.0933,1.71303,8.7193,0.29,25.0,0.06,0.06,0,50826
1772469236.8069317,5.0922,1.5214500000000002,7.7441,0.33,25.0,0.06,0.06,0,50828
1772469238.1539395,5.0816,1.48828,7.5604000000000005,0.34,25.0,0.06,0.06,0,50833
1772469239.5225515,5.0858,1.5496200000000002,7.872000000000001,0.32,25.0,0.06,0.06,0,50835
1772469240.8914046,5.0681,1.7142800000000002,8.6742,0.29,25.0,0.07,0.07,0,50840
1772469242.2655323,5.0986,1.79092,9.1157,0.28,25.0,0.06,0.06,0,50843
1772469243.6288416,5.0984,1.7123100000000002,8.7156,0.29,25.0,0.06,0.06,0,50846
1772469244.9814136,5.0894,1.4649800000000002,7.442,0.34,25.0,0.07,0.06,0,50850
1772469246.3374114,5.109500000000001,1.3547600000000002,6.9092,0.37,25.0,0.06,0.06,0,50852
1772469247.697645,5.0983,1.6045800000000001,8.167300000000001,0.31,25.0,0.06,0.06,0,50854
1772469249.047685,5.0981000000000005,1.43113,7.284400000000001,0.35000000000000003,25.0,0.06,0.06,0,50859
1772469250.3977468,5.0887,1.9455000000000002,9.8831,0.26,25.0,0.06,0.06,0,50861
1772469251.766425,5.0947000000000005,1.6652000000000002,8.4758,0.3,25.0,0.06,0.06,0,50863
