timestamp,voltage_V,current_A,power_W,resistance_ohm,temp_C,dp_V,dm_V,energy0_mWh,energy1_mWh
1772467866.3709416,5.0934,1.2766600000000001,6.4981,0.39,25.0,0.05,0.05,0,47750
1772467867.7209716,5.089700000000001,1.6804100000000002,8.5364,0.3,25.0,0.06,0.06,0,47752
1772467869.0933352,5.097700000000001,1.5242200000000001,7.7582,0.33,25.0,0.05,0.06,0,47757
1772467870.4406173,5.0817000000000005,1.6150900000000001,8.204600000000001,0.31,25.0,0.06,0.06,0,47759
1772467871.789762,5.091600000000001,1.6510000000000002,8.403500000000001,0.3,25.0,0.06,0.06,0,47761
1772467873.1585493,5.092700000000001,1.53105,7.793,0.33,25.0,0.07,0.07,0,47766
1772467874.5094395,5.0839,1.57122,7.9817,0.32,25.0,0.06,0.06,0,47769
1772467875.8773794,5.103000000000001,1.6197700000000002,8.2608,0.31,25.0,0.07,0.07,0,47774
1772467877.227351,5.1094,1.4941000000000002,7.6199,0.34,25.0,0.06,0.06,0,47777
1772467878.5962534,5.09,1.6036800000000002,8.162700000000001,0.31,25.0,0.06,0.06,0,47779
1772467879.964967,5.0898,1.55587,7.9038,0.32,25.0,0.06,0.06,0,47784
1772467881.3336062,5.1022,1.62721,8.2987,0.31,25.0,0.06,0.06,0,47786
1772467882.7024217,5.0831,1.7356800000000001,8.8172,0.29,25.0,0.06,0.06,0,47788
1772467884.0542662,5.093100000000001,1.6643500000000002,8.4715,0.3,25.0,0.06,0.06,0,47793
1772467885.402487,5.075,1.5471400000000002,7.8439000000000005,0.32,25.0,0.06,0.06,0,47796
1772467886.771897,5.0892,1.51692,7.705900000000001,0.33,25.0,0.06,0.06,0,47800
1772467888.1213007,5.067200000000001,1.5523300000000002,7.8547,0.32,25.0,0.06,0.06,0,47802
1772467889.4713104,5.0742,1.8097600000000003,9.1754,0.28,25.0,0.07,0.06,0,47804
1772467890.8025167,5.0669,1.38138,6.9897,0.36,25.0,0.06,0.06,0,47809
1772467892.1337416,5.078600000000001,1.7250900000000002,8.7462,0.29,25.0,0.06,0.06,0,47811
1772467893.4853332,5.0978,1.88467,9.5929,0.27,25.0,0.05,0.05,0,47813
1772467894.8525753,5.097,1.6435700000000002,8.3657,0.31,25.0,0.06,0.06,0,47817
1772467896.2038803,5.0995,1.3112400000000002,6.6742,0.38,25.0,0.06,0.06,0,47820
1772467897.5525818,5.0823,1.4535600000000002,7.384,0.34,25.0,0.06,0.06,0,47822
1772467898.921503,5.0986,1.7526700000000002,8.921000000000001,0.29,25.0,0.06,0.06,0,47826
1772467900.2910473,5.0873,1.8320200000000002,9.306600000000001,0.27,25.0,0.06,0.06,0,47828
1772467901.6412823,5.113700000000001,1.4661700000000002,7.492100000000001,0.34,25.0,0.06,0.06,0,47831
1772467902.9901137,5.0891,1.5032500000000002,7.636500000000001,0.33,25.0,0.06,0.06,0,47835
1772467904.358893,5.1102,1.74018,8.8923,0.29,25.0,0.06,0.06,0,47837
1772467905.7089195,5.098,1.69317,8.6182,0.3,25.0,0.06,0.06,0,47842
1772467907.0589476,5.0812,1.18716,6.0307,0.42,25.0,0.06,0.06,0,47844
1772467908.39052,5.088,1.98781,10.098,0.25,25.0,0.07,0.07,0,47846
1772467909.721471,5.0859000000000005,1.8230800000000003,9.2612,0.27,25.0,0.06,0.06,0,47850
1772467911.071496,5.0933,1.38572,7.0533,0.36,25.0,0.06,0.06,0,47852
1772467912.4402757,5.087000000000001,1.4721600000000001,7.4785,0.34,25.0,0.06,0.06,0,47854
1772467913.7902796,5.0919,1.59484,8.117700000000001,0.31,25.0,0.06,0.06,0,47858
1772467915.1403112,5.086600000000001,1.5563300000000002,7.9061,0.32,25.0,0.05,0.05,0,47860
1772467916.5091188,5.0994,1.6198000000000001,8.2447,0.31,25.0,0.06,0.06,0,47862
1772467917.8590739,5.0898,1.51259,7.6839,0.33,25.0,0.06,0.06,0,47867
1772467919.2133558,5.0802000000000005,1.8949200000000002,9.626100000000001,0.26,25.0,0.05,0.05,0,47869
1772467920.5493753,5.0953,1.4501700000000002,7.3813,0.35000000000000003,25.0,0.07,0.06,0,47871
