timestamp,voltage_V,current_A,power_W,resistance_ohm,temp_C,dp_V,dm_V,energy0_mWh,energy1_mWh
1772744392.449283,5.1044,0.9456800000000001,4.822900000000001,0.53,26.0,0.03,0.03,0,176488
1772744393.7848194,5.1043,0.85457,4.3583,0.59,26.0,0.03,0.03,0,176491
1772744395.1311142,5.109100000000001,1.5829900000000001,8.0732,0.32,26.0,0.07,0.07,0,176494
1772744396.5188406,5.0944,2.20344,11.2155,0.23,26.0,0.06,0.06,0,176496
1772744397.8871174,5.0922,1.99842,10.1719,0.25,26.0,0.07,0.07,0,176502
1772744399.2371013,5.1292,1.9362000000000001,9.913300000000001,0.26,26.0,0.06,0.06,0,176505
1772744400.606029,5.080900000000001,2.1225,10.782300000000001,0.23,26.0,0.07,0.07,0,176507
1772744401.9419487,5.0928,2.0491,10.4299,0.24,26.0,0.07,0.07,0,176513
1772744403.28709,5.0948,1.9639100000000003,9.9963,0.25,26.0,0.06,0.07,0,176516
1772744404.6187675,5.118,1.78818,9.137500000000001,0.28,26.0,0.07,0.07,0,176519
1772744405.9502122,5.0986,2.04084,10.3878,0.24,26.0,0.07,0.07,0,176525
1772744407.2810423,5.097700000000001,1.9923300000000002,10.1409,0.25,26.0,0.07,0.07,0,176528
1772744408.6311119,5.1083,1.6942700000000002,8.6407,0.3,26.0,0.07,0.07,0,176531
1772744409.9997666,5.1153,1.92826,9.8534,0.26,26.0,0.06,0.06,0,176536
1772744411.3503752,5.0923,2.23307,11.3663,0.22,26.0,0.06,0.06,0,176539
1772744412.7191732,5.1080000000000005,2.18297,11.1331,0.23,26.0,0.07,0.07,0,176545
1772744414.0503933,5.1141000000000005,2.0209900000000003,10.327200000000001,0.25,26.0,0.06,0.06,0,176548
1772744415.4242597,5.096900000000001,2.0115800000000004,10.238900000000001,0.25,26.0,0.07,0.07,0,176551
1772744416.7693417,5.0941,2.0465500000000003,10.4169,0.24,26.0,0.06,0.06,0,176557
1772744418.100758,5.0981000000000005,1.82512,9.2898,0.27,26.0,0.07,0.07,0,176560
1772744419.432418,5.079400000000001,2.28955,11.608,0.22,26.0,0.06,0.06,0,176563
1772744420.7817643,5.0981000000000005,2.23959,11.3995,0.22,26.0,0.07,0.07,0,176569
1772744422.1529045,5.1155,1.9346200000000002,9.885900000000001,0.26,26.0,0.06,0.06,0,176572
1772744423.500941,5.097,2.0107500000000003,10.2347,0.25,26.0,0.06,0.06,0,176574
1772744424.869339,5.1047,2.1610300000000002,11.0212,0.23,26.0,0.06,0.06,0,176581
1772744426.2005143,5.101100000000001,2.16479,11.0404,0.23,26.0,0.07,0.07,0,176584
1772744427.5501468,5.1008000000000004,1.7368100000000002,8.857700000000001,0.29,26.0,0.06,0.07,0,176587
1772744428.9190016,5.1077,2.3198000000000003,11.8309,0.22,26.0,0.07,0.06,0,176592
1772744430.28783,5.0898,2.32545,11.8132,0.21,26.0,0.06,0.06,0,176595
1772744431.6376534,5.0877,1.9386700000000001,9.8484,0.26,26.0,0.07,0.07,0,176600
1772744433.0065887,5.0981000000000005,1.7797500000000002,9.058900000000001,0.28,26.0,0.07,0.07,0,176603
1772744434.3404279,5.1139,2.31813,11.845600000000001,0.22,26.0,0.07,0.07,0,176606
