timestamp,voltage_V,current_A,power_W,resistance_ohm,temp_C,dp_V,dm_V,energy0_mWh,energy1_mWh
1772466666.2013621,5.0979,0.8661700000000001,4.4088,0.58,22.0,0.03,0.03,0,45172
1772466667.5705516,5.0939000000000005,1.3779000000000001,7.0135000000000005,0.36,22.0,0.05,0.05,0,45173
1772466668.9202313,5.0939000000000005,1.1809500000000002,6.011,0.43,22.0,0.05,0.05,0,45177
1772466670.270264,5.1037,1.30057,6.6329,0.39,22.0,0.05,0.05,0,45179
1772466671.6014965,5.0925,1.3362,6.801200000000001,0.38,22.0,0.05,0.05,0,45181
1772466672.9514716,5.0958000000000006,1.46967,7.4806,0.34,23.0,0.05,0.05,0,45185
1772466674.3015609,5.0958000000000006,1.46117,7.4373000000000005,0.34,23.0,0.05,0.05,0,45187
1772466675.6514997,5.0933,1.7165400000000002,8.7371,0.29,23.0,0.05,0.05,0,45189
1772466677.0390825,5.0942,1.3501200000000002,6.8721000000000005,0.37,23.0,0.05,0.05,0,45193
1772466678.3890514,5.0987,1.45388,7.400200000000001,0.35000000000000003,23.0,0.05,0.05,0,45195
1772466679.757827,5.0895,1.4001400000000002,7.1127,0.36,23.0,0.05,0.05,0,45198
1772466681.108144,5.0894,1.6303400000000001,8.2821,0.31,23.0,0.05,0.05,0,45201
1772466682.4578598,5.0923,1.3283200000000002,6.7611,0.38,23.0,0.06,0.06,0,45203
1772466683.7891655,5.0923,1.50757,7.673500000000001,0.33,23.0,0.05,0.05,0,45207
1772466685.120424,5.0891,1.31695,6.6901,0.38,23.0,0.05,0.05,0,45209
1772466686.4706607,5.089700000000001,1.4046800000000002,7.1357,0.36,23.0,0.05,0.05,0,45211
1772466687.8016763,5.0905000000000005,1.41564,7.2056000000000004,0.35000000000000003,23.0,0.05,0.05,0,45215
1772466689.151697,5.0959,1.41274,7.1908,0.36,23.0,0.05,0.05,0,45217
1772466690.5016904,5.088900000000001,1.2793500000000002,6.4990000000000006,0.39,23.0,0.06,0.06,0,45219
1772466691.8517292,5.079400000000001,1.40189,7.1075,0.36,23.0,0.06,0.06,0,45223
1772466693.2205245,5.093,1.50309,7.6507000000000005,0.33,23.0,0.05,0.05,0,45225
1772466694.5893295,5.0903,1.5792800000000002,8.0385,0.32,23.0,0.05,0.05,0,45227
1772466695.9767754,5.0928,1.34064,6.8238,0.37,23.0,0.05,0.05,0,45231
1772466697.3081625,5.0920000000000005,1.30884,6.6619,0.38,23.0,0.05,0.05,0,45233
1772466698.6580565,5.0948,1.58637,8.0746,0.32,23.0,0.05,0.05,0,45237
1772466699.9893663,5.0869,1.3067700000000002,6.6383,0.38,23.0,0.05,0.05,0,45239
1772466701.3207285,5.0842,1.34762,6.8459,0.37,23.0,0.05,0.05,0,45241
1772466702.6705945,5.093500000000001,1.34756,6.859,0.37,23.0,0.05,0.05,0,45245
1772466704.0018923,5.1027000000000005,1.3754700000000002,7.0148,0.37,23.0,0.05,0.06,0,45247
1772466705.370883,5.093,1.41562,7.205500000000001,0.35000000000000003,23.0,0.05,0.05,0,45248
1772466706.7019587,5.0875,1.36081,6.9129000000000005,0.37,23.0,0.05,0.05,0,45252
1772466708.0527616,5.080500000000001,1.3204200000000001,6.7077,0.38,23.0,0.06,0.06,0,45254
1772466709.4207063,5.1006,1.4705100000000002,7.4996,0.34,23.0,0.05,0.05,0,45256
1772466710.8087478,5.0895,1.37921,7.0063,0.36,23.0,0.05,0.05,0,45260
1772466712.1770182,5.0962000000000005,1.3165600000000002,6.7012,0.38,23.0,0.05,0.06,0,45262
1772466713.5086098,5.097300000000001,1.34017,6.821400000000001,0.38,23.0,0.05,0.05,0,45264
1772466714.877441,5.091600000000001,1.5041600000000002,7.6561,0.33,23.0,0.06,0.06,0,45268
1772466716.2270477,5.0956,1.35575,6.9007000000000005,0.37,23.0,0.05,0.05,0,45270
1772466717.577071,5.0972,1.40415,7.1471,0.36,23.0,0.05,0.05,0,45272
1772466718.9270482,5.0920000000000005,1.33972,6.819100000000001,0.38,23.0,0.05,0.05,0,45276
1772466720.2583244,5.0898,1.31467,6.6785000000000005,0.38,23.0,0.06,0.06,0,45278
1772466721.6083262,5.0957,1.33624,6.8014,0.38,23.0,0.05,0.05,0,45282
1772466722.9396558,5.0891,1.3140900000000002,6.6755,0.38,23.0,0.05,0.05,0,45284
1772466724.270874,5.088900000000001,1.3631900000000001,6.925000000000001,0.37,23.0,0.05,0.05,0,45286
1772466725.6426616,5.0894,1.3585600000000002,6.901400000000001,0.37,23.0,0.06,0.06,0,45290
1772466726.9897115,5.0798000000000005,1.3069000000000002,6.625900000000001,0.38,23.0,0.05,0.05,0,45292
1772466728.358476,5.0911,1.30112,6.6227,0.39,23.0,0.05,0.05,0,45294
1772466729.708541,5.0905000000000005,1.50777,7.6745,0.33,23.0,0.05,0.05,0,45298
1772466731.0585558,5.0884,1.3557800000000002,6.887300000000001,0.37,23.0,0.05,0.06,0,45300
1772466732.3897583,5.0883,1.32909,6.7517000000000005,0.38,23.0,0.06,0.06,0,45302
1772466733.721071,5.0991,1.3576700000000002,6.910500000000001,0.37,23.0,0.05,0.05,0,45306
1772466735.0710151,5.099200000000001,1.33545,6.7974000000000006,0.38,23.0,0.05,0.06,0,45308
1772466736.439802,5.0921,1.4527,7.3942000000000005,0.35000000000000003,23.0,0.05,0.05,0,45311
1772466737.8085945,5.0894,1.40815,7.1534,0.36,23.0,0.05,0.05,0,45314
1772466739.1585765,5.0861,1.34565,6.8359000000000005,0.37,23.0,0.05,0.05,0,45316
1772466740.5085783,5.091600000000001,1.3521500000000002,6.8824000000000005,0.37,23.0,0.05,0.05,0,45320
1772466741.840032,5.095000000000001,1.3711700000000002,6.9792000000000005,0.37,23.0,0.05,0.05,0,45322
1772466743.189988,5.084700000000001,1.2943200000000001,6.5751,0.39,23.0,0.05,0.05,0,45324
1772466744.5398772,5.0873,1.3785,7.0027,0.36,23.0,0.06,0.06,0,45328
1772466745.8898926,5.0975,1.31749,6.706,0.38,23.0,0.05,0.05,0,45330
1772466747.2213447,5.1009,1.57651,8.0402,0.32,23.0,0.05,0.05,0,45332
1772466748.5711458,5.0867,1.27777,6.4910000000000005,0.39,23.0,0.06,0.06,0,45336
1772466749.9212668,5.099200000000001,1.45388,7.400200000000001,0.35000000000000003,23.0,0.05,0.05,0,45338
1772466751.2713413,5.0859000000000005,1.2805900000000001,6.5053,0.39,23.0,0.05,0.05,0,45340
1772466752.6588058,5.0995,1.36962,6.9713,0.37,23.0,0.06,0.06,0,45344
