timestamp,voltage_V,current_A,power_W,resistance_ohm,temp_C,dp_V,dm_V,energy0_mWh,energy1_mWh
1773325941.2130978,5.1033,0.95325,4.8615,0.53,25.0,0.07,0.07,0,772964
1773325942.2881167,5.1012,0.9184200000000001,4.6839,0.55,25.0,0.03,0.04,0,772966
1773325943.3752997,5.0956,1.7787400000000002,9.053700000000001,0.28,25.0,0.04,0.03,0,772969
1773325944.4373322,5.1006,1.7756500000000002,9.0558,0.28,25.0,0.06,0.06,0,772972
1773325945.5950453,5.0961,1.7163400000000002,8.7361,0.29,25.0,0.06,0.06,0,772975
1773325946.7133625,5.1069,1.89186,9.6484,0.26,25.0,0.06,0.06,0,772977
1773325947.8772528,5.0920000000000005,1.76875,9.0029,0.28,25.0,0.06,0.06,0,772980
1773325948.944517,5.105,1.8898000000000001,9.6379,0.27,25.0,0.06,0.06,0,772982
1773325950.0334804,5.1109,1.9476400000000003,9.9524,0.26,25.0,0.07,0.07,0,772985
1773325951.1366382,5.111400000000001,1.9006900000000002,9.7125,0.26,25.0,0.06,0.07,0,772988
1773325952.2977102,5.0937,2.1815700000000002,11.1041,0.23,25.0,0.06,0.07,0,772993
1773325953.4174976,5.0942,1.94893,9.92,0.26,25.0,0.07,0.07,0,772996
1773325954.5360792,5.1036,1.87677,9.5715,0.27,25.0,0.07,0.06,0,772999
1773325955.6997035,5.098,1.97249,10.039900000000001,0.25,25.0,0.06,0.06,0,773001
1773325956.773347,5.097,1.8052400000000002,9.188600000000001,0.28,25.0,0.06,0.06,0,773004
1773325957.8509355,5.089700000000001,1.9194600000000002,9.7508,0.26,25.0,0.06,0.06,0,773006
1773325958.9521062,5.1028,1.85122,9.4412,0.27,25.0,0.07,0.07,0,773009
1773325960.0692759,5.107,1.60929,8.2073,0.31,25.0,0.07,0.07,0,773011
1773325961.185323,5.1064,1.9164400000000001,9.7738,0.26,25.0,0.06,0.06,0,773014
1773325962.3063061,5.1064,1.6434900000000001,8.3817,0.31,25.0,0.06,0.06,0,773019
1773325963.4222276,5.0959,1.7266700000000001,8.7887,0.29,25.0,0.06,0.06,0,773021
1773325964.5469108,5.0959,1.50374,7.654000000000001,0.33,25.0,0.06,0.06,0,773023
1773325965.6545036,5.1044,1.85434,9.4571,0.27,25.0,0.06,0.06,0,773026
1773325966.7708533,5.1025,1.8552300000000002,9.4616,0.27,25.0,0.06,0.06,0,773029
1773325967.8866413,5.0947000000000005,1.8068400000000002,9.1968,0.28,25.0,0.06,0.06,0,773031
1773325969.0502167,5.1027000000000005,1.8236,9.3003,0.27,25.0,0.07,0.07,0,773033
1773325970.1289885,5.1005,2.01412,10.272,0.25,25.0,0.07,0.07,0,773036
1773325971.2851367,5.097300000000001,1.8027700000000002,9.176,0.28,25.0,0.07,0.07,0,773041
1773325972.3615203,5.0914,1.7936900000000002,9.129800000000001,0.28,25.0,0.06,0.06,0,773043
1773325973.5146677,5.1022,1.81743,9.2688,0.28,25.0,0.06,0.06,0,773046
1773325974.588042,5.1069,1.8804600000000002,9.590300000000001,0.27,25.0,0.06,0.06,0,773049
1773325975.6719618,5.1089,1.81292,9.245800000000001,0.28,25.0,0.07,0.07,0,773052
1773325976.7741985,5.1066,1.82685,9.3169,0.27,25.0,0.07,0.07,0,773054
1773325977.8442204,5.097700000000001,1.8757300000000001,9.5474,0.27,25.0,0.07,0.07,0,773056
1773325978.9219947,5.0947000000000005,1.8754800000000003,9.546100000000001,0.27,25.0,0.06,0.06,0,773059
1773325980.0806973,5.1116,1.7671200000000002,9.0299,0.28,25.0,0.06,0.07,0,773061
1773325981.1626272,5.1048,1.9857200000000002,10.1271,0.25,25.0,0.06,0.06,0,773064
1773325982.30059,5.1161,1.8001300000000002,9.1986,0.28,25.0,0.07,0.07,0,773069
1773325983.395975,5.1145000000000005,1.7575900000000002,8.981200000000001,0.29,25.0,0.07,0.06,0,773072
1773325984.5430949,5.0995,1.6756000000000002,8.5288,0.3,25.0,0.07,0.06,0,773074
1773325985.7157788,5.0944,2.05329,10.4512,0.24,25.0,0.06,0.06,0,773077
1773325986.785006,5.1144,1.8298100000000002,9.3503,0.27,25.0,0.06,0.06,0,773080
1773325987.8733997,5.1086,1.85478,9.4593,0.27,25.0,0.06,0.06,0,773082
1773325988.9738636,5.0898,1.7844000000000002,9.0647,0.28,25.0,0.07,0.07,0,773085
1773325990.0440722,5.099200000000001,1.8639100000000002,9.487300000000001,0.27,25.0,0.06,0.06,0,773087
1773325991.117014,5.1109,1.7989300000000001,9.1925,0.28,25.0,0.06,0.06,0,773092
1773325992.193536,5.092700000000001,1.8771400000000003,9.5546,0.27,25.0,0.06,0.06,0,773095
1773325993.3071868,5.098,1.8102300000000002,9.214,0.28,25.0,0.06,0.06,0,773098
1773325994.3772085,5.1023000000000005,1.9170600000000002,9.777000000000001,0.26,25.0,0.07,0.07,0,773100
1773325995.4493291,5.0944,1.7422600000000001,8.8681,0.29,25.0,0.06,0.06,0,773103
1773325996.6142802,5.1012,1.8159800000000001,9.2614,0.28,25.0,0.06,0.06,0,773105
1773325997.7078679,5.097700000000001,1.9539600000000001,9.9456,0.26,25.0,0.06,0.06,0,773108
1773325998.7984405,5.0936,1.7545700000000002,8.9307,0.29,25.0,0.07,0.07,0,773111
1773325999.8740997,5.0985000000000005,1.7940500000000001,9.1317,0.28,25.0,0.06,0.06,0,773113
1773326001.0366032,5.1036,1.8473000000000002,9.4212,0.27,25.0,0.07,0.07,0,773116
1773326002.110948,5.0947000000000005,1.67975,8.549900000000001,0.3,25.0,0.07,0.07,0,773121
1773326003.2157028,5.1055,1.9587800000000002,9.989700000000001,0.26,25.0,0.06,0.07,0,773124
1773326004.3768775,5.1041,1.8104700000000002,9.2333,0.28,25.0,0.07,0.07,0,773126
1773326005.4973893,5.0925,1.6245200000000002,8.2688,0.31,25.0,0.06,0.06,0,773129
1773326006.6078987,5.095000000000001,1.6818300000000002,8.560500000000001,0.3,25.0,0.06,0.06,0,773131
1773326007.7259574,5.0944,1.70792,8.6933,0.29,25.0,0.06,0.06,0,773134
1773326008.844745,5.1062,1.73594,8.853200000000001,0.29,25.0,0.06,0.06,0,773136
1773326009.9619715,5.1086,1.8530200000000001,9.4504,0.27,25.0,0.06,0.06,0,773139
1773326011.0791574,5.0947000000000005,1.8193800000000002,9.2606,0.28,25.0,0.06,0.06,0,773144
1773326012.2002137,5.0962000000000005,1.8058200000000002,9.191600000000001,0.28,25.0,0.07,0.07,0,773147
1773326013.318305,5.1008000000000004,1.7207500000000002,8.7758,0.29,25.0,0.07,0.07,0,773149
1773326014.4343698,5.1033,1.75977,8.9748,0.28,25.0,0.07,0.06,0,773152
1773326015.5197265,5.1023000000000005,1.7911400000000002,9.1348,0.28,25.0,0.06,0.06,0,773154
1773326016.6184793,5.1019000000000005,1.71666,8.754900000000001,0.29,25.0,0.07,0.07,0,773157
1773326017.6979003,5.0994,1.82448,9.2866,0.27,25.0,0.06,0.06,0,773160
1773326018.7725527,5.1159,1.7274900000000002,8.8274,0.29,25.0,0.06,0.06,0,773162
1773326019.8786616,5.1102,1.6836300000000002,8.6033,0.3,25.0,0.06,0.06,0,773165
1773326020.948795,5.097,1.8718100000000002,9.5275,0.27,25.0,0.07,0.07,0,773167
1773326022.029199,5.1102,1.7096900000000002,8.736500000000001,0.29,25.0,0.06,0.06,0,773172
1773326023.0946174,5.1048,1.6688200000000002,8.510900000000001,0.3,25.0,0.07,0.07,0,773175
1773326024.204943,5.0909,1.81716,9.2493,0.28,25.0,0.07,0.07,0,773177
1773326025.2784405,5.1092,1.64829,8.4062,0.3,25.0,0.07,0.07,0,773180
1773326026.3537185,5.0975,1.8678500000000002,9.5073,0.27,25.0,0.06,0.07,0,773182
1773326027.5094128,5.1083,1.7606300000000001,8.9792,0.29,25.0,0.07,0.07,0,773185
1773326028.6697717,5.1058,1.7532,8.9413,0.29,25.0,0.07,0.07,0,773188
1773326029.755897,5.117,1.6246900000000002,8.302100000000001,0.31,25.0,0.06,0.06,0,773190
1773326030.8269374,5.1125,1.8346700000000002,9.3751,0.27,25.0,0.07,0.06,0,773192
1773326031.9303865,5.1048,1.73052,8.8256,0.29,25.0,0.07,0.07,0,773195
1773326033.005063,5.1012,1.8790700000000002,9.5832,0.27,25.0,0.07,0.07,0,773200
1773326034.1164827,5.1033,1.8749700000000002,9.5623,0.27,25.0,0.06,0.06,0,773203
1773326035.2287118,5.1005,1.70185,8.679400000000001,0.29,25.0,0.06,0.06,0,773206
1773326036.3498516,5.0959,1.9316900000000001,9.8323,0.26,25.0,0.06,0.06,0,773208
1773326037.458419,5.1203,1.56427,8.009,0.32,25.0,0.07,0.07,0,773211
1773326038.5433636,5.0967,1.7941900000000002,9.1324,0.28,25.0,0.06,0.07,0,773213
1773326039.645152,5.1069,1.91487,9.7658,0.26,25.0,0.07,0.07,0,773216
1773326040.7549093,5.0909,1.8405700000000003,9.368500000000001,0.27,25.0,0.06,0.06,0,773219
1773326041.832581,5.0958000000000006,1.8601100000000002,9.4679,0.27,25.0,0.07,0.07,0,773221
1773326042.9392366,5.107,1.8652700000000002,9.5128,0.27,25.0,0.06,0.06,0,773226
1773326044.0530782,5.1125,1.8239800000000002,9.320500000000001,0.28,25.0,0.07,0.06,0,773229
1773326045.1289873,5.0983,1.8634100000000002,9.4847,0.27,25.0,0.06,0.06,0,773232
1773326046.225333,5.1023000000000005,1.9219600000000001,9.8019,0.26,25.0,0.06,0.06,0,773234
1773326047.3122725,5.0923,1.87372,9.5372,0.27,25.0,0.06,0.06,0,773237
1773326048.3942301,5.0934,1.8375400000000002,9.353,0.27,25.0,0.06,0.06,0,773239
1773326049.5014625,5.1102,1.9033000000000002,9.725800000000001,0.26,25.0,0.07,0.07,0,773242
1773326050.5735016,5.1073,1.7513800000000002,8.932,0.29,25.0,0.06,0.06,0,773244
1773326051.6460104,5.1109,1.8165200000000001,9.2824,0.28,25.0,0.06,0.06,0,773247
1773326052.7312539,5.1048,1.7720200000000002,9.0373,0.28,25.0,0.07,0.06,0,773250
1773326053.8306432,5.1117,1.7974400000000001,9.1849,0.28,25.0,0.06,0.06,0,773252
1773326054.9027169,5.1066,1.6605900000000002,8.469000000000001,0.3,25.0,0.06,0.06,0,773257
1773326055.984346,5.09,1.8998000000000002,9.6699,0.26,25.0,0.06,0.06,0,773260
1773326057.0868826,5.108700000000001,1.72317,8.7881,0.29,25.0,0.06,0.06,0,773262
1773326058.1580281,5.0962000000000005,2.00767,10.219000000000001,0.25,25.0,0.07,0.07,0,773265
1773326059.2338672,5.0895,1.88698,9.5858,0.26,25.0,0.07,0.07,0,773267
1773326060.390574,5.0905000000000005,1.8743900000000002,9.540600000000001,0.27,25.0,0.06,0.06,0,773270
1773326061.4756444,5.1036,1.7425100000000002,8.886800000000001,0.29,25.0,0.06,0.06,0,773272
1773326062.5495663,5.086600000000001,1.76947,8.988900000000001,0.28,25.0,0.06,0.06,0,773275
1773326063.649216,5.0905000000000005,2.0029600000000003,10.195,0.25,25.0,0.06,0.06,0,773277
1773326064.722458,5.0998,1.9505900000000003,9.9285,0.26,25.0,0.07,0.07,0,773279
1773326065.7918558,5.1002,1.76713,9.0123,0.28,25.0,0.06,0.06,0,773285
1773326066.9480882,5.0947000000000005,1.6848,8.5756,0.3,25.0,0.07,0.06,0,773287
1773326068.0270598,5.0875,1.85301,9.4132,0.27,25.0,0.06,0.06,0,773290
