timestamp,voltage_V,current_A,power_W,resistance_ohm,temp_C,dp_V,dm_V,energy0_mWh,energy1_mWh
1772738962.0568333,5.1042000000000005,0.9012700000000001,4.5964,0.56,23.0,0.03,0.03,0,161919
1772738963.4260793,5.1045,0.7409100000000001,3.7786000000000004,0.68,23.0,0.03,0.03,0,161920
1772738964.813289,5.107200000000001,1.65677,8.4495,0.3,23.0,0.05,0.05,0,161924
1772738966.1640239,5.1044,1.6086,8.203800000000001,0.31,23.0,0.06,0.06,0,161926
1772738967.5328033,5.109100000000001,1.8866800000000001,9.622,0.27,23.0,0.05,0.05,0,161928
1772738968.8639152,5.1078,1.6024900000000002,8.172600000000001,0.31,23.0,0.06,0.06,0,161934
1772738970.214037,5.097700000000001,1.7544700000000002,8.930200000000001,0.29,23.0,0.05,0.05,0,161936
1772738971.5820575,5.0933,1.68344,8.5687,0.3,23.0,0.06,0.06,0,161938
1772738972.9320924,5.1123,1.5069000000000001,7.700200000000001,0.33,23.0,0.06,0.06,0,161943
1772738974.263622,5.1178,1.6343500000000002,8.3515,0.31,23.0,0.06,0.06,0,161945
1772738975.613686,5.1041,1.7383000000000002,8.865300000000001,0.29,23.0,0.05,0.06,0,161948
1772738976.9634197,5.1039,1.5193,7.7484,0.33,23.0,0.06,0.06,0,161953
1772738978.3337922,5.1042000000000005,1.55271,7.9188,0.32,23.0,0.05,0.06,0,161955
1772738979.663685,5.1028,1.77194,9.036800000000001,0.28,23.0,0.06,0.06,0,161960
1772738981.0141287,5.0967,1.57193,8.001100000000001,0.32,23.0,0.06,0.06,0,161963
1772738982.4011102,5.1117,1.5232500000000002,7.7838,0.33,23.0,0.06,0.06,0,161965
1772738983.7697349,5.1167,1.65229,8.443200000000001,0.3,23.0,0.05,0.05,0,161970
1772738985.101037,5.0958000000000006,1.68595,8.5814,0.3,23.0,0.06,0.06,0,161972
1772738986.4326866,5.0934,1.59895,8.1386,0.31,23.0,0.05,0.05,0,161974
1772738987.7824428,5.103400000000001,1.54689,7.8891,0.32,23.0,0.05,0.05,0,161978
1772738989.151431,5.1047,1.73286,8.8375,0.29,23.0,0.06,0.05,0,161980
1772738990.4824748,5.1059,1.68517,8.5943,0.3,23.0,0.06,0.06,0,161983
1772738991.814169,5.099200000000001,1.6667600000000002,8.4838,0.3,23.0,0.06,0.06,0,161988
1772738993.1672485,5.1045,1.6624200000000002,8.4783,0.3,23.0,0.05,0.05,0,161990
1772738994.4948215,5.1094,1.6126600000000002,8.2245,0.31,23.0,0.05,0.05,0,161992
1772738995.8461154,5.1141000000000005,1.8190000000000002,9.295,0.28,23.0,0.05,0.05,0,161996
1772738997.2135637,5.0964,1.7950500000000003,9.136800000000001,0.28,23.0,0.05,0.05,0,161999
1772738998.544946,5.1016,1.6127200000000002,8.2248,0.31,23.0,0.06,0.06,0,162001
1772738999.8970208,5.1075,1.6022100000000001,8.1712,0.31,23.0,0.05,0.05,0,162005
1772739001.263906,5.113300000000001,1.7515,8.9501,0.29,23.0,0.05,0.05,0,162008
1772739002.5951555,5.097,1.7069800000000002,8.688500000000001,0.29,23.0,0.06,0.06,0,162013
1772739003.9650528,5.1033,1.66422,8.4875,0.3,23.0,0.05,0.05,0,162016
1772739005.3138225,5.1117,1.8225000000000002,9.3129,0.28,23.0,0.06,0.06,0,162018
1772739006.6451797,5.1028,1.6605500000000002,8.4688,0.3,23.0,0.05,0.05,0,162023
1772739008.033066,5.1144,1.5915300000000001,8.1327,0.32,23.0,0.05,0.05,0,162025
1772739009.4017663,5.1141000000000005,1.9355200000000001,9.890500000000001,0.26,23.0,0.06,0.06,0,162028
1772739010.7334037,5.1023000000000005,1.8649900000000001,9.5114,0.27,23.0,0.06,0.06,0,162033
1772739012.0637527,5.0920000000000005,1.7548400000000002,8.9321,0.29,23.0,0.05,0.06,0,162035
1772739013.432743,5.1116,1.6347,8.3533,0.31,23.0,0.06,0.06,0,162038
1772739014.8014252,5.0948,1.7201100000000002,8.7553,0.29,23.0,0.05,0.05,0,162042
1772739016.1704483,5.0983,1.6732000000000002,8.5165,0.3,23.0,0.05,0.05,0,162045
1772739017.5200913,5.0956,1.5929000000000002,8.107800000000001,0.31,23.0,0.06,0.06,0,162049
1772739018.8513753,5.0905000000000005,1.73229,8.817300000000001,0.29,23.0,0.05,0.05,0,162052
