timestamp,voltage_V,current_A,power_W,resistance_ohm,temp_C,dp_V,dm_V,energy0_mWh,energy1_mWh
1772793312.4502625,5.105,0.83733,4.2703,0.6,20.0,0.02,0.02,0,226589
1772793313.8190713,5.105,0.69718,3.5556,0.73,20.0,0.03,0.03,0,226591
1772793315.187808,5.1048,0.74777,3.8136,0.68,20.0,0.03,0.03,0,226592
1772793316.5378304,5.1048,0.74958,3.8228,0.68,20.0,0.03,0.03,0,226594
1772793317.8690808,5.1046000000000005,0.7028800000000001,3.5846,0.72,20.0,0.03,0.03,0,226595
1772793319.2192266,5.1047,0.6998500000000001,3.5692000000000004,0.72,20.0,0.02,0.02,0,226596
1772793320.5878782,5.1045,0.6992400000000001,3.5661,0.73,20.0,0.02,0.03,0,226598
1772793321.937876,5.1044,0.7030500000000001,3.5855,0.72,20.0,0.02,0.03,0,226599
1772793323.2880046,5.1046000000000005,0.69579,3.5485,0.73,20.0,0.02,0.02,0,226600
1772793324.6379375,5.1043,0.7142700000000001,3.6427,0.71,20.0,0.03,0.03,0,226602
1772793326.0067647,5.1042000000000005,0.6982900000000001,3.5612000000000004,0.73,20.0,0.02,0.03,0,226603
1772793327.3567297,5.1044,0.69694,3.5543,0.73,20.0,0.02,0.02,0,226604
1772793328.7067173,5.1043,0.69747,3.5570000000000004,0.73,20.0,0.02,0.03,0,226606
1772793330.1130571,5.1041,0.69689,3.5541,0.73,20.0,0.03,0.03,0,226607
1772793331.481761,5.1045,0.69716,3.5555000000000003,0.73,20.0,0.02,0.02,0,226609
1772793332.869285,5.1044,0.6975600000000001,3.5575,0.73,20.0,0.02,0.02,0,226610
1772793334.2006695,5.1042000000000005,0.7140900000000001,3.6418000000000004,0.71,20.0,0.02,0.02,0,226611
1772793335.5506015,5.1042000000000005,0.69757,3.5576000000000003,0.73,20.0,0.03,0.03,0,226613
1772793336.900575,5.103800000000001,0.6939000000000001,3.5388,0.73,20.0,0.02,0.02,0,226614
1772793338.2319133,5.104,0.6995600000000001,3.5677000000000003,0.72,20.0,0.02,0.02,0,226615
1772793339.5819128,5.1042000000000005,0.69735,3.5564,0.73,20.0,0.02,0.02,0,226617
1773336309.3441272,5.1042000000000005,0.7679,3.9162000000000003,0.66,21.0,0.03,0.03,0,796965
1773336310.4171846,5.1042000000000005,0.7331200000000001,3.7389,0.6900000000000001,21.0,0.03,0.03,0,796967
1773336311.4912431,5.1043,0.70803,3.6109,0.72,21.0,0.03,0.03,0,796968
1773336312.563303,5.1043,0.7783700000000001,3.9696000000000002,0.65,21.0,0.03,0.03,0,796969
1773336313.6363082,5.1042000000000005,0.70662,3.6037000000000003,0.72,21.0,0.03,0.03,0,796970
1773336314.7065182,5.1039,0.71082,3.6251,0.71,21.0,0.03,0.03,0,796971
1773336315.7784817,5.1042000000000005,0.7060500000000001,3.6008,0.72,21.0,0.03,0.03,0,796973
1773336316.8485436,5.1019000000000005,0.75787,3.8651,0.67,21.0,0.03,0.03,0,796974
1773336317.9217794,5.1041,0.75931,3.8724000000000003,0.67,21.0,0.03,0.03,0,796975
1773336318.9926608,5.104,0.6997800000000001,3.5688,0.72,21.0,0.03,0.03,0,796976
1773336320.0657203,5.104,0.7694900000000001,3.9243,0.66,21.0,0.03,0.03,0,796977
1773336321.1377802,5.1039,0.7656700000000001,3.9049,0.66,21.0,0.03,0.03,0,796978
1773336322.207864,5.1039,0.7503900000000001,3.8269,0.68,21.0,0.03,0.03,0,796979
1773336323.278901,5.103800000000001,0.7267300000000001,3.7063,0.7000000000000001,21.0,0.03,0.03,0,796980
1773336324.3489578,5.1037,0.7131700000000001,3.6371,0.71,21.0,0.03,0.03,0,796982
1773336325.41803,5.103800000000001,0.7072700000000001,3.607,0.72,21.0,0.03,0.03,0,796983
1773336326.4871733,5.103800000000001,0.7077100000000001,3.6093,0.72,21.0,0.03,0.03,0,796984
1773336327.5591393,5.104,0.7086,3.6138000000000003,0.72,21.0,0.03,0.03,0,796985
1773336328.6331983,5.1039,0.70699,3.6056000000000004,0.72,21.0,0.03,0.03,0,796986
1773336329.7032568,5.104,0.70955,3.6187,0.71,21.0,0.03,0.03,0,796987
1773336330.775262,5.1042000000000005,0.71186,3.6304000000000003,0.71,21.0,0.03,0.03,0,796988
1773336331.8473763,5.1042000000000005,0.7105300000000001,3.6237000000000004,0.71,21.0,0.03,0.03,0,796989
1773336332.921436,5.1041,0.7149000000000001,3.6459,0.71,21.0,0.03,0.03,0,796990
1773336333.9926026,5.1041,0.70777,3.6096000000000004,0.72,21.0,0.03,0.03,0,796991
1773336335.0645552,5.1043,0.71003,3.6211,0.71,21.0,0.03,0.03,0,796992
1773336336.137614,5.1042000000000005,0.70879,3.6148000000000002,0.72,21.0,0.03,0.03,0,796994
1773336337.2126746,5.1037,0.7407100000000001,3.7776,0.68,21.0,0.03,0.03,0,796995
1773336338.2809298,5.1036,0.70847,3.6131,0.72,21.0,0.03,0.03,0,796997
1773395476.4855165,5.1058,0.8687800000000001,4.4307,0.58,19.0,0.04,0.04,0,861775
1773395477.559752,5.103400000000001,0.70818,3.6117000000000004,0.72,19.0,0.03,0.03,0,861776
1773395478.6326385,5.103800000000001,0.69432,3.5410000000000004,0.73,19.0,0.03,0.02,0,861778
1773395479.7037861,5.1033,0.70833,3.6124,0.72,19.0,0.03,0.03,0,861779
1773395480.7749453,5.1037,0.6888200000000001,3.5129,0.74,19.0,0.03,0.03,0,861780
1773395481.8468153,5.1036,0.6969000000000001,3.5541,0.73,19.0,0.03,0.03,0,861781
