timestamp,voltage_V,current_A,power_W,resistance_ohm,temp_C,dp_V,dm_V,energy0_mWh,energy1_mWh
1772464742.460456,5.096900000000001,0.8667,4.4115,0.58,22.0,0.03,0.03,0,42904
1772464743.810546,5.0983,1.0622200000000002,5.4066,0.47000000000000003,22.0,0.03,0.03,0,42906
1772464745.1793797,5.0891,1.0463200000000001,5.315300000000001,0.48,22.0,0.04,0.04,0,42908
1772464746.5481393,5.094600000000001,0.9735800000000001,4.9555,0.52,22.0,0.04,0.04,0,42911
1772464747.9168642,5.0937,1.05711,5.3806,0.48,22.0,0.04,0.04,0,42912
1772464749.2858481,5.0903,1.0126000000000002,5.154100000000001,0.5,22.0,0.04,0.04,0,42914
1772464750.6374233,5.095000000000001,1.0069400000000002,5.1253,0.5,22.0,0.04,0.04,0,42916
1772464751.9856863,5.0959,0.9572600000000001,4.8724,0.53,22.0,0.04,0.04,0,42918
1772464753.3171232,5.0989,0.9834700000000001,5.0058,0.51,22.0,0.04,0.04,0,42919
1772464754.6669977,5.0966000000000005,1.0066000000000002,5.1235,0.5,22.0,0.04,0.04,0,42922
1772464756.016983,5.0948,0.9691600000000001,4.933,0.52,22.0,0.04,0.04,0,42923
1772464757.3670154,5.0986,1.0016800000000001,5.0985000000000005,0.5,22.0,0.04,0.04,0,42925
1772464758.6983087,5.0941,0.9537000000000001,4.8543,0.53,22.0,0.04,0.04,0,42928
1772464760.0482795,5.0939000000000005,0.9932500000000001,5.0556,0.51,22.0,0.04,0.04,0,42929
1772464761.3983114,5.0944,0.9643400000000001,4.9084,0.52,22.0,0.04,0.04,0,42930
1772464762.749095,5.0967,0.9537200000000001,4.8544,0.53,22.0,0.04,0.04,0,42933
1772464764.079611,5.0941,0.9853000000000001,5.0151,0.51,22.0,0.04,0.04,0,42934
1772464765.4328418,5.0989,1.0059200000000001,5.1201,0.5,22.0,0.04,0.04,0,42936
1772464766.779624,5.097300000000001,0.94508,4.8104000000000005,0.53,22.0,0.04,0.04,0,42939
1772464768.1334364,5.0961,0.96501,4.9119,0.52,22.0,0.04,0.04,0,42940
1772464769.4993181,5.0920000000000005,0.95369,4.8542000000000005,0.53,22.0,0.04,0.04,0,42943
1772464770.8672,5.0963,0.9430600000000001,4.8001000000000005,0.54,22.0,0.04,0.04,0,42944
1772464772.2359233,5.0972,0.95642,4.8681,0.53,22.0,0.04,0.04,0,42946
1772464773.589447,5.0962000000000005,0.99172,5.0478000000000005,0.51,22.0,0.04,0.04,0,42949
1772464774.9359787,5.1002,0.9426100000000001,4.807300000000001,0.54,22.0,0.04,0.04,0,42950
1772464776.2672498,5.0902,1.00845,5.133,0.5,22.0,0.04,0.04,0,42952
1772464777.617277,5.0971,0.9572400000000001,4.8723,0.53,22.0,0.04,0.04,0,42954
1772464778.9672966,5.097700000000001,0.9951800000000001,5.0654,0.51,22.0,0.04,0.04,0,42956
1772464780.3173263,5.099200000000001,0.99333,5.056,0.51,22.0,0.04,0.04,0,42957
1772464781.6485894,5.0947000000000005,0.9780200000000001,4.9781,0.52,22.0,0.04,0.04,0,42960
1772464782.9985983,5.097700000000001,1.01028,5.1423000000000005,0.5,22.0,0.04,0.04,0,42961
1772464784.3485982,5.0966000000000005,1.0194100000000001,5.1887,0.49,22.0,0.04,0.04,0,42964
1772464785.7000866,5.0942,0.97123,4.9435,0.52,22.0,0.04,0.04,0,42966
1772464787.0298612,5.0958000000000006,1.03299,5.2579,0.49,22.0,0.04,0.04,0,42967
1772464788.3803592,5.0986,0.97723,4.9741,0.52,22.0,0.03,0.04,0,42970
1772464789.7298827,5.0955,1.06674,5.4297,0.47000000000000003,22.0,0.04,0.04,0,42971
1772464791.0799217,5.0986,0.9626100000000001,4.8996,0.52,22.0,0.04,0.04,0,42973
1772464792.4487035,5.0936,1.0138800000000001,5.1606000000000005,0.5,22.0,0.04,0.04,0,42976
1772464793.8174906,5.0959,0.9570700000000001,4.8714,0.53,22.0,0.04,0.04,0,42977
1772464795.1862495,5.0966000000000005,0.9735900000000001,4.9555,0.52,22.0,0.04,0.04,0,42978
