timestamp,voltage_V,current_A,power_W,resistance_ohm,temp_C,dp_V,dm_V,energy0_mWh,energy1_mWh
1772464903.5486877,5.0986,0.8671500000000001,4.4137,0.58,22.0,0.03,0.03,0,43121
1772464904.8800836,5.0979,0.8636900000000001,4.396100000000001,0.59,22.0,0.03,0.03,0,43122
1772464906.2300808,5.0963,1.17714,5.9916,0.43,22.0,0.04,0.04,0,43125
1772464907.5988934,5.0936,1.13294,5.7666,0.44,22.0,0.04,0.04,0,43126
1772464908.9488842,5.0898,1.15121,5.8481000000000005,0.44,22.0,0.04,0.04,0,43130
1772464910.301853,5.093100000000001,1.0850000000000002,5.522600000000001,0.46,22.0,0.04,0.04,0,43131
1772464911.66769,5.095000000000001,1.0999400000000001,5.5986,0.46,22.0,0.04,0.04,0,43133
1772464913.055375,5.0964,1.1448800000000001,5.8274,0.44,22.0,0.04,0.04,0,43136
1772464914.3868814,5.092700000000001,1.2259600000000002,6.2401,0.41000000000000003,22.0,0.04,0.04,0,43138
1772464915.7364714,5.094600000000001,1.10578,5.6284,0.46,22.0,0.04,0.04,0,43139
1772464917.0677595,5.095400000000001,1.1792900000000002,6.0025,0.43,22.0,0.04,0.04,0,43142
1772464918.4214108,5.0955,1.15137,5.8604,0.44,22.0,0.04,0.04,0,43144
1772464919.767773,5.0905000000000005,1.1461000000000001,5.833600000000001,0.44,22.0,0.04,0.05,0,43146
1772464921.117854,5.0987,1.1375600000000001,5.790100000000001,0.44,22.0,0.04,0.04,0,43149
1772464922.4490678,5.0948,1.12324,5.7172,0.45,22.0,0.04,0.04,0,43151
1772464923.7990112,5.0917,1.1413900000000001,5.8096000000000005,0.44,22.0,0.04,0.04,0,43152
