timestamp,voltage_V,current_A,power_W,resistance_ohm,temp_C,dp_V,dm_V,energy0_mWh,energy1_mWh
1772465061.1207411,5.0991,0.87072,4.431900000000001,0.58,22.0,0.03,0.03,0,43352
1772465062.4895463,5.093100000000001,1.10745,5.636900000000001,0.45,22.0,0.03,0.03,0,43355
1772465063.8395483,5.0941,1.09807,5.5891,0.46,22.0,0.04,0.04,0,43356
1772465065.2083778,5.105300000000001,0.9235500000000001,4.710100000000001,0.55,22.0,0.04,0.04,0,43358
1772465066.5614336,5.091200000000001,0.98484,5.0128,0.51,22.0,0.04,0.04,0,43360
1772465067.8896527,5.0961,0.9220300000000001,4.6931,0.55,22.0,0.03,0.03,0,43362
1772465069.2255251,5.0961,0.95152,4.8432,0.53,22.0,0.04,0.04,0,43363
1772465070.570927,5.098,0.9958100000000001,5.0686,0.51,22.0,0.03,0.04,0,43366
1772465071.9022398,5.1056,0.9236300000000001,4.710500000000001,0.55,22.0,0.04,0.04,0,43367
1772465073.252248,5.0936,0.9619200000000001,4.896100000000001,0.52,22.0,0.04,0.04,0,43368
1772465074.6022704,5.0987,0.9252100000000001,4.7093,0.55,22.0,0.03,0.03,0,43371
1772465075.952275,5.088900000000001,0.9512600000000001,4.8324,0.53,22.0,0.04,0.04,0,43373
1772465077.3211286,5.1028,0.8903800000000001,4.540900000000001,0.5700000000000001,22.0,0.04,0.04,0,43375
1772465078.689795,5.097300000000001,0.9642900000000001,4.9082,0.52,22.0,0.03,0.04,0,43376
1772465080.058562,5.0937,0.96296,4.901400000000001,0.52,22.0,0.04,0.04,0,43378
1772465081.4086714,5.0998,0.9315700000000001,4.7416,0.54,22.0,0.04,0.04,0,43380
1772465082.7585595,5.0959,0.9132500000000001,4.6484000000000005,0.55,22.0,0.03,0.04,0,43382
1772465084.0901368,5.099200000000001,0.9529000000000001,4.8502,0.53,22.0,0.04,0.04,0,43383
1772465085.4399586,5.105,0.90566,4.6188,0.56,22.0,0.04,0.04,0,43386
1772465086.7898898,5.0917,0.98033,4.989800000000001,0.51,22.0,0.03,0.03,0,43387
1772465088.1399975,5.101100000000001,0.9517500000000001,4.8539,0.53,22.0,0.04,0.04,0,43388
1772465089.4711769,5.1016,0.9779200000000001,4.9873,0.52,22.0,0.03,0.04,0,43391
1772465090.8211884,5.095000000000001,0.9738500000000001,4.9568,0.52,22.0,0.03,0.03,0,43392
1772465092.1711748,5.0991,0.9192400000000001,4.6789000000000005,0.55,22.0,0.04,0.04,0,43394
1772465093.521259,5.096900000000001,0.91241,4.6441,0.55,22.0,0.04,0.04,0,43396
1772465094.8525782,5.0955,0.9418300000000001,4.7939,0.54,22.0,0.03,0.03,0,43398
1772465096.2024686,5.093100000000001,0.9241,4.703600000000001,0.55,22.0,0.04,0.04,0,43399
1772465097.5525205,5.1014,0.9493600000000001,4.8417,0.53,22.0,0.03,0.03,0,43401
1772465098.9025106,5.1069,0.8827400000000001,4.5019,0.5700000000000001,22.0,0.04,0.04,0,43403
1772465100.2337742,5.0939000000000005,0.8930000000000001,4.5453,0.5700000000000001,22.0,0.03,0.03,0,43405
1772465101.5837553,5.0966000000000005,0.9787800000000001,4.9819,0.52,22.0,0.04,0.04,0,43407
1772465102.9338455,5.1012,0.8814500000000001,4.4953,0.5700000000000001,22.0,0.04,0.04,0,43408
1772465104.283931,5.0898,0.96218,4.8878,0.52,22.0,0.04,0.04,0,43411
1772465105.6525764,5.0937,0.9929100000000001,5.0539000000000005,0.51,22.0,0.03,0.03,0,43412
1772465107.021408,5.1066,0.9675,4.934200000000001,0.52,22.0,0.04,0.04,0,43413
1772465108.3901286,5.0959,0.93764,4.7725,0.54,22.0,0.04,0.04,0,43416
1772465109.7401836,5.1012,0.9008800000000001,4.5944,0.56,22.0,0.04,0.04,0,43418
1772465111.09018,5.0959,0.9901500000000001,5.0398000000000005,0.51,22.0,0.04,0.03,0,43419
1772465112.4214766,5.102,0.9434600000000001,4.8116,0.54,22.0,0.04,0.04,0,43422
1772465113.7714443,5.0986,0.94152,4.7923,0.54,22.0,0.04,0.04,0,43423
1772465115.1402247,5.1008000000000004,0.9075400000000001,4.6284,0.56,22.0,0.04,0.04,0,43424
1772465116.4902773,5.0909,0.93905,4.7797,0.54,22.0,0.03,0.03,0,43427
1772465117.8402495,5.1008000000000004,0.9344300000000001,4.7655,0.54,22.0,0.03,0.04,0,43428
1772465119.1716506,5.0967,0.9589400000000001,4.881,0.53,22.0,0.04,0.04,0,43431
1772465120.5027916,5.1077,0.9282400000000001,4.734,0.55,22.0,0.03,0.04,0,43432
1772465121.8530915,5.092700000000001,0.98177,4.9972,0.51,22.0,0.04,0.04,0,43434
1772465123.1840873,5.102,0.9039300000000001,4.61,0.56,22.0,0.04,0.04,0,43436
1772465124.5341196,5.0906,0.93808,4.7748,0.54,22.0,0.04,0.04,0,43438
1772465125.9029272,5.103400000000001,0.8756,4.4655000000000005,0.58,22.0,0.04,0.04,0,43439
1772465127.2528584,5.0939000000000005,0.927,4.7184,0.54,22.0,0.03,0.03,0,43442
1772465128.6044102,5.0955,0.8834900000000001,4.4969,0.5700000000000001,22.0,0.04,0.04,0,43443
1772465129.9717774,5.0942,0.9203500000000001,4.6845,0.55,22.0,0.04,0.04,0,43444
1772465131.3404326,5.0995,0.9338900000000001,4.7535,0.54,22.0,0.04,0.04,0,43447
1772465132.7091715,5.0928,1.00533,5.117100000000001,0.5,22.0,0.03,0.03,0,43448
1772465134.0591974,5.1047,0.8172800000000001,4.1681,0.62,22.0,0.03,0.03,0,43450
1772465135.4092627,5.0962000000000005,0.9950000000000001,5.064500000000001,0.51,22.0,0.04,0.04,0,43452
1772465136.7405202,5.0948,1.0263300000000002,5.224,0.49,22.0,0.04,0.04,0,43453
1772465138.090534,5.0949,0.9664,4.9189,0.52,22.0,0.03,0.03,0,43456
1772465139.4414527,5.097,0.9709300000000001,4.942,0.52,22.0,0.04,0.04,0,43457
1772465140.8093123,5.095000000000001,0.9655800000000001,4.9148000000000005,0.52,22.0,0.03,0.03,0,43459
1772465142.1593196,5.0989,0.9545800000000001,4.8588000000000005,0.53,22.0,0.04,0.04,0,43461
1772465143.4905682,5.0958000000000006,0.90578,4.6104,0.56,22.0,0.03,0.04,0,43463
1772465144.82177,5.0922,0.95469,4.8593,0.53,22.0,0.03,0.04,0,43464
