stem,imgsz,fps,mota,idf1,model,mean_W,ci95_W,std_W,median_W,iqr_W,peak_W,delta_W,n_runs,fps_per_W
yolo26l,576,1.8,0.407,0.518,,,,,,,,,,
yolo26l,640,1.5,0.407,0.541,,,,,,,,,,
yolo26m,576,2.4,0.429,0.516,yolo26m.pt,8.8259,0.0412,0.0332,8.821,0.0401,10.4916,5.425,5.0,0.27
yolo26m,640,2.0,0.422,0.518,yolo26m.pt,8.8061,0.1056,0.085,8.8139,0.0975,10.5192,5.4052,5.0,0.23
yolo26n,576,9.2,0.359,0.448,yolo26n.pt,7.0832,0.1262,0.1017,7.1112,0.1013,8.7817,3.6823,5.0,1.3
yolo26n,640,7.5,0.368,0.453,yolo26n.pt,6.9296,0.3554,0.2862,7.0714,0.1414,8.5267,3.5287,5.0,1.08
yolo26s,576,5.1,0.395,0.508,yolo26s.pt,7.9028,0.0278,0.0224,7.8982,0.038,9.1482,4.5019,5.0,0.65
yolo26s,640,4.3,0.408,0.512,yolo26s.pt,7.8814,0.0602,0.0485,7.8795,0.0248,9.3311,4.4805,5.0,0.55
yolo26x,576,0.9,0.429,0.534,,,,,,,,,,
yolo26x,640,0.8,0.421,0.531,,,,,,,,,,
