model,imgsz,fps,mota,idf1,mean_W,ci95_W,std_W,median_W,iqr_W,peak_W,delta_W,n_runs,fps_per_W
yolo26l.pt,320,0.5,0.405,0.464,,,,,,,,,
yolo26l.pt,384,0.5,0.403,0.474,,,,,,,,,
yolo26l.pt,512,0.3,0.403,0.499,,,,,,,,,
yolo26l.pt,576,0.2,0.407,0.517,4.9831,0.0198,0.0159,4.987,0.0115,5.306,2.0852,5.0,0.04
yolo26l.pt,640,0.2,0.407,0.54,4.8653,0.02,0.0161,4.8688,0.0037,5.4379,1.9674,5.0,0.04
yolo26m.pt,320,0.7,0.384,0.441,,,,,,,,,
yolo26m.pt,384,0.7,0.391,0.461,,,,,,,,,
yolo26m.pt,512,0.4,0.422,0.508,,,,,,,,,
yolo26m.pt,576,0.3,0.428,0.516,4.9984,0.0136,0.0109,4.9989,0.0155,5.3831,2.1005,5.0,0.06
yolo26m.pt,640,0.2,0.422,0.518,4.891,0.0145,0.0117,4.8882,0.0168,5.3243,1.9931,5.0,0.04
yolo26n.pt,320,4.3,0.294,0.344,,,,,,,,,
yolo26n.pt,384,3.5,0.305,0.354,,,,,,,,,
yolo26n.pt,512,2.2,0.343,0.402,,,,,,,,,
yolo26n.pt,576,1.8,0.359,0.448,4.8732,0.0118,0.0095,4.8771,0.0113,5.2502,1.9753,5.0,0.37
yolo26n.pt,640,1.3,0.369,0.453,4.7643,0.011,0.0088,4.7668,0.0071,5.1566,1.8664,5.0,0.27
yolo26s.pt,320,1.8,0.376,0.411,,,,,,,,,
yolo26s.pt,384,1.5,0.39,0.427,,,,,,,,,
yolo26s.pt,512,1.0,0.391,0.464,,,,,,,,,
yolo26s.pt,576,0.7,0.395,0.508,5.0041,0.0188,0.0151,5.0104,0.0189,5.3079,2.1062,5.0,0.14
yolo26s.pt,640,0.6,0.408,0.512,4.9042,0.0267,0.0215,4.8969,0.0287,5.3163,2.0063,5.0,0.12
yolo26x.pt,320,0.3,0.405,0.462,,,,,,,,,
yolo26x.pt,384,0.4,0.391,0.483,,,,,,,,,
yolo26x.pt,512,0.2,0.417,0.502,,,,,,,,,
yolo26x.pt,576,0.1,0.428,0.534,4.9487,0.024,0.0193,4.9505,0.0305,5.3607,2.0508,5.0,0.02
yolo26x.pt,640,0.1,0.422,0.532,4.7964,0.0234,0.0188,4.7929,0.0123,5.2956,1.8985,5.0,0.02
