model,imgsz,fps,mota,idf1,mean_W,std_W,peak_W,delta_W,n_samples,fps_per_W
yolo26l.hef,640,13.6,0.482,0.56,5.02,0.161,5.43,1.395,32,2.71
yolo26l_576.hef,576,15.3,0.434,0.502,5.048,0.199,5.475,1.423,27,3.03
yolo26m.hef,640,19.1,0.446,0.494,5.586,0.283,6.002,1.961,22,3.42
yolo26m_576.hef,576,21.2,0.452,0.519,5.675,0.345,6.188,2.05,20,3.74
yolo26n.hef,640,50.9,0.318,0.392,5.646,0.225,5.983,2.021,9,9.02
yolo26n_576.hef,576,58.6,0.303,0.352,5.816,0.235,6.24,2.191,8,10.08
yolo26s.hef,640,33.4,0.439,0.471,5.695,0.123,5.852,2.07,13,5.86
yolo26s_576.hef,576,35.3,0.426,0.503,5.67,0.279,6.381,2.045,12,6.23
yolo26x.hef,640,6.7,0.477,0.567,4.799,0.2,5.519,1.174,62,1.4
yolo26x_576.hef,576,7.6,0.455,0.516,4.792,0.195,5.224,1.167,55,1.59
