model,imgsz,seq,fps,e2e_median_ms,e2e_p95_ms,infer_median_ms,peak_mem_mb,mean_det,mota,idf1,num_switches,idsw_per_gt_track,mostly_tracked_ratio,frag_ratio
yolo26n_640_ncnn_model,640,MOT17-09,2.5,404.8,467.87,404.8,320.7,8.9,0.496,0.595,57,2.192,0.692,0.0
yolo26n_640_ncnn_model,640,MOT17-02,2.5,402.79,456.87,402.79,321.5,8.2,0.333,0.499,40,0.755,0.226,0.075
yolo26n_640_ncnn_model,640,MOT17-04,2.5,399.06,462.63,399.06,321.5,12.9,0.287,0.379,67,0.848,0.101,0.076
yolo26n_576_ncnn_model,576,MOT17-09,3.2,307.77,359.72,307.77,321.6,8.2,0.565,0.571,54,2.077,0.692,0.0
yolo26n_576_ncnn_model,576,MOT17-02,3.3,303.52,354.24,303.52,321.5,7.9,0.302,0.449,40,0.755,0.208,0.038
yolo26n_576_ncnn_model,576,MOT17-04,3.3,304.39,350.27,304.39,321.6,11.6,0.254,0.34,53,0.671,0.101,0.076
yolo26s_640_ncnn_model,640,MOT17-09,1.0,993.24,1052.35,993.24,321.6,9.4,0.525,0.602,36,1.385,0.769,0.0
yolo26s_640_ncnn_model,640,MOT17-02,1.0,1010.79,1233.19,1010.79,321.5,10.9,0.348,0.504,41,0.774,0.302,0.057
yolo26s_640_ncnn_model,640,MOT17-04,1.0,1022.28,1123.09,1022.28,321.6,15.4,0.344,0.428,69,0.873,0.139,0.038
yolo26s_576_ncnn_model,576,MOT17-09,1.3,792.67,875.52,792.67,321.6,9.4,0.509,0.6,50,1.923,0.846,0.0
yolo26s_576_ncnn_model,576,MOT17-02,1.2,807.25,880.18,807.25,321.6,9.6,0.353,0.497,48,0.906,0.283,0.132
yolo26s_576_ncnn_model,576,MOT17-04,1.3,799.61,873.03,799.61,321.5,13.9,0.302,0.4,61,0.772,0.127,0.089
yolo26m_640_ncnn_model,640,MOT17-09,0.3,3136.32,3245.66,3136.32,321.6,9.4,0.528,0.584,26,1.0,0.808,0.038
yolo26m_640_ncnn_model,640,MOT17-02,0.3,3117.48,3370.01,3117.48,321.5,11.4,0.383,0.544,71,1.34,0.283,0.189
yolo26m_640_ncnn_model,640,MOT17-04,0.3,3108.46,3320.75,3108.46,321.6,15.6,0.356,0.488,47,0.595,0.139,0.076
yolo26m_576_ncnn_model,576,MOT17-09,0.4,2452.39,2522.22,2452.39,321.6,9.2,0.548,0.605,32,1.231,0.808,0.0
yolo26m_576_ncnn_model,576,MOT17-02,0.4,2407.18,2474.68,2407.18,321.5,10.5,0.42,0.562,35,0.66,0.264,0.0
yolo26m_576_ncnn_model,576,MOT17-04,0.4,2386.2,2505.73,2386.2,321.5,14.1,0.313,0.419,46,0.582,0.127,0.013
