model,imgsz,seq,fps,median_ms,p95_ms,peak_mem_mb,mean_det,mota,idf1,num_switches,idsw_per_gt_track,mostly_tracked_ratio,frag_ratio
yolo26n.pt,640,MOT17-09,217.0,4.61,5.18,848.0,8.2,0.548,0.572,47,1.808,0.615,0.115
yolo26n.pt,640,MOT17-02,225.0,4.45,4.96,847.9,7.8,0.305,0.429,45,0.849,0.208,0.075
yolo26n.pt,640,MOT17-04,214.6,4.66,5.15,847.7,11.4,0.252,0.359,56,0.709,0.089,0.139
yolo26n.pt,576,MOT17-09,229.4,4.36,4.87,847.9,7.4,0.581,0.609,50,1.923,0.615,0.077
yolo26n.pt,576,MOT17-02,228.0,4.39,4.92,848.0,7.4,0.283,0.435,31,0.585,0.189,0.075
yolo26n.pt,576,MOT17-04,218.8,4.57,5.37,847.8,10.1,0.212,0.299,68,0.861,0.076,0.089
yolo26n.pt,512,MOT17-09,240.9,4.15,4.59,847.8,6.8,0.598,0.568,52,2.0,0.615,0.038
yolo26n.pt,512,MOT17-02,238.9,4.19,4.72,848.1,6.3,0.258,0.38,37,0.698,0.151,0.132
yolo26n.pt,512,MOT17-04,238.1,4.2,4.71,847.9,8.2,0.174,0.259,38,0.481,0.063,0.101
yolo26n.pt,448,MOT17-09,244.2,4.1,4.55,847.9,6.2,0.598,0.603,70,2.692,0.5,0.231
yolo26n.pt,448,MOT17-02,242.7,4.12,4.53,847.8,5.5,0.243,0.303,41,0.774,0.151,0.132
yolo26n.pt,448,MOT17-04,247.8,4.04,4.58,847.8,6.9,0.136,0.23,38,0.481,0.025,0.114
yolo26n.pt,384,MOT17-09,243.9,4.1,4.75,847.9,5.5,0.576,0.581,68,2.615,0.385,0.269
yolo26n.pt,384,MOT17-02,244.7,4.09,4.65,848.0,5.1,0.222,0.306,52,0.981,0.17,0.019
yolo26n.pt,384,MOT17-04,255.8,3.91,4.32,847.9,6.1,0.119,0.175,35,0.443,0.025,0.089
yolo26n.pt,320,MOT17-09,249.8,4.0,4.53,847.8,5.2,0.552,0.582,68,2.615,0.346,0.231
yolo26n.pt,320,MOT17-02,264.4,3.78,4.19,847.8,4.5,0.228,0.285,47,0.887,0.132,0.019
yolo26n.pt,320,MOT17-04,255.2,3.92,4.36,847.7,4.6,0.102,0.152,19,0.241,0.013,0.051
yolo26s.pt,640,MOT17-09,221.8,4.51,4.95,871.7,8.9,0.567,0.566,37,1.423,0.808,0.0
yolo26s.pt,640,MOT17-02,210.0,4.76,5.21,871.3,10.3,0.336,0.529,40,0.755,0.283,0.17
yolo26s.pt,640,MOT17-04,201.5,4.96,5.65,871.5,14.4,0.321,0.441,46,0.582,0.127,0.101
yolo26s.pt,576,MOT17-09,227.1,4.4,4.91,871.3,8.8,0.548,0.634,35,1.346,0.769,0.038
yolo26s.pt,576,MOT17-02,229.6,4.35,4.87,871.6,8.7,0.357,0.508,40,0.755,0.264,0.208
yolo26s.pt,576,MOT17-04,216.9,4.61,5.23,871.3,13.2,0.281,0.383,59,0.747,0.101,0.177
yolo26s.pt,512,MOT17-09,234.0,4.27,4.77,871.2,8.2,0.605,0.607,51,1.962,0.769,0.038
yolo26s.pt,512,MOT17-02,223.8,4.47,5.01,871.4,7.9,0.327,0.441,40,0.755,0.245,0.132
yolo26s.pt,512,MOT17-04,220.5,4.54,5.01,871.5,11.6,0.241,0.344,69,0.873,0.101,0.114
yolo26s.pt,448,MOT17-09,236.9,4.22,4.9,871.8,8.0,0.589,0.532,57,2.192,0.692,0.038
yolo26s.pt,448,MOT17-02,232.9,4.29,4.86,871.2,7.6,0.309,0.467,33,0.623,0.226,0.113
yolo26s.pt,448,MOT17-04,229.5,4.36,4.81,871.5,12.0,0.247,0.38,46,0.582,0.101,0.101
yolo26s.pt,384,MOT17-09,237.0,4.22,4.6,871.3,7.3,0.653,0.56,73,2.808,0.692,0.115
yolo26s.pt,384,MOT17-02,247.5,4.04,4.53,871.1,6.3,0.283,0.377,38,0.717,0.189,0.132
yolo26s.pt,384,MOT17-04,234.5,4.26,4.67,871.2,11.2,0.233,0.342,54,0.684,0.063,0.139
yolo26s.pt,320,MOT17-09,243.4,4.11,4.58,871.5,6.7,0.651,0.594,61,2.346,0.615,0.038
yolo26s.pt,320,MOT17-02,251.9,3.97,4.49,871.4,5.4,0.262,0.315,42,0.792,0.17,0.057
yolo26s.pt,320,MOT17-04,236.1,4.23,4.73,871.6,9.9,0.217,0.325,45,0.57,0.076,0.101
yolo26m.pt,640,MOT17-09,156.8,6.38,6.66,896.4,9.0,0.563,0.586,26,1.0,0.808,0.077
yolo26m.pt,640,MOT17-02,154.2,6.48,6.78,896.6,10.2,0.411,0.542,41,0.774,0.264,0.132
yolo26m.pt,640,MOT17-04,152.7,6.55,6.83,896.5,13.1,0.294,0.425,42,0.532,0.114,0.089
yolo26m.pt,576,MOT17-09,168.1,5.95,6.21,896.4,8.6,0.599,0.62,22,0.846,0.769,0.0
yolo26m.pt,576,MOT17-02,166.6,6.0,6.22,896.8,9.8,0.417,0.535,37,0.698,0.264,0.113
yolo26m.pt,576,MOT17-04,164.6,6.08,6.34,896.5,12.3,0.269,0.39,45,0.57,0.101,0.063
