model,imgsz,seq,fps,e2e_median_ms,e2e_p95_ms,infer_median_ms,peak_mem_mb,mean_det,mota,idf1,num_switches,idsw_per_gt_track,mostly_tracked_ratio,frag_ratio
yolo26n.pt,640,MOT17-09,7.5,132.67,135.65,132.67,1708.7,8.2,0.55,0.572,46,1.769,0.615,0.115
yolo26n.pt,640,MOT17-02,7.5,132.55,135.76,132.55,1703.0,7.8,0.304,0.429,45,0.849,0.208,0.075
yolo26n.pt,640,MOT17-04,7.4,134.42,137.25,134.42,1713.6,11.4,0.251,0.358,56,0.709,0.089,0.139
yolo26n.pt,576,MOT17-09,9.2,109.06,111.93,109.06,1705.1,7.4,0.581,0.609,49,1.885,0.615,0.077
yolo26n.pt,576,MOT17-02,9.2,109.11,112.61,109.11,1708.6,7.4,0.283,0.436,31,0.585,0.189,0.075
yolo26n.pt,576,MOT17-04,9.1,110.45,113.73,110.45,1703.5,10.1,0.212,0.299,67,0.848,0.076,0.089
yolo26s.pt,640,MOT17-09,4.4,229.55,232.18,229.55,1736.5,8.9,0.566,0.566,39,1.5,0.808,0.0
yolo26s.pt,640,MOT17-02,4.3,230.92,233.82,230.92,1727.1,10.3,0.336,0.529,40,0.755,0.283,0.17
yolo26s.pt,640,MOT17-04,4.3,233.8,236.46,233.8,1728.2,14.4,0.321,0.441,46,0.582,0.127,0.101
yolo26s.pt,576,MOT17-09,5.1,196.48,199.55,196.48,1722.6,8.8,0.549,0.635,34,1.308,0.769,0.038
yolo26s.pt,576,MOT17-02,5.1,196.73,199.84,196.73,1724.2,8.7,0.356,0.505,41,0.774,0.264,0.208
yolo26s.pt,576,MOT17-04,5.0,198.79,201.85,198.79,1718.6,13.2,0.281,0.383,59,0.747,0.101,0.177
yolo26m.pt,640,MOT17-09,2.0,493.15,496.35,493.15,1745.5,9.0,0.562,0.587,26,1.0,0.769,0.077
yolo26m.pt,640,MOT17-02,2.0,493.72,497.04,493.72,1748.8,10.2,0.411,0.541,41,0.774,0.264,0.132
yolo26m.pt,640,MOT17-04,2.0,495.74,499.02,495.74,1745.6,13.1,0.294,0.425,42,0.532,0.114,0.089
yolo26m.pt,576,MOT17-09,2.4,417.65,420.55,417.65,1742.0,8.6,0.6,0.62,22,0.846,0.769,0.0
yolo26m.pt,576,MOT17-02,2.4,418.8,421.53,418.8,1742.4,9.9,0.417,0.538,36,0.679,0.264,0.113
yolo26m.pt,576,MOT17-04,2.4,420.19,423.06,420.19,1741.7,12.3,0.269,0.39,45,0.57,0.101,0.063
yolo26l.pt,640,MOT17-09,1.5,666.13,669.02,666.13,1776.4,9.3,0.516,0.631,28,1.077,0.769,0.077
yolo26l.pt,640,MOT17-02,1.5,666.01,669.35,666.01,1773.3,10.5,0.424,0.557,45,0.849,0.264,0.094
yolo26l.pt,640,MOT17-04,1.5,668.71,672.06,668.71,1762.9,14.7,0.281,0.434,45,0.57,0.101,0.076
yolo26l.pt,576,MOT17-09,1.8,564.52,567.8,564.52,1761.9,8.9,0.572,0.634,27,1.038,0.769,0.038
yolo26l.pt,576,MOT17-02,1.8,564.49,567.62,564.49,1763.8,9.9,0.376,0.53,48,0.906,0.264,0.132
yolo26l.pt,576,MOT17-04,1.8,566.48,569.73,566.48,1759.6,13.2,0.274,0.389,57,0.722,0.101,0.089
yolo26x.pt,640,MOT17-09,0.8,1204.93,1207.91,1204.93,1861.0,8.9,0.586,0.642,30,1.154,0.769,0.038
yolo26x.pt,640,MOT17-02,0.8,1207.65,1210.28,1207.65,1866.0,11.9,0.395,0.523,49,0.925,0.283,0.075
yolo26x.pt,640,MOT17-04,0.8,1206.71,1209.85,1206.71,1869.7,12.8,0.283,0.427,32,0.405,0.101,0.038
yolo26x.pt,576,MOT17-09,1.0,1023.74,1026.95,1023.74,1862.8,8.5,0.63,0.636,32,1.231,0.769,0.0
yolo26x.pt,576,MOT17-02,1.0,1034.34,1447.79,1034.34,1856.0,10.6,0.399,0.568,43,0.811,0.264,0.094
yolo26x.pt,576,MOT17-04,0.7,1438.58,1680.69,1438.58,1658.7,11.6,0.257,0.398,32,0.405,0.089,0.063
