model,imgsz,seq,fps,e2e_median_ms,e2e_p95_ms,infer_median_ms,peak_mem_mb,mean_det,mota,idf1,num_switches,idsw_per_gt_track,mostly_tracked_ratio,frag_ratio
yolo26n_hq.engine,640,MOT17-09,10.0,100.48,105.28,90.4,1166.9,5.9,0.704,0.622,39,1.5,0.462,0.077
yolo26n_hq.engine,640,MOT17-02,9.8,101.88,106.68,90.52,1163.0,7.5,0.232,0.413,19,0.358,0.132,0.019
yolo26n_hq.engine,640,MOT17-04,9.8,102.04,107.83,90.19,1163.1,9.4,0.199,0.281,42,0.532,0.063,0.076
yolo26s_hq.engine,640,MOT17-09,5.1,194.51,199.72,183.49,1163.6,7.5,0.708,0.664,32,1.231,0.808,0.038
yolo26s_hq.engine,640,MOT17-02,5.1,196.03,201.71,183.51,1161.7,9.5,0.326,0.511,26,0.491,0.264,0.038
yolo26s_hq.engine,640,MOT17-04,5.0,199.35,204.6,182.96,1164.3,16.2,0.363,0.491,45,0.57,0.139,0.051
yolo26m_hq.engine,640,MOT17-09,2.2,446.96,450.16,435.75,1155.8,7.7,0.729,0.662,26,1.0,0.808,0.0
yolo26m_hq.engine,640,MOT17-02,2.2,449.17,453.55,436.36,1154.3,9.5,0.433,0.561,31,0.585,0.264,0.038
yolo26m_hq.engine,640,MOT17-04,2.2,454.56,458.99,436.34,1164.4,18.6,0.384,0.53,41,0.519,0.152,0.038
yolo26n_576_hq.engine,576,MOT17-09,11.6,85.86,90.4,76.41,1157.3,5.7,0.696,0.654,39,1.5,0.5,0.115
yolo26n_576_hq.engine,576,MOT17-02,11.5,86.79,90.92,76.27,1160.8,6.8,0.221,0.405,16,0.302,0.113,0.038
yolo26n_576_hq.engine,576,MOT17-04,11.5,87.01,91.84,76.19,1158.1,8.0,0.171,0.232,37,0.468,0.038,0.025
yolo26s_576_hq.engine,576,MOT17-09,6.1,164.03,168.82,153.61,1163.3,7.0,0.701,0.677,42,1.615,0.731,0.0
yolo26s_576_hq.engine,576,MOT17-02,6.1,164.91,169.22,153.18,1157.1,8.5,0.306,0.499,29,0.547,0.226,0.113
yolo26s_576_hq.engine,576,MOT17-04,5.9,168.15,173.14,153.44,1158.7,14.1,0.318,0.417,50,0.633,0.114,0.025
yolo26m_576_hq.engine,576,MOT17-09,2.7,374.13,377.69,363.14,1163.7,7.6,0.718,0.678,24,0.923,0.769,0.0
yolo26m_576_hq.engine,576,MOT17-02,2.7,375.55,379.92,362.97,1158.3,9.3,0.427,0.529,46,0.868,0.264,0.057
yolo26m_576_hq.engine,576,MOT17-04,2.6,378.59,381.55,363.0,1162.5,15.0,0.326,0.47,28,0.354,0.139,0.038
