model,imgsz,seq,fps,e2e_median_ms,e2e_p95_ms,infer_median_ms,peak_mem_mb,mean_det,mota,idf1,num_switches,idsw_per_gt_track,mostly_tracked_ratio,frag_ratio
yolo26n_640_ncnn_model,640,MOT17-09,2.1,473.74,511.21,473.74,302.7,8.9,0.496,0.595,57,2.192,0.692,0.0
yolo26n_640_ncnn_model,640,MOT17-02,2.1,473.32,510.27,473.32,302.8,8.2,0.333,0.499,40,0.755,0.226,0.075
yolo26n_640_ncnn_model,640,MOT17-04,2.1,476.24,512.19,476.24,302.8,12.9,0.287,0.379,67,0.848,0.101,0.076
yolo26n_576_ncnn_model,576,MOT17-09,2.5,406.58,441.29,406.58,302.8,8.2,0.565,0.571,54,2.077,0.692,0.0
yolo26n_576_ncnn_model,576,MOT17-02,2.5,402.16,419.01,402.16,302.8,7.9,0.302,0.449,40,0.755,0.208,0.038
yolo26n_576_ncnn_model,576,MOT17-04,2.5,404.47,424.27,404.47,302.8,11.6,0.254,0.34,53,0.671,0.101,0.076
yolo26s_640_ncnn_model,640,MOT17-09,0.9,1067.87,1111.44,1067.87,302.8,9.4,0.525,0.602,36,1.385,0.769,0.0
yolo26s_640_ncnn_model,640,MOT17-02,0.9,1077.27,1108.01,1077.27,302.8,10.9,0.348,0.504,41,0.774,0.302,0.057
yolo26s_640_ncnn_model,640,MOT17-04,0.9,1064.55,1094.78,1064.55,303.2,15.4,0.344,0.428,69,0.873,0.139,0.038
yolo26s_576_ncnn_model,576,MOT17-09,1.1,873.82,893.55,873.82,303.2,9.4,0.509,0.6,50,1.923,0.846,0.0
yolo26s_576_ncnn_model,576,MOT17-02,1.2,867.02,892.66,867.02,303.2,9.6,0.353,0.497,48,0.906,0.283,0.132
yolo26s_576_ncnn_model,576,MOT17-04,1.1,872.25,891.95,872.25,303.2,13.9,0.302,0.4,61,0.772,0.127,0.089
yolo26m_640_ncnn_model,640,MOT17-09,0.2,4095.9,4308.89,4095.9,303.2,9.4,0.528,0.584,26,1.0,0.808,0.038
yolo26m_640_ncnn_model,640,MOT17-02,0.2,4098.61,4244.17,4098.61,303.2,11.4,0.383,0.544,71,1.34,0.283,0.189
yolo26m_640_ncnn_model,640,MOT17-04,0.2,4014.32,4183.55,4014.32,303.2,15.6,0.356,0.488,47,0.595,0.139,0.076
yolo26m_576_ncnn_model,576,MOT17-09,0.3,3214.77,3356.41,3214.77,303.2,9.2,0.548,0.605,32,1.231,0.808,0.0
yolo26m_576_ncnn_model,576,MOT17-02,0.3,3228.82,3375.3,3228.82,303.2,10.5,0.42,0.562,35,0.66,0.264,0.0
yolo26m_576_ncnn_model,576,MOT17-04,0.3,3263.88,3392.12,3263.88,303.2,14.1,0.313,0.419,46,0.582,0.127,0.013
