model,imgsz,seq,fps,e2e_median_ms,e2e_p95_ms,infer_median_ms,peak_mem_mb,mean_det,mota,idf1,num_switches,idsw_per_gt_track,mostly_tracked_ratio,frag_ratio
yolo26n_640_ncnn_model,640,MOT17-09,13.1,76.52,87.91,76.52,420.5,8.9,0.493,0.551,67,2.577,0.692,0.0
yolo26n_640_ncnn_model,640,MOT17-02,13.1,76.32,82.03,76.32,420.8,8.3,0.337,0.468,48,0.906,0.226,0.132
yolo26n_640_ncnn_model,640,MOT17-04,13.0,76.68,85.99,76.68,420.8,13.0,0.288,0.377,64,0.81,0.101,0.089
yolo26n_576_ncnn_model,576,MOT17-09,16.7,59.8,67.62,59.8,420.7,8.2,0.553,0.589,56,2.154,0.692,0.038
yolo26n_576_ncnn_model,576,MOT17-02,16.6,60.09,68.24,60.09,420.8,7.9,0.303,0.45,41,0.774,0.208,0.038
yolo26n_576_ncnn_model,576,MOT17-04,16.7,59.98,63.91,59.98,420.8,11.6,0.254,0.342,59,0.747,0.101,0.076
yolo26s_640_ncnn_model,640,MOT17-09,5.7,176.05,193.1,176.05,420.8,9.4,0.524,0.605,37,1.423,0.769,0.0
yolo26s_640_ncnn_model,640,MOT17-02,5.7,176.52,193.92,176.52,420.8,10.8,0.348,0.517,46,0.868,0.283,0.094
yolo26s_640_ncnn_model,640,MOT17-04,5.7,176.61,193.26,176.61,420.8,15.4,0.344,0.427,68,0.861,0.139,0.063
yolo26s_576_ncnn_model,576,MOT17-09,7.3,137.46,152.26,137.46,420.7,9.5,0.506,0.614,45,1.731,0.846,0.038
yolo26s_576_ncnn_model,576,MOT17-02,7.3,137.58,151.92,137.58,420.8,9.6,0.348,0.508,51,0.962,0.283,0.132
yolo26s_576_ncnn_model,576,MOT17-04,7.3,137.57,155.58,137.57,420.8,13.9,0.303,0.409,60,0.759,0.127,0.089
yolo26m_640_ncnn_model,640,MOT17-09,1.8,556.38,577.91,556.38,420.7,9.3,0.538,0.588,25,0.962,0.808,0.038
yolo26m_640_ncnn_model,640,MOT17-02,1.8,563.17,582.13,563.17,420.8,11.5,0.385,0.533,69,1.302,0.283,0.17
yolo26m_640_ncnn_model,640,MOT17-04,1.8,559.33,580.33,559.33,420.8,15.6,0.354,0.484,51,0.646,0.139,0.051
yolo26m_576_ncnn_model,576,MOT17-09,2.3,434.3,444.27,434.3,420.8,9.2,0.549,0.602,31,1.192,0.808,0.0
yolo26m_576_ncnn_model,576,MOT17-02,2.3,434.11,442.04,434.11,420.8,10.5,0.419,0.551,35,0.66,0.264,0.019
yolo26m_576_ncnn_model,576,MOT17-04,2.3,436.9,447.35,436.9,420.8,14.1,0.311,0.421,50,0.633,0.114,0.025
