model,imgsz,seq,fps,e2e_median_ms,e2e_p95_ms,infer_median_ms,peak_mem_mb,mean_det,mota,idf1,num_switches,idsw_per_gt_track,mostly_tracked_ratio,frag_ratio
yolo26n_hq.hef,640,MOT17-09,46.1,21.7,22.21,19.38,222.2,5.3,0.674,0.627,39,1.5,0.346,0.115
yolo26n_hq.hef,640,MOT17-02,46.0,21.73,22.28,19.37,222.3,5.4,0.23,0.383,14,0.264,0.113,0.038
yolo26n_hq.hef,640,MOT17-04,46.0,21.75,22.23,19.34,222.8,5.6,0.125,0.187,33,0.418,0.013,0.114
yolo26s_hq.hef,640,MOT17-09,31.0,32.21,33.2,29.51,219.3,6.7,0.732,0.668,28,1.077,0.692,0.0
yolo26s_hq.hef,640,MOT17-02,31.1,32.2,33.59,29.5,219.4,7.8,0.303,0.45,25,0.472,0.17,0.057
yolo26s_hq.hef,640,MOT17-04,30.5,32.77,34.18,29.48,219.9,12.3,0.277,0.422,23,0.291,0.114,0.013
yolo26m_hq.hef,640,MOT17-09,18.2,55.0,55.61,51.88,237.7,6.4,0.774,0.67,28,1.077,0.654,0.115
yolo26m_hq.hef,640,MOT17-02,18.2,55.05,55.81,51.91,237.8,6.7,0.367,0.505,17,0.321,0.151,0.057
yolo26m_hq.hef,640,MOT17-04,18.0,55.58,56.36,51.91,238.3,10.2,0.232,0.375,13,0.165,0.101,0.025
yolo26n_576_hq.hef,576,MOT17-09,51.3,19.51,19.93,17.3,218.1,5.1,0.636,0.652,35,1.346,0.308,0.077
yolo26n_576_hq.hef,576,MOT17-02,51.1,19.58,19.9,17.26,218.2,5.3,0.252,0.383,13,0.245,0.094,0.019
yolo26n_576_hq.hef,576,MOT17-04,51.0,19.61,20.04,17.3,218.7,5.7,0.12,0.173,52,0.658,0.013,0.076
yolo26s_576_hq.hef,576,MOT17-09,32.2,31.05,31.51,28.65,219.2,6.4,0.712,0.693,32,1.231,0.538,0.038
yolo26s_576_hq.hef,576,MOT17-02,32.1,31.11,32.06,28.64,219.3,6.6,0.292,0.458,17,0.321,0.17,0.019
yolo26s_576_hq.hef,576,MOT17-04,31.7,31.58,32.25,28.63,219.8,10.9,0.243,0.368,15,0.19,0.101,0.013
yolo26m_576_hq.hef,576,MOT17-09,20.0,50.05,50.77,47.03,231.2,6.2,0.759,0.713,19,0.731,0.615,0.077
yolo26m_576_hq.hef,576,MOT17-02,20.0,49.96,50.62,47.03,231.3,6.3,0.341,0.443,16,0.302,0.151,0.038
yolo26m_576_hq.hef,576,MOT17-04,19.8,50.43,51.05,47.13,231.8,8.6,0.198,0.334,8,0.101,0.063,0.025
