frame_id,inference_ms,n_detections,track_ids,bboxes_xyxy,confs,footpoints,mem_bytes,imgsz,model,seq
1,,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[[1337.5699462890625, 425.04547119140625, 1506.0325927734375, 788.6823120117188], [434.79638671875, 441.2411193847656, 550.3146362304688, 723.8489990234375], [1446.82177734375, 432.53582763671875, 1601.466064453125, 767.575439453125], [582.798828125, 443.9729309082031, 673.0134887695312, 706.723876953125], [653.6547241210938, 471.2806396484375, 704.2573852539062, 647.027099609375], [1256.6876220703125, 445.20330810546875, 1293.7113037109375, 546.1934204101562], [935.9359741210938, 433.993896484375, 972.9735717773438, 517.7420654296875], [730.8720703125, 470.1229248046875, 764.0112915039062, 570.76123046875], [1843.5634765625, 449.058837890625, 1915.434326171875, 655.1136474609375], [1015.762939453125, 430.29083251953125, 1056.890380859375, 531.112060546875]]","[0.8918524384498596, 0.8682243227958679, 0.8647910356521606, 0.7900896668434143, 0.5246757864952087, 0.49033764004707336, 0.3953299820423126, 0.37127330899238586, 0.3558533489704132, 0.35446035861968994]","[[1421.80126953125, 788.6823120117188], [492.5555114746094, 723.8489990234375], [1524.1439208984375, 767.575439453125], [627.9061584472656, 706.723876953125], [678.9560546875, 647.027099609375], [1275.199462890625, 546.1934204101562], [954.4547729492188, 517.7420654296875], [747.4416809082031, 570.76123046875], [1879.4989013671875, 655.1136474609375], [1036.32666015625, 531.112060546875]]",602275840,512,yolo26l.pt,MOT17-02
2,,9,"[1, 2, 3, 4, 5, 6, 7, 9, 10]","[[1341.9949951171875, 424.9837341308594, 1512.619384765625, 793.2432861328125], [438.1528625488281, 441.11187744140625, 553.7156372070312, 723.6127319335938], [1446.65283203125, 431.4466857910156, 1602.13818359375, 768.3906860351562], [582.9700927734375, 444.0247802734375, 673.3485107421875, 707.2274780273438], [653.0608520507812, 467.87762451171875, 704.8675537109375, 647.4146728515625], [1256.9508056640625, 444.74615478515625, 1294.1043701171875, 546.1400146484375], [935.8214721679688, 434.2061767578125, 972.3873291015625, 516.8265991210938], [1844.0909423828125, 452.4936828613281, 1914.9700927734375, 655.6370849609375], [1013.7943115234375, 429.8318176269531, 1055.4154052734375, 531.6678466796875]]","[0.9058674573898315, 0.8675485253334045, 0.864926278591156, 0.8542550802230835, 0.5823346972465515, 0.45604774355888367, 0.40236735343933105, 0.3803713619709015, 0.35586997866630554]","[[1427.3071899414062, 793.2432861328125], [495.9342498779297, 723.6127319335938], [1524.3955078125, 768.3906860351562], [628.1593017578125, 707.2274780273438], [678.9642028808594, 647.4146728515625], [1275.527587890625, 546.1400146484375], [954.1044006347656, 516.8265991210938], [1879.530517578125, 655.6370849609375], [1034.6048583984375, 531.6678466796875]]",602275840,512,yolo26l.pt,MOT17-02
3,,9,"[1, 2, 3, 4, 5, 6, 7, 10, 8]","[[1346.429443359375, 421.0128479003906, 1521.00634765625, 797.528076171875], [439.8730163574219, 440.96807861328125, 555.5426635742188, 723.315185546875], [1453.21142578125, 431.4556884765625, 1609.2705078125, 770.3359375], [583.3267211914062, 443.98736572265625, 673.744384765625, 707.0559692382812], [650.3881225585938, 465.5249938964844, 703.069580078125, 647.44140625], [1257.335693359375, 444.3453369140625, 1294.471923828125, 545.7308349609375], [935.6646118164062, 434.0986633300781, 972.5535278320312, 517.4570922851562], [1012.6240844726562, 429.37579345703125, 1055.0318603515625, 532.7493286132812], [733.639892578125, 469.5816955566406, 766.408935546875, 568.79150390625]]","[0.9183833599090576, 0.8652547001838684, 0.8209140300750732, 0.8542346954345703, 0.5631163716316223, 0.47232121229171753, 0.3864748477935791, 0.36927953362464905, 0.492186963558197]","[[1433.7178955078125, 797.528076171875], [497.7078399658203, 723.315185546875], [1531.240966796875, 770.3359375], [628.5355529785156, 707.0559692382812], [676.7288513183594, 647.44140625], [1275.90380859375, 545.7308349609375], [954.1090698242188, 517.4570922851562], [1033.8279724121094, 532.7493286132812], [750.0244140625, 568.79150390625]]",602275840,512,yolo26l.pt,MOT17-02
4,,9,"[1, 2, 3, 4, 5, 6, 7, 10, 8]","[[1348.89697265625, 417.8576965332031, 1525.4842529296875, 798.8090209960938], [442.1898498535156, 440.6558532714844, 558.1973266601562, 723.1363525390625], [1462.693603515625, 431.2943115234375, 1618.439208984375, 770.4339599609375], [583.67919921875, 443.940673828125, 674.16064453125, 706.953857421875], [649.48046875, 465.8292541503906, 702.43896484375, 647.6016235351562], [1257.20458984375, 443.990478515625, 1294.3983154296875, 545.6680297851562], [935.4918212890625, 434.11474609375, 972.1337890625, 516.8897705078125], [1013.7548828125, 428.98052978515625, 1055.99560546875, 531.7066040039062], [734.3008422851562, 470.6302490234375, 766.923095703125, 569.1117553710938]]","[0.9095272421836853, 0.8861266374588013, 0.8515161871910095, 0.860823929309845, 0.626996636390686, 0.4854751229286194, 0.3975299596786499, 0.2599920332431793, 0.5220765471458435]","[[1437.1906127929688, 798.8090209960938], [500.19358825683594, 723.1363525390625], [1540.56640625, 770.4339599609375], [628.919921875, 706.953857421875], [675.959716796875, 647.6016235351562], [1275.8014526367188, 545.6680297851562], [953.8128051757812, 516.8897705078125], [1034.875244140625, 531.7066040039062], [750.6119689941406, 569.1117553710938]]",602275840,512,yolo26l.pt,MOT17-02
5,,10,"[1, 2, 3, 4, 5, 6, 7, 10, 8, 9]","[[1354.1534423828125, 415.5214538574219, 1532.2713623046875, 799.894287109375], [443.29241943359375, 440.6918640136719, 559.6356811523438, 723.2032470703125], [1471.2047119140625, 430.1229553222656, 1626.84814453125, 770.5999755859375], [583.7376708984375, 443.6014099121094, 674.4803466796875, 706.9908447265625], [648.75341796875, 464.6738586425781, 702.4984741210938, 648.103515625], [1257.1922607421875, 443.6639709472656, 1294.452880859375, 545.6568603515625], [935.2618408203125, 434.0779724121094, 971.5678100585938, 516.1278076171875], [1014.9788208007812, 430.1235656738281, 1056.465087890625, 530.8644409179688], [734.39013671875, 470.59368896484375, 767.340576171875, 569.8096313476562], [1843.9288330078125, 451.11334228515625, 1914.9488525390625, 654.4498901367188]]","[0.9249297976493835, 0.8889123201370239, 0.8569279909133911, 0.8504493832588196, 0.5037993788719177, 0.44793567061424255, 0.3958888649940491, 0.2551504075527191, 0.5691154599189758, 0.29037347435951233]","[[1443.21240234375, 799.894287109375], [501.46405029296875, 723.2032470703125], [1549.0264282226562, 770.5999755859375], [629.1090087890625, 706.9908447265625], [675.6259460449219, 648.103515625], [1275.8225708007812, 545.6568603515625], [953.4148254394531, 516.1278076171875], [1035.7219543457031, 530.8644409179688], [750.8653564453125, 569.8096313476562], [1879.4388427734375, 654.4498901367188]]",602275840,512,yolo26l.pt,MOT17-02
6,,10,"[1, 2, 3, 4, 5, 6, 7, 10, 8, 9]","[[1358.7353515625, 415.6193542480469, 1536.766357421875, 800.3285522460938], [444.44610595703125, 441.066650390625, 561.4143676757812, 723.9664916992188], [1480.1143798828125, 428.55487060546875, 1635.8216552734375, 770.8536987304688], [583.5562744140625, 443.7977294921875, 674.3916015625, 706.9404296875], [649.0416259765625, 463.86358642578125, 703.3246459960938, 647.8123779296875], [1257.364013671875, 443.5388488769531, 1294.653564453125, 545.7363891601562], [934.8773193359375, 433.8507995605469, 971.2051391601562, 516.09326171875], [1014.3599243164062, 429.5626525878906, 1056.2384033203125, 530.7466430664062], [734.250732421875, 470.3089294433594, 767.3915405273438, 569.8104858398438], [1845.30419921875, 452.60260009765625, 1916.02587890625, 655.1753540039062]]","[0.9193852543830872, 0.8928369879722595, 0.8652792572975159, 0.8502097129821777, 0.5457503199577332, 0.49320951104164124, 0.4824460446834564, 0.3216060400009155, 0.5262717008590698, 0.25612181425094604]","[[1447.7508544921875, 800.3285522460938], [502.93023681640625, 723.9664916992188], [1557.968017578125, 770.8536987304688], [628.9739379882812, 706.9404296875], [676.1831359863281, 647.8123779296875], [1276.0087890625, 545.7363891601562], [953.0412292480469, 516.09326171875], [1035.2991638183594, 530.7466430664062], [750.8211364746094, 569.8104858398438], [1880.6650390625, 655.1753540039062]]",602275840,512,yolo26l.pt,MOT17-02
7,,10,"[1, 2, 3, 4, 5, 6, 7, 10, 8, 9]","[[1362.75439453125, 415.0757141113281, 1539.4893798828125, 800.1728515625], [444.3265380859375, 442.48541259765625, 561.497314453125, 724.50146484375], [1484.8282470703125, 427.690185546875, 1639.984375, 770.8810424804688], [583.774169921875, 443.666015625, 674.8031005859375, 706.716796875], [649.3794555664062, 460.98187255859375, 704.8460083007812, 647.8602905273438], [1257.4241943359375, 443.9808654785156, 1294.502685546875, 545.8565673828125], [934.2145385742188, 433.6778259277344, 970.7150268554688, 516.4020385742188], [1014.8612060546875, 429.47015380859375, 1057.12548828125, 531.1862182617188], [733.958251953125, 469.5810241699219, 767.52880859375, 570.044921875], [1844.184814453125, 452.4969482421875, 1915.3280029296875, 655.5885009765625]]","[0.9190012812614441, 0.876145601272583, 0.8492223024368286, 0.8241958022117615, 0.6221379041671753, 0.47914713621139526, 0.46724414825439453, 0.3137044906616211, 0.5074204802513123, 0.25469449162483215]","[[1451.1218872070312, 800.1728515625], [502.91192626953125, 724.50146484375], [1562.4063110351562, 770.8810424804688], [629.2886352539062, 706.716796875], [677.1127319335938, 647.8602905273438], [1275.9634399414062, 545.8565673828125], [952.4647827148438, 516.4020385742188], [1035.9933471679688, 531.1862182617188], [750.7435302734375, 570.044921875], [1879.7564086914062, 655.5885009765625]]",602275840,512,yolo26l.pt,MOT17-02
8,,9,"[1, 2, 3, 4, 5, 6, 7, 10, 8]","[[1370.37646484375, 413.4405212402344, 1545.4267578125, 799.818115234375], [444.5330810546875, 443.7056884765625, 562.0750122070312, 724.88134765625], [1487.6807861328125, 426.7665710449219, 1642.3818359375, 770.8678588867188], [583.9869995117188, 443.3027648925781, 675.4910278320312, 706.8533935546875], [649.5687255859375, 458.3774719238281, 706.2949829101562, 648.6934204101562], [1257.548828125, 444.7390441894531, 1294.3704833984375, 545.9347534179688], [933.8412475585938, 433.557373046875, 970.2113647460938, 516.0580444335938], [1014.6233520507812, 428.7895202636719, 1057.4132080078125, 531.2252197265625], [733.9100341796875, 470.1509704589844, 767.1375732421875, 568.9326782226562]]","[0.7984390258789062, 0.8678603768348694, 0.8682305812835693, 0.8131700158119202, 0.5600329637527466, 0.48333191871643066, 0.39332059025764465, 0.2526756823062897, 0.5131570100784302]","[[1457.901611328125, 799.818115234375], [503.3040466308594, 724.88134765625], [1565.0313110351562, 770.8678588867188], [629.739013671875, 706.8533935546875], [677.9318542480469, 648.6934204101562], [1275.9596557617188, 545.9347534179688], [952.0263061523438, 516.0580444335938], [1036.0182800292969, 531.2252197265625], [750.5238037109375, 568.9326782226562]]",602275840,512,yolo26l.pt,MOT17-02
9,,10,"[1, 2, 3, 4, 5, 6, 7, 10, 8, 9]","[[1381.09033203125, 411.1054382324219, 1554.2529296875, 799.5817260742188], [444.84259033203125, 443.3322448730469, 563.4228515625, 725.2794799804688], [1493.0318603515625, 424.088623046875, 1648.479248046875, 770.4010009765625], [583.6389770507812, 443.2528381347656, 675.4407958984375, 706.9418334960938], [649.815673828125, 457.7550354003906, 707.1729125976562, 648.908203125], [1257.085693359375, 445.2212829589844, 1293.681640625, 545.7107543945312], [933.6998291015625, 433.9659118652344, 969.7742919921875, 515.7439575195312], [1014.645263671875, 429.27496337890625, 1057.1201171875, 530.6972045898438], [733.219970703125, 469.41021728515625, 767.3583374023438, 570.6544189453125], [1844.3916015625, 448.0967712402344, 1917.223388671875, 655.92041015625]]","[0.892250120639801, 0.8806284070014954, 0.8400267362594604, 0.8494616746902466, 0.5609383583068848, 0.47614315152168274, 0.43273377418518066, 0.3165965974330902, 0.3768942952156067, 0.3277431130409241]","[[1467.671630859375, 799.5817260742188], [504.1327209472656, 725.2794799804688], [1570.7555541992188, 770.4010009765625], [629.5398864746094, 706.9418334960938], [678.4942932128906, 648.908203125], [1275.3836669921875, 545.7107543945312], [951.737060546875, 515.7439575195312], [1035.8826904296875, 530.6972045898438], [750.2891540527344, 570.6544189453125], [1880.8074951171875, 655.92041015625]]",602275840,512,yolo26l.pt,MOT17-02
10,,9,"[1, 2, 3, 4, 5, 6, 7, 10, 8]","[[1391.5439453125, 407.5386962890625, 1562.192626953125, 799.0104370117188], [445.61785888671875, 443.2023010253906, 565.074951171875, 725.8238525390625], [1494.0306396484375, 424.1190490722656, 1646.3431396484375, 772.0615844726562], [583.6776733398438, 443.1463317871094, 675.8856201171875, 707.1626586914062], [648.4998779296875, 456.8374328613281, 705.9369506835938, 649.2477416992188], [1257.0947265625, 445.4586486816406, 1293.7021484375, 545.7787475585938], [933.572509765625, 434.1757507324219, 969.5166015625, 515.626953125], [1015.8612060546875, 430.40594482421875, 1057.7276611328125, 530.5363159179688], [732.9151611328125, 468.5004577636719, 767.7966918945312, 571.8060302734375]]","[0.8872755169868469, 0.878677248954773, 0.8451387286186218, 0.8502415418624878, 0.46344777941703796, 0.4767375886440277, 0.4462248682975769, 0.30038008093833923, 0.3976816236972809]","[[1476.8682861328125, 799.0104370117188], [505.3464050292969, 725.8238525390625], [1570.1868896484375, 772.0615844726562], [629.7816467285156, 707.1626586914062], [677.2184143066406, 649.2477416992188], [1275.3984375, 545.7787475585938], [951.5445556640625, 515.626953125], [1036.79443359375, 530.5363159179688], [750.3559265136719, 571.8060302734375]]",602275840,512,yolo26l.pt,MOT17-02
