frame_id,inference_ms,n_detections,track_ids,bboxes_xyxy,confs,footpoints,mem_bytes,imgsz,model,seq
1,,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[[1339.15380859375, 433.3127136230469, 1510.070556640625, 789.031982421875], [583.3916015625, 444.1298828125, 672.1953735351562, 706.9849853515625], [1445.471923828125, 431.6834716796875, 1600.9210205078125, 768.1820068359375], [438.34222412109375, 444.9598083496094, 558.2693481445312, 722.8795166015625], [731.1759033203125, 471.9207763671875, 765.3433227539062, 568.202880859375], [1017.855224609375, 430.2117919921875, 1056.974365234375, 529.5474243164062], [1255.58544921875, 445.06591796875, 1291.589599609375, 546.14013671875], [935.857177734375, 433.38134765625, 973.965576171875, 516.2950439453125], [687.412109375, 483.4328308105469, 730.5127563476562, 604.016845703125], [656.8408203125, 471.986328125, 707.4439086914062, 643.3563232421875]]","[0.902618408203125, 0.9004020094871521, 0.8828015327453613, 0.8708916902542114, 0.7388359904289246, 0.6185912489891052, 0.5858728289604187, 0.47310924530029297, 0.4540177583694458, 0.3835488259792328]","[[1424.6121826171875, 789.031982421875], [627.7934875488281, 706.9849853515625], [1523.1964721679688, 768.1820068359375], [498.3057861328125, 722.8795166015625], [748.2596130371094, 568.202880859375], [1037.414794921875, 529.5474243164062], [1273.5875244140625, 546.14013671875], [954.911376953125, 516.2950439453125], [708.9624328613281, 604.016845703125], [682.1423645019531, 643.3563232421875]]",335476736,640,yolo26l.pt,MOT17-02
2,,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[[1340.5975341796875, 420.7799072265625, 1517.4149169921875, 788.97900390625], [583.8069458007812, 444.45904541015625, 672.4472045898438, 706.7553100585938], [1448.708251953125, 431.4852294921875, 1603.9864501953125, 767.9161987304688], [438.877685546875, 443.97564697265625, 558.9880981445312, 722.1968383789062], [731.3353881835938, 471.87078857421875, 765.7655639648438, 568.8865966796875], [1017.4215087890625, 430.66949462890625, 1056.536865234375, 529.9351806640625], [1255.656005859375, 444.982666015625, 1291.683837890625, 546.1962890625], [936.07275390625, 433.4486083984375, 974.0889892578125, 516.1050415039062], [690.580322265625, 484.90008544921875, 732.0901489257812, 601.1260375976562], [658.8820190429688, 472.5032043457031, 709.31005859375, 642.995361328125]]","[0.9240134358406067, 0.8986487984657288, 0.8911966681480408, 0.9010693430900574, 0.7303740382194519, 0.6003011465072632, 0.5714669823646545, 0.485895574092865, 0.2867482006549835, 0.3021259903907776]","[[1429.0062255859375, 788.97900390625], [628.1270751953125, 706.7553100585938], [1526.3473510742188, 767.9161987304688], [498.9328918457031, 722.1968383789062], [748.5504760742188, 568.8865966796875], [1036.9791870117188, 529.9351806640625], [1273.669921875, 546.1962890625], [955.0808715820312, 516.1050415039062], [711.3352355957031, 601.1260375976562], [684.0960388183594, 642.995361328125]]",335476736,640,yolo26l.pt,MOT17-02
3,,9,"[1, 2, 3, 4, 5, 6, 7, 8, 10]","[[1342.5072021484375, 418.6568298339844, 1523.2044677734375, 795.12353515625], [584.249755859375, 444.26702880859375, 672.9180297851562, 706.2843627929688], [1454.7301025390625, 430.8110046386719, 1610.716796875, 769.6543579101562], [439.4286193847656, 444.6553039550781, 559.3792114257812, 722.11865234375], [731.9468383789062, 471.9376220703125, 766.0791625976562, 568.006591796875], [1017.3180541992188, 430.7812194824219, 1056.4217529296875, 529.9555053710938], [1255.6199951171875, 445.1870422363281, 1291.505615234375, 546.1486206054688], [935.8671875, 433.2379150390625, 973.869873046875, 515.8694458007812], [652.9518432617188, 460.7658386230469, 707.2733764648438, 643.9802856445312]]","[0.9265406131744385, 0.9049952030181885, 0.8806591629981995, 0.8846809267997742, 0.6961957812309265, 0.5601234436035156, 0.5818739533424377, 0.4460325837135315, 0.31943249702453613]","[[1432.8558349609375, 795.12353515625], [628.5838928222656, 706.2843627929688], [1532.7234497070312, 769.6543579101562], [499.40391540527344, 722.11865234375], [749.0130004882812, 568.006591796875], [1036.8699035644531, 529.9555053710938], [1273.5628051757812, 546.1486206054688], [954.8685302734375, 515.8694458007812], [680.1126098632812, 643.9802856445312]]",335476736,640,yolo26l.pt,MOT17-02
4,,10,"[1, 2, 3, 4, 5, 6, 7, 8, 10, 12]","[[1346.116943359375, 417.45550537109375, 1529.10302734375, 799.1360473632812], [584.6614990234375, 444.1656799316406, 673.5345458984375, 706.3659057617188], [1462.4132080078125, 430.2377624511719, 1618.3165283203125, 769.932373046875], [440.03167724609375, 442.303955078125, 561.2540893554688, 722.5140991210938], [732.6568603515625, 472.7093505859375, 766.4907836914062, 567.8366088867188], [1016.9705200195312, 430.97528076171875, 1056.0018310546875, 529.759033203125], [1255.942138671875, 444.9719543457031, 1291.8314208984375, 546.1101684570312], [935.6682739257812, 433.6180114746094, 973.2787475585938, 515.4171142578125], [649.334716796875, 457.37652587890625, 705.0752563476562, 644.05517578125], [1100.341796875, 432.5860290527344, 1137.749755859375, 549.20068359375]]","[0.9374798536300659, 0.8986573815345764, 0.869234025478363, 0.588508129119873, 0.7099636197090149, 0.5193496942520142, 0.6109892129898071, 0.47363653779029846, 0.5538443922996521, 0.3975977897644043]","[[1437.6099853515625, 799.1360473632812], [629.0980224609375, 706.3659057617188], [1540.3648681640625, 769.932373046875], [500.64288330078125, 722.5140991210938], [749.5738220214844, 567.8366088867188], [1036.4861755371094, 529.759033203125], [1273.8867797851562, 546.1101684570312], [954.4735107421875, 515.4171142578125], [677.2049865722656, 644.05517578125], [1119.0457763671875, 549.20068359375]]",335476736,640,yolo26l.pt,MOT17-02
5,,11,"[1, 2, 3, 4, 5, 6, 7, 8, 10, 12, 14]","[[1349.7471923828125, 415.7481384277344, 1534.261962890625, 801.386474609375], [584.543701171875, 444.4869384765625, 673.475341796875, 706.3167114257812], [1470.3734130859375, 428.5026550292969, 1626.640625, 770.5518188476562], [440.82550048828125, 442.7455139160156, 562.0645141601562, 722.3761596679688], [733.079345703125, 472.9583435058594, 766.5808715820312, 567.0057373046875], [1016.8134155273438, 430.98687744140625, 1055.867919921875, 529.7039184570312], [1256.266845703125, 445.1160888671875, 1292.0413818359375, 546.0337524414062], [935.4738159179688, 433.77093505859375, 972.9794311523438, 515.30419921875], [649.0665893554688, 455.6287536621094, 705.7011108398438, 643.939697265625], [1100.4808349609375, 432.9850769042969, 1137.7794189453125, 549.2573852539062], [1307.330810546875, 431.9586486816406, 1343.113525390625, 545.6776733398438]]","[0.9338297843933105, 0.902691662311554, 0.9003119468688965, 0.8939762115478516, 0.7298380136489868, 0.5059446692466736, 0.6470526456832886, 0.5144131779670715, 0.7447183728218079, 0.40556785464286804, 0.35051366686820984]","[[1442.0045776367188, 801.386474609375], [629.009521484375, 706.3167114257812], [1548.5070190429688, 770.5518188476562], [501.44500732421875, 722.3761596679688], [749.8301086425781, 567.0057373046875], [1036.3406677246094, 529.7039184570312], [1274.1541137695312, 546.0337524414062], [954.2266235351562, 515.30419921875], [677.3838500976562, 643.939697265625], [1119.130126953125, 549.2573852539062], [1325.22216796875, 545.6776733398438]]",335476736,640,yolo26l.pt,MOT17-02
6,,11,"[1, 2, 3, 4, 5, 6, 7, 8, 10, 12, 14]","[[1354.8306884765625, 415.9524841308594, 1538.91259765625, 801.71923828125], [584.7969970703125, 444.9327697753906, 673.9159545898438, 706.5516967773438], [1479.4132080078125, 427.4339904785156, 1635.4337158203125, 770.5332641601562], [441.9044189453125, 442.8762512207031, 563.8526000976562, 722.919677734375], [733.3163452148438, 473.1877746582031, 766.9489135742188, 567.4791870117188], [1017.0, 430.9664611816406, 1056.0765380859375, 529.6627197265625], [1256.28466796875, 445.2569580078125, 1291.8675537109375, 545.949462890625], [934.9884643554688, 433.754150390625, 972.6296997070312, 515.6658325195312], [648.7214965820312, 456.0049743652344, 705.9577026367188, 644.5534057617188], [1100.6400146484375, 433.4226989746094, 1137.8502197265625, 549.421142578125], [1307.404296875, 431.8468933105469, 1343.2774658203125, 545.88671875]]","[0.9386903047561646, 0.8951793313026428, 0.8734950423240662, 0.9015583395957947, 0.732609748840332, 0.46781089901924133, 0.6658123731613159, 0.5077694058418274, 0.638796329498291, 0.3387964963912964, 0.39708852767944336]","[[1446.8716430664062, 801.71923828125], [629.3564758300781, 706.5516967773438], [1557.4234619140625, 770.5332641601562], [502.8785095214844, 722.919677734375], [750.1326293945312, 567.4791870117188], [1036.5382690429688, 529.6627197265625], [1274.0761108398438, 545.949462890625], [953.80908203125, 515.6658325195312], [677.339599609375, 644.5534057617188], [1119.2451171875, 549.421142578125], [1325.3408813476562, 545.88671875]]",335476736,640,yolo26l.pt,MOT17-02
7,,12,"[1, 2, 3, 4, 5, 6, 7, 8, 10, 12, 14, 15]","[[1361.53076171875, 414.9103088378906, 1544.2491455078125, 800.9989013671875], [584.7369384765625, 444.7880859375, 674.1895751953125, 706.559814453125], [1486.4859619140625, 428.2113037109375, 1641.2601318359375, 770.057861328125], [442.7528076171875, 443.1641540527344, 565.3533935546875, 723.379150390625], [733.2168579101562, 473.56597900390625, 766.86328125, 567.7327880859375], [1016.0833740234375, 430.65673828125, 1055.364013671875, 529.3150024414062], [1256.4296875, 445.0838928222656, 1291.9683837890625, 545.8335571289062], [934.5432739257812, 434.0165710449219, 971.9768676757812, 515.5255126953125], [649.337158203125, 459.27825927734375, 706.3360595703125, 645.8431396484375], [1100.353515625, 432.2037658691406, 1137.7625732421875, 548.7736206054688], [1307.091796875, 431.84478759765625, 1343.029541015625, 546.0308227539062], [1368.556396484375, 433.873291015625, 1412.0238037109375, 559.6499633789062]]","[0.9384545683860779, 0.9026082158088684, 0.8081408739089966, 0.906733512878418, 0.735802412033081, 0.43573784828186035, 0.6393629312515259, 0.48526617884635925, 0.6313341856002808, 0.3391290009021759, 0.34069979190826416, 0.3738970458507538]","[[1452.8899536132812, 800.9989013671875], [629.4632568359375, 706.559814453125], [1563.873046875, 770.057861328125], [504.0531005859375, 723.379150390625], [750.0400695800781, 567.7327880859375], [1035.7236938476562, 529.3150024414062], [1274.1990356445312, 545.8335571289062], [953.2600708007812, 515.5255126953125], [677.8366088867188, 645.8431396484375], [1119.0580444335938, 548.7736206054688], [1325.0606689453125, 546.0308227539062], [1390.2901000976562, 559.6499633789062]]",335476736,640,yolo26l.pt,MOT17-02
8,,11,"[1, 2, 3, 4, 5, 6, 7, 8, 10, 12, 15]","[[1370.285400390625, 412.300048828125, 1552.2550048828125, 801.77099609375], [584.693115234375, 444.6922607421875, 674.5742797851562, 706.7589721679688], [1488.9215087890625, 427.16046142578125, 1643.6943359375, 770.4800415039062], [443.1416015625, 443.4282531738281, 566.3101806640625, 723.6345825195312], [732.912841796875, 472.76556396484375, 767.3657836914062, 569.1907348632812], [1015.9513549804688, 430.6703796386719, 1055.3697509765625, 529.0748291015625], [1255.9432373046875, 445.019775390625, 1291.4075927734375, 545.8021850585938], [934.8510131835938, 434.30242919921875, 972.3216552734375, 515.912353515625], [649.1196899414062, 457.16021728515625, 707.5759887695312, 647.856689453125], [1100.181884765625, 431.7586364746094, 1137.5570068359375, 548.1078491210938], [1371.6982421875, 433.6111145019531, 1415.9508056640625, 561.0704345703125]]","[0.9340090751647949, 0.8940008282661438, 0.844707727432251, 0.9111353158950806, 0.7057103514671326, 0.45281851291656494, 0.6114014983177185, 0.404777854681015, 0.6076235771179199, 0.2670298218727112, 0.3414900600910187]","[[1461.2702026367188, 801.77099609375], [629.6336975097656, 706.7589721679688], [1566.3079223632812, 770.4800415039062], [504.72589111328125, 723.6345825195312], [750.1393127441406, 569.1907348632812], [1035.6605529785156, 529.0748291015625], [1273.6754150390625, 545.8021850585938], [953.5863342285156, 515.912353515625], [678.3478393554688, 647.856689453125], [1118.8694458007812, 548.1078491210938], [1393.8245239257812, 561.0704345703125]]",335476736,640,yolo26l.pt,MOT17-02
9,,10,"[1, 2, 3, 4, 5, 6, 7, 8, 10, 14]","[[1378.965576171875, 409.9423828125, 1558.9678955078125, 802.1885375976562], [585.0403442382812, 443.8767395019531, 675.5369262695312, 706.9492797851562], [1496.33740234375, 425.15789794921875, 1651.7620849609375, 769.6838989257812], [443.6952819824219, 443.23504638671875, 567.4664306640625, 723.4677734375], [732.2601318359375, 472.27398681640625, 766.9487915039062, 569.4968872070312], [1015.5049438476562, 431.0117492675781, 1055.256591796875, 529.509033203125], [1255.56982421875, 445.259033203125, 1291.0770263671875, 545.8666381835938], [934.0764770507812, 434.3895568847656, 971.4196166992188, 515.9832763671875], [648.8290405273438, 456.3202209472656, 708.345947265625, 649.5652465820312], [1307.0418701171875, 431.85595703125, 1342.96240234375, 545.976318359375]]","[0.9181313514709473, 0.8932147026062012, 0.8686436414718628, 0.893336296081543, 0.7112488150596619, 0.5958972573280334, 0.6801707744598389, 0.5350825190544128, 0.3122606575489044, 0.26670777797698975]","[[1468.9667358398438, 802.1885375976562], [630.2886352539062, 706.9492797851562], [1574.0497436523438, 769.6838989257812], [505.5808563232422, 723.4677734375], [749.6044616699219, 569.4968872070312], [1035.3807678222656, 529.509033203125], [1273.3234252929688, 545.8666381835938], [952.748046875, 515.9832763671875], [678.5874938964844, 649.5652465820312], [1325.0021362304688, 545.976318359375]]",335476736,640,yolo26l.pt,MOT17-02
10,,11,"[1, 2, 3, 4, 5, 6, 7, 8, 10, 14, 15]","[[1388.755126953125, 408.72406005859375, 1564.489013671875, 801.4376831054688], [584.9829711914062, 443.6381530761719, 676.00927734375, 707.1705322265625], [1510.025390625, 422.766845703125, 1666.0743408203125, 770.0072631835938], [444.0745849609375, 443.2161865234375, 568.4490966796875, 723.5582275390625], [731.7559814453125, 472.05743408203125, 766.8880615234375, 570.6712036132812], [1016.8358154296875, 431.62847900390625, 1056.5205078125, 529.82958984375], [1255.6356201171875, 445.34722900390625, 1291.130126953125, 545.5780029296875], [933.495849609375, 434.21142578125, 970.9434204101562, 516.2689208984375], [651.06298828125, 457.4352111816406, 710.4782104492188, 649.9695434570312], [1307.1328125, 432.0592956542969, 1342.954833984375, 545.9361572265625], [1379.395751953125, 432.5374450683594, 1424.3450927734375, 561.1841430664062]]","[0.9062068462371826, 0.8935083150863647, 0.8528804779052734, 0.907369077205658, 0.7514752745628357, 0.4908221364021301, 0.6875972151756287, 0.5610978603363037, 0.35850393772125244, 0.33332476019859314, 0.3609856367111206]","[[1476.6220703125, 801.4376831054688], [630.4961242675781, 707.1705322265625], [1588.0498657226562, 770.0072631835938], [506.2618408203125, 723.5582275390625], [749.322021484375, 570.6712036132812], [1036.6781616210938, 529.82958984375], [1273.3828735351562, 545.5780029296875], [952.2196350097656, 516.2689208984375], [680.7705993652344, 649.9695434570312], [1325.0438232421875, 545.9361572265625], [1401.8704223632812, 561.1841430664062]]",335476736,640,yolo26l.pt,MOT17-02
