frame_id,inference_ms,n_detections,track_ids,bboxes_xyxy,confs,footpoints,mem_bytes,imgsz,model,seq
1,,8,"[1, 2, 3, 4, 5, 6, 7, 8]","[[1338.40087890625, 420.12103271484375, 1507.497314453125, 790.2106323242188], [582.3367309570312, 442.59014892578125, 674.3522338867188, 706.1282958984375], [1447.3458251953125, 433.7949523925781, 1600.9395751953125, 766.829345703125], [441.73797607421875, 442.48193359375, 554.83837890625, 723.00146484375], [733.178466796875, 473.3921203613281, 766.5980834960938, 570.303955078125], [1256.4696044921875, 444.9371337890625, 1293.1522216796875, 547.6082763671875], [1698.87109375, 435.6480712890625, 1787.912353515625, 585.8638305664062], [1016.0828857421875, 442.807373046875, 1055.422119140625, 532.115234375]]","[0.8612691164016724, 0.8257315158843994, 0.8249468207359314, 0.8235122561454773, 0.5192558765411377, 0.3999272286891937, 0.3651787042617798, 0.3450580835342407]","[[1422.9490966796875, 790.2106323242188], [628.344482421875, 706.1282958984375], [1524.1427001953125, 766.829345703125], [498.2881774902344, 723.00146484375], [749.8882751464844, 570.303955078125], [1274.8109130859375, 547.6082763671875], [1743.3917236328125, 585.8638305664062], [1035.7525024414062, 532.115234375]]",1795153920,448,yolo26m.pt,MOT17-02
2,,8,"[1, 2, 3, 4, 5, 6, 7, 8]","[[1344.6033935546875, 429.50811767578125, 1511.352294921875, 794.3107299804688], [582.6790161132812, 442.66888427734375, 674.6393432617188, 706.010498046875], [1450.8341064453125, 433.2008056640625, 1604.5426025390625, 766.9310913085938], [442.8952941894531, 442.90972900390625, 555.5320434570312, 722.1444091796875], [733.8659057617188, 474.34246826171875, 766.1231689453125, 567.7920532226562], [1256.290771484375, 444.347900390625, 1293.2528076171875, 547.8213500976562], [1699.087158203125, 435.8902893066406, 1788.25244140625, 586.3003540039062], [1016.0299682617188, 440.0918273925781, 1056.440185546875, 531.90966796875]]","[0.8959569931030273, 0.84003746509552, 0.8337237238883972, 0.8407431244850159, 0.4835321605205536, 0.4101555645465851, 0.2914714217185974, 0.36978480219841003]","[[1427.9778442382812, 794.3107299804688], [628.6591796875, 706.010498046875], [1527.6883544921875, 766.9310913085938], [499.2136688232422, 722.1444091796875], [749.9945373535156, 567.7920532226562], [1274.7717895507812, 547.8213500976562], [1743.6697998046875, 586.3003540039062], [1036.2350769042969, 531.90966796875]]",1733689344,448,yolo26m.pt,MOT17-02
3,,9,"[1, 2, 3, 4, 5, 6, 7, 8, 9]","[[1346.384033203125, 423.6018981933594, 1517.1268310546875, 796.9480590820312], [582.2174072265625, 441.890380859375, 674.4772338867188, 706.0652465820312], [1460.2752685546875, 432.5705871582031, 1614.639404296875, 768.707763671875], [444.15521240234375, 443.275390625, 556.9286499023438, 722.6673583984375], [733.6447143554688, 474.7179870605469, 766.194580078125, 568.9325561523438], [1256.849853515625, 444.7052917480469, 1293.5023193359375, 547.3277587890625], [1699.379150390625, 436.9304504394531, 1787.4744873046875, 585.4075317382812], [1015.2191162109375, 439.021728515625, 1056.1497802734375, 532.122802734375], [1089.26416015625, 447.9042663574219, 1138.0252685546875, 555.4398193359375]]","[0.8638343214988708, 0.8331460952758789, 0.7792736291885376, 0.8341442346572876, 0.5387358069419861, 0.37054452300071716, 0.27269285917282104, 0.3700404167175293, 0.3655858337879181]","[[1431.7554321289062, 796.9480590820312], [628.3473205566406, 706.0652465820312], [1537.4573364257812, 768.707763671875], [500.54193115234375, 722.6673583984375], [749.9196472167969, 568.9325561523438], [1275.1760864257812, 547.3277587890625], [1743.4268188476562, 585.4075317382812], [1035.6844482421875, 532.122802734375], [1113.6447143554688, 555.4398193359375]]",1739780096,448,yolo26m.pt,MOT17-02
4,,9,"[1, 2, 3, 4, 5, 6, 7, 8, 9]","[[1349.1534423828125, 419.38037109375, 1522.5179443359375, 798.2212524414062], [582.3836059570312, 442.0715026855469, 674.6528930664062, 706.270751953125], [1466.12744140625, 434.1108703613281, 1619.8359375, 770.2281494140625], [446.9640197753906, 443.26885986328125, 559.9923095703125, 722.5781860351562], [733.6671142578125, 475.5036926269531, 766.3126831054688, 569.9071655273438], [1256.92236328125, 445.1868896484375, 1293.359375, 547.2394409179688], [1699.684814453125, 436.9669189453125, 1787.7239990234375, 585.2127685546875], [1015.6473999023438, 437.3634948730469, 1057.08203125, 531.8461303710938], [1090.09423828125, 447.7504577636719, 1138.1204833984375, 553.728271484375]]","[0.8842290639877319, 0.84434974193573, 0.7446001172065735, 0.8545037508010864, 0.5300509929656982, 0.44988563656806946, 0.26573100686073303, 0.27347129583358765, 0.37587982416152954]","[[1435.835693359375, 798.2212524414062], [628.5182495117188, 706.270751953125], [1542.981689453125, 770.2281494140625], [503.47816467285156, 722.5781860351562], [749.9898986816406, 569.9071655273438], [1275.140869140625, 547.2394409179688], [1743.7044067382812, 585.2127685546875], [1036.3647155761719, 531.8461303710938], [1114.1073608398438, 553.728271484375]]",1739780096,448,yolo26m.pt,MOT17-02
5,,9,"[1, 2, 3, 4, 5, 6, 7, 8, 9]","[[1353.653564453125, 416.99560546875, 1528.7298583984375, 799.3741455078125], [582.4376831054688, 442.3328552246094, 674.725341796875, 706.54150390625], [1467.715576171875, 428.65997314453125, 1622.451171875, 769.8306884765625], [446.81707763671875, 443.3885803222656, 560.265625, 722.8574829101562], [733.855712890625, 475.521728515625, 766.3217163085938, 569.1976318359375], [1256.8717041015625, 446.0877380371094, 1292.9969482421875, 547.32958984375], [1699.25537109375, 436.91766357421875, 1787.2213134765625, 584.7850341796875], [1015.8405151367188, 436.08013916015625, 1057.5477294921875, 531.4651489257812], [1090.5921630859375, 447.68670654296875, 1138.2459716796875, 552.9569091796875]]","[0.9135906100273132, 0.844851553440094, 0.787129819393158, 0.8517149686813354, 0.5488194227218628, 0.46004724502563477, 0.272800087928772, 0.2956986129283905, 0.3748253583908081]","[[1441.1917114257812, 799.3741455078125], [628.5815124511719, 706.54150390625], [1545.0833740234375, 769.8306884765625], [503.5413513183594, 722.8574829101562], [750.0887145996094, 569.1976318359375], [1274.934326171875, 547.32958984375], [1743.2383422851562, 584.7850341796875], [1036.6941223144531, 531.4651489257812], [1114.4190673828125, 552.9569091796875]]",1739780096,448,yolo26m.pt,MOT17-02
6,,9,"[1, 2, 3, 4, 5, 6, 7, 8, 9]","[[1359.2867431640625, 416.0830078125, 1535.09130859375, 800.2315673828125], [582.4474487304688, 442.366943359375, 674.859619140625, 706.7395629882812], [1468.5596923828125, 427.85162353515625, 1621.8670654296875, 770.3439331054688], [446.8243713378906, 443.6784362792969, 561.0944213867188, 723.7811889648438], [734.2333984375, 475.6020202636719, 766.3811645507812, 568.1118774414062], [1256.8199462890625, 446.33441162109375, 1292.8177490234375, 547.4386596679688], [1699.8975830078125, 436.9447326660156, 1788.0548095703125, 585.0315551757812], [1015.7828979492188, 436.1467590332031, 1057.42822265625, 531.6202392578125], [1090.6297607421875, 447.86468505859375, 1137.8924560546875, 552.3016967773438]]","[0.91469407081604, 0.8305910229682922, 0.7624751925468445, 0.8670076131820679, 0.5057611465454102, 0.44426292181015015, 0.33111974596977234, 0.27968841791152954, 0.37493640184402466]","[[1447.1890258789062, 800.2315673828125], [628.6535339355469, 706.7395629882812], [1545.21337890625, 770.3439331054688], [503.9593963623047, 723.7811889648438], [750.3072814941406, 568.1118774414062], [1274.81884765625, 547.4386596679688], [1743.9761962890625, 585.0315551757812], [1036.6055603027344, 531.6202392578125], [1114.2611083984375, 552.3016967773438]]",1739780096,448,yolo26m.pt,MOT17-02
7,,8,"[1, 2, 3, 4, 5, 6, 7, 9]","[[1363.73583984375, 414.02081298828125, 1539.4501953125, 800.2781982421875], [581.9197387695312, 441.9941711425781, 674.6820678710938, 707.076416015625], [1482.354736328125, 433.6070556640625, 1632.4437255859375, 769.564208984375], [446.4971923828125, 445.531005859375, 561.0473022460938, 724.7968139648438], [733.5166015625, 473.9096984863281, 766.3800659179688, 568.1524047851562], [1257.1112060546875, 445.3635559082031, 1293.395263671875, 547.4083251953125], [1699.5638427734375, 437.0715026855469, 1787.783935546875, 585.0581665039062], [1090.6297607421875, 448.50653076171875, 1138.4752197265625, 554.5459594726562]]","[0.9186900854110718, 0.8464382290840149, 0.6839843988418579, 0.8550414443016052, 0.5954091548919678, 0.3946889042854309, 0.2618970274925232, 0.4166329503059387]","[[1451.593017578125, 800.2781982421875], [628.3009033203125, 707.076416015625], [1557.3992309570312, 769.564208984375], [503.7722473144531, 724.7968139648438], [749.9483337402344, 568.1524047851562], [1275.2532348632812, 547.4083251953125], [1743.6738891601562, 585.0581665039062], [1114.552490234375, 554.5459594726562]]",1739780096,448,yolo26m.pt,MOT17-02
8,,7,"[1, 2, 3, 4, 5, 6, 9]","[[1371.867431640625, 411.480712890625, 1546.70068359375, 800.3876953125], [581.6266479492188, 442.506591796875, 674.3580322265625, 706.8419799804688], [1488.0545654296875, 429.53436279296875, 1639.183349609375, 769.4468383789062], [445.13336181640625, 445.1100769042969, 560.2064819335938, 724.1754150390625], [732.4752197265625, 470.89605712890625, 766.9892578125, 569.73828125], [1256.9921875, 444.957763671875, 1293.2760009765625, 547.0452270507812], [1089.9608154296875, 447.56195068359375, 1139.6114501953125, 558.2127685546875]]","[0.9081027507781982, 0.8212165236473083, 0.8237165808677673, 0.8357419967651367, 0.573498547077179, 0.3708626627922058, 0.389363557100296]","[[1459.2840576171875, 800.3876953125], [627.9923400878906, 706.8419799804688], [1563.6189575195312, 769.4468383789062], [502.669921875, 724.1754150390625], [749.7322387695312, 569.73828125], [1275.1340942382812, 547.0452270507812], [1114.7861328125, 558.2127685546875]]",1739780096,448,yolo26m.pt,MOT17-02
9,,7,"[1, 2, 3, 4, 5, 6, 9]","[[1381.4227294921875, 410.0140075683594, 1554.3262939453125, 801.2933959960938], [581.7025756835938, 442.31781005859375, 674.5496215820312, 706.7264404296875], [1496.16259765625, 427.9507141113281, 1648.3248291015625, 769.6477661132812], [444.7600402832031, 445.27978515625, 560.3466186523438, 723.5905151367188], [731.7428588867188, 468.9888000488281, 767.3821411132812, 570.9813842773438], [1256.2855224609375, 445.9276428222656, 1292.0416259765625, 546.6931762695312], [1084.5633544921875, 447.3474426269531, 1142.0040283203125, 576.6865844726562]]","[0.9090389609336853, 0.8200067281723022, 0.833249032497406, 0.8196741342544556, 0.5141633152961731, 0.3848324120044708, 0.47657155990600586]","[[1467.87451171875, 801.2933959960938], [628.1260986328125, 706.7264404296875], [1572.2437133789062, 769.6477661132812], [502.55332946777344, 723.5905151367188], [749.5625, 570.9813842773438], [1274.16357421875, 546.6931762695312], [1113.28369140625, 576.6865844726562]]",1739780096,448,yolo26m.pt,MOT17-02
10,,7,"[1, 2, 3, 4, 5, 6, 9]","[[1391.7322998046875, 408.3643798828125, 1561.662353515625, 802.2174682617188], [582.2966918945312, 442.3740234375, 675.341552734375, 706.8827514648438], [1504.59814453125, 423.5981750488281, 1657.238525390625, 770.7130737304688], [445.20941162109375, 444.5445251464844, 561.6495971679688, 723.1492309570312], [731.0657348632812, 464.4743957519531, 768.5671997070312, 572.0634155273438], [1256.14208984375, 446.1316223144531, 1291.7247314453125, 546.3555908203125], [1082.397705078125, 447.234619140625, 1142.2509765625, 583.476318359375]]","[0.8865655660629272, 0.8240286707878113, 0.7314072251319885, 0.8484058976173401, 0.5465648770332336, 0.34683310985565186, 0.4384564161300659]","[[1476.6973266601562, 802.2174682617188], [628.8191223144531, 706.8827514648438], [1580.9183349609375, 770.7130737304688], [503.42950439453125, 723.1492309570312], [749.8164672851562, 572.0634155273438], [1273.9334106445312, 546.3555908203125], [1112.3243408203125, 583.476318359375]]",1739780096,448,yolo26m.pt,MOT17-02
11,,7,"[1, 2, 3, 4, 5, 6, 9]","[[1405.6260986328125, 411.6063537597656, 1570.3011474609375, 802.5848999023438], [582.6654663085938, 442.3939514160156, 675.8804931640625, 707.1598510742188], [1509.1776123046875, 422.371826171875, 1658.263916015625, 771.2166137695312], [446.1937255859375, 445.0696105957031, 563.5303955078125, 723.4796752929688], [730.6648559570312, 462.98956298828125, 768.8109130859375, 572.6665649414062], [1256.2100830078125, 445.6213684082031, 1291.9830322265625, 546.19970703125], [1086.5216064453125, 446.8307800292969, 1141.1400146484375, 572.1676025390625]]","[0.8493494987487793, 0.8303312063217163, 0.8174691796302795, 0.8499165773391724, 0.5490175485610962, 0.3545698821544647, 0.3974381685256958]","[[1487.963623046875, 802.5848999023438], [629.2729797363281, 707.1598510742188], [1583.7207641601562, 771.2166137695312], [504.862060546875, 723.4796752929688], [749.7378845214844, 572.6665649414062], [1274.0965576171875, 546.19970703125], [1113.830810546875, 572.1676025390625]]",1739780096,448,yolo26m.pt,MOT17-02
12,,7,"[1, 2, 3, 4, 5, 6, 9]","[[1417.45361328125, 411.08087158203125, 1578.513916015625, 801.9089965820312], [582.687255859375, 442.3847351074219, 675.9309692382812, 707.2780151367188], [1515.4306640625, 422.5314636230469, 1661.62109375, 774.4093627929688], [446.6150207519531, 445.4576110839844, 565.1803588867188, 724.8659057617188], [730.3217163085938, 461.8916015625, 768.7567749023438, 572.8545532226562], [1255.819580078125, 445.4195556640625, 1291.77001953125, 546.5318603515625], [1089.5374755859375, 446.9381408691406, 1139.1126708984375, 560.8690185546875]]","[0.8817554712295532, 0.8403601050376892, 0.79952073097229, 0.8469813466072083, 0.5933108329772949, 0.37035390734672546, 0.3868105113506317]","[[1497.9837646484375, 801.9089965820312], [629.3091125488281, 707.2780151367188], [1588.52587890625, 774.4093627929688], [505.89768981933594, 724.8659057617188], [749.5392456054688, 572.8545532226562], [1273.7947998046875, 546.5318603515625], [1114.3250732421875, 560.8690185546875]]",1739780096,448,yolo26m.pt,MOT17-02
13,,7,"[1, 2, 3, 4, 5, 6, 9]","[[1430.750732421875, 415.3123779296875, 1585.8470458984375, 799.566162109375], [582.9783935546875, 442.7561950683594, 675.9927978515625, 706.7973022460938], [1523.0377197265625, 421.8829650878906, 1668.4188232421875, 778.538818359375], [446.99102783203125, 445.6184997558594, 566.8421020507812, 725.93115234375], [730.0032958984375, 461.744384765625, 768.512939453125, 573.6080932617188], [1255.6649169921875, 445.147216796875, 1291.701904296875, 546.59521484375], [1090.9862060546875, 446.5354919433594, 1138.3841552734375, 555.6671752929688]]","[0.8510705828666687, 0.8301798701286316, 0.7328962683677673, 0.859843373298645, 0.5413960218429565, 0.3315697908401489, 0.364144891500473]","[[1508.2988891601562, 799.566162109375], [629.485595703125, 706.7973022460938], [1595.728271484375, 778.538818359375], [506.91656494140625, 725.93115234375], [749.2581176757812, 573.6080932617188], [1273.6834106445312, 546.59521484375], [1114.6851806640625, 555.6671752929688]]",1739780096,448,yolo26m.pt,MOT17-02
