frame_id,inference_ms,n_detections,track_ids,bboxes_xyxy,confs,footpoints,mem_bytes,imgsz,model,seq
1,,6,"[1, 2, 3, 4, 5, 6]","[[577.2091674804688, 439.25042724609375, 681.4724731445312, 706.6546020507812], [1338.319091796875, 419.68560791015625, 1489.3170166015625, 785.0647583007812], [429.36181640625, 443.51751708984375, 547.38427734375, 719.3270874023438], [1444.271484375, 432.088623046875, 1593.7989501953125, 768.4107666015625], [726.1795654296875, 460.4154052734375, 767.1115112304688, 582.07373046875], [578.4383544921875, 442.71478271484375, 674.7796020507812, 705.3958129882812]]","[0.7618550658226013, 0.7560030817985535, 0.6260570287704468, 0.5666607618331909, 0.43199941515922546, 0.3288138210773468]","[[629.3408203125, 706.6546020507812], [1413.8180541992188, 785.0647583007812], [488.373046875, 719.3270874023438], [1519.0352172851562, 768.4107666015625], [746.6455383300781, 582.07373046875], [626.6089782714844, 705.3958129882812]]",1675182080,384,yolo26n.pt,MOT17-02
2,,6,"[1, 2, 3, 4, 5, 6]","[[577.610107421875, 437.86578369140625, 681.737060546875, 704.9112548828125], [1351.8123779296875, 423.7646179199219, 1501.55712890625, 785.1723022460938], [431.2242126464844, 444.7541809082031, 549.3265380859375, 720.552490234375], [1451.61083984375, 432.225341796875, 1601.603515625, 770.0611572265625], [725.4383544921875, 460.58892822265625, 765.448486328125, 579.4957275390625], [577.86279296875, 441.183349609375, 673.8734741210938, 703.0341796875]]","[0.7164110541343689, 0.6895108222961426, 0.5307298898696899, 0.444139301776886, 0.36588650941848755, 0.5814492702484131]","[[629.673583984375, 704.9112548828125], [1426.6847534179688, 785.1723022460938], [490.27537536621094, 720.552490234375], [1526.607177734375, 770.0611572265625], [745.4434204101562, 579.4957275390625], [625.8681335449219, 703.0341796875]]",1676718080,384,yolo26n.pt,MOT17-02
3,,6,"[1, 2, 3, 4, 5, 6]","[[579.4149169921875, 439.44140625, 683.2651977539062, 705.431640625], [1355.633544921875, 421.4013366699219, 1507.969482421875, 787.9172973632812], [429.8339538574219, 443.7643737792969, 549.3244018554688, 722.196044921875], [1456.9263916015625, 431.4754333496094, 1608.1119384765625, 773.0308837890625], [725.1409301757812, 462.2153015136719, 764.3926391601562, 578.866943359375], [579.5293579101562, 443.71844482421875, 674.851318359375, 703.4989013671875]]","[0.7175713777542114, 0.8019580841064453, 0.6538854837417603, 0.6239214539527893, 0.33248254656791687, 0.5482686758041382]","[[631.3400573730469, 705.431640625], [1431.801513671875, 787.9172973632812], [489.5791778564453, 722.196044921875], [1532.5191650390625, 773.0308837890625], [744.7667846679688, 578.866943359375], [627.1903381347656, 703.4989013671875]]",1676718080,384,yolo26n.pt,MOT17-02
4,,6,"[1, 2, 3, 4, 5, 6]","[[580.6460571289062, 440.0461120605469, 684.950439453125, 706.4598999023438], [1358.1201171875, 425.7646789550781, 1508.3441162109375, 785.8167114257812], [433.7361145019531, 444.2270202636719, 553.23779296875, 722.2610473632812], [1461.1885986328125, 430.654541015625, 1610.88525390625, 771.4746704101562], [726.65966796875, 463.3681640625, 765.3317260742188, 578.3721923828125], [580.5093994140625, 444.515380859375, 676.400634765625, 705.4724731445312]]","[0.7000247836112976, 0.7628808617591858, 0.5903641581535339, 0.6995828151702881, 0.29283055663108826, 0.4740683436393738]","[[632.7982482910156, 706.4598999023438], [1433.2321166992188, 785.8167114257812], [493.48695373535156, 722.2610473632812], [1536.0369262695312, 771.4746704101562], [745.9956970214844, 578.3721923828125], [628.4550170898438, 705.4724731445312]]",1676718080,384,yolo26n.pt,MOT17-02
5,,6,"[1, 2, 3, 4, 5, 6]","[[579.0552978515625, 441.0859375, 683.2301025390625, 706.85693359375], [1359.38818359375, 420.0302734375, 1514.933837890625, 791.987060546875], [439.6702880859375, 446.1410827636719, 558.5214233398438, 722.6133422851562], [1469.1785888671875, 434.46441650390625, 1616.1314697265625, 772.4862670898438], [727.4591064453125, 463.287841796875, 766.3637084960938, 578.86962890625], [579.5543823242188, 445.6331481933594, 675.091064453125, 705.2626953125]]","[0.6664859652519226, 0.587035059928894, 0.620307207107544, 0.7212457656860352, 0.3312284052371979, 0.6347750425338745]","[[631.1427001953125, 706.85693359375], [1437.1610107421875, 791.987060546875], [499.0958557128906, 722.6133422851562], [1542.655029296875, 772.4862670898438], [746.9114074707031, 578.86962890625], [627.3227233886719, 705.2626953125]]",1676718080,384,yolo26n.pt,MOT17-02
6,,6,"[1, 2, 3, 4, 5, 6]","[[576.5897827148438, 439.73419189453125, 681.4851684570312, 707.4714965820312], [1362.343994140625, 412.39892578125, 1521.629638671875, 794.832275390625], [439.84967041015625, 445.2490234375, 559.3619384765625, 722.9138793945312], [1477.634765625, 442.2680358886719, 1618.858154296875, 771.341552734375], [728.149658203125, 461.6983947753906, 767.2764282226562, 577.9249267578125], [578.3790893554688, 443.4233703613281, 674.8111572265625, 705.2674560546875]]","[0.7035812735557556, 0.8162983059883118, 0.6534822583198547, 0.38214167952537537, 0.33029904961586, 0.5671976804733276]","[[629.0374755859375, 707.4714965820312], [1441.98681640625, 794.832275390625], [499.6058044433594, 722.9138793945312], [1548.2464599609375, 771.341552734375], [747.7130432128906, 577.9249267578125], [626.5951232910156, 705.2674560546875]]",1676718080,384,yolo26n.pt,MOT17-02
7,,6,"[1, 2, 3, 4, 5, 6]","[[574.50634765625, 438.7650451660156, 679.821533203125, 707.9791870117188], [1367.3521728515625, 408.3285217285156, 1527.23046875, 794.84326171875], [440.0332946777344, 444.8061828613281, 560.2860717773438, 723.6783447265625], [1482.0323486328125, 445.1339111328125, 1620.6220703125, 773.2516479492188], [727.6779174804688, 460.8492736816406, 766.8090209960938, 577.12890625], [577.107421875, 443.0260314941406, 673.6639404296875, 705.052978515625]]","[0.7110405564308167, 0.8118622303009033, 0.6580750942230225, 0.6604581475257874, 0.3695903420448303, 0.6223629713058472]","[[627.1639404296875, 707.9791870117188], [1447.2913208007812, 794.84326171875], [500.15968322753906, 723.6783447265625], [1551.3272094726562, 773.2516479492188], [747.2434692382812, 577.12890625], [625.3856811523438, 705.052978515625]]",1676718080,384,yolo26n.pt,MOT17-02
8,,6,"[1, 2, 3, 4, 5, 6]","[[574.66015625, 437.8865051269531, 679.64111328125, 706.3831176757812], [1377.0989990234375, 405.3455810546875, 1535.190185546875, 791.1951293945312], [439.86468505859375, 443.8522033691406, 561.4450073242188, 723.6807250976562], [1485.4266357421875, 436.81427001953125, 1625.0826416015625, 773.6530151367188], [726.6375122070312, 459.68524169921875, 765.9076538085938, 576.2824096679688], [577.2108764648438, 442.5672607421875, 673.2294311523438, 702.6871948242188]]","[0.7214707136154175, 0.8275386095046997, 0.6980979442596436, 0.7902402281761169, 0.3406407833099365, 0.6072124242782593]","[[627.150634765625, 706.3831176757812], [1456.1445922851562, 791.1951293945312], [500.65484619140625, 723.6807250976562], [1555.254638671875, 773.6530151367188], [746.2725830078125, 576.2824096679688], [625.2201538085938, 702.6871948242188]]",1676718080,384,yolo26n.pt,MOT17-02
9,,7,"[1, 2, 3, 4, 5, 6, 8]","[[574.7037963867188, 437.83197021484375, 679.6242065429688, 706.1431884765625], [1387.3497314453125, 404.2654113769531, 1544.0430908203125, 792.1022338867188], [440.9346008300781, 442.4021911621094, 563.658935546875, 723.4105834960938], [1486.0921630859375, 432.29034423828125, 1625.0478515625, 772.5447387695312], [728.2681884765625, 462.662353515625, 765.759033203125, 573.8038330078125], [576.9246826171875, 442.630615234375, 672.8902587890625, 702.4952392578125], [660.5358276367188, 452.479248046875, 731.5499267578125, 641.883544921875]]","[0.7051780819892883, 0.819715142250061, 0.654553234577179, 0.7801162600517273, 0.2920090854167938, 0.6707454323768616, 0.3942042589187622]","[[627.1640014648438, 706.1431884765625], [1465.6964111328125, 792.1022338867188], [502.29676818847656, 723.4105834960938], [1555.5700073242188, 772.5447387695312], [747.0136108398438, 573.8038330078125], [624.907470703125, 702.4952392578125], [696.0428771972656, 641.883544921875]]",1676718080,384,yolo26n.pt,MOT17-02
10,,7,"[1, 2, 3, 4, 5, 6, 8]","[[576.9872436523438, 438.3387756347656, 681.9089965820312, 705.663330078125], [1399.2664794921875, 406.55584716796875, 1553.5478515625, 794.0905151367188], [444.0601501464844, 442.875, 566.6992797851562, 723.0302734375], [1493.927490234375, 423.3917541503906, 1634.4630126953125, 772.8995361328125], [728.6448974609375, 464.1192321777344, 765.8712768554688, 574.3905029296875], [578.5037841796875, 442.63360595703125, 674.7318115234375, 702.57275390625], [660.7049560546875, 452.863525390625, 731.0206909179688, 640.7199096679688]]","[0.7236580848693848, 0.8130018711090088, 0.6844028234481812, 0.7279939651489258, 0.329345703125, 0.5746843218803406, 0.33377841114997864]","[[629.4481201171875, 705.663330078125], [1476.4071655273438, 794.0905151367188], [505.3797149658203, 723.0302734375], [1564.1952514648438, 772.8995361328125], [747.2580871582031, 574.3905029296875], [626.6177978515625, 702.57275390625], [695.8628234863281, 640.7199096679688]]",1676718080,384,yolo26n.pt,MOT17-02
