frame_id,inference_ms,n_detections,track_ids,bboxes_xyxy,confs,footpoints,mem_bytes,imgsz,model,seq
1,,7,"[1, 2, 3, 4, 5, 6, 7]","[[582.88818359375, 442.0045166015625, 672.1803588867188, 706.9652099609375], [1338.0244140625, 417.22821044921875, 1506.2586669921875, 789.436767578125], [1447.4375, 432.1820068359375, 1601.2069091796875, 768.983154296875], [438.9444885253906, 442.4740295410156, 552.580078125, 721.2977294921875], [732.461669921875, 474.12115478515625, 764.1621704101562, 568.0164794921875], [1257.9150390625, 443.27166748046875, 1292.561767578125, 545.1207275390625], [936.0164184570312, 435.50543212890625, 971.2533569335938, 515.81103515625]]","[0.9193142056465149, 0.9186375737190247, 0.8890998363494873, 0.8826191425323486, 0.654729425907135, 0.5425101518630981, 0.3666769862174988]","[[627.5342712402344, 706.9652099609375], [1422.1415405273438, 789.436767578125], [1524.3222045898438, 768.983154296875], [495.7622833251953, 721.2977294921875], [748.3119201660156, 568.0164794921875], [1275.2384033203125, 545.1207275390625], [953.6348876953125, 515.81103515625]]",1714757632,576,yolo26s.pt,MOT17-02
2,,7,"[1, 2, 3, 4, 5, 6, 7]","[[583.43310546875, 442.37554931640625, 672.580810546875, 706.8174438476562], [1344.15087890625, 420.9765625, 1512.25927734375, 792.7922973632812], [1451.1373291015625, 431.7433166503906, 1605.2025146484375, 769.6282958984375], [440.7364196777344, 442.8888244628906, 554.0518188476562, 720.878662109375], [732.6604614257812, 475.2811584472656, 764.233154296875, 568.81494140625], [1257.6533203125, 443.05328369140625, 1292.3636474609375, 545.1210327148438], [935.8722534179688, 435.2515869140625, 971.0704956054688, 515.4689331054688]]","[0.9211848974227905, 0.9138184189796448, 0.8534625768661499, 0.8823107481002808, 0.6132288575172424, 0.5528002381324768, 0.4328693151473999]","[[628.0069580078125, 706.8174438476562], [1428.205078125, 792.7922973632812], [1528.169921875, 769.6282958984375], [497.3941192626953, 720.878662109375], [748.4468078613281, 568.81494140625], [1275.0084838867188, 545.1210327148438], [953.4713745117188, 515.4689331054688]]",1689542656,576,yolo26s.pt,MOT17-02
3,,8,"[1, 2, 3, 4, 5, 6, 7, 8]","[[583.841552734375, 442.7282409667969, 673.0462036132812, 707.1243896484375], [1348.2369384765625, 417.9133605957031, 1519.111083984375, 795.4685668945312], [1462.5421142578125, 435.955078125, 1613.82763671875, 769.3352661132812], [440.82281494140625, 443.62872314453125, 554.409912109375, 721.667236328125], [733.6737670898438, 478.3368835449219, 764.2594604492188, 568.7459106445312], [1257.7991943359375, 443.2415771484375, 1292.4080810546875, 545.08984375], [935.4544677734375, 434.88427734375, 971.262451171875, 516.5354614257812], [1022.2489624023438, 433.14276123046875, 1058.98779296875, 533.8455810546875]]","[0.9129480123519897, 0.9202338457107544, 0.8624546527862549, 0.8864665627479553, 0.6740383505821228, 0.5163606405258179, 0.39104753732681274, 0.4340997636318207]","[[628.4438781738281, 707.1243896484375], [1433.6740112304688, 795.4685668945312], [1538.1848754882812, 769.3352661132812], [497.6163635253906, 721.667236328125], [748.9666137695312, 568.7459106445312], [1275.1036376953125, 545.08984375], [953.3584594726562, 516.5354614257812], [1040.6183776855469, 533.8455810546875]]",1695629312,576,yolo26s.pt,MOT17-02
4,,8,"[1, 2, 3, 4, 5, 6, 7, 8]","[[584.48486328125, 443.246826171875, 673.5938720703125, 707.121826171875], [1349.65185546875, 415.22119140625, 1523.0875244140625, 798.413330078125], [1470.6019287109375, 432.3725280761719, 1622.826904296875, 770.0650634765625], [442.69268798828125, 443.692626953125, 556.7939453125, 722.2002563476562], [734.0424194335938, 478.6427917480469, 764.5556640625, 568.6089477539062], [1257.94140625, 443.6611328125, 1292.464111328125, 545.2080688476562], [935.5736083984375, 434.9568786621094, 971.0296630859375, 515.8900146484375], [1022.783935546875, 432.9845886230469, 1059.1888427734375, 532.7410278320312]]","[0.9219223856925964, 0.9115966558456421, 0.8562596440315247, 0.8887805938720703, 0.6988545656204224, 0.5527047514915466, 0.3470461368560791, 0.428549587726593]","[[629.0393676757812, 707.121826171875], [1436.3696899414062, 798.413330078125], [1546.7144165039062, 770.0650634765625], [499.7433166503906, 722.2002563476562], [749.2990417480469, 568.6089477539062], [1275.2027587890625, 545.2080688476562], [953.3016357421875, 515.8900146484375], [1040.9863891601562, 532.7410278320312]]",1695629312,576,yolo26s.pt,MOT17-02
5,,8,"[1, 2, 3, 4, 5, 6, 7, 8]","[[584.7236938476562, 443.2256164550781, 674.0410766601562, 707.3394165039062], [1354.786376953125, 415.6585388183594, 1528.8900146484375, 800.0288696289062], [1476.7919921875, 427.6495666503906, 1630.1881103515625, 770.4666137695312], [443.8043518066406, 444.2315673828125, 558.2880249023438, 722.5841674804688], [734.395263671875, 479.7989501953125, 764.7295532226562, 569.0338134765625], [1258.242919921875, 444.3946228027344, 1292.5416259765625, 545.1205444335938], [935.6167602539062, 435.1624755859375, 970.5377197265625, 514.9717407226562], [1023.2175903320312, 433.32568359375, 1059.37255859375, 532.4183959960938]]","[0.9342722296714783, 0.919175386428833, 0.8736802935600281, 0.8949198126792908, 0.7160924077033997, 0.46179693937301636, 0.36335450410842896, 0.36997970938682556]","[[629.3823852539062, 707.3394165039062], [1441.8381958007812, 800.0288696289062], [1553.4900512695312, 770.4666137695312], [501.0461883544922, 722.5841674804688], [749.5624084472656, 569.0338134765625], [1275.3922729492188, 545.1205444335938], [953.0772399902344, 514.9717407226562], [1041.2950744628906, 532.4183959960938]]",1695629312,576,yolo26s.pt,MOT17-02
6,,8,"[1, 2, 3, 4, 5, 6, 7, 8]","[[584.2863159179688, 443.3087158203125, 673.6083984375, 707.1710205078125], [1360.2921142578125, 415.866455078125, 1534.6588134765625, 801.0712280273438], [1481.2498779296875, 426.25250244140625, 1633.5528564453125, 770.6397705078125], [444.2860412597656, 444.2347717285156, 559.2822265625, 722.9314575195312], [734.3878173828125, 479.4002380371094, 764.9510498046875, 569.0738525390625], [1257.9302978515625, 444.999267578125, 1292.0103759765625, 545.0479125976562], [934.8250732421875, 435.19390869140625, 969.955322265625, 515.6194458007812], [1018.0482788085938, 430.4975891113281, 1054.1929931640625, 529.006103515625]]","[0.9305564165115356, 0.8920657634735107, 0.823093831539154, 0.8884240984916687, 0.7012088298797607, 0.5093672871589661, 0.4130405783653259, 0.33485573530197144]","[[628.9473571777344, 707.1710205078125], [1447.4754638671875, 801.0712280273438], [1557.4013671875, 770.6397705078125], [501.7841339111328, 722.9314575195312], [749.66943359375, 569.0738525390625], [1274.9703369140625, 545.0479125976562], [952.3901977539062, 515.6194458007812], [1036.1206359863281, 529.006103515625]]",1695629312,576,yolo26s.pt,MOT17-02
7,,7,"[1, 2, 3, 4, 5, 6, 7]","[[584.5145874023438, 443.3319396972656, 674.0760498046875, 707.3795166015625], [1364.1021728515625, 415.0846252441406, 1538.2242431640625, 801.217529296875], [1481.0601806640625, 426.5403137207031, 1630.810302734375, 771.1265258789062], [445.1221923828125, 445.4437561035156, 560.3284301757812, 723.7880859375], [733.6555786132812, 476.77960205078125, 765.22265625, 569.1732177734375], [1257.45458984375, 444.26739501953125, 1291.782958984375, 545.2101440429688], [934.3545532226562, 434.408203125, 969.51123046875, 515.0604858398438]]","[0.9172455668449402, 0.8939163684844971, 0.8258995413780212, 0.8833885192871094, 0.732489824295044, 0.5197094082832336, 0.30654165148735046]","[[629.2953186035156, 707.3795166015625], [1451.1632080078125, 801.217529296875], [1555.9352416992188, 771.1265258789062], [502.7253112792969, 723.7880859375], [749.4391174316406, 569.1732177734375], [1274.6187744140625, 545.2101440429688], [951.9328918457031, 515.0604858398438]]",1695629312,576,yolo26s.pt,MOT17-02
8,,8,"[1, 2, 3, 4, 5, 6, 7, 17]","[[584.0849609375, 443.178955078125, 674.1544799804688, 708.2223510742188], [1372.878662109375, 414.3758239746094, 1545.602294921875, 801.1922607421875], [1484.7464599609375, 424.8982849121094, 1632.016845703125, 771.4078979492188], [444.92364501953125, 445.1902160644531, 560.9806518554688, 724.3235473632812], [733.45263671875, 475.8728942871094, 765.6664428710938, 570.0625610351562], [1257.1640625, 444.1257019042969, 1291.59765625, 545.3604736328125], [933.032470703125, 433.58575439453125, 968.5380249023438, 515.3750610351562], [662.329833984375, 454.84625244140625, 715.9010009765625, 631.823974609375]]","[0.9173919558525085, 0.9010156393051147, 0.7841479778289795, 0.8822811245918274, 0.6849997043609619, 0.5160788893699646, 0.33888623118400574, 0.41305628418922424]","[[629.1197204589844, 708.2223510742188], [1459.240478515625, 801.1922607421875], [1558.3816528320312, 771.4078979492188], [502.9521484375, 724.3235473632812], [749.5595397949219, 570.0625610351562], [1274.380859375, 545.3604736328125], [950.7852478027344, 515.3750610351562], [689.1154174804688, 631.823974609375]]",1695629312,576,yolo26s.pt,MOT17-02
9,,9,"[1, 2, 3, 4, 5, 6, 7, 17, 20]","[[583.658203125, 443.06927490234375, 673.9196166992188, 708.5883178710938], [1383.1339111328125, 412.02789306640625, 1554.25341796875, 801.5641479492188], [1495.2822265625, 423.5634460449219, 1643.5328369140625, 771.4639282226562], [445.2810363769531, 445.6047668457031, 561.3651123046875, 723.524658203125], [733.240478515625, 475.8233642578125, 765.5641479492188, 570.1445922851562], [1256.5517578125, 442.7242431640625, 1291.503173828125, 545.436767578125], [932.3165893554688, 433.4383850097656, 968.2421875, 516.57666015625], [662.8007202148438, 455.14764404296875, 717.1097412109375, 634.356201171875], [1375.636962890625, 436.23797607421875, 1424.32373046875, 561.9736328125]]","[0.9288767576217651, 0.9175671339035034, 0.7467412948608398, 0.8809499740600586, 0.6542894840240479, 0.6060777902603149, 0.3930038809776306, 0.3912199139595032, 0.4232731759548187]","[[628.7889099121094, 708.5883178710938], [1468.6936645507812, 801.5641479492188], [1569.4075317382812, 771.4639282226562], [503.3230743408203, 723.524658203125], [749.4023132324219, 570.1445922851562], [1274.0274658203125, 545.436767578125], [950.2793884277344, 516.57666015625], [689.9552307128906, 634.356201171875], [1399.9803466796875, 561.9736328125]]",1695629312,576,yolo26s.pt,MOT17-02
10,,10,"[1, 2, 3, 4, 5, 6, 7, 17, 20, 21]","[[583.7371215820312, 442.7182312011719, 674.279296875, 708.684814453125], [1392.863037109375, 407.81817626953125, 1561.952392578125, 801.73876953125], [1510.6883544921875, 421.0222473144531, 1659.2884521484375, 770.8771362304688], [446.8668212890625, 446.0116882324219, 563.3114624023438, 723.2369384765625], [733.3115234375, 477.6105041503906, 765.2772216796875, 570.3765869140625], [1256.746826171875, 442.60882568359375, 1291.853271484375, 545.4688720703125], [932.1305541992188, 433.4946594238281, 968.4833374023438, 517.9989624023438], [664.154052734375, 456.75079345703125, 716.3690795898438, 628.5818481445312], [1375.135498046875, 435.5754089355469, 1424.050048828125, 561.8008422851562], [1082.93603515625, 441.8932800292969, 1134.6754150390625, 594.8380126953125]]","[0.931645929813385, 0.8886111974716187, 0.8481374979019165, 0.885318398475647, 0.6497073173522949, 0.6138337850570679, 0.4033944606781006, 0.5132701396942139, 0.3826639652252197, 0.3083897531032562]","[[629.0082092285156, 708.684814453125], [1477.40771484375, 801.73876953125], [1584.9884033203125, 770.8771362304688], [505.0891418457031, 723.2369384765625], [749.2943725585938, 570.3765869140625], [1274.300048828125, 545.4688720703125], [950.3069458007812, 517.9989624023438], [690.2615661621094, 628.5818481445312], [1399.5927734375, 561.8008422851562], [1108.8057250976562, 594.8380126953125]]",1695629312,576,yolo26s.pt,MOT17-02
