frame_id,inference_ms,n_detections,track_ids,bboxes_xyxy,confs,footpoints,mem_bytes,imgsz,model,seq
1,,14,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]","[[372.592529296875, 407.5745544433594, 451.242919921875, 647.7208251953125], [103.21255493164062, 545.8680419921875, 177.73486328125, 790.8894653320312], [1732.850341796875, 452.428955078125, 1806.26953125, 674.068115234375], [1355.794189453125, 569.8612060546875, 1438.874755859375, 790.275146484375], [0.6392288208007812, 880.2452392578125, 44.18174743652344, 1079.212158203125], [225.2576141357422, 399.74993896484375, 291.19305419921875, 599.7919921875], [1104.5869140625, 207.4735565185547, 1162.3465576171875, 389.51470947265625], [1046.8983154296875, 132.18133544921875, 1109.9725341796875, 316.24298095703125], [789.7264404296875, 144.94161987304688, 853.4191284179688, 324.0089111328125], [505.0416564941406, 138.0269775390625, 556.2813720703125, 310.5238952636719], [266.9266662597656, 374.0673828125, 327.95367431640625, 592.8326416015625], [1096.0499267578125, 980.4024047851562, 1170.5592041015625, 1080.0], [273.88409423828125, 380.6036376953125, 324.5915222167969, 587.98779296875], [548.7881469726562, 149.20077514648438, 602.3624267578125, 330.2446594238281]]","[0.8506575226783752, 0.8180193901062012, 0.724806010723114, 0.7028982043266296, 0.5932602286338806, 0.5862836837768555, 0.47821420431137085, 0.4594903290271759, 0.4523649215698242, 0.43339988589286804, 0.31918200850486755, 0.3115570545196533, 0.3112558424472809, 0.2768770456314087]","[[411.917724609375, 647.7208251953125], [140.4737091064453, 790.8894653320312], [1769.5599365234375, 674.068115234375], [1397.33447265625, 790.275146484375], [22.41048812866211, 1079.212158203125], [258.22533416748047, 599.7919921875], [1133.4667358398438, 389.51470947265625], [1078.4354248046875, 316.24298095703125], [821.5727844238281, 324.0089111328125], [530.6615142822266, 310.5238952636719], [297.44017028808594, 592.8326416015625], [1133.3045654296875, 1080.0], [299.23780822753906, 587.98779296875], [575.5752868652344, 330.2446594238281]]",87312896,640,yolo26n.pt,MOT17-04
2,,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14]","[[373.2109680175781, 407.37530517578125, 451.9532470703125, 647.7792358398438], [103.0270004272461, 546.0579833984375, 177.5366973876953, 791.0699462890625], [1732.4949951171875, 451.448486328125, 1805.88623046875, 672.9161376953125], [1356.1160888671875, 570.2169189453125, 1438.0418701171875, 787.5271606445312], [0.0, 877.8247680664062, 43.12086486816406, 1078.86572265625], [225.0504913330078, 398.4438171386719, 291.0985412597656, 598.7828979492188], [1100.0836181640625, 208.86138916015625, 1157.57958984375, 389.9259948730469], [1046.57861328125, 132.22523498535156, 1109.3955078125, 315.4557189941406], [790.2186279296875, 144.945556640625, 853.94140625, 324.0716857910156], [504.3629455566406, 137.17501831054688, 555.560546875, 309.5747375488281], [265.185791015625, 372.7934875488281, 326.7466735839844, 593.6798706054688], [272.71142578125, 382.5071716308594, 322.6731262207031, 586.8290405273438], [548.5020751953125, 150.15972900390625, 601.8515625, 330.5165100097656]]","[0.85673588514328, 0.8286454081535339, 0.7117634415626526, 0.7120808362960815, 0.44176799058914185, 0.5654104948043823, 0.4827829599380493, 0.4804086685180664, 0.46997952461242676, 0.3977794349193573, 0.3156498372554779, 0.3140830099582672, 0.3274027109146118]","[[412.5821075439453, 647.7792358398438], [140.2818489074707, 791.0699462890625], [1769.1906127929688, 672.9161376953125], [1397.0789794921875, 787.5271606445312], [21.56043243408203, 1078.86572265625], [258.0745162963867, 598.7828979492188], [1128.8316040039062, 389.9259948730469], [1077.987060546875, 315.4557189941406], [822.0800170898438, 324.0716857910156], [529.9617462158203, 309.5747375488281], [295.9662322998047, 593.6798706054688], [297.69227600097656, 586.8290405273438], [575.1768188476562, 330.5165100097656]]",87312896,640,yolo26n.pt,MOT17-04
3,,12,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 14]","[[373.5458984375, 407.1361389160156, 452.7247314453125, 649.013427734375], [103.47708892822266, 545.8265380859375, 178.21047973632812, 791.5889892578125], [1731.77392578125, 451.8713073730469, 1805.1632080078125, 673.3148803710938], [1356.5238037109375, 570.1447143554688, 1438.1141357421875, 786.5360717773438], [0.0, 876.2196044921875, 43.03562545776367, 1078.5006103515625], [223.98873901367188, 397.14300537109375, 290.838134765625, 599.7274169921875], [1095.8197021484375, 209.36068725585938, 1153.3275146484375, 389.7744445800781], [1046.3558349609375, 132.09841918945312, 1108.5849609375, 313.3719177246094], [789.8414916992188, 144.6951904296875, 853.5498046875, 323.7151184082031], [503.932373046875, 137.75997924804688, 554.4158935546875, 307.7254638671875], [262.9449768066406, 367.79974365234375, 326.3534851074219, 595.5072631835938], [548.2294311523438, 151.07373046875, 601.4957275390625, 331.1486511230469]]","[0.8437305688858032, 0.7089057564735413, 0.7041637301445007, 0.7131261825561523, 0.39720556139945984, 0.546066403388977, 0.5661708116531372, 0.5140420198440552, 0.4522373378276825, 0.405937135219574, 0.311664342880249, 0.3143722712993622]","[[413.13531494140625, 649.013427734375], [140.8437843322754, 791.5889892578125], [1768.4685668945312, 673.3148803710938], [1397.3189697265625, 786.5360717773438], [21.517812728881836, 1078.5006103515625], [257.41343688964844, 599.7274169921875], [1124.5736083984375, 389.7744445800781], [1077.4703979492188, 313.3719177246094], [821.6956481933594, 323.7151184082031], [529.1741333007812, 307.7254638671875], [294.64923095703125, 595.5072631835938], [574.8625793457031, 331.1486511230469]]",87312896,640,yolo26n.pt,MOT17-04
4,,12,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 14, 13]","[[373.45086669921875, 406.5107116699219, 452.6443786621094, 648.4673461914062], [103.1606216430664, 545.48876953125, 178.00006103515625, 791.6957397460938], [1730.813232421875, 451.8606872558594, 1803.370849609375, 670.6263427734375], [1356.9375, 570.27734375, 1438.677001953125, 786.8765869140625], [0.0, 875.8832397460938, 43.68058776855469, 1078.5672607421875], [223.28965759277344, 396.5506286621094, 290.7232971191406, 600.4406127929688], [1090.822021484375, 207.87832641601562, 1149.2275390625, 390.1144714355469], [1045.7921142578125, 132.5080108642578, 1108.0670166015625, 313.7254943847656], [789.9065551757812, 144.26271057128906, 853.489013671875, 322.922607421875], [502.47576904296875, 137.72659301757812, 552.9492797851562, 307.6877136230469], [547.8270874023438, 151.55819702148438, 600.7830200195312, 330.6051940917969], [270.79638671875, 384.3690490722656, 320.238525390625, 586.4378051757812]]","[0.8526356220245361, 0.8210080862045288, 0.7246389389038086, 0.715222179889679, 0.635600209236145, 0.5337928533554077, 0.5932061672210693, 0.43110647797584534, 0.46511414647102356, 0.3521840572357178, 0.3582906723022461, 0.3018178343772888]","[[413.04762268066406, 648.4673461914062], [140.58034133911133, 791.6957397460938], [1767.092041015625, 670.6263427734375], [1397.8072509765625, 786.8765869140625], [21.840293884277344, 1078.5672607421875], [257.00647735595703, 600.4406127929688], [1120.0247802734375, 390.1144714355469], [1076.9295654296875, 313.7254943847656], [821.6977844238281, 322.922607421875], [527.7125244140625, 307.6877136230469], [574.3050537109375, 330.6051940917969], [295.5174560546875, 586.4378051757812]]",87312896,640,yolo26n.pt,MOT17-04
5,,12,"[1, 2, 3, 4, 5, 6, 7, 9, 10, 14, 13, 12]","[[374.6138610839844, 406.00494384765625, 453.7556457519531, 648.0541381835938], [102.88336944580078, 545.4722290039062, 177.6419677734375, 791.6249389648438], [1729.8570556640625, 451.62652587890625, 1802.6004638671875, 670.8175048828125], [1356.9642333984375, 570.2324829101562, 1437.8935546875, 784.392578125], [0.11511334776878357, 874.4843139648438, 44.5113525390625, 1078.310546875], [224.21937561035156, 396.3180236816406, 291.6614074707031, 599.0756225585938], [1083.2322998046875, 209.1412353515625, 1141.94970703125, 389.06817626953125], [790.0702514648438, 145.15003967285156, 853.2498779296875, 322.4674987792969], [501.9632873535156, 138.44273376464844, 551.032958984375, 303.14447021484375], [547.2034301757812, 151.92080688476562, 600.728271484375, 332.8827819824219], [269.4159240722656, 382.19134521484375, 319.0652160644531, 585.2387084960938], [1108.3818359375, 976.579833984375, 1185.543701171875, 1080.0]]","[0.8610811829566956, 0.8304972052574158, 0.7597848773002625, 0.7470121383666992, 0.6517539024353027, 0.4009501338005066, 0.6106274127960205, 0.48929354548454285, 0.28565531969070435, 0.31423476338386536, 0.33447393774986267, 0.34735310077667236]","[[414.18475341796875, 648.0541381835938], [140.26266860961914, 791.6249389648438], [1766.228759765625, 670.8175048828125], [1397.4288940429688, 784.392578125], [22.313232943415642, 1078.310546875], [257.94039154052734, 599.0756225585938], [1112.5910034179688, 389.06817626953125], [821.6600646972656, 322.4674987792969], [526.4981231689453, 303.14447021484375], [573.9658508300781, 332.8827819824219], [294.2405700683594, 585.2387084960938], [1146.9627685546875, 1080.0]]",87312896,640,yolo26n.pt,MOT17-04
6,,12,"[1, 2, 3, 4, 5, 6, 7, 9, 10, 14, 13, 12]","[[375.52655029296875, 405.2538146972656, 454.2450256347656, 646.0996704101562], [103.10359954833984, 545.6299438476562, 177.74044799804688, 791.5636596679688], [1728.8934326171875, 453.526123046875, 1801.10791015625, 670.6744995117188], [1357.4351806640625, 570.2496948242188, 1438.030029296875, 783.3272094726562], [0.4412941336631775, 872.4501953125, 45.31220245361328, 1078.431396484375], [223.59771728515625, 393.0380859375, 292.3475341796875, 598.1708374023438], [1077.324951171875, 208.93092346191406, 1137.595947265625, 388.6180725097656], [789.1192626953125, 144.9146728515625, 852.6031494140625, 322.97723388671875], [502.0506591796875, 140.35910034179688, 550.553955078125, 302.76300048828125], [546.4601440429688, 153.0177459716797, 600.3960571289062, 335.36737060546875], [268.21087646484375, 381.34173583984375, 317.5646057128906, 583.897216796875], [1111.2130126953125, 975.38037109375, 1189.006591796875, 1080.0]]","[0.8515712022781372, 0.8267397880554199, 0.7620159983634949, 0.7540832757949829, 0.706531822681427, 0.34111666679382324, 0.6800680160522461, 0.5018107891082764, 0.36633720993995667, 0.28522318601608276, 0.3438325524330139, 0.26309913396835327]","[[414.8857879638672, 646.0996704101562], [140.42202377319336, 791.5636596679688], [1765.0006713867188, 670.6744995117188], [1397.7326049804688, 783.3272094726562], [22.87674829363823, 1078.431396484375], [257.9726257324219, 598.1708374023438], [1107.46044921875, 388.6180725097656], [820.8612060546875, 322.97723388671875], [526.3023071289062, 302.76300048828125], [573.4281005859375, 335.36737060546875], [292.8877410888672, 583.897216796875], [1150.1098022460938, 1080.0]]",87312896,640,yolo26n.pt,MOT17-04
7,,10,"[1, 2, 3, 4, 5, 6, 7, 9, 10, 13]","[[376.6614990234375, 403.997802734375, 455.3875427246094, 644.76416015625], [103.09483337402344, 545.5420532226562, 177.51785278320312, 790.9581909179688], [1728.532470703125, 453.76068115234375, 1799.9896240234375, 668.0160522460938], [1357.4810791015625, 570.4108276367188, 1437.9608154296875, 782.7925415039062], [0.8216264247894287, 871.1102294921875, 46.05443572998047, 1078.4927978515625], [222.13018798828125, 395.49371337890625, 290.25177001953125, 597.1180419921875], [1072.1668701171875, 208.14825439453125, 1134.962890625, 388.6986999511719], [789.2701416015625, 144.95201110839844, 852.9271850585938, 323.2605285644531], [501.84130859375, 142.02232360839844, 550.1422729492188, 303.39892578125], [267.802490234375, 381.6438293457031, 315.2296142578125, 576.0761108398438]]","[0.8533080816268921, 0.8324554562568665, 0.740685224533081, 0.7690598964691162, 0.6893417239189148, 0.300025999546051, 0.6520828604698181, 0.5210130214691162, 0.3858458697795868, 0.3787154257297516]","[[416.02452087402344, 644.76416015625], [140.30634307861328, 790.9581909179688], [1764.2610473632812, 668.0160522460938], [1397.720947265625, 782.7925415039062], [23.43803107738495, 1078.4927978515625], [256.19097900390625, 597.1180419921875], [1103.5648803710938, 388.6986999511719], [821.0986633300781, 323.2605285644531], [525.9917907714844, 303.39892578125], [291.51605224609375, 576.0761108398438]]",87312896,640,yolo26n.pt,MOT17-04
8,,10,"[1, 2, 3, 4, 5, 7, 9, 10, 13, 12]","[[377.6961364746094, 401.9132995605469, 456.14508056640625, 641.714111328125], [103.6509017944336, 545.9609375, 178.0744171142578, 791.4137573242188], [1727.5498046875, 454.1822509765625, 1798.1121826171875, 664.57958984375], [1357.207275390625, 570.1234130859375, 1438.1954345703125, 783.7088012695312], [1.0176671743392944, 869.0626831054688, 46.70801544189453, 1078.183837890625], [1070.127197265625, 210.48028564453125, 1134.565185546875, 388.45928955078125], [789.2725219726562, 145.4601593017578, 852.6990356445312, 322.7867431640625], [500.95050048828125, 141.93487548828125, 549.9141235351562, 305.2598876953125], [266.80718994140625, 380.8616027832031, 312.8960876464844, 569.14501953125], [1115.5499267578125, 972.8904418945312, 1194.5374755859375, 1079.926025390625]]","[0.8500901460647583, 0.7865407466888428, 0.757975161075592, 0.7451239228248596, 0.6582465171813965, 0.6415056586265564, 0.49929046630859375, 0.38595759868621826, 0.3165126442909241, 0.28562164306640625]","[[416.9206085205078, 641.714111328125], [140.8626594543457, 791.4137573242188], [1762.8309936523438, 664.57958984375], [1397.7013549804688, 783.7088012695312], [23.862841308116913, 1078.183837890625], [1102.34619140625, 388.45928955078125], [820.9857788085938, 322.7867431640625], [525.4323120117188, 305.2598876953125], [289.8516387939453, 569.14501953125], [1155.043701171875, 1079.926025390625]]",87312896,640,yolo26n.pt,MOT17-04
9,,9,"[1, 2, 3, 4, 5, 7, 9, 12, 14]","[[378.8071594238281, 401.043212890625, 456.95562744140625, 639.3607177734375], [103.34230041503906, 545.722900390625, 178.33236694335938, 792.7233276367188], [1726.4622802734375, 453.9590148925781, 1797.3604736328125, 664.4098510742188], [1357.1036376953125, 570.4432373046875, 1438.12158203125, 783.9859619140625], [0.8510539531707764, 866.8775634765625, 47.0428352355957, 1078.1392822265625], [1067.9969482421875, 212.50645446777344, 1134.1044921875, 386.93487548828125], [789.2582397460938, 145.52886962890625, 852.4166870117188, 321.70562744140625], [1119.76220703125, 972.790771484375, 1197.965087890625, 1079.86962890625], [543.5621337890625, 151.29225158691406, 598.3058471679688, 337.6640319824219]]","[0.8506383299827576, 0.6208117604255676, 0.7555635571479797, 0.743933379650116, 0.6005874276161194, 0.5827908515930176, 0.46393895149230957, 0.2965475022792816, 0.3002691864967346]","[[417.8813934326172, 639.3607177734375], [140.83733367919922, 792.7233276367188], [1761.911376953125, 664.4098510742188], [1397.6126098632812, 783.9859619140625], [23.94694459438324, 1078.1392822265625], [1101.0507202148438, 386.93487548828125], [820.8374633789062, 321.70562744140625], [1158.8636474609375, 1079.86962890625], [570.9339904785156, 337.6640319824219]]",87312896,640,yolo26n.pt,MOT17-04
10,,9,"[1, 2, 3, 4, 5, 7, 9, 12, 14]","[[379.51446533203125, 399.9151916503906, 457.4863586425781, 637.0597534179688], [103.4786605834961, 545.5997314453125, 178.70086669921875, 792.9526977539062], [1726.109375, 454.1978454589844, 1797.180419921875, 664.4364624023438], [1356.8277587890625, 569.7534790039062, 1438.552001953125, 784.919189453125], [0.7424356937408447, 864.22314453125, 47.40288162231445, 1077.385009765625], [1065.1219482421875, 213.67526245117188, 1133.3101806640625, 385.2574768066406], [788.9859008789062, 145.62684631347656, 852.5171508789062, 322.6826171875], [1123.9708251953125, 973.3876953125, 1200.790283203125, 1079.859375], [542.3422241210938, 150.72259521484375, 597.2825927734375, 339.087646484375]]","[0.8450623154640198, 0.7696157097816467, 0.7321667671203613, 0.7475742101669312, 0.6423439383506775, 0.4760855436325073, 0.4834657311439514, 0.3799365162849426, 0.3825991749763489]","[[418.5004119873047, 637.0597534179688], [141.08976364135742, 792.9526977539062], [1761.6448974609375, 664.4364624023438], [1397.6898803710938, 784.919189453125], [24.07265865802765, 1077.385009765625], [1099.216064453125, 385.2574768066406], [820.7515258789062, 322.6826171875], [1162.3805541992188, 1079.859375], [569.8124084472656, 339.087646484375]]",87312896,640,yolo26n.pt,MOT17-04
