frame_id,inference_ms,n_detections,track_ids,bboxes_xyxy,confs,footpoints,mem_bytes,imgsz,model,seq
1,,11,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[[102.13214111328125, 548.31201171875, 179.523193359375, 794.5479125976562], [370.3609619140625, 410.8186340332031, 451.9911804199219, 650.725341796875], [1097.203369140625, 979.1331176757812, 1170.69873046875, 1079.138916015625], [1359.22216796875, 572.1654052734375, 1432.932861328125, 791.6043090820312], [1734.12939453125, 456.6284484863281, 1806.2725830078125, 672.339111328125], [1040.987548828125, 130.91580200195312, 1109.866943359375, 315.27545166015625], [1794.979248046875, 206.36087036132812, 1847.2420654296875, 387.88970947265625], [546.014404296875, 147.30206298828125, 602.6427612304688, 329.3959045410156], [227.24061584472656, 396.4500732421875, 294.0623779296875, 603.0839233398438], [1636.133544921875, 261.7059326171875, 1699.2142333984375, 438.9645690917969], [63.765350341796875, 1061.08837890625, 99.86183166503906, 1079.1275634765625]]","[0.8092242479324341, 0.7984704971313477, 0.7869867086410522, 0.7352696061134338, 0.7171658873558044, 0.4706881642341614, 0.34903204441070557, 0.34593337774276733, 0.33377906680107117, 0.2956829369068146, 0.2744464874267578]","[[140.82766723632812, 794.5479125976562], [411.1760711669922, 650.725341796875], [1133.9510498046875, 1079.138916015625], [1396.0775146484375, 791.6043090820312], [1770.2009887695312, 672.339111328125], [1075.42724609375, 315.27545166015625], [1821.1106567382812, 387.88970947265625], [574.3285827636719, 329.3959045410156], [260.65149688720703, 603.0839233398438], [1667.6738891601562, 438.9645690917969], [81.81359100341797, 1079.1275634765625]]",1694781440,512,yolo26s.pt,MOT17-04
2,,8,"[1, 2, 3, 4, 5, 6, 8, 10]","[[102.10480499267578, 548.5227661132812, 179.4688262939453, 794.6658935546875], [371.7084655761719, 410.1026306152344, 453.25909423828125, 649.7700805664062], [1099.9317626953125, 979.2989501953125, 1173.372314453125, 1079.2596435546875], [1359.0426025390625, 571.925048828125, 1432.4652099609375, 790.4791259765625], [1733.1158447265625, 456.06878662109375, 1805.915283203125, 673.7813110351562], [1042.1260986328125, 132.4844512939453, 1108.4390869140625, 310.02728271484375], [544.7996826171875, 147.60194396972656, 601.3031616210938, 329.167236328125], [1633.94384765625, 260.7442321777344, 1697.79541015625, 440.1800537109375]]","[0.8247530460357666, 0.8106743693351746, 0.7416903376579285, 0.7561116218566895, 0.743938684463501, 0.4047275483608246, 0.3627183139324188, 0.3221181035041809]","[[140.78681564331055, 794.6658935546875], [412.48377990722656, 649.7700805664062], [1136.6520385742188, 1079.2596435546875], [1395.75390625, 790.4791259765625], [1769.5155639648438, 673.7813110351562], [1075.2825927734375, 310.02728271484375], [573.0514221191406, 329.167236328125], [1665.86962890625, 440.1800537109375]]",1700872192,512,yolo26s.pt,MOT17-04
3,,10,"[1, 2, 3, 4, 5, 6, 8, 10, 12, 13]","[[102.15968322753906, 548.5822143554688, 179.50115966796875, 794.6668701171875], [373.140869140625, 409.36065673828125, 454.9510498046875, 649.8067016601562], [1103.2166748046875, 978.9308471679688, 1176.85498046875, 1079.287353515625], [1359.3697509765625, 572.1275024414062, 1432.31396484375, 789.1483764648438], [1731.23681640625, 456.1528625488281, 1803.346923828125, 671.5090942382812], [1042.869384765625, 133.27236938476562, 1107.674072265625, 306.7894592285156], [544.9700317382812, 147.8080596923828, 601.6397705078125, 329.7754821777344], [1632.7215576171875, 260.1015930175781, 1697.0059814453125, 440.9349670410156], [0.15270493924617767, 876.1321411132812, 43.03313446044922, 1079.422119140625], [1090.184326171875, 210.05105590820312, 1149.8978271484375, 386.5845642089844]]","[0.8144882321357727, 0.7915703058242798, 0.7767678499221802, 0.7482698559761047, 0.7405778169631958, 0.36534789204597473, 0.3314979374408722, 0.3343771696090698, 0.33746469020843506, 0.5717416405677795]","[[140.8304214477539, 794.6668701171875], [414.04595947265625, 649.8067016601562], [1140.0358276367188, 1079.287353515625], [1395.8418579101562, 789.1483764648438], [1767.2918701171875, 671.5090942382812], [1075.271728515625, 306.7894592285156], [573.3049011230469, 329.7754821777344], [1664.86376953125, 440.9349670410156], [21.592919699847698, 1079.422119140625], [1120.0410766601562, 386.5845642089844]]",1700872192,512,yolo26s.pt,MOT17-04
4,,10,"[1, 2, 3, 4, 5, 6, 8, 10, 12, 13]","[[101.9259262084961, 548.2877197265625, 179.1728973388672, 794.0557250976562], [373.4903259277344, 408.3415222167969, 455.5260925292969, 649.4684448242188], [1106.4405517578125, 977.937744140625, 1180.5235595703125, 1079.161865234375], [1359.2301025390625, 571.9992065429688, 1433.0977783203125, 791.8115844726562], [1731.0689697265625, 456.47100830078125, 1802.84228515625, 670.707275390625], [1043.74365234375, 133.47105407714844, 1107.048095703125, 302.7627868652344], [544.3971557617188, 148.10549926757812, 601.3197631835938, 330.6488342285156], [1630.720458984375, 259.292236328125, 1694.85400390625, 440.1747741699219], [0.4889252483844757, 874.825927734375, 43.5726203918457, 1079.015625], [1086.42626953125, 209.52041625976562, 1146.6650390625, 387.07830810546875]]","[0.7964757084846497, 0.796968400478363, 0.7625591158866882, 0.7373275756835938, 0.7349072694778442, 0.2838643491268158, 0.2784351408481598, 0.3061025142669678, 0.3623645603656769, 0.31198257207870483]","[[140.54941177368164, 794.0557250976562], [414.5082092285156, 649.4684448242188], [1143.4820556640625, 1079.161865234375], [1396.1639404296875, 791.8115844726562], [1766.9556274414062, 670.707275390625], [1075.3958740234375, 302.7627868652344], [572.8584594726562, 330.6488342285156], [1662.7872314453125, 440.1747741699219], [22.03077282011509, 1079.015625], [1116.545654296875, 387.07830810546875]]",1700872192,512,yolo26s.pt,MOT17-04
5,,9,"[1, 2, 3, 4, 5, 10, 12, 13, 7]","[[101.9033203125, 548.212158203125, 179.09449768066406, 793.7896118164062], [374.5595703125, 407.6873474121094, 456.12005615234375, 647.5853271484375], [1109.2073974609375, 977.1454467773438, 1183.5113525390625, 1079.002685546875], [1359.5416259765625, 571.7935180664062, 1432.986572265625, 790.19287109375], [1729.4400634765625, 457.35113525390625, 1801.960205078125, 673.55810546875], [1629.63623046875, 258.7511901855469, 1693.5953369140625, 439.3909912109375], [1.0392316579818726, 872.8786010742188, 44.544944763183594, 1078.8226318359375], [1081.720703125, 208.3118896484375, 1143.0828857421875, 387.3893737792969], [1800.871337890625, 205.20645141601562, 1853.31884765625, 387.2480163574219]]","[0.8117920160293579, 0.8205156326293945, 0.7879030108451843, 0.7704110145568848, 0.7663580179214478, 0.2947992980480194, 0.6285408139228821, 0.5885915160179138, 0.2682495415210724]","[[140.49890899658203, 793.7896118164062], [415.3398132324219, 647.5853271484375], [1146.359375, 1079.002685546875], [1396.2640991210938, 790.19287109375], [1765.7001342773438, 673.55810546875], [1661.6157836914062, 439.3909912109375], [22.792088210582733, 1078.8226318359375], [1112.4017944335938, 387.3893737792969], [1827.0950927734375, 387.2480163574219]]",1700872192,512,yolo26s.pt,MOT17-04
6,,7,"[1, 2, 3, 4, 5, 12, 13]","[[101.90621948242188, 548.1287231445312, 179.17666625976562, 793.981201171875], [375.7669982910156, 406.8879699707031, 456.9024353027344, 645.6574096679688], [1112.6463623046875, 976.3109130859375, 1187.3751220703125, 1079.08740234375], [1359.480712890625, 571.7243041992188, 1433.2464599609375, 790.8854370117188], [1727.7691650390625, 457.530517578125, 1801.26123046875, 676.0629272460938], [1.333931803703308, 871.8674926757812, 45.126888275146484, 1078.784423828125], [1077.513671875, 207.62660217285156, 1140.2342529296875, 387.63299560546875]]","[0.7779990434646606, 0.7325533032417297, 0.7929031848907471, 0.7245102524757385, 0.7183607816696167, 0.64693284034729, 0.6409642696380615]","[[140.54144287109375, 793.981201171875], [416.334716796875, 645.6574096679688], [1150.0107421875, 1079.08740234375], [1396.3635864257812, 790.8854370117188], [1764.5151977539062, 676.0629272460938], [23.230410039424896, 1078.784423828125], [1108.8739624023438, 387.63299560546875]]",1700872192,512,yolo26s.pt,MOT17-04
7,,9,"[1, 2, 3, 4, 5, 12, 13, 8, 10]","[[102.07086944580078, 548.1703491210938, 179.22921752929688, 793.6700439453125], [376.4513244628906, 405.9434814453125, 457.35845947265625, 643.9745483398438], [1115.3365478515625, 975.7234497070312, 1190.112060546875, 1079.0794677734375], [1359.6104736328125, 571.4873657226562, 1433.274658203125, 790.1587524414062], [1727.6773681640625, 457.03778076171875, 1800.4888916015625, 672.9039306640625], [1.1312882900238037, 870.7550048828125, 45.226322174072266, 1078.8062744140625], [1072.571533203125, 206.3707733154297, 1137.4329833984375, 388.1502685546875], [541.7279663085938, 150.1653594970703, 599.091796875, 334.5771789550781], [1626.812255859375, 256.8956604003906, 1690.73828125, 438.1522521972656]]","[0.8008572459220886, 0.4310421645641327, 0.7936632633209229, 0.7500638961791992, 0.7277423143386841, 0.5873295068740845, 0.6529648303985596, 0.3153882920742035, 0.26147639751434326]","[[140.65004348754883, 793.6700439453125], [416.90489196777344, 643.9745483398438], [1152.7243041992188, 1079.0794677734375], [1396.4425659179688, 790.1587524414062], [1764.0831298828125, 672.9039306640625], [23.178805232048035, 1078.8062744140625], [1105.0022583007812, 388.1502685546875], [570.4098815917969, 334.5771789550781], [1658.7752685546875, 438.1522521972656]]",1700872192,512,yolo26s.pt,MOT17-04
8,,9,"[1, 2, 3, 4, 5, 12, 13, 8, 9]","[[102.13152313232422, 548.0889892578125, 179.318603515625, 793.7680053710938], [376.80072021484375, 403.88250732421875, 458.21405029296875, 643.405029296875], [1118.8199462890625, 975.0474853515625, 1193.53125, 1079.0811767578125], [1359.4749755859375, 571.6285400390625, 1433.1993408203125, 790.2716064453125], [1727.1947021484375, 456.5697937011719, 1799.5037841796875, 670.0748901367188], [0.8944721817970276, 868.6173706054688, 45.5009765625, 1078.8585205078125], [1069.0733642578125, 206.71095275878906, 1135.6219482421875, 388.01763916015625], [541.1747436523438, 149.99851989746094, 599.5239868164062, 338.2453308105469], [225.61801147460938, 394.5373840332031, 291.2037048339844, 592.9642944335938]]","[0.8073891997337341, 0.37867042422294617, 0.801175057888031, 0.7477751970291138, 0.7112834453582764, 0.4593949019908905, 0.6020812392234802, 0.3222030699253082, 0.31510910391807556]","[[140.7250633239746, 793.7680053710938], [417.50738525390625, 643.405029296875], [1156.1755981445312, 1079.0811767578125], [1396.337158203125, 790.2716064453125], [1763.3492431640625, 670.0748901367188], [23.197724372148514, 1078.8585205078125], [1102.34765625, 388.01763916015625], [570.349365234375, 338.2453308105469], [258.4108581542969, 592.9642944335938]]",1700872192,512,yolo26s.pt,MOT17-04
9,,9,"[1, 2, 3, 4, 5, 12, 13, 8, 9]","[[102.1934814453125, 547.8978271484375, 179.3621368408203, 793.5641479492188], [377.3043212890625, 402.1844482421875, 458.4830627441406, 640.656982421875], [1122.373046875, 974.99169921875, 1196.540283203125, 1079.080322265625], [1359.46240234375, 571.8701171875, 1433.1510009765625, 790.241455078125], [1726.339599609375, 456.5570373535156, 1798.6785888671875, 669.2304077148438], [0.6907245516777039, 866.8270874023438, 45.727561950683594, 1078.9385986328125], [1066.5205078125, 207.15036010742188, 1134.6544189453125, 386.7781677246094], [541.0584106445312, 151.12657165527344, 599.4578857421875, 340.0519714355469], [222.44056701660156, 392.740234375, 288.5198669433594, 590.036376953125]]","[0.7966306209564209, 0.7141795754432678, 0.8053470849990845, 0.7300162315368652, 0.697975754737854, 0.5789952874183655, 0.5492942929267883, 0.33888474106788635, 0.26455092430114746]","[[140.7778091430664, 793.5641479492188], [417.89369201660156, 640.656982421875], [1159.4566650390625, 1079.080322265625], [1396.3067016601562, 790.241455078125], [1762.5090942382812, 669.2304077148438], [23.20914325118065, 1078.9385986328125], [1100.5874633789062, 386.7781677246094], [570.2581481933594, 340.0519714355469], [255.48021697998047, 590.036376953125]]",1700872192,512,yolo26s.pt,MOT17-04
10,,8,"[1, 2, 3, 4, 5, 12, 13, 8]","[[102.2459716796875, 548.1071166992188, 179.41343688964844, 793.7695922851562], [377.6539611816406, 400.6485900878906, 458.49578857421875, 637.8572998046875], [1125.2366943359375, 975.1817626953125, 1198.6312255859375, 1078.970703125], [1358.9656982421875, 571.85205078125, 1433.314697265625, 792.0822143554688], [1725.982177734375, 456.2794494628906, 1798.3175048828125, 668.091552734375], [0.6340662837028503, 864.836669921875, 46.127044677734375, 1078.9013671875], [1062.6226806640625, 207.56932067871094, 1133.0343017578125, 386.959716796875], [541.1563110351562, 152.8755645751953, 598.8571166992188, 339.67340087890625]]","[0.8034154772758484, 0.6491703391075134, 0.791170597076416, 0.7524133920669556, 0.7549970149993896, 0.6621411442756653, 0.5193458795547485, 0.2943336069583893]","[[140.82970428466797, 793.7695922851562], [418.0748748779297, 637.8572998046875], [1161.9339599609375, 1078.970703125], [1396.1401977539062, 792.0822143554688], [1762.1498413085938, 668.091552734375], [23.380555480718613, 1078.9013671875], [1097.8284912109375, 386.959716796875], [570.0067138671875, 339.67340087890625]]",1700872192,512,yolo26s.pt,MOT17-04
