frame_id,inference_ms,n_detections,track_ids,bboxes_xyxy,confs,footpoints,mem_bytes,imgsz,model,seq
1,,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[[368.6181335449219, 410.1513671875, 451.4919738769531, 647.6552734375], [101.25386047363281, 548.0543212890625, 181.58682250976562, 796.7257690429688], [1735.329345703125, 459.1448974609375, 1806.2979736328125, 675.4095458984375], [1357.723876953125, 570.7327880859375, 1443.3448486328125, 798.4531860351562], [1104.4952392578125, 208.22488403320312, 1158.7591552734375, 386.78125], [1040.235107421875, 131.48648071289062, 1109.756591796875, 314.4745178222656], [0.16788482666015625, 879.067138671875, 44.68328094482422, 1077.806884765625], [267.2983703613281, 365.9986572265625, 325.1268310546875, 585.2664184570312], [1782.03271484375, 204.0821533203125, 1849.3558349609375, 388.8016357421875], [227.5857696533203, 403.17059326171875, 288.8509826660156, 595.6725463867188]]","[0.7618806958198547, 0.7462417483329773, 0.6629378199577332, 0.6279454231262207, 0.588401198387146, 0.44363924860954285, 0.38776934146881104, 0.3217519223690033, 0.2816683351993561, 0.26803073287010193]","[[410.0550537109375, 647.6552734375], [141.42034149169922, 796.7257690429688], [1770.8136596679688, 675.4095458984375], [1400.5343627929688, 798.4531860351562], [1131.627197265625, 386.78125], [1074.995849609375, 314.4745178222656], [22.425582885742188, 1077.806884765625], [296.2126007080078, 585.2664184570312], [1815.6942749023438, 388.8016357421875], [258.21837615966797, 595.6725463867188]]",798346752,448,yolo26x.pt,MOT17-04
2,,8,"[1, 2, 3, 4, 5, 6, 7, 9]","[[370.38824462890625, 409.9326171875, 453.1656494140625, 647.2156982421875], [101.49916076660156, 548.8063354492188, 181.25245666503906, 795.645263671875], [1734.461669921875, 457.9482116699219, 1805.785400390625, 675.1193237304688], [1357.7467041015625, 569.93994140625, 1443.874755859375, 798.9864501953125], [1099.326904296875, 207.9801483154297, 1153.7747802734375, 386.8059387207031], [1040.3226318359375, 131.45458984375, 1110.385986328125, 316.089599609375], [0.0, 876.8935546875, 44.723609924316406, 1077.5816650390625], [1785.7908935546875, 203.38870239257812, 1853.1202392578125, 388.5080871582031]]","[0.7806103825569153, 0.7421719431877136, 0.6975032687187195, 0.5692115426063538, 0.5345932841300964, 0.412869930267334, 0.38252994418144226, 0.27425169944763184]","[[411.7769470214844, 647.2156982421875], [141.3758087158203, 795.645263671875], [1770.12353515625, 675.1193237304688], [1400.8107299804688, 798.9864501953125], [1126.5508422851562, 386.8059387207031], [1075.3543090820312, 316.089599609375], [22.361804962158203, 1077.5816650390625], [1819.45556640625, 388.5080871582031]]",798346752,448,yolo26x.pt,MOT17-04
3,,7,"[1, 2, 3, 4, 5, 6, 7]","[[371.17413330078125, 409.628662109375, 454.2755126953125, 647.8170776367188], [101.59516906738281, 548.5038452148438, 181.49623107910156, 795.835693359375], [1732.8359375, 457.3348388671875, 1803.6104736328125, 672.439208984375], [1357.481201171875, 569.713623046875, 1443.629638671875, 798.8294677734375], [1093.99658203125, 207.71351623535156, 1148.63037109375, 386.1468200683594], [1041.1451416015625, 131.59410095214844, 1110.6258544921875, 315.17156982421875], [0.0, 875.8479614257812, 44.72732162475586, 1077.7607421875]]","[0.7787929773330688, 0.7509189248085022, 0.6808925271034241, 0.6277655959129333, 0.5349584221839905, 0.4148356318473816, 0.4534660279750824]","[[412.7248229980469, 647.8170776367188], [141.5457000732422, 795.835693359375], [1768.2232055664062, 672.439208984375], [1400.555419921875, 798.8294677734375], [1121.3134765625, 386.1468200683594], [1075.885498046875, 315.17156982421875], [22.36366081237793, 1077.7607421875]]",798346752,448,yolo26x.pt,MOT17-04
4,,8,"[1, 2, 3, 4, 5, 6, 7, 8]","[[371.7343444824219, 409.2727966308594, 454.7965393066406, 647.3236694335938], [101.62499237060547, 548.7215576171875, 181.39077758789062, 795.6953735351562], [1731.120361328125, 457.8380126953125, 1801.5618896484375, 671.5333862304688], [1357.5933837890625, 569.734619140625, 1444.097900390625, 799.6608276367188], [1089.3553466796875, 207.69989013671875, 1144.5439453125, 386.0770263671875], [1041.2420654296875, 131.95797729492188, 1109.436279296875, 312.5249938964844], [0.0, 874.2183837890625, 45.25700759887695, 1077.7816162109375], [259.6036682128906, 364.96270751953125, 319.14874267578125, 590.293701171875]]","[0.7489871978759766, 0.7525343298912048, 0.7015510201454163, 0.5655502080917358, 0.5117125511169434, 0.38996684551239014, 0.4885481297969818, 0.2724268138408661]","[[413.26544189453125, 647.3236694335938], [141.50788497924805, 795.6953735351562], [1766.3411254882812, 671.5333862304688], [1400.8456420898438, 799.6608276367188], [1116.9496459960938, 386.0770263671875], [1075.3391723632812, 312.5249938964844], [22.628503799438477, 1077.7816162109375], [289.37620544433594, 590.293701171875]]",798346752,448,yolo26x.pt,MOT17-04
5,,9,"[1, 2, 3, 4, 5, 6, 7, 16, 9]","[[373.0780334472656, 408.64398193359375, 455.95391845703125, 646.1862182617188], [101.85958862304688, 549.1759643554688, 181.46185302734375, 795.6782836914062], [1729.5924072265625, 456.6974182128906, 1800.9295654296875, 672.9442138671875], [1357.8135986328125, 569.9573364257812, 1444.0164794921875, 798.948486328125], [1083.5174560546875, 207.9564971923828, 1139.935791015625, 386.61944580078125], [1041.5440673828125, 133.3754119873047, 1108.0184326171875, 309.7303771972656], [0.0, 872.985107421875, 45.69096374511719, 1078.128173828125], [1109.461181640625, 976.3424682617188, 1184.1536865234375, 1079.4752197265625], [1791.852294921875, 203.60675048828125, 1859.310546875, 389.87091064453125]]","[0.7460172176361084, 0.7483997344970703, 0.7082431316375732, 0.5416591167449951, 0.4479868710041046, 0.400271475315094, 0.5363982915878296, 0.3294549286365509, 0.2521262764930725]","[[414.51597595214844, 646.1862182617188], [141.6607208251953, 795.6782836914062], [1765.260986328125, 672.9442138671875], [1400.9150390625, 798.948486328125], [1111.7266235351562, 386.61944580078125], [1074.78125, 309.7303771972656], [22.845481872558594, 1078.128173828125], [1146.8074340820312, 1079.4752197265625], [1825.5814208984375, 389.87091064453125]]",798346752,448,yolo26x.pt,MOT17-04
6,,10,"[1, 2, 3, 4, 5, 6, 7, 16, 9, 10]","[[374.5091857910156, 407.6431884765625, 457.01611328125, 644.3978881835938], [101.8001937866211, 547.9678344726562, 181.98214721679688, 796.3927612304688], [1727.8074951171875, 455.7458801269531, 1799.643310546875, 672.8950805664062], [1357.905517578125, 569.6244506835938, 1444.3082275390625, 799.0349731445312], [1077.9315185546875, 208.29425048828125, 1135.8665771484375, 386.23333740234375], [1041.8895263671875, 133.9802703857422, 1107.002197265625, 306.8651123046875], [0.015532714314758778, 872.2823486328125, 46.11148452758789, 1078.5887451171875], [1112.19580078125, 975.8953857421875, 1187.176025390625, 1079.5023193359375], [1793.9395751953125, 203.86129760742188, 1861.092041015625, 390.5027160644531], [218.91378784179688, 393.3673400878906, 283.58447265625, 596.316650390625]]","[0.7395222187042236, 0.7413501143455505, 0.6680980920791626, 0.5583215951919556, 0.47239941358566284, 0.32825955748558044, 0.5412927865982056, 0.34006235003471375, 0.25125834345817566, 0.3344041109085083]","[[415.7626495361328, 644.3978881835938], [141.89117050170898, 796.3927612304688], [1763.7254028320312, 672.8950805664062], [1401.1068725585938, 799.0349731445312], [1106.8990478515625, 386.23333740234375], [1074.4458618164062, 306.8651123046875], [23.063508620951325, 1078.5887451171875], [1149.6859130859375, 1079.5023193359375], [1827.5158081054688, 390.5027160644531], [251.24913024902344, 596.316650390625]]",798346752,448,yolo26x.pt,MOT17-04
7,,9,"[1, 2, 3, 4, 5, 6, 7, 16, 9]","[[375.29656982421875, 406.572021484375, 457.8001708984375, 643.5310668945312], [101.99996948242188, 548.5294799804688, 181.8971405029297, 796.1410522460938], [1726.878662109375, 455.447509765625, 1798.25, 670.5103759765625], [1357.6058349609375, 569.5322265625, 1444.186279296875, 799.3339233398438], [1072.587646484375, 208.3886260986328, 1132.884521484375, 386.369873046875], [1042.505859375, 134.9150390625, 1105.1566162109375, 300.8389587402344], [0.09767404198646545, 870.8685302734375, 46.53866195678711, 1078.7470703125], [1115.0361328125, 975.2958374023438, 1190.1802978515625, 1079.3529052734375], [1795.7745361328125, 204.512939453125, 1862.322509765625, 390.71234130859375]]","[0.7430223822593689, 0.7452514171600342, 0.684225857257843, 0.5607507228851318, 0.4537137448787689, 0.2669355869293213, 0.5429004430770874, 0.3676114082336426, 0.26465263962745667]","[[416.5483703613281, 643.5310668945312], [141.94855499267578, 796.1410522460938], [1762.5643310546875, 670.5103759765625], [1400.8960571289062, 799.3339233398438], [1102.736083984375, 386.369873046875], [1073.8312377929688, 300.8389587402344], [23.318167999386787, 1078.7470703125], [1152.6082153320312, 1079.3529052734375], [1829.0485229492188, 390.71234130859375]]",798346752,448,yolo26x.pt,MOT17-04
8,,8,"[1, 2, 3, 4, 5, 7, 16, 9]","[[375.7274475097656, 404.2032775878906, 458.17144775390625, 641.0154418945312], [102.22178649902344, 548.9510498046875, 181.85195922851562, 795.8251342773438], [1726.459228515625, 455.49957275390625, 1797.6011962890625, 669.1142578125], [1357.535400390625, 569.7227172851562, 1444.002685546875, 799.0042114257812], [1069.70849609375, 208.9222869873047, 1132.1766357421875, 385.72698974609375], [0.3247532844543457, 869.0095825195312, 47.204681396484375, 1078.7232666015625], [1118.3948974609375, 974.8347778320312, 1193.377685546875, 1079.0732421875], [1797.0740966796875, 205.79615783691406, 1862.96240234375, 391.1405944824219]]","[0.741731584072113, 0.7265294790267944, 0.6933243274688721, 0.5690223574638367, 0.44390571117401123, 0.5315736532211304, 0.4161379635334015, 0.3007034659385681]","[[416.94944763183594, 641.0154418945312], [142.03687286376953, 795.8251342773438], [1762.0302124023438, 669.1142578125], [1400.76904296875, 799.0042114257812], [1100.9425659179688, 385.72698974609375], [23.76471734046936, 1078.7232666015625], [1155.8862915039062, 1079.0732421875], [1830.0182495117188, 391.1405944824219]]",798346752,448,yolo26x.pt,MOT17-04
9,,8,"[1, 2, 3, 4, 5, 7, 16, 9]","[[376.4678039550781, 401.74676513671875, 459.0787353515625, 638.7396240234375], [102.27465057373047, 548.9910888671875, 181.86146545410156, 795.7880249023438], [1726.14013671875, 455.9707946777344, 1796.7906494140625, 667.12744140625], [1357.338623046875, 569.3168334960938, 1443.8699951171875, 798.4862670898438], [1066.9349365234375, 209.40211486816406, 1131.7926025390625, 385.0677795410156], [0.043925315141677856, 867.0194702148438, 47.371578216552734, 1078.9512939453125], [1122.1868896484375, 975.2972412109375, 1196.63671875, 1079.2178955078125], [1797.5284423828125, 207.37399291992188, 1863.12548828125, 392.6922607421875]]","[0.7315688133239746, 0.7404878735542297, 0.6921085715293884, 0.5757448077201843, 0.4602791666984558, 0.5712997317314148, 0.3963378071784973, 0.2960379719734192]","[[417.7732696533203, 638.7396240234375], [142.06805801391602, 795.7880249023438], [1761.4653930664062, 667.12744140625], [1400.6043090820312, 798.4862670898438], [1099.36376953125, 385.0677795410156], [23.707751765847206, 1078.9512939453125], [1159.4118041992188, 1079.2178955078125], [1830.3269653320312, 392.6922607421875]]",798346752,448,yolo26x.pt,MOT17-04
10,,9,"[1, 2, 3, 4, 5, 7, 16, 9, 10]","[[376.7488708496094, 400.09954833984375, 459.1549987792969, 636.115234375], [102.32601165771484, 549.101806640625, 181.7493133544922, 795.5010986328125], [1726.000244140625, 456.25152587890625, 1796.8807373046875, 667.3980712890625], [1357.1251220703125, 569.0963745117188, 1443.8038330078125, 798.36376953125], [1063.2869873046875, 208.4907684326172, 1131.200927734375, 384.9485778808594], [0.0, 864.7107543945312, 47.6385383605957, 1079.7081298828125], [1125.9376220703125, 975.5953369140625, 1200.054931640625, 1079.6280517578125], [1797.8013916015625, 209.3302459716797, 1863.4454345703125, 395.417236328125], [217.10833740234375, 388.8949279785156, 279.6410827636719, 582.9384765625]]","[0.7269341945648193, 0.7321450710296631, 0.694276750087738, 0.567852795124054, 0.4252755641937256, 0.5651496648788452, 0.43194568157196045, 0.35406458377838135, 0.28635239601135254]","[[417.9519348144531, 636.115234375], [142.03766250610352, 795.5010986328125], [1761.4404907226562, 667.3980712890625], [1400.4644775390625, 798.36376953125], [1097.2439575195312, 384.9485778808594], [23.81926918029785, 1079.7081298828125], [1162.9962768554688, 1079.6280517578125], [1830.6234130859375, 395.417236328125], [248.3747100830078, 582.9384765625]]",798346752,448,yolo26x.pt,MOT17-04
