frame_id,inference_ms,n_detections,track_ids,bboxes_xyxy,confs,footpoints,mem_bytes,imgsz,model,seq
1,,8,"[1, 2, 3, 4, 5, 6, 7, 8]","[[1696.72265625, 388.4367980957031, 1867.356689453125, 729.72998046875], [1255.8115234375, 539.1224975585938, 1315.240478515625, 655.7708129882812], [1289.8214111328125, 460.95263671875, 1359.0255126953125, 659.369873046875], [0.391998291015625, 343.40228271484375, 116.70606994628906, 901.1434936523438], [247.62582397460938, 455.7249755859375, 353.9969482421875, 704.476806640625], [119.18624877929688, 505.26025390625, 202.7750244140625, 744.43994140625], [1887.8973388671875, 393.38897705078125, 1919.29345703125, 558.5554809570312], [860.8179931640625, 524.1741943359375, 900.1444702148438, 628.2160034179688]]","[0.9104964733123779, 0.8838149905204773, 0.8718377947807312, 0.8256658315658569, 0.7698125839233398, 0.4635014235973358, 0.31235238909721375, 0.2731457054615021]","[[1782.0396728515625, 729.72998046875], [1285.5260009765625, 655.7708129882812], [1324.4234619140625, 659.369873046875], [58.549034118652344, 901.1434936523438], [300.81138610839844, 704.476806640625], [160.9806365966797, 744.43994140625], [1903.5953979492188, 558.5554809570312], [880.4812316894531, 628.2160034179688]]",1658134528,640,yolo26m.pt,MOT17-09
2,,8,"[1, 2, 3, 4, 5, 6, 7, 8]","[[1689.598388671875, 387.2054748535156, 1860.3380126953125, 729.0029907226562], [1257.4725341796875, 539.9567260742188, 1317.005859375, 656.8861694335938], [1291.6109619140625, 460.7547607421875, 1360.9158935546875, 659.8096923828125], [0.7606709599494934, 337.5549011230469, 118.32964324951172, 901.2013549804688], [250.26348876953125, 457.3685607910156, 356.1548767089844, 705.01513671875], [116.20281982421875, 508.5392761230469, 198.674072265625, 744.7550659179688], [1884.8424072265625, 387.39361572265625, 1918.197021484375, 562.6095581054688], [860.1334228515625, 524.8228759765625, 899.2977905273438, 628.3916625976562]]","[0.9152598977088928, 0.8489003777503967, 0.8609706163406372, 0.8708060383796692, 0.7511788010597229, 0.670953631401062, 0.37894803285598755, 0.26590001583099365]","[[1774.9682006835938, 729.0029907226562], [1287.2391967773438, 656.8861694335938], [1326.263427734375, 659.8096923828125], [59.545157104730606, 901.2013549804688], [303.2091827392578, 705.01513671875], [157.43844604492188, 744.7550659179688], [1901.5197143554688, 562.6095581054688], [879.7156066894531, 628.3916625976562]]",1665392640,640,yolo26m.pt,MOT17-09
3,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1686.0677490234375, 386.1172790527344, 1857.187744140625, 729.076416015625], [1257.6585693359375, 541.0894775390625, 1316.8990478515625, 657.7965698242188], [1292.1527099609375, 460.4746398925781, 1361.3538818359375, 659.8580932617188], [1.0508040189743042, 324.7796325683594, 121.64005279541016, 902.7218627929688], [256.9568786621094, 456.5482177734375, 363.0484924316406, 705.4210205078125], [119.84032440185547, 507.9957275390625, 202.5321044921875, 744.6455078125], [1883.4736328125, 386.35040283203125, 1917.4268798828125, 564.0818481445312]]","[0.9098523855209351, 0.8134632706642151, 0.853824257850647, 0.8655707836151123, 0.7020915746688843, 0.6339522004127502, 0.3167398273944855]","[[1771.6277465820312, 729.076416015625], [1287.27880859375, 657.7965698242188], [1326.7532958984375, 659.8580932617188], [61.34542840719223, 902.7218627929688], [310.002685546875, 705.4210205078125], [161.18621444702148, 744.6455078125], [1900.4502563476562, 564.0818481445312]]",1677840384,640,yolo26m.pt,MOT17-09
4,,7,"[1, 2, 3, 4, 5, 6, 8]","[[1683.25537109375, 386.3145446777344, 1854.3060302734375, 729.9461059570312], [1259.2540283203125, 541.5628662109375, 1318.1004638671875, 658.1152954101562], [1295.4169921875, 460.5540771484375, 1364.2420654296875, 659.5306396484375], [0.0, 277.89532470703125, 129.17982482910156, 904.047119140625], [258.0216979980469, 457.2648620605469, 363.6252746582031, 705.7808227539062], [121.88797760009766, 508.6814270019531, 204.40524291992188, 744.5889282226562], [861.59326171875, 523.821044921875, 900.9185791015625, 627.745361328125]]","[0.9062647819519043, 0.7892573475837708, 0.8329501748085022, 0.8425489664077759, 0.7874753475189209, 0.6756632328033447, 0.2821757197380066]","[[1768.7807006835938, 729.9461059570312], [1288.67724609375, 658.1152954101562], [1329.8295288085938, 659.5306396484375], [64.58991241455078, 904.047119140625], [310.823486328125, 705.7808227539062], [163.14661026000977, 744.5889282226562], [881.2559204101562, 627.745361328125]]",1677840384,640,yolo26m.pt,MOT17-09
5,,7,"[1, 2, 3, 4, 5, 6, 8]","[[1681.1051025390625, 386.4861145019531, 1852.79638671875, 732.5107421875], [1261.0440673828125, 540.7709350585938, 1319.7275390625, 658.2987670898438], [1298.0125732421875, 460.2275390625, 1366.554443359375, 659.1309204101562], [1.410666823387146, 248.90371704101562, 138.93919372558594, 907.8110961914062], [259.7096862792969, 457.10723876953125, 364.9732971191406, 706.2769775390625], [122.56938934326172, 515.2490234375, 203.2212677001953, 745.32958984375], [862.8510131835938, 522.9148559570312, 902.2529907226562, 627.2098999023438]]","[0.9098719358444214, 0.7741386294364929, 0.8508408665657043, 0.7617986798286438, 0.43213406205177307, 0.6488544940948486, 0.25079989433288574]","[[1766.9507446289062, 732.5107421875], [1290.3858032226562, 658.2987670898438], [1332.2835083007812, 659.1309204101562], [70.17493027448654, 907.8110961914062], [312.34149169921875, 706.2769775390625], [162.89532852172852, 745.32958984375], [882.552001953125, 627.2098999023438]]",1677848576,640,yolo26m.pt,MOT17-09
6,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1680.51611328125, 386.8453674316406, 1852.612060546875, 735.4154052734375], [1263.6014404296875, 540.6217041015625, 1321.6099853515625, 658.5473022460938], [1299.636474609375, 459.54376220703125, 1368.2369384765625, 659.3565063476562], [1.04426109790802, 236.19610595703125, 141.6555938720703, 909.626953125], [260.48931884765625, 457.1252136230469, 365.04052734375, 706.2655029296875], [122.63105010986328, 510.75408935546875, 204.99111938476562, 745.4219970703125], [1878.8702392578125, 365.9932556152344, 1919.023681640625, 576.197265625]]","[0.907477855682373, 0.7705258131027222, 0.8568127155303955, 0.7644240856170654, 0.8072584867477417, 0.7049268484115601, 0.6048092842102051]","[[1766.5640869140625, 735.4154052734375], [1292.605712890625, 658.5473022460938], [1333.9367065429688, 659.3565063476562], [71.34992748498917, 909.626953125], [312.7649230957031, 706.2655029296875], [163.81108474731445, 745.4219970703125], [1898.9469604492188, 576.197265625]]",1677959168,640,yolo26m.pt,MOT17-09
7,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1680.4600830078125, 387.5312805175781, 1851.7760009765625, 737.0868530273438], [1266.545166015625, 539.4642944335938, 1324.0855712890625, 658.5609130859375], [1302.041259765625, 458.2362365722656, 1370.8848876953125, 659.5570068359375], [3.5000176429748535, 227.9385986328125, 145.59852600097656, 905.7821655273438], [263.3808288574219, 457.42486572265625, 366.4883728027344, 705.6134033203125], [121.94619750976562, 518.3860473632812, 201.80784606933594, 745.4636840820312], [1875.300537109375, 352.3287048339844, 1918.937255859375, 580.4964599609375]]","[0.905197262763977, 0.8038744926452637, 0.7844909429550171, 0.6527249217033386, 0.8021690249443054, 0.6446601748466492, 0.776233434677124]","[[1766.1180419921875, 737.0868530273438], [1295.3153686523438, 658.5609130859375], [1336.4630737304688, 659.5570068359375], [74.54927182197571, 905.7821655273438], [314.9346008300781, 705.6134033203125], [161.87702178955078, 745.4636840820312], [1897.118896484375, 580.4964599609375]]",1677959168,640,yolo26m.pt,MOT17-09
8,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1681.696044921875, 388.0141296386719, 1851.9766845703125, 738.0985107421875], [1269.1673583984375, 539.4208374023438, 1325.5247802734375, 658.4965209960938], [1304.41015625, 457.74176025390625, 1373.34423828125, 659.75732421875], [7.900885581970215, 224.10321044921875, 151.83497619628906, 904.1859741210938], [265.0096435546875, 456.6932067871094, 367.1217346191406, 705.3629760742188], [120.31060028076172, 514.7887573242188, 201.43170166015625, 745.4417114257812], [1873.7091064453125, 347.0283508300781, 1919.01318359375, 583.7528686523438]]","[0.9031170606613159, 0.770294725894928, 0.7802855372428894, 0.9427101016044617, 0.8028325438499451, 0.6396577954292297, 0.7951033711433411]","[[1766.8363647460938, 738.0985107421875], [1297.3460693359375, 658.4965209960938], [1338.877197265625, 659.75732421875], [79.86793088912964, 904.1859741210938], [316.06568908691406, 705.3629760742188], [160.87115097045898, 745.4417114257812], [1896.3611450195312, 583.7528686523438]]",1678278656,640,yolo26m.pt,MOT17-09
9,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1683.9468994140625, 389.38787841796875, 1853.0997314453125, 739.1185302734375], [1271.624267578125, 539.0790405273438, 1327.161865234375, 659.1024780273438], [1306.522216796875, 457.6671447753906, 1375.5599365234375, 660.102294921875], [9.670872688293457, 222.53115844726562, 155.3379364013672, 903.7717895507812], [268.0420837402344, 456.745361328125, 368.2873229980469, 704.4937744140625], [120.28874206542969, 515.6270141601562, 200.92706298828125, 745.1273193359375], [1872.4173583984375, 345.30340576171875, 1918.9769287109375, 588.3138427734375]]","[0.9130647778511047, 0.7650392651557922, 0.8276892900466919, 0.9449628591537476, 0.7555040121078491, 0.6287215352058411, 0.7993066310882568]","[[1768.5233154296875, 739.1185302734375], [1299.39306640625, 659.1024780273438], [1341.0410766601562, 660.102294921875], [82.50440454483032, 903.7717895507812], [318.1647033691406, 704.4937744140625], [160.60790252685547, 745.1273193359375], [1895.6971435546875, 588.3138427734375]]",1678278656,640,yolo26m.pt,MOT17-09
10,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1682.9005126953125, 390.0215148925781, 1851.834228515625, 741.8587646484375], [1274.204833984375, 539.1925048828125, 1329.1468505859375, 660.3778686523438], [1311.3343505859375, 457.6147155761719, 1380.8656005859375, 659.6051635742188], [12.480255126953125, 222.83673095703125, 160.07379150390625, 903.3327026367188], [269.1956787109375, 456.45098876953125, 368.0581359863281, 704.1749877929688], [120.961181640625, 515.951904296875, 201.43304443359375, 745.1517333984375], [1870.7991943359375, 347.3077697753906, 1918.522705078125, 595.5120849609375]]","[0.9035308361053467, 0.78944331407547, 0.8197982907295227, 0.9298416972160339, 0.7873285412788391, 0.6086499094963074, 0.7951638698577881]","[[1767.3673706054688, 741.8587646484375], [1301.6758422851562, 660.3778686523438], [1346.0999755859375, 659.6051635742188], [86.27702331542969, 903.3327026367188], [318.6269073486328, 704.1749877929688], [161.19711303710938, 745.1517333984375], [1894.6609497070312, 595.5120849609375]]",1678278656,640,yolo26m.pt,MOT17-09
