frame_id,inference_ms,n_detections,track_ids,bboxes_xyxy,confs,footpoints,mem_bytes,imgsz,model,seq
1,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1698.424072265625, 388.8690185546875, 1867.2276611328125, 727.952880859375], [1287.461181640625, 462.1995849609375, 1358.4989013671875, 656.7625732421875], [1256.1893310546875, 538.5604858398438, 1312.7911376953125, 654.8916625976562], [252.52545166015625, 454.5694274902344, 352.4599609375, 704.1868896484375], [0.1126708984375, 340.5450439453125, 118.82801818847656, 901.4892578125], [122.57029724121094, 512.0390625, 215.04953002929688, 741.936279296875], [1887.6922607421875, 394.353271484375, 1918.9510498046875, 563.7119140625]]","[0.9154012799263, 0.84016352891922, 0.8395020365715027, 0.7305174469947815, 0.6780713796615601, 0.6334618330001831, 0.5779418349266052]","[[1782.8258666992188, 727.952880859375], [1322.9800415039062, 656.7625732421875], [1284.490234375, 654.8916625976562], [302.4927062988281, 704.1868896484375], [59.47034454345703, 901.4892578125], [168.8099136352539, 741.936279296875], [1903.3216552734375, 563.7119140625]]",335097344,448,yolo26x.pt,MOT17-09
2,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1692.2686767578125, 388.7044677734375, 1861.146728515625, 727.7652587890625], [1289.23876953125, 462.7795104980469, 1360.1109619140625, 657.2406616210938], [1258.1695556640625, 537.4052124023438, 1315.8548583984375, 655.9408569335938], [255.81613159179688, 454.75677490234375, 355.6028137207031, 704.1166381835938], [0.9483766555786133, 337.83544921875, 120.36976623535156, 901.9488525390625], [120.8488998413086, 508.7835388183594, 214.6627655029297, 742.1476440429688], [1885.3199462890625, 393.2063293457031, 1917.9404296875, 569.6860961914062]]","[0.9109468460083008, 0.8654853105545044, 0.8327141404151917, 0.7389534115791321, 0.8908665776252747, 0.49847081303596497, 0.6515945792198181]","[[1776.7077026367188, 727.7652587890625], [1324.6748657226562, 657.2406616210938], [1287.01220703125, 655.9408569335938], [305.70947265625, 704.1166381835938], [60.65907144546509, 901.9488525390625], [167.75583267211914, 742.1476440429688], [1901.6301879882812, 569.6860961914062]]",335097344,448,yolo26x.pt,MOT17-09
3,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1686.5130615234375, 389.08111572265625, 1855.435791015625, 727.83642578125], [1291.1256103515625, 461.9843444824219, 1362.2657470703125, 657.8681640625], [1258.3809814453125, 537.4317626953125, 1316.0816650390625, 656.216552734375], [256.9568786621094, 456.0496520996094, 356.3721923828125, 704.5860595703125], [4.572566509246826, 323.0666198730469, 127.56086730957031, 902.6032104492188], [119.97212982177734, 509.1648864746094, 213.66836547851562, 742.5670166015625], [1883.0601806640625, 390.9686584472656, 1917.225341796875, 575.2109985351562]]","[0.9108942151069641, 0.851220428943634, 0.8207533955574036, 0.7716987133026123, 0.911884605884552, 0.5930931568145752, 0.6793872714042664]","[[1770.9744262695312, 727.83642578125], [1326.6956787109375, 657.8681640625], [1287.2313232421875, 656.216552734375], [306.66453552246094, 704.5860595703125], [66.06671690940857, 902.6032104492188], [166.82024765014648, 742.5670166015625], [1900.1427612304688, 575.2109985351562]]",335097344,448,yolo26x.pt,MOT17-09
4,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1683.2869873046875, 388.28076171875, 1852.676513671875, 727.9976196289062], [1292.5001220703125, 460.873779296875, 1363.6180419921875, 657.8982543945312], [1259.2369384765625, 538.3824462890625, 1316.4598388671875, 656.7849731445312], [257.433837890625, 456.5313415527344, 356.70184326171875, 704.869140625], [0.0, 272.4595031738281, 133.58924865722656, 902.9282836914062], [119.23751068115234, 507.93975830078125, 213.2451934814453, 742.5101928710938], [1881.9700927734375, 390.74835205078125, 1916.7099609375, 577.12109375]]","[0.8861243724822998, 0.8482701778411865, 0.8078116774559021, 0.788390576839447, 0.902147114276886, 0.5550960898399353, 0.7058194875717163]","[[1767.9817504882812, 727.9976196289062], [1328.05908203125, 657.8982543945312], [1287.848388671875, 656.7849731445312], [307.0678405761719, 704.869140625], [66.79462432861328, 902.9282836914062], [166.24135208129883, 742.5101928710938], [1899.3400268554688, 577.12109375]]",335097344,448,yolo26x.pt,MOT17-09
5,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1681.0191650390625, 387.9290771484375, 1851.900146484375, 731.1201171875], [1294.880126953125, 460.7521667480469, 1365.56982421875, 657.9173583984375], [1263.6290283203125, 539.7472534179688, 1319.7886962890625, 656.6194458007812], [259.19049072265625, 456.2107849121094, 358.0220947265625, 703.8167114257812], [4.16864538192749, 245.0580596923828, 144.1735382080078, 903.0258178710938], [120.34246063232422, 507.6015319824219, 214.5034637451172, 742.8469848632812], [1879.7899169921875, 385.8678283691406, 1915.9776611328125, 578.3961791992188]]","[0.8921881318092346, 0.833774745464325, 0.7843613624572754, 0.7852541208267212, 0.9229668974876404, 0.5513937473297119, 0.7229741811752319]","[[1766.4596557617188, 731.1201171875], [1330.2249755859375, 657.9173583984375], [1291.7088623046875, 656.6194458007812], [308.6062927246094, 703.8167114257812], [74.17109179496765, 903.0258178710938], [167.4229621887207, 742.8469848632812], [1897.8837890625, 578.3961791992188]]",335097344,448,yolo26x.pt,MOT17-09
6,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1679.058837890625, 388.10400390625, 1851.2886962890625, 734.918701171875], [1295.945068359375, 460.19952392578125, 1366.0911865234375, 657.6792602539062], [1265.95654296875, 539.6753540039062, 1321.4737548828125, 656.4932861328125], [260.5523986816406, 455.8167724609375, 359.12109375, 703.38525390625], [6.107173919677734, 232.8151092529297, 149.44241333007812, 903.0748901367188], [120.25506591796875, 507.0940856933594, 214.226806640625, 742.6934814453125], [1878.5635986328125, 382.958740234375, 1915.7774658203125, 579.1112670898438]]","[0.8824489116668701, 0.8268950581550598, 0.779685378074646, 0.7838929891586304, 0.9218083620071411, 0.6591658592224121, 0.7218376398086548]","[[1765.1737670898438, 734.918701171875], [1331.0181274414062, 657.6792602539062], [1293.7151489257812, 656.4932861328125], [309.8367462158203, 703.38525390625], [77.77479362487793, 903.0748901367188], [167.24093627929688, 742.6934814453125], [1897.1705322265625, 579.1112670898438]]",335097344,448,yolo26x.pt,MOT17-09
7,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1679.0272216796875, 388.2904052734375, 1851.748779296875, 736.97509765625], [1298.23876953125, 459.396484375, 1367.8411865234375, 656.795654296875], [1270.3392333984375, 539.1941528320312, 1325.551513671875, 656.7406005859375], [262.5486755371094, 454.0060729980469, 361.2521667480469, 703.1309204101562], [7.120718002319336, 226.25643920898438, 152.7964324951172, 903.3945922851562], [119.56651306152344, 507.28460693359375, 212.2411651611328, 740.9678955078125], [1876.2607421875, 369.0275573730469, 1916.4970703125, 579.8383178710938]]","[0.8852922320365906, 0.8441718220710754, 0.775740385055542, 0.7931658625602722, 0.9075851440429688, 0.5250329971313477, 0.763212263584137]","[[1765.3880004882812, 736.97509765625], [1333.0399780273438, 656.795654296875], [1297.9453735351562, 656.7406005859375], [311.9004211425781, 703.1309204101562], [79.95857524871826, 903.3945922851562], [165.90383911132812, 740.9678955078125], [1896.37890625, 579.8383178710938]]",335097344,448,yolo26x.pt,MOT17-09
8,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1680.6632080078125, 389.2577209472656, 1852.760986328125, 738.5362548828125], [1302.8221435546875, 458.0486755371094, 1372.5633544921875, 656.165283203125], [1272.7347412109375, 538.1209106445312, 1327.8778076171875, 656.7243041992188], [264.1981506347656, 453.7568664550781, 362.4994812011719, 703.3734741210938], [7.31523323059082, 222.8278045654297, 154.72268676757812, 903.7167358398438], [115.14706420898438, 508.8907470703125, 206.04736328125, 740.4677734375], [1875.702392578125, 369.6488342285156, 1916.3564453125, 580.6898193359375]]","[0.8840824961662292, 0.8383041620254517, 0.7683530449867249, 0.7730089426040649, 0.9167550206184387, 0.49668097496032715, 0.7583290338516235]","[[1766.7120971679688, 738.5362548828125], [1337.6927490234375, 656.165283203125], [1300.3062744140625, 656.7243041992188], [313.34881591796875, 703.3734741210938], [81.01895999908447, 903.7167358398438], [160.5972137451172, 740.4677734375], [1896.0294189453125, 580.6898193359375]]",335097344,448,yolo26x.pt,MOT17-09
9,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1681.27734375, 390.3429260253906, 1852.3812255859375, 739.5418090820312], [1306.396728515625, 457.0621643066406, 1376.5137939453125, 655.9849853515625], [1272.5546875, 539.0032348632812, 1326.6875, 657.7261352539062], [270.6451416015625, 454.3815612792969, 367.0652160644531, 703.0321044921875], [8.805078506469727, 220.6753692626953, 158.11099243164062, 904.0637817382812], [115.60398864746094, 514.3167114257812, 203.2290802001953, 739.7044067382812], [1874.9658203125, 370.3866271972656, 1916.4315185546875, 583.7274780273438]]","[0.8773953914642334, 0.8645931482315063, 0.5881972312927246, 0.6890293955802917, 0.9210250973701477, 0.43713515996932983, 0.7761969566345215]","[[1766.8292846679688, 739.5418090820312], [1341.4552612304688, 655.9849853515625], [1299.62109375, 657.7261352539062], [318.8551788330078, 703.0321044921875], [83.45803546905518, 904.0637817382812], [159.41653442382812, 739.7044067382812], [1895.6986694335938, 583.7274780273438]]",335097344,448,yolo26x.pt,MOT17-09
10,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1679.93115234375, 391.0557861328125, 1850.0164794921875, 741.0410766601562], [1310.702880859375, 460.85546875, 1380.3421630859375, 656.1622924804688], [1276.0299072265625, 539.4580078125, 1329.84033203125, 658.8070068359375], [276.4686584472656, 454.519775390625, 370.4444580078125, 701.8621826171875], [10.449533462524414, 223.08973693847656, 160.90013122558594, 903.91455078125], [115.14544677734375, 506.51959228515625, 204.2051239013672, 738.7914428710938], [1873.0709228515625, 374.75653076171875, 1916.0433349609375, 593.2616577148438]]","[0.8893241882324219, 0.7246821522712708, 0.5531232357025146, 0.6643657088279724, 0.9052536487579346, 0.2654743194580078, 0.780094563961029]","[[1764.9738159179688, 741.0410766601562], [1345.5225219726562, 656.1622924804688], [1302.9351196289062, 658.8070068359375], [323.45655822753906, 701.8621826171875], [85.67483234405518, 903.91455078125], [159.67528533935547, 738.7914428710938], [1894.55712890625, 593.2616577148438]]",335097344,448,yolo26x.pt,MOT17-09
