frame_id,inference_ms,n_detections,track_ids,bboxes_xyxy,confs,footpoints,mem_total_bytes,mem_delta_bytes,mem_bytes,imgsz,model,seq
1,,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[[1337.721923828125, 416.69403076171875, 1508.847412109375, 791.0181884765625], [582.6981201171875, 444.478515625, 673.1410522460938, 706.2347412109375], [1446.9888916015625, 433.84820556640625, 1600.4295654296875, 765.9168701171875], [442.5535888671875, 441.2445068359375, 550.4031372070312, 722.2064208984375], [732.2977294921875, 476.22674560546875, 765.035400390625, 568.081787109375], [1256.6541748046875, 443.22186279296875, 1291.6522216796875, 546.328369140625], [937.3848876953125, 434.09783935546875, 973.0851440429688, 516.929443359375], [1018.4976196289062, 432.3834228515625, 1059.54443359375, 530.622314453125], [651.3697509765625, 453.3967590332031, 706.2208251953125, 644.41650390625], [1697.169921875, 429.685546875, 1784.807861328125, 585.494873046875]]","[0.8844220638275146, 0.858374297618866, 0.8348178863525391, 0.8018926382064819, 0.5483378171920776, 0.5402804613113403, 0.464275062084198, 0.41876402497291565, 0.3545919954776764, 0.27268195152282715]","[[1423.28466796875, 791.0181884765625], [627.9195861816406, 706.2347412109375], [1523.709228515625, 765.9168701171875], [496.4783630371094, 722.2064208984375], [748.6665649414062, 568.081787109375], [1274.1531982421875, 546.328369140625], [955.2350158691406, 516.929443359375], [1039.0210266113281, 530.622314453125], [678.7952880859375, 644.41650390625], [1740.9888916015625, 585.494873046875]]",320798720,305795072,320798720,576,yolo26m_576_ncnn_model,MOT17-02
2,,9,"[1, 2, 3, 4, 5, 6, 7, 8, 9]","[[1342.925048828125, 420.570068359375, 1512.623291015625, 791.7470703125], [582.8892822265625, 444.29901123046875, 673.434326171875, 706.20947265625], [1448.860107421875, 431.8946533203125, 1604.383544921875, 768.8092041015625], [443.93048095703125, 442.0380554199219, 551.42041015625, 721.8605346679688], [731.7955322265625, 473.69281005859375, 765.8963623046875, 569.44677734375], [1256.7752685546875, 443.3365783691406, 1291.82666015625, 546.6614379882812], [937.0680541992188, 433.9144287109375, 972.6754150390625, 516.5430297851562], [1016.6694946289062, 431.6763610839844, 1058.06201171875, 530.6776123046875], [652.5498657226562, 454.12908935546875, 707.4440307617188, 644.9097290039062]]","[0.8798602819442749, 0.8596649765968323, 0.8449207544326782, 0.8122073411941528, 0.5884719491004944, 0.5425575971603394, 0.48742783069610596, 0.5365453958511353, 0.3559440076351166]","[[1427.774169921875, 791.7470703125], [628.1618041992188, 706.20947265625], [1526.621826171875, 768.8092041015625], [497.6754455566406, 721.8605346679688], [748.845947265625, 569.44677734375], [1274.3009643554688, 546.6614379882812], [954.8717346191406, 516.5430297851562], [1037.3657531738281, 530.6776123046875], [679.9969482421875, 644.9097290039062]]",320798720,305795072,320798720,576,yolo26m_576_ncnn_model,MOT17-02
3,,9,"[1, 2, 3, 4, 5, 6, 7, 8, 9]","[[1348.4005126953125, 425.89056396484375, 1517.3304443359375, 794.8588256835938], [583.394287109375, 444.9849548339844, 673.830810546875, 706.4027099609375], [1453.5899658203125, 431.2254943847656, 1609.5413818359375, 769.8036499023438], [445.0557556152344, 441.5293273925781, 553.019287109375, 722.1179809570312], [732.1834716796875, 472.12652587890625, 766.8794555664062, 569.5331420898438], [1256.847900390625, 443.3486328125, 1291.6875, 546.1214599609375], [937.0081176757812, 433.7674560546875, 972.8171997070312, 516.8919067382812], [1016.1703491210938, 430.73541259765625, 1058.300048828125, 531.3911743164062], [652.7861328125, 453.9931335449219, 708.0441284179688, 644.9851684570312]]","[0.8763245940208435, 0.8624292612075806, 0.814680814743042, 0.8148126602172852, 0.6325108408927917, 0.5253207683563232, 0.48611125349998474, 0.5454737544059753, 0.31257709860801697]","[[1432.865478515625, 794.8588256835938], [628.612548828125, 706.4027099609375], [1531.565673828125, 769.8036499023438], [499.0375213623047, 722.1179809570312], [749.5314636230469, 569.5331420898438], [1274.2677001953125, 546.1214599609375], [954.9126586914062, 516.8919067382812], [1037.2351989746094, 531.3911743164062], [680.4151306152344, 644.9851684570312]]",320798720,305795072,320798720,576,yolo26m_576_ncnn_model,MOT17-02
4,,9,"[1, 2, 3, 4, 5, 6, 7, 8, 9]","[[1350.83544921875, 420.7299499511719, 1523.516357421875, 797.6077270507812], [584.2476806640625, 445.48046875, 674.7244262695312, 706.8160400390625], [1459.816162109375, 429.28790283203125, 1616.0743408203125, 770.0036010742188], [449.0414733886719, 442.3251647949219, 557.2550048828125, 722.5397338867188], [732.6986083984375, 471.9787292480469, 767.2763061523438, 569.00634765625], [1256.9840087890625, 443.27850341796875, 1291.799560546875, 546.0620727539062], [937.294677734375, 434.1222229003906, 972.6569213867188, 516.1519775390625], [1015.6769409179688, 428.46923828125, 1058.4061279296875, 530.2904663085938], [651.059814453125, 454.2585754394531, 706.4861450195312, 644.890869140625]]","[0.880923867225647, 0.8625373840332031, 0.7903870344161987, 0.8029062747955322, 0.6653136014938354, 0.5640192031860352, 0.4628295302391052, 0.5405228137969971, 0.45072346925735474]","[[1437.1759033203125, 797.6077270507812], [629.4860534667969, 706.8160400390625], [1537.9452514648438, 770.0036010742188], [503.1482391357422, 722.5397338867188], [749.9874572753906, 569.00634765625], [1274.3917846679688, 546.0620727539062], [954.9757995605469, 516.1519775390625], [1037.0415344238281, 530.2904663085938], [678.7729797363281, 644.890869140625]]",320798720,305795072,320798720,576,yolo26m_576_ncnn_model,MOT17-02
5,,9,"[1, 2, 3, 4, 5, 6, 7, 8, 9]","[[1354.813232421875, 418.01922607421875, 1529.5238037109375, 799.177001953125], [584.8301391601562, 445.99871826171875, 675.2674560546875, 706.7543334960938], [1469.0174560546875, 427.17645263671875, 1625.5902099609375, 770.2271118164062], [449.5427551269531, 443.1672668457031, 557.9522705078125, 722.6099853515625], [732.9366455078125, 472.49664306640625, 767.2844848632812, 568.7557373046875], [1257.1092529296875, 443.2596740722656, 1291.8878173828125, 545.9718627929688], [937.4169921875, 434.47149658203125, 972.3994140625, 515.6093139648438], [1015.5120849609375, 428.4918212890625, 1058.5037841796875, 530.7133178710938], [649.894775390625, 453.7181396484375, 705.4688720703125, 644.5845336914062]]","[0.8927224278450012, 0.8622319102287292, 0.8463061451911926, 0.8104952573776245, 0.6772242784500122, 0.5376154184341431, 0.49038130044937134, 0.5284279584884644, 0.5029917359352112]","[[1442.1685180664062, 799.177001953125], [630.0487976074219, 706.7543334960938], [1547.3038330078125, 770.2271118164062], [503.7475128173828, 722.6099853515625], [750.1105651855469, 568.7557373046875], [1274.49853515625, 545.9718627929688], [954.908203125, 515.6093139648438], [1037.0079345703125, 530.7133178710938], [677.6818237304688, 644.5845336914062]]",320798720,305795072,320798720,576,yolo26m_576_ncnn_model,MOT17-02
6,,9,"[1, 2, 3, 4, 5, 6, 7, 8, 9]","[[1359.10009765625, 416.3795471191406, 1534.6553955078125, 799.4520874023438], [584.2681884765625, 445.56982421875, 674.8870849609375, 706.5535888671875], [1477.07373046875, 426.0285339355469, 1633.4488525390625, 770.3609619140625], [447.7505798339844, 441.68115234375, 557.6617431640625, 723.2828979492188], [732.5933227539062, 470.68255615234375, 767.4937744140625, 568.4651489257812], [1257.152587890625, 443.4427490234375, 1291.8150634765625, 545.8886108398438], [937.2059326171875, 434.55145263671875, 972.093505859375, 515.4279174804688], [1015.4440307617188, 427.8349609375, 1058.623046875, 530.2233276367188], [648.5946044921875, 453.8110046386719, 704.06689453125, 644.4300537109375]]","[0.8941078782081604, 0.8641834855079651, 0.8336403965950012, 0.8475995659828186, 0.6373291611671448, 0.5777224898338318, 0.518291711807251, 0.5716699361801147, 0.33078280091285706]","[[1446.8777465820312, 799.4520874023438], [629.57763671875, 706.5535888671875], [1555.2612915039062, 770.3609619140625], [502.70616149902344, 723.2828979492188], [750.0435485839844, 568.4651489257812], [1274.4838256835938, 545.8886108398438], [954.6497192382812, 515.4279174804688], [1037.0335388183594, 530.2233276367188], [676.3307495117188, 644.4300537109375]]",320798720,305795072,320798720,576,yolo26m_576_ncnn_model,MOT17-02
7,,9,"[1, 2, 3, 4, 5, 6, 7, 8, 9]","[[1364.6790771484375, 414.6934509277344, 1539.91552734375, 799.56591796875], [584.1459350585938, 445.39208984375, 675.0353393554688, 706.4962768554688], [1484.0390625, 425.8173522949219, 1639.52294921875, 769.17822265625], [447.01519775390625, 441.66412353515625, 558.1107788085938, 724.5629272460938], [732.3226928710938, 471.38262939453125, 767.4475708007812, 569.7465209960938], [1256.8961181640625, 443.0128173828125, 1291.87109375, 546.47802734375], [936.9503173828125, 434.8821105957031, 971.4578247070312, 515.048095703125], [1015.9203491210938, 427.29095458984375, 1059.5855712890625, 530.753662109375], [649.9669799804688, 453.5413818359375, 705.6640625, 644.4898681640625]]","[0.8925592303276062, 0.8670294284820557, 0.850418210029602, 0.8582518696784973, 0.6252685785293579, 0.5536624789237976, 0.48834049701690674, 0.510371744632721, 0.4151636064052582]","[[1452.2973022460938, 799.56591796875], [629.5906372070312, 706.4962768554688], [1561.781005859375, 769.17822265625], [502.56298828125, 724.5629272460938], [749.8851318359375, 569.7465209960938], [1274.3836059570312, 546.47802734375], [954.2040710449219, 515.048095703125], [1037.7529602050781, 530.753662109375], [677.8155212402344, 644.4898681640625]]",320798720,305795072,320798720,576,yolo26m_576_ncnn_model,MOT17-02
8,,9,"[1, 2, 3, 4, 5, 6, 7, 8, 9]","[[1371.582275390625, 413.129150390625, 1545.663330078125, 800.1912841796875], [584.1011962890625, 445.40460205078125, 675.2737426757812, 706.6237182617188], [1488.254150390625, 427.6395568847656, 1642.5181884765625, 770.0673828125], [446.6423034667969, 441.5653076171875, 558.744140625, 724.8262329101562], [732.5668334960938, 471.8689270019531, 767.5510864257812, 569.784912109375], [1256.7867431640625, 443.14556884765625, 1291.6934814453125, 546.4100952148438], [935.3842163085938, 434.48577880859375, 970.0828857421875, 515.3997192382812], [1015.8162841796875, 427.8727722167969, 1059.4180908203125, 531.3211669921875], [651.893798828125, 452.71636962890625, 708.3096313476562, 645.4431762695312]]","[0.8737392425537109, 0.8607111573219299, 0.8295661211013794, 0.8604215979576111, 0.6363755464553833, 0.5477054715156555, 0.4995113015174866, 0.40752264857292175, 0.41211673617362976]","[[1458.622802734375, 800.1912841796875], [629.6874694824219, 706.6237182617188], [1565.3861694335938, 770.0673828125], [502.69322204589844, 724.8262329101562], [750.0589599609375, 569.784912109375], [1274.2401123046875, 546.4100952148438], [952.7335510253906, 515.3997192382812], [1037.6171875, 531.3211669921875], [680.1017150878906, 645.4431762695312]]",320798720,305795072,320798720,576,yolo26m_576_ncnn_model,MOT17-02
9,,9,"[1, 2, 3, 4, 5, 6, 7, 8, 9]","[[1382.3900146484375, 411.40875244140625, 1554.5841064453125, 800.3441772460938], [584.3736572265625, 445.30572509765625, 675.67041015625, 706.4786987304688], [1495.7347412109375, 425.3551940917969, 1651.3795166015625, 770.5665283203125], [446.3813781738281, 441.29638671875, 559.44873046875, 724.7285766601562], [732.1912231445312, 472.11590576171875, 767.0256958007812, 569.6251831054688], [1256.34814453125, 443.4049072265625, 1291.148193359375, 546.4456176757812], [934.6747436523438, 434.5938720703125, 969.5677490234375, 516.2093505859375], [1015.5387573242188, 427.4114990234375, 1059.0279541015625, 530.5053100585938], [652.529052734375, 452.5663146972656, 709.8663940429688, 646.9024658203125]]","[0.877047598361969, 0.8598865866661072, 0.8465631604194641, 0.8492929339408875, 0.6714831590652466, 0.5192866921424866, 0.4869934618473053, 0.5015268921852112, 0.4362230896949768]","[[1468.487060546875, 800.3441772460938], [630.0220336914062, 706.4786987304688], [1573.55712890625, 770.5665283203125], [502.91505432128906, 724.7285766601562], [749.6084594726562, 569.6251831054688], [1273.7481689453125, 546.4456176757812], [952.1212463378906, 516.2093505859375], [1037.2833557128906, 530.5053100585938], [681.1977233886719, 646.9024658203125]]",320798720,305795072,320798720,576,yolo26m_576_ncnn_model,MOT17-02
10,,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 13]","[[1392.9759521484375, 410.50970458984375, 1561.4852294921875, 800.2001342773438], [584.710205078125, 444.83172607421875, 676.3643798828125, 706.4808349609375], [1495.6588134765625, 422.9256591796875, 1649.1129150390625, 771.7833251953125], [446.5486145019531, 441.76226806640625, 560.508544921875, 725.0744018554688], [731.7594604492188, 471.5833740234375, 767.1859741210938, 570.8199462890625], [1256.2432861328125, 443.5641174316406, 1291.158935546875, 546.6963500976562], [934.5970458984375, 434.9107666015625, 969.7789306640625, 517.4077758789062], [1015.535400390625, 428.80072021484375, 1058.2998046875, 530.295166015625], [652.6695556640625, 453.0445251464844, 710.45361328125, 648.3734130859375], [1375.3712158203125, 433.990234375, 1427.0128173828125, 560.4414672851562]]","[0.854985237121582, 0.8496845960617065, 0.6792765855789185, 0.8600672483444214, 0.6629074215888977, 0.517008364200592, 0.43472418189048767, 0.4474450945854187, 0.3894999921321869, 0.41642817854881287]","[[1477.2305908203125, 800.2001342773438], [630.5372924804688, 706.4808349609375], [1572.3858642578125, 771.7833251953125], [503.52857971191406, 725.0744018554688], [749.4727172851562, 570.8199462890625], [1273.7011108398438, 546.6963500976562], [952.18798828125, 517.4077758789062], [1036.9176025390625, 530.295166015625], [681.5615844726562, 648.3734130859375], [1401.1920166015625, 560.4414672851562]]",320798720,305795072,320798720,576,yolo26m_576_ncnn_model,MOT17-02
