frame_id,inference_ms,postprocess_ms,n_detections,track_ids,bboxes_xyxy,confs,footpoints,mem_total_bytes,mem_delta_bytes,mem_bytes,imgsz,model,seq
1,,,14,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]","[[371.75701904296875, 408.32958984375, 451.4167785644531, 648.0062255859375], [104.28042602539062, 546.3204345703125, 177.76290893554688, 792.0977783203125], [1732.443359375, 452.86297607421875, 1806.21435546875, 673.8399658203125], [1096.01513671875, 980.398681640625, 1171.3831787109375, 1079.513427734375], [1103.7550048828125, 209.96449279785156, 1159.8995361328125, 389.63134765625], [546.138427734375, 146.444091796875, 603.9703979492188, 329.73834228515625], [225.80160522460938, 399.79998779296875, 290.09332275390625, 598.3764038085938], [1355.861328125, 569.7042236328125, 1438.0167236328125, 792.3342895507812], [789.169189453125, 145.25985717773438, 853.470703125, 323.6994323730469], [0.21821212768554688, 880.293701171875, 41.719871520996094, 1080.0], [1047.25537109375, 133.22735595703125, 1110.1297607421875, 315.791748046875], [504.0893859863281, 135.09429931640625, 555.452880859375, 311.5344543457031], [273.2117919921875, 378.96185302734375, 325.57794189453125, 590.8284301757812], [1637.032470703125, 261.9267883300781, 1702.97900390625, 442.8838806152344]]","[0.8043546080589294, 0.7321867346763611, 0.6513813138008118, 0.6326888799667358, 0.5569881796836853, 0.5522648096084595, 0.5376471281051636, 0.5260211229324341, 0.5034774541854858, 0.4918020963668823, 0.459409236907959, 0.40393444895744324, 0.39791175723075867, 0.2879352271556854]","[[411.58689880371094, 648.0062255859375], [141.02166748046875, 792.0977783203125], [1769.328857421875, 673.8399658203125], [1133.6991577148438, 1079.513427734375], [1131.8272705078125, 389.63134765625], [575.0544128417969, 329.73834228515625], [257.9474639892578, 598.3764038085938], [1396.9390258789062, 792.3342895507812], [821.3199462890625, 323.6994323730469], [20.96904182434082, 1080.0], [1078.6925659179688, 315.791748046875], [529.7711334228516, 311.5344543457031], [299.3948669433594, 590.8284301757812], [1670.0057373046875, 442.8838806152344]]",321511424,306503680,321511424,640,yolo26n_640_ncnn_model,MOT17-04
2,,,14,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]","[[372.4209289550781, 408.1666564941406, 452.1232604980469, 647.9409790039062], [104.04378509521484, 546.43408203125, 177.58270263671875, 792.4265747070312], [1732.1551513671875, 452.0456848144531, 1805.767578125, 672.46923828125], [1099.54931640625, 980.2857055664062, 1174.9552001953125, 1079.51806640625], [1100.0546875, 211.55166625976562, 1155.8565673828125, 389.95904541015625], [545.437744140625, 147.0089569091797, 603.395751953125, 330.73077392578125], [225.62075805664062, 398.5020446777344, 290.0630187988281, 597.4982299804688], [1356.400146484375, 570.0391235351562, 1437.1859130859375, 788.8994750976562], [789.5492553710938, 145.2838897705078, 853.91650390625, 323.89520263671875], [0.0, 878.8326416015625, 41.0042724609375, 1080.0], [1046.923095703125, 133.0728302001953, 1109.5787353515625, 314.9246826171875], [503.37890625, 134.8245849609375, 554.7366943359375, 311.25909423828125], [269.98822021484375, 379.46356201171875, 321.8941650390625, 589.224609375], [1635.3155517578125, 260.1907958984375, 1702.2979736328125, 443.93853759765625]]","[0.8100229501724243, 0.7311399579048157, 0.6352300643920898, 0.638677716255188, 0.49415597319602966, 0.5384359359741211, 0.5125514268875122, 0.5440762042999268, 0.49875974655151367, 0.3730582296848297, 0.47108858823776245, 0.40278559923171997, 0.4474862515926361, 0.26196232438087463]","[[412.2720947265625, 647.9409790039062], [140.8132438659668, 792.4265747070312], [1768.9613647460938, 672.46923828125], [1137.2522583007812, 1079.51806640625], [1127.9556274414062, 389.95904541015625], [574.416748046875, 330.73077392578125], [257.8418884277344, 597.4982299804688], [1396.7930297851562, 788.8994750976562], [821.7328796386719, 323.89520263671875], [20.50213623046875, 1080.0], [1078.2509155273438, 314.9246826171875], [529.0578002929688, 311.25909423828125], [295.9411926269531, 589.224609375], [1668.8067626953125, 443.93853759765625]]",321511424,306503680,321511424,640,yolo26n_640_ncnn_model,MOT17-04
3,,,14,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]","[[372.7680358886719, 407.8653259277344, 452.8433837890625, 648.890625], [104.39776611328125, 546.0861206054688, 178.23153686523438, 793.0776977539062], [1731.436279296875, 452.5516357421875, 1804.9443359375, 672.6332397460938], [1103.333740234375, 979.8346557617188, 1179.136474609375, 1079.693603515625], [1096.19775390625, 213.31817626953125, 1151.85888671875, 390.679443359375], [545.0992431640625, 147.65232849121094, 602.9631958007812, 331.0369567871094], [224.55715942382812, 397.2060241699219, 289.7966613769531, 598.4533081054688], [1356.7786865234375, 569.9775390625, 1437.23779296875, 787.90185546875], [789.1744995117188, 145.1619110107422, 853.472900390625, 323.5166015625], [0.0, 877.6582641601562, 41.033382415771484, 1080.0], [1046.727783203125, 132.87774658203125, 1108.7637939453125, 312.70068359375], [504.11968994140625, 134.32003784179688, 553.6832275390625, 304.52215576171875], [265.6396484375, 368.6308288574219, 321.04425048828125, 591.4202880859375], [1632.5562744140625, 259.2624816894531, 1701.32568359375, 447.90704345703125]]","[0.7989933490753174, 0.7366483211517334, 0.6389620304107666, 0.643122136592865, 0.5925791263580322, 0.5224464535713196, 0.5000028610229492, 0.5386157035827637, 0.49250203371047974, 0.33093157410621643, 0.5117551684379578, 0.4318161904811859, 0.4195731282234192, 0.28807389736175537]","[[412.8057098388672, 648.890625], [141.3146514892578, 793.0776977539062], [1768.1903076171875, 672.6332397460938], [1141.235107421875, 1079.693603515625], [1124.0283203125, 390.679443359375], [574.0312194824219, 331.0369567871094], [257.1769104003906, 598.4533081054688], [1397.0082397460938, 787.90185546875], [821.3236999511719, 323.5166015625], [20.516691207885742, 1080.0], [1077.7457885742188, 312.70068359375], [528.9014587402344, 304.52215576171875], [293.3419494628906, 591.4202880859375], [1666.9409790039062, 447.90704345703125]]",321511424,306503680,321511424,640,yolo26n_640_ncnn_model,MOT17-04
4,,,14,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]","[[372.69818115234375, 407.36614990234375, 452.8145751953125, 648.5125732421875], [103.94720458984375, 545.7150268554688, 177.91552734375, 793.2332153320312], [1730.3939208984375, 452.5389709472656, 1803.0699462890625, 669.9490966796875], [1106.2607421875, 977.96826171875, 1183.5047607421875, 1079.944091796875], [1091.499267578125, 211.62063598632812, 1148.1077880859375, 391.12811279296875], [545.3327026367188, 146.0209197998047, 603.15966796875, 329.52667236328125], [223.8277130126953, 396.9091491699219, 289.5105895996094, 599.0147094726562], [1357.12939453125, 570.1212158203125, 1437.847900390625, 788.5360717773438], [789.3516845703125, 144.716796875, 853.5064086914062, 322.674072265625], [0.0, 877.3651733398438, 41.62299346923828, 1080.0], [1046.1195068359375, 133.57652282714844, 1108.0867919921875, 313.0762939453125], [502.2961120605469, 135.58984375, 552.62890625, 308.09063720703125], [266.6490783691406, 379.2708435058594, 320.01373291015625, 593.1819458007812], [1631.492431640625, 258.6269836425781, 1699.4208984375, 445.0169677734375]]","[0.8103151321411133, 0.7273775935173035, 0.6538790464401245, 0.6441472172737122, 0.5866692662239075, 0.5008566975593567, 0.5030428171157837, 0.5475250482559204, 0.5100538730621338, 0.4947821795940399, 0.4775048792362213, 0.46980220079421997, 0.4130932092666626, 0.2931581735610962]","[[412.7563781738281, 648.5125732421875], [140.93136596679688, 793.2332153320312], [1766.73193359375, 669.9490966796875], [1144.8827514648438, 1079.944091796875], [1119.8035278320312, 391.12811279296875], [574.2461853027344, 329.52667236328125], [256.66915130615234, 599.0147094726562], [1397.4886474609375, 788.5360717773438], [821.4290466308594, 322.674072265625], [20.81149673461914, 1080.0], [1077.1031494140625, 313.0762939453125], [527.4625091552734, 308.09063720703125], [293.33140563964844, 593.1819458007812], [1665.4566650390625, 445.0169677734375]]",321511424,306503680,321511424,640,yolo26n_640_ncnn_model,MOT17-04
5,,,14,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]","[[373.7916564941406, 406.9097900390625, 453.8789978027344, 648.1489868164062], [103.59336853027344, 545.7282104492188, 177.5121612548828, 793.2691040039062], [1729.3228759765625, 452.2543029785156, 1802.2489013671875, 670.2667236328125], [1109.1822509765625, 976.2357177734375, 1187.4825439453125, 1080.0], [1084.8763427734375, 212.60491943359375, 1141.8828125, 390.7079772949219], [544.8451538085938, 145.49571228027344, 603.2555541992188, 331.19061279296875], [224.1801300048828, 396.9683532714844, 289.7091369628906, 597.5853271484375], [1357.314208984375, 570.0722045898438, 1437.0374755859375, 785.4244995117188], [789.609130859375, 145.55050659179688, 853.3710327148438, 322.2146911621094], [0.38743266463279724, 876.2025146484375, 42.61257553100586, 1079.8675537109375], [1047.91796875, 134.1055450439453, 1105.64111328125, 299.9930419921875], [502.29620361328125, 135.81593322753906, 551.527587890625, 304.25140380859375], [267.1318054199219, 381.2840881347656, 319.10137939453125, 589.80078125], [1628.50927734375, 259.6770324707031, 1695.1107177734375, 442.7574157714844]]","[0.8107422590255737, 0.7297224402427673, 0.6880525946617126, 0.660246729850769, 0.5594949126243591, 0.5345787405967712, 0.4044751822948456, 0.5877022743225098, 0.5354098677635193, 0.5304009914398193, 0.38893136382102966, 0.5098711252212524, 0.4088332951068878, 0.3010164499282837]","[[413.8353271484375, 648.1489868164062], [140.55276489257812, 793.2691040039062], [1765.785888671875, 670.2667236328125], [1148.3323974609375, 1080.0], [1113.3795776367188, 390.7079772949219], [574.0503540039062, 331.19061279296875], [256.9446334838867, 597.5853271484375], [1397.1758422851562, 785.4244995117188], [821.4900817871094, 322.2146911621094], [21.50000409781933, 1079.8675537109375], [1076.779541015625, 299.9930419921875], [526.9118957519531, 304.25140380859375], [293.11659240722656, 589.80078125], [1661.8099975585938, 442.7574157714844]]",321511424,306503680,321511424,640,yolo26n_640_ncnn_model,MOT17-04
6,,,14,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]","[[374.68511962890625, 406.17681884765625, 454.4393005371094, 646.4478759765625], [103.76048278808594, 545.9033203125, 177.56480407714844, 793.21044921875], [1728.322265625, 454.1801452636719, 1800.753173828125, 670.2377319335938], [1111.7510986328125, 975.8340454101562, 1190.0799560546875, 1080.0], [1078.49267578125, 210.14959716796875, 1137.4931640625, 389.3951721191406], [544.0282592773438, 147.43331909179688, 602.3987426757812, 333.5102844238281], [223.4693603515625, 393.9801025390625, 290.1405334472656, 596.6564331054688], [1357.8203125, 570.0927734375, 1437.1956787109375, 784.2144165039062], [788.613037109375, 145.338623046875, 852.6705322265625, 322.6798400878906], [0.9037724733352661, 874.7888793945312, 43.51873016357422, 1079.910888671875], [1048.5174560546875, 135.01846313476562, 1103.4149169921875, 291.1611022949219], [502.47125244140625, 136.97488403320312, 551.22802734375, 303.7119140625], [266.4830017089844, 380.97796630859375, 317.8849182128906, 587.9866333007812], [1627.627197265625, 259.30718994140625, 1693.9295654296875, 441.70831298828125]]","[0.8000727295875549, 0.7373441457748413, 0.6858410835266113, 0.6471015214920044, 0.5964694023132324, 0.546690046787262, 0.32996422052383423, 0.5994731187820435, 0.5458167195320129, 0.5820929408073425, 0.31933432817459106, 0.5443241596221924, 0.4152844548225403, 0.25770947337150574]","[[414.5622100830078, 646.4478759765625], [140.6626434326172, 793.21044921875], [1764.5377197265625, 670.2377319335938], [1150.91552734375, 1080.0], [1107.992919921875, 389.3951721191406], [573.2135009765625, 333.5102844238281], [256.80494689941406, 596.6564331054688], [1397.5079956054688, 784.2144165039062], [820.6417846679688, 322.6798400878906], [22.211251318454742, 1079.910888671875], [1075.9661865234375, 291.1611022949219], [526.8496398925781, 303.7119140625], [292.1839599609375, 587.9866333007812], [1660.7783813476562, 441.70831298828125]]",321511424,306503680,321511424,640,yolo26n_640_ncnn_model,MOT17-04
7,,,14,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 18]","[[375.86883544921875, 405.0372009277344, 455.5928039550781, 645.0598754882812], [103.72129821777344, 545.86865234375, 177.29066467285156, 792.5181274414062], [1727.8955078125, 454.3518981933594, 1799.5523681640625, 667.5128173828125], [1113.77392578125, 974.88671875, 1192.3743896484375, 1080.0], [1072.885009765625, 208.6256866455078, 1134.6622314453125, 389.38568115234375], [542.6266479492188, 148.54531860351562, 600.9493408203125, 335.2967529296875], [222.26353454589844, 396.0745849609375, 288.4648132324219, 595.6908569335938], [1357.8468017578125, 570.2630615234375, 1437.061767578125, 783.4737548828125], [788.8827514648438, 145.4154510498047, 853.0694580078125, 322.86737060546875], [1.4201663732528687, 873.7950439453125, 44.40873336791992, 1079.9359130859375], [1047.45751953125, 136.47119140625, 1102.4276123046875, 291.34124755859375], [502.143798828125, 139.01942443847656, 550.4427490234375, 304.0799865722656], [266.2332763671875, 380.9598693847656, 315.56707763671875, 579.6278686523438], [1800.2176513671875, 205.5412139892578, 1858.0726318359375, 392.5710144042969]]","[0.7938966751098633, 0.7369369864463806, 0.6670917272567749, 0.6553859710693359, 0.5672115087509155, 0.5676305294036865, 0.30670875310897827, 0.6157718896865845, 0.5550328493118286, 0.5714676380157471, 0.2971440255641937, 0.5055885910987854, 0.3807278275489807, 0.335487961769104]","[[415.73081970214844, 645.0598754882812], [140.5059814453125, 792.5181274414062], [1763.7239379882812, 667.5128173828125], [1153.0741577148438, 1080.0], [1103.7736206054688, 389.38568115234375], [571.7879943847656, 335.2967529296875], [255.36417388916016, 595.6908569335938], [1397.4542846679688, 783.4737548828125], [820.9761047363281, 322.86737060546875], [22.914449870586395, 1079.9359130859375], [1074.9425659179688, 291.34124755859375], [526.2932739257812, 304.0799865722656], [290.9001770019531, 579.6278686523438], [1829.1451416015625, 392.5710144042969]]",321511424,306503680,321511424,640,yolo26n_640_ncnn_model,MOT17-04
8,,,12,"[1, 2, 3, 4, 5, 6, 8, 9, 10, 12, 13, 18]","[[376.9010314941406, 402.83514404296875, 456.36273193359375, 641.93359375], [104.26250457763672, 546.0013427734375, 177.9013214111328, 793.010986328125], [1726.8487548828125, 454.69696044921875, 1797.669677734375, 664.2680053710938], [1115.5841064453125, 973.3112182617188, 1194.814208984375, 1080.0], [1070.6439208984375, 210.72341918945312, 1134.1788330078125, 389.0485534667969], [542.038330078125, 147.32484436035156, 600.4674072265625, 335.6223449707031], [1357.501953125, 570.0140380859375, 1437.22216796875, 784.3289794921875], [788.79736328125, 145.8468475341797, 852.8195190429688, 322.505126953125], [1.7298654317855835, 872.1057739257812, 45.240638732910156, 1079.766357421875], [500.7314453125, 141.2858123779297, 550.8815307617188, 312.26544189453125], [266.04339599609375, 381.6051330566406, 313.024658203125, 569.9814453125], [1800.209228515625, 206.28799438476562, 1857.919677734375, 392.68157958984375]]","[0.7848794460296631, 0.7399505972862244, 0.6793401837348938, 0.6496058702468872, 0.5549948811531067, 0.5816715359687805, 0.5953465700149536, 0.5541693568229675, 0.5634797811508179, 0.48873192071914673, 0.3400089144706726, 0.35694774985313416]","[[416.6318817138672, 641.93359375], [141.08191299438477, 793.010986328125], [1762.2592163085938, 664.2680053710938], [1155.1991577148438, 1080.0], [1102.411376953125, 389.0485534667969], [571.2528686523438, 335.6223449707031], [1397.362060546875, 784.3289794921875], [820.8084411621094, 322.505126953125], [23.48525208234787, 1079.766357421875], [525.8064880371094, 312.26544189453125], [289.5340270996094, 569.9814453125], [1829.064453125, 392.68157958984375]]",321511424,306503680,321511424,640,yolo26n_640_ncnn_model,MOT17-04
9,,,13,"[1, 2, 3, 4, 5, 6, 8, 9, 10, 12, 13, 18, 14]","[[377.93951416015625, 401.8310546875, 457.0910949707031, 639.4424438476562], [104.55268096923828, 545.9843139648438, 178.25558471679688, 793.17529296875], [1725.7701416015625, 454.4326477050781, 1796.9486083984375, 664.20751953125], [1118.3115234375, 972.6058349609375, 1197.3922119140625, 1080.0], [1068.2921142578125, 210.8395233154297, 1133.9837646484375, 386.88714599609375], [541.6287841796875, 147.8029327392578, 599.8603515625, 337.0006103515625], [1357.4041748046875, 570.293212890625, 1437.2237548828125, 784.6315307617188], [788.7494506835938, 145.77719116210938, 852.5282592773438, 321.3746032714844], [1.6373815536499023, 870.122802734375, 45.77048110961914, 1079.91259765625], [500.11053466796875, 142.1011505126953, 550.7001953125, 314.8558044433594], [266.2298889160156, 381.1394958496094, 311.03680419921875, 560.2093505859375], [1801.0784912109375, 207.86521911621094, 1858.8157958984375, 393.9589538574219], [1624.5113525390625, 257.38970947265625, 1690.5576171875, 439.7470397949219]]","[0.7831200361251831, 0.7478688359260559, 0.668093204498291, 0.6027829051017761, 0.5283404588699341, 0.5371153950691223, 0.595787763595581, 0.5307396054267883, 0.5276590585708618, 0.4792686402797699, 0.29733806848526, 0.373637855052948, 0.258596271276474]","[[417.5153045654297, 639.4424438476562], [141.40413284301758, 793.17529296875], [1761.359375, 664.20751953125], [1157.8518676757812, 1080.0], [1101.137939453125, 386.88714599609375], [570.7445678710938, 337.0006103515625], [1397.31396484375, 784.6315307617188], [820.6388549804688, 321.3746032714844], [23.70393133163452, 1079.91259765625], [525.4053649902344, 314.8558044433594], [288.6333465576172, 560.2093505859375], [1829.9471435546875, 393.9589538574219], [1657.5344848632812, 439.7470397949219]]",321511424,306503680,321511424,640,yolo26n_640_ncnn_model,MOT17-04
10,,,12,"[1, 2, 3, 4, 5, 6, 8, 9, 10, 12, 13, 18]","[[378.6239929199219, 400.49945068359375, 457.5563049316406, 636.866455078125], [104.89895629882812, 545.83837890625, 178.60765075683594, 792.9129638671875], [1725.4515380859375, 454.5328369140625, 1796.806884765625, 664.185546875], [1121.9072265625, 972.8671264648438, 1200.0052490234375, 1080.0], [1065.3341064453125, 211.45396423339844, 1133.29638671875, 385.11785888671875], [540.6472778320312, 148.78968811035156, 598.9346923828125, 339.7909851074219], [1357.124755859375, 569.6607666015625, 1437.6070556640625, 785.4484252929688], [788.5603637695312, 145.81236267089844, 852.6939697265625, 322.1824645996094], [1.3327522277832031, 865.8796997070312, 46.47503662109375, 1079.876953125], [498.98614501953125, 142.55010986328125, 550.045654296875, 316.6067810058594], [266.3233642578125, 383.5752258300781, 309.58544921875, 555.664306640625], [1802.328857421875, 211.22622680664062, 1860.45703125, 397.78460693359375]]","[0.77500981092453, 0.7455900311470032, 0.6463051438331604, 0.6347664594650269, 0.46750155091285706, 0.516472578048706, 0.5991682410240173, 0.537917971611023, 0.5452800989151001, 0.4711475074291229, 0.34714236855506897, 0.3893524706363678]","[[418.09014892578125, 636.866455078125], [141.75330352783203, 792.9129638671875], [1761.1292114257812, 664.185546875], [1160.9562377929688, 1080.0], [1099.3152465820312, 385.11785888671875], [569.7909851074219, 339.7909851074219], [1397.3659057617188, 785.4484252929688], [820.6271667480469, 322.1824645996094], [23.903894424438477, 1079.876953125], [524.5158996582031, 316.6067810058594], [287.95440673828125, 555.664306640625], [1831.3929443359375, 397.78460693359375]]",321511424,306503680,321511424,640,yolo26n_640_ncnn_model,MOT17-04
