frame_id,inference_ms,postprocess_ms,n_detections,track_ids,bboxes_xyxy,confs,footpoints,mem_total_bytes,mem_delta_bytes,mem_bytes,imgsz,model,seq
1,,,9,"[1, 2, 3, 4, 5, 6, 7, 8, 9]","[[1696.6051025390625, 388.9090881347656, 1864.2330322265625, 728.9918212890625], [0.4445762634277344, 341.41021728515625, 116.35737609863281, 898.1240844726562], [1256.1533203125, 539.64111328125, 1315.6805419921875, 656.3095092773438], [1290.013671875, 460.84375, 1359.0396728515625, 658.7738037109375], [247.54432678222656, 455.62115478515625, 354.5399169921875, 704.9833374023438], [119.65013122558594, 505.0440673828125, 202.29808044433594, 744.472412109375], [1887.78271484375, 392.30621337890625, 1919.2578125, 564.2759399414062], [45.05021667480469, 510.4176940917969, 116.16842651367188, 748.853759765625], [859.71826171875, 524.2554931640625, 900.3283081054688, 628.792236328125]]","[0.8798593282699585, 0.8079944849014282, 0.8072100281715393, 0.805510401725769, 0.7680307030677795, 0.5294609069824219, 0.4602550268173218, 0.2848241925239563, 0.26878610253334045]","[[1780.4190673828125, 728.9918212890625], [58.40097618103027, 898.1240844726562], [1285.9169311523438, 656.3095092773438], [1324.5266723632812, 658.7738037109375], [301.04212188720703, 704.9833374023438], [160.97410583496094, 744.472412109375], [1903.520263671875, 564.2759399414062], [80.60932159423828, 748.853759765625], [880.0232849121094, 628.792236328125]]",321601536,306593792,321601536,640,yolo26m_640_ncnn_model,MOT17-09
2,,,8,"[1, 2, 3, 4, 5, 6, 7, 9]","[[1690.354248046875, 387.10992431640625, 1858.787841796875, 729.0419921875], [0.8512853980064392, 336.10589599609375, 117.913818359375, 898.22119140625], [1257.8221435546875, 540.3134155273438, 1317.1939697265625, 656.6730346679688], [1291.7938232421875, 460.7556457519531, 1360.891357421875, 659.2213134765625], [250.28451538085938, 457.3880615234375, 356.83319091796875, 705.6865844726562], [117.00747680664062, 510.67938232421875, 197.7606658935547, 744.7670288085938], [1884.896240234375, 386.69903564453125, 1918.2900390625, 568.90625], [859.8121337890625, 524.978271484375, 899.96923828125, 628.3328857421875]]","[0.8808615803718567, 0.8611252307891846, 0.790717363357544, 0.7933225631713867, 0.745206892490387, 0.6388944983482361, 0.48716017603874207, 0.2625364363193512]","[[1774.571044921875, 729.0419921875], [59.38255187869072, 898.22119140625], [1287.508056640625, 656.6730346679688], [1326.3425903320312, 659.2213134765625], [303.55885314941406, 705.6865844726562], [157.38407135009766, 744.7670288085938], [1901.5931396484375, 568.90625], [879.8906860351562, 628.3328857421875]]",321601536,306593792,321601536,640,yolo26m_640_ncnn_model,MOT17-09
3,,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1686.665283203125, 385.9764709472656, 1855.573486328125, 729.169189453125], [0.9476210474967957, 323.1692810058594, 120.83673858642578, 898.6681518554688], [1258.429931640625, 541.3742065429688, 1317.376708984375, 657.1181640625], [1292.3712158203125, 460.50775146484375, 1361.4033203125, 659.3445434570312], [256.63409423828125, 456.6936340332031, 363.224853515625, 705.833984375], [120.16300201416016, 508.7944641113281, 201.65699768066406, 744.7021484375], [1883.3812255859375, 385.7142333984375, 1917.314453125, 570.158203125]]","[0.8754492998123169, 0.8720412254333496, 0.7648155093193054, 0.7850761413574219, 0.728684663772583, 0.6771547198295593, 0.5002162456512451]","[[1771.119384765625, 729.169189453125], [60.89217981696129, 898.6681518554688], [1287.9033203125, 657.1181640625], [1326.8872680664062, 659.3445434570312], [309.9294738769531, 705.833984375], [160.9099998474121, 744.7021484375], [1900.3478393554688, 570.158203125]]",321601536,306593792,321601536,640,yolo26m_640_ncnn_model,MOT17-09
4,,,8,"[1, 2, 3, 4, 5, 6, 7, 9]","[[1684.11279296875, 386.76220703125, 1852.8121337890625, 730.1567993164062], [0.0, 276.98040771484375, 127.01030731201172, 899.6149291992188], [1259.57421875, 541.7162475585938, 1318.188232421875, 657.3668212890625], [1295.6220703125, 460.50018310546875, 1364.3553466796875, 659.0682373046875], [257.52569580078125, 457.0173034667969, 363.8014831542969, 706.2247924804688], [121.879150390625, 509.24176025390625, 203.3856964111328, 744.8174438476562], [1882.3917236328125, 384.49945068359375, 1917.056396484375, 572.0267944335938], [860.8828735351562, 523.80126953125, 901.3221435546875, 627.7980346679688]]","[0.875063419342041, 0.9058775305747986, 0.7613112330436707, 0.7719895839691162, 0.7708864212036133, 0.6877607703208923, 0.5138941407203674, 0.29633229970932007]","[[1768.4624633789062, 730.1567993164062], [63.50515365600586, 899.6149291992188], [1288.8812255859375, 657.3668212890625], [1329.9887084960938, 659.0682373046875], [310.66358947753906, 706.2247924804688], [162.6324234008789, 744.8174438476562], [1899.7240600585938, 572.0267944335938], [881.1025085449219, 627.7980346679688]]",321601536,306593792,321601536,640,yolo26m_640_ncnn_model,MOT17-09
5,,,8,"[1, 2, 3, 4, 5, 6, 7, 9]","[[1682.1114501953125, 387.01568603515625, 1851.4637451171875, 732.5965576171875], [1.588163137435913, 250.57273864746094, 137.1573486328125, 901.1251831054688], [1260.8870849609375, 540.9334106445312, 1319.163330078125, 657.2266845703125], [1297.83642578125, 459.7862548828125, 1366.6263427734375, 659.1493530273438], [259.51531982421875, 457.6024169921875, 365.05615234375, 706.5728149414062], [123.18273162841797, 517.1875, 202.36256408691406, 745.3060913085938], [1882.0826416015625, 382.8027038574219, 1917.048583984375, 570.9007568359375], [861.947265625, 523.158203125, 902.4759521484375, 627.5907592773438]]","[0.8760814666748047, 0.8858103156089783, 0.7196760773658752, 0.780258059501648, 0.7765355110168457, 0.6225869655609131, 0.5947453379631042, 0.26297125220298767]","[[1766.78759765625, 732.5965576171875], [69.3727558851242, 901.1251831054688], [1290.0252075195312, 657.2266845703125], [1332.2313842773438, 659.1493530273438], [312.2857360839844, 706.5728149414062], [162.77264785766602, 745.3060913085938], [1899.5656127929688, 570.9007568359375], [882.2116088867188, 627.5907592773438]]",321601536,306593792,321601536,640,yolo26m_640_ncnn_model,MOT17-09
6,,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1681.4530029296875, 387.3927917480469, 1851.239501953125, 735.3286743164062], [1.6613761186599731, 238.31625366210938, 140.23362731933594, 902.4967651367188], [1263.5087890625, 541.0005493164062, 1320.8533935546875, 657.2023315429688], [1299.2459716796875, 458.97418212890625, 1368.1396484375, 659.3388671875], [260.4339294433594, 457.8039245605469, 365.1835632324219, 706.5942993164062], [123.2779312133789, 511.7984924316406, 204.46646118164062, 745.2775268554688], [1879.0313720703125, 360.90509033203125, 1918.889892578125, 575.6340942382812]]","[0.8721470236778259, 0.885899007320404, 0.7500683069229126, 0.792102038860321, 0.7781344056129456, 0.666454553604126, 0.5902968645095825]","[[1766.3462524414062, 735.3286743164062], [70.94750171899796, 902.4967651367188], [1292.1810913085938, 657.2023315429688], [1333.6928100585938, 659.3388671875], [312.8087463378906, 706.5942993164062], [163.87219619750977, 745.2775268554688], [1898.9606323242188, 575.6340942382812]]",321601536,306593792,321601536,640,yolo26m_640_ncnn_model,MOT17-09
7,,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1681.18408203125, 387.94854736328125, 1850.403564453125, 737.0650634765625], [3.861032009124756, 229.5093231201172, 145.37562561035156, 904.9990844726562], [1266.243408203125, 539.7899169921875, 1323.306396484375, 657.5415649414062], [1300.906494140625, 456.93353271484375, 1370.6402587890625, 660.849609375], [263.4643859863281, 458.3320007324219, 366.6605224609375, 705.9368896484375], [122.52757263183594, 521.0335083007812, 200.77325439453125, 745.2904663085938], [1875.66259765625, 349.96905517578125, 1918.53173828125, 580.2453002929688]]","[0.8697417974472046, 0.8887112140655518, 0.7383962273597717, 0.743321418762207, 0.7857919335365295, 0.6310242414474487, 0.6958771347999573]","[[1765.7938232421875, 737.0650634765625], [74.61832880973816, 904.9990844726562], [1294.77490234375, 657.5415649414062], [1335.7733764648438, 660.849609375], [315.0624542236328, 705.9368896484375], [161.6504135131836, 745.2904663085938], [1897.09716796875, 580.2453002929688]]",321601536,306593792,321601536,640,yolo26m_640_ncnn_model,MOT17-09
8,,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1682.3214111328125, 388.2563171386719, 1850.7852783203125, 738.1702270507812], [8.417813301086426, 224.96763610839844, 152.5957489013672, 906.245849609375], [1268.9969482421875, 539.9042358398438, 1324.9451904296875, 657.7399291992188], [1303.9632568359375, 457.0810241699219, 1373.1781005859375, 659.9019775390625], [265.3296813964844, 458.006591796875, 367.24468994140625, 705.404296875], [120.80065155029297, 517.1774291992188, 200.39234924316406, 745.1698608398438], [1874.031005859375, 345.4208679199219, 1918.4490966796875, 583.3646850585938]]","[0.8646209836006165, 0.8745068907737732, 0.7179667949676514, 0.7564148902893066, 0.812258780002594, 0.6336062550544739, 0.7087864875793457]","[[1766.5533447265625, 738.1702270507812], [80.5067811012268, 906.245849609375], [1296.9710693359375, 657.7399291992188], [1338.5706787109375, 659.9019775390625], [316.2871856689453, 705.404296875], [160.59650039672852, 745.1698608398438], [1896.2400512695312, 583.3646850585938]]",321601536,306593792,321601536,640,yolo26m_640_ncnn_model,MOT17-09
9,,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1684.3638916015625, 389.3982238769531, 1851.918212890625, 739.1774291992188], [10.035401344299316, 223.38682556152344, 156.23831176757812, 906.87060546875], [1270.9759521484375, 539.881103515625, 1326.3385009765625, 659.0634155273438], [1306.6480712890625, 456.9848937988281, 1375.923095703125, 659.8876953125], [268.4273376464844, 458.0662536621094, 368.6520690917969, 705.1912841796875], [120.96601104736328, 518.336669921875, 199.99928283691406, 744.74658203125], [1872.6697998046875, 344.21282958984375, 1918.3594970703125, 588.1939086914062]]","[0.8758245706558228, 0.8826774954795837, 0.6997972726821899, 0.7964727282524109, 0.7199158072471619, 0.6353772878646851, 0.7185959815979004]","[[1768.1410522460938, 739.1774291992188], [83.13685655593872, 906.87060546875], [1298.6572265625, 659.0634155273438], [1341.2855834960938, 659.8876953125], [318.5397033691406, 705.1912841796875], [160.48264694213867, 744.74658203125], [1895.5146484375, 588.1939086914062]]",321601536,306593792,321601536,640,yolo26m_640_ncnn_model,MOT17-09
10,,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1683.6339111328125, 389.870361328125, 1851.4495849609375, 742.1055297851562], [12.565970420837402, 223.68051147460938, 160.47413635253906, 904.978515625], [1274.0980224609375, 540.2446899414062, 1328.6307373046875, 660.0161743164062], [1311.236572265625, 457.7365417480469, 1380.931396484375, 659.7898559570312], [270.500244140625, 457.3819274902344, 368.92578125, 704.104248046875], [121.60137176513672, 518.1401977539062, 200.66151428222656, 744.7342529296875], [1871.1033935546875, 346.5850524902344, 1918.0513916015625, 596.0530395507812]]","[0.8760986924171448, 0.9059239029884338, 0.7099793553352356, 0.7801036238670349, 0.7576061487197876, 0.6294613480567932, 0.7140915989875793]","[[1767.541748046875, 742.1055297851562], [86.52005338668823, 904.978515625], [1301.3643798828125, 660.0161743164062], [1346.083984375, 659.7898559570312], [319.7130126953125, 704.104248046875], [161.13144302368164, 744.7342529296875], [1894.577392578125, 596.0530395507812]]",321601536,306593792,321601536,640,yolo26m_640_ncnn_model,MOT17-09
