frame_id,inference_ms,n_detections,track_ids,bboxes_xyxy,confs,footpoints,mem_total_bytes,mem_delta_bytes,mem_bytes,imgsz,model,seq
1,,6,"[1, 2, 3, 4, 5, 6]","[[1699.486083984375, 386.1180419921875, 1878.3194580078125, 727.1470947265625], [0.33841705322265625, 336.9510498046875, 115.45956420898438, 902.3758544921875], [253.29246520996094, 455.1542663574219, 354.3592529296875, 706.71875], [115.9604263305664, 492.12158203125, 210.59762573242188, 741.8143310546875], [1290.1328125, 462.601318359375, 1361.344970703125, 656.4920654296875], [1886.348388671875, 386.62158203125, 1919.1673583984375, 579.9060668945312]]","[0.8004658222198486, 0.7578709721565247, 0.6250854134559631, 0.5435668230056763, 0.5373821258544922, 0.43600574135780334]","[[1788.9027709960938, 727.1470947265625], [57.898990631103516, 902.3758544921875], [303.8258590698242, 706.71875], [163.27902603149414, 741.8143310546875], [1325.7388916015625, 656.4920654296875], [1902.7578735351562, 579.9060668945312]]",323350528,308375552,323350528,576,yolo26n_576_ncnn_model,MOT17-09
2,,6,"[1, 2, 3, 4, 5, 6]","[[1693.4168701171875, 388.2261962890625, 1872.3316650390625, 729.0742797851562], [5.316248416900635, 334.73046875, 121.22086334228516, 902.918212890625], [259.38446044921875, 455.03363037109375, 360.57879638671875, 707.2672729492188], [116.6760482788086, 490.521484375, 211.60574340820312, 741.1849365234375], [1288.2408447265625, 463.8018493652344, 1359.7177734375, 658.7688598632812], [1884.514892578125, 386.16107177734375, 1918.01025390625, 583.0994262695312]]","[0.7841361165046692, 0.8190988302230835, 0.6969907283782959, 0.4835672974586487, 0.4483921229839325, 0.5622472167015076]","[[1782.874267578125, 729.0742797851562], [63.268555879592896, 902.918212890625], [309.98162841796875, 707.2672729492188], [164.14089584350586, 741.1849365234375], [1323.9793090820312, 658.7688598632812], [1901.2625732421875, 583.0994262695312]]",323350528,308375552,323350528,576,yolo26n_576_ncnn_model,MOT17-09
3,,6,"[1, 2, 3, 4, 5, 6]","[[1691.5965576171875, 393.37652587890625, 1868.515380859375, 729.906494140625], [8.424735069274902, 317.8327331542969, 128.34463500976562, 903.23388671875], [262.25311279296875, 456.76763916015625, 362.36029052734375, 706.9185791015625], [116.02629089355469, 490.5091552734375, 211.0150146484375, 741.5626831054688], [1290.0601806640625, 462.83514404296875, 1361.922607421875, 659.3895263671875], [1883.6925048828125, 385.09759521484375, 1917.4232177734375, 582.7561645507812]]","[0.7520106434822083, 0.8391026258468628, 0.6529589295387268, 0.5105087757110596, 0.4037321209907532, 0.5574931502342224]","[[1780.0559692382812, 729.906494140625], [68.38468503952026, 903.23388671875], [312.30670166015625, 706.9185791015625], [163.5206527709961, 741.5626831054688], [1325.9913940429688, 659.3895263671875], [1900.557861328125, 582.7561645507812]]",323350528,308375552,323350528,576,yolo26n_576_ncnn_model,MOT17-09
4,,6,"[1, 2, 3, 4, 5, 6]","[[1689.2783203125, 392.23724365234375, 1867.9776611328125, 732.00830078125], [9.525327682495117, 298.645263671875, 134.20895385742188, 904.00146484375], [263.9414978027344, 458.97003173828125, 363.06036376953125, 706.8486328125], [115.62324523925781, 490.796630859375, 210.31964111328125, 741.3944091796875], [1293.074462890625, 460.3994140625, 1365.8189697265625, 659.748291015625], [1882.43994140625, 381.98431396484375, 1916.9718017578125, 583.3045043945312]]","[0.7284188866615295, 0.8439878821372986, 0.6838783025741577, 0.5366314053535461, 0.4338516592979431, 0.5804327726364136]","[[1778.6279907226562, 732.00830078125], [71.8671407699585, 904.00146484375], [313.5009307861328, 706.8486328125], [162.97144317626953, 741.3944091796875], [1329.4467163085938, 659.748291015625], [1899.7058715820312, 583.3045043945312]]",323350528,308375552,323350528,576,yolo26n_576_ncnn_model,MOT17-09
5,,6,"[1, 2, 3, 4, 5, 6]","[[1686.4439697265625, 389.0323486328125, 1867.188232421875, 733.55419921875], [8.62995433807373, 259.1424865722656, 142.2982940673828, 904.8118896484375], [263.08868408203125, 456.6763916015625, 362.9471740722656, 707.1162109375], [117.06478881835938, 493.53564453125, 210.45484924316406, 740.7089233398438], [1295.440185546875, 458.34796142578125, 1368.0684814453125, 658.3346557617188], [1881.63623046875, 379.7660827636719, 1916.730712890625, 583.0078735351562]]","[0.7043853402137756, 0.854512095451355, 0.6812660694122314, 0.478407621383667, 0.4307851791381836, 0.5885524153709412]","[[1776.8161010742188, 733.55419921875], [75.46412420272827, 904.8118896484375], [313.01792907714844, 707.1162109375], [163.75981903076172, 740.7089233398438], [1331.7543334960938, 658.3346557617188], [1899.1834716796875, 583.0078735351562]]",323350528,308375552,323350528,576,yolo26n_576_ncnn_model,MOT17-09
6,,7,"[1, 2, 3, 4, 5, 6, 10]","[[1685.7799072265625, 385.74560546875, 1868.4666748046875, 735.1354370117188], [8.70258617401123, 242.73406982421875, 146.7544403076172, 905.2681274414062], [263.55841064453125, 456.5633850097656, 362.8788146972656, 706.7306518554688], [117.3042221069336, 495.310791015625, 209.91761779785156, 741.18115234375], [1296.7447509765625, 458.8857421875, 1367.31689453125, 655.2537841796875], [1881.4644775390625, 377.9919738769531, 1916.9893798828125, 582.4486083984375], [1266.1685791015625, 535.6209106445312, 1315.683349609375, 658.201171875]]","[0.6973142027854919, 0.8607103228569031, 0.6550013422966003, 0.47647929191589355, 0.3507208228111267, 0.5277895927429199, 0.4477778673171997]","[[1777.123291015625, 735.1354370117188], [77.72851324081421, 905.2681274414062], [313.21861267089844, 706.7306518554688], [163.61091995239258, 741.18115234375], [1332.0308227539062, 655.2537841796875], [1899.2269287109375, 582.4486083984375], [1290.9259643554688, 658.201171875]]",323350528,308375552,323350528,576,yolo26n_576_ncnn_model,MOT17-09
7,,7,"[1, 2, 3, 4, 5, 6, 10]","[[1682.3331298828125, 386.75860595703125, 1864.6197509765625, 737.8027954101562], [6.760249614715576, 232.9296875, 147.50457763671875, 905.351318359375], [264.3169860839844, 456.0724792480469, 362.7489318847656, 706.0335083007812], [115.97779846191406, 496.8191223144531, 206.45645141601562, 739.4028930664062], [1298.1337890625, 460.5854797363281, 1367.6697998046875, 656.7821044921875], [1880.0743408203125, 373.52520751953125, 1916.6396484375, 581.97900390625], [1269.8262939453125, 535.3744506835938, 1320.509033203125, 661.3260498046875]]","[0.6992760300636292, 0.8644692897796631, 0.6338464617729187, 0.5603848099708557, 0.37001463770866394, 0.575303852558136, 0.4226378798484802]","[[1773.4764404296875, 737.8027954101562], [77.13241362571716, 905.351318359375], [313.532958984375, 706.0335083007812], [161.21712493896484, 739.4028930664062], [1332.9017944335938, 656.7821044921875], [1898.3569946289062, 581.97900390625], [1295.1676635742188, 661.3260498046875]]",323350528,308375552,323350528,576,yolo26n_576_ncnn_model,MOT17-09
8,,7,"[1, 2, 3, 4, 5, 6, 10]","[[1680.82568359375, 387.6973571777344, 1860.873291015625, 737.8833618164062], [7.916598796844482, 230.994873046875, 150.2327117919922, 905.6694946289062], [264.87371826171875, 454.24578857421875, 362.8069763183594, 705.2691650390625], [114.9007339477539, 499.5502014160156, 205.20150756835938, 742.0782470703125], [1310.0157470703125, 464.7237548828125, 1378.82373046875, 659.7267456054688], [1879.1627197265625, 372.37005615234375, 1916.2994384765625, 581.5389404296875], [1271.4530029296875, 533.1705932617188, 1323.2987060546875, 662.6863403320312]]","[0.7319916486740112, 0.8675352931022644, 0.5913663506507874, 0.41530153155326843, 0.43702182173728943, 0.5940945744514465, 0.3811952471733093]","[[1770.8494873046875, 737.8833618164062], [79.07465529441833, 905.6694946289062], [313.84034729003906, 705.2691650390625], [160.05112075805664, 742.0782470703125], [1344.4197387695312, 659.7267456054688], [1897.7310791015625, 581.5389404296875], [1297.3758544921875, 662.6863403320312]]",323350528,308375552,323350528,576,yolo26n_576_ncnn_model,MOT17-09
9,,7,"[1, 2, 3, 4, 5, 6, 10]","[[1680.853271484375, 388.2582702636719, 1859.4752197265625, 739.2982177734375], [11.337474822998047, 227.6768341064453, 156.14395141601562, 905.2611694335938], [272.2662048339844, 454.1989440917969, 367.6993408203125, 703.35107421875], [114.84870910644531, 507.123046875, 201.0078887939453, 740.98583984375], [1311.53466796875, 464.7616882324219, 1381.8800048828125, 662.1779174804688], [1877.882080078125, 372.926513671875, 1915.461181640625, 581.0007934570312], [1275.49755859375, 535.99267578125, 1325.9578857421875, 663.1066284179688]]","[0.7609320878982544, 0.8748342990875244, 0.5182408690452576, 0.4039577841758728, 0.5605969429016113, 0.6160735487937927, 0.33767253160476685]","[[1770.1642456054688, 739.2982177734375], [83.74071311950684, 905.2611694335938], [319.98277282714844, 703.35107421875], [157.9282989501953, 740.98583984375], [1346.7073364257812, 662.1779174804688], [1896.671630859375, 581.0007934570312], [1300.7277221679688, 663.1066284179688]]",323350528,308375552,323350528,576,yolo26n_576_ncnn_model,MOT17-09
10,,6,"[1, 2, 3, 4, 5, 6]","[[1678.210205078125, 388.486328125, 1855.6907958984375, 741.029296875], [14.057879447937012, 225.99288940429688, 161.58677673339844, 905.2177124023438], [277.4987487792969, 453.3056335449219, 369.4541320800781, 698.35107421875], [115.32746887207031, 507.0930480957031, 201.13409423828125, 741.1511840820312], [1311.795166015625, 463.6296081542969, 1383.04736328125, 660.5516967773438], [1876.38916015625, 374.4980163574219, 1915.0048828125, 584.2503051757812]]","[0.7869600653648376, 0.8876617550849915, 0.34035664796829224, 0.32147157192230225, 0.4949299097061157, 0.6145145893096924]","[[1766.9505004882812, 741.029296875], [87.82232809066772, 905.2177124023438], [323.4764404296875, 698.35107421875], [158.23078155517578, 741.1511840820312], [1347.4212646484375, 660.5516967773438], [1895.697021484375, 584.2503051757812]]",323350528,308375552,323350528,576,yolo26n_576_ncnn_model,MOT17-09
