frame_id,inference_ms,postprocess_ms,n_detections,track_ids,bboxes_xyxy,confs,footpoints,mem_total_bytes,mem_delta_bytes,mem_bytes,imgsz,model,seq
1,,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1699.132568359375, 389.3670654296875, 1861.8433837890625, 728.0286865234375], [0.16451263427734375, 340.38555908203125, 118.5600357055664, 899.9067993164062], [1289.880615234375, 461.01654052734375, 1353.6817626953125, 656.7907104492188], [1254.801025390625, 537.3167724609375, 1311.90869140625, 656.1910400390625], [257.02984619140625, 455.15509033203125, 353.0721435546875, 703.3529052734375], [1888.046630859375, 394.2149658203125, 1919.34521484375, 576.2060546875], [116.30895233154297, 504.8671875, 209.974853515625, 743.162841796875]]","[0.8621518015861511, 0.8186357617378235, 0.8134667873382568, 0.743482232093811, 0.676526665687561, 0.6624055504798889, 0.4924139380455017]","[[1780.4879760742188, 728.0286865234375], [59.362274169921875, 899.9067993164062], [1321.7811889648438, 656.7907104492188], [1283.3548583984375, 656.1910400390625], [305.0509948730469, 703.3529052734375], [1903.6959228515625, 576.2060546875], [163.14190292358398, 743.162841796875]]",321597440,306589696,321597440,640,yolo26s_640_ncnn_model,MOT17-09
2,,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1692.85009765625, 389.1632995605469, 1855.9990234375, 728.3997802734375], [0.0, 333.2293395996094, 119.65795135498047, 900.1656494140625], [1292.8585205078125, 460.8876647949219, 1356.7777099609375, 657.1639404296875], [1256.9466552734375, 537.3267822265625, 1314.510009765625, 657.1753540039062], [259.9553527832031, 454.9546203613281, 356.2480773925781, 703.9368896484375], [1885.4678955078125, 388.2197265625, 1918.207763671875, 578.27587890625], [110.50797271728516, 511.0889587402344, 201.65769958496094, 743.8065185546875]]","[0.8619837164878845, 0.8563608527183533, 0.8036823272705078, 0.7516471743583679, 0.7032356262207031, 0.614204466342926, 0.6006772518157959]","[[1774.424560546875, 728.3997802734375], [59.828975677490234, 900.1656494140625], [1324.818115234375, 657.1639404296875], [1285.7283325195312, 657.1753540039062], [308.1017150878906, 703.9368896484375], [1901.8378295898438, 578.27587890625], [156.08283615112305, 743.8065185546875]]",321597440,306589696,321597440,640,yolo26s_640_ncnn_model,MOT17-09
3,,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1689.082275390625, 389.0379333496094, 1852.836669921875, 728.901123046875], [0.0, 319.328369140625, 121.5820541381836, 900.6104125976562], [1293.998291015625, 460.7016296386719, 1358.26025390625, 658.0053100585938], [1258.0472412109375, 537.98583984375, 1315.677734375, 658.1253051757812], [263.197509765625, 456.185546875, 358.8851318359375, 703.6851806640625], [1883.9222412109375, 385.5681457519531, 1917.2869873046875, 578.4578247070312], [112.99528503417969, 509.1996765136719, 204.84124755859375, 743.766357421875]]","[0.8496942520141602, 0.8561975359916687, 0.7868849039077759, 0.7214586734771729, 0.7375915050506592, 0.6499857306480408, 0.5894336700439453]","[[1770.95947265625, 728.901123046875], [60.7910270690918, 900.6104125976562], [1326.1292724609375, 658.0053100585938], [1286.8624877929688, 658.1253051757812], [311.04132080078125, 703.6851806640625], [1900.6046142578125, 578.4578247070312], [158.91826629638672, 743.766357421875]]",321597440,306589696,321597440,640,yolo26s_640_ncnn_model,MOT17-09
4,,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1685.43017578125, 388.9425354003906, 1849.888671875, 729.8776245117188], [1.731473684310913, 300.35107421875, 128.77093505859375, 900.2902221679688], [1295.927734375, 461.6644287109375, 1359.989013671875, 658.39404296875], [1259.1005859375, 537.86328125, 1317.8458251953125, 660.915283203125], [263.51434326171875, 456.80462646484375, 358.96881103515625, 703.8056640625], [1883.153564453125, 383.423095703125, 1917.1978759765625, 579.3162841796875], [113.8004150390625, 509.2506103515625, 205.39939880371094, 743.6957397460938]]","[0.8522875308990479, 0.8442983031272888, 0.7739546895027161, 0.7123118042945862, 0.7579938173294067, 0.5894021987915039, 0.6124083995819092]","[[1767.659423828125, 729.8776245117188], [65.25120437145233, 900.2902221679688], [1327.9583740234375, 658.39404296875], [1288.4732055664062, 660.915283203125], [311.2415771484375, 703.8056640625], [1900.1757202148438, 579.3162841796875], [159.59990692138672, 743.6957397460938]]",321597440,306589696,321597440,640,yolo26s_640_ncnn_model,MOT17-09
5,,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1682.70556640625, 387.8382873535156, 1847.9359130859375, 730.6002807617188], [1.1878408193588257, 257.90618896484375, 137.514892578125, 901.5008544921875], [1298.0623779296875, 461.3241882324219, 1362.218505859375, 658.5254516601562], [1261.577392578125, 538.2227783203125, 1319.3009033203125, 660.3533935546875], [264.4439392089844, 457.5997314453125, 359.6154479980469, 704.2249755859375], [1882.17822265625, 380.701904296875, 1916.92919921875, 579.343017578125], [114.24713134765625, 520.3662109375, 201.12469482421875, 744.0091552734375]]","[0.8148936033248901, 0.8896098732948303, 0.803974986076355, 0.6839630007743835, 0.7692292332649231, 0.7017017006874084, 0.559842050075531]","[[1765.3207397460938, 730.6002807617188], [69.35136669874191, 901.5008544921875], [1330.1404418945312, 658.5254516601562], [1290.4391479492188, 660.3533935546875], [312.0296936035156, 704.2249755859375], [1899.5537109375, 579.343017578125], [157.6859130859375, 744.0091552734375]]",321597440,306589696,321597440,640,yolo26s_640_ncnn_model,MOT17-09
6,,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1681.5003662109375, 388.2658996582031, 1847.7403564453125, 733.8430786132812], [4.210263252258301, 237.98309326171875, 145.5570526123047, 902.4609985351562], [1300.9947509765625, 461.33770751953125, 1365.020751953125, 658.0608520507812], [1264.4808349609375, 538.4757690429688, 1321.1226806640625, 659.9520263671875], [265.9825134277344, 457.9505920410156, 360.7266540527344, 704.3071899414062], [1880.953857421875, 375.9818115234375, 1916.7628173828125, 579.0681762695312], [116.72023010253906, 523.9105834960938, 201.92042541503906, 743.980224609375]]","[0.7997415661811829, 0.9184151291847229, 0.7964240312576294, 0.5613844990730286, 0.7636657953262329, 0.6623201370239258, 0.6027160286903381]","[[1764.620361328125, 733.8430786132812], [74.8836579322815, 902.4609985351562], [1333.0077514648438, 658.0608520507812], [1292.8017578125, 659.9520263671875], [313.3545837402344, 704.3071899414062], [1898.8583374023438, 579.0681762695312], [159.32032775878906, 743.980224609375]]",321597440,306589696,321597440,640,yolo26s_640_ncnn_model,MOT17-09
7,,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1680.3916015625, 388.9485168457031, 1847.002685546875, 736.4237060546875], [3.6320159435272217, 228.72900390625, 147.339599609375, 902.6529541015625], [1302.58447265625, 460.15802001953125, 1367.0078125, 658.3868408203125], [1269.4083251953125, 545.5733642578125, 1321.8948974609375, 659.65771484375], [269.73846435546875, 457.8919677734375, 363.49017333984375, 703.919677734375], [1877.539794921875, 366.95672607421875, 1915.846435546875, 581.536376953125], [116.91959381103516, 528.7853393554688, 199.72821044921875, 743.7265014648438]]","[0.8191797137260437, 0.9277931451797485, 0.8119890093803406, 0.48258838057518005, 0.7740988731384277, 0.6795385479927063, 0.5942701101303101]","[[1763.6971435546875, 736.4237060546875], [75.48580777645111, 902.6529541015625], [1334.796142578125, 658.3868408203125], [1295.651611328125, 659.65771484375], [316.61431884765625, 703.919677734375], [1896.693115234375, 581.536376953125], [158.32390213012695, 743.7265014648438]]",321597440,306589696,321597440,640,yolo26s_640_ncnn_model,MOT17-09
8,,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1684.2769775390625, 389.2808837890625, 1851.2919921875, 737.8333129882812], [5.147017955780029, 223.16978454589844, 150.84014892578125, 902.7559814453125], [1304.815673828125, 459.89080810546875, 1369.7254638671875, 658.4842529296875], [1271.22802734375, 544.9113159179688, 1324.0074462890625, 661.5175170898438], [272.85614013671875, 457.73046875, 365.5027160644531, 703.8704833984375], [1876.5758056640625, 373.04241943359375, 1915.0048828125, 584.65673828125], [115.35966491699219, 522.3456420898438, 200.0927734375, 743.88916015625]]","[0.828153669834137, 0.9303705096244812, 0.8142415285110474, 0.4266567826271057, 0.7419636249542236, 0.7083088755607605, 0.5782958269119263]","[[1767.7844848632812, 737.8333129882812], [77.99358344078064, 902.7559814453125], [1337.2705688476562, 658.4842529296875], [1297.6177368164062, 661.5175170898438], [319.17942810058594, 703.8704833984375], [1895.7903442382812, 584.65673828125], [157.7262191772461, 743.88916015625]]",321597440,306589696,321597440,640,yolo26s_640_ncnn_model,MOT17-09
9,,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1683.9227294921875, 389.98297119140625, 1851.0740966796875, 739.9661865234375], [8.005950927734375, 221.2934112548828, 155.3850860595703, 902.2625122070312], [1308.1541748046875, 459.4378356933594, 1373.9324951171875, 659.30712890625], [1272.70751953125, 542.67626953125, 1325.87109375, 662.4203491210938], [277.4673767089844, 457.89239501953125, 368.2065124511719, 703.47802734375], [1875.263427734375, 374.4613037109375, 1914.952880859375, 589.5198364257812], [115.25135803222656, 514.35009765625, 202.27236938476562, 743.6470947265625]]","[0.8218035697937012, 0.9278920292854309, 0.8226141929626465, 0.5779466032981873, 0.675620973110199, 0.7294160723686218, 0.6571877598762512]","[[1767.4984130859375, 739.9661865234375], [81.69551849365234, 902.2625122070312], [1341.0433349609375, 659.30712890625], [1299.289306640625, 662.4203491210938], [322.8369445800781, 703.47802734375], [1895.108154296875, 589.5198364257812], [158.7618637084961, 743.6470947265625]]",321597440,306589696,321597440,640,yolo26s_640_ncnn_model,MOT17-09
10,,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1682.9853515625, 390.63470458984375, 1849.89013671875, 741.3595581054688], [12.551145553588867, 222.0950927734375, 161.87869262695312, 901.2013549804688], [1312.46630859375, 458.17095947265625, 1378.9619140625, 658.4078979492188], [1276.018310546875, 540.2737426757812, 1330.0164794921875, 663.8629760742188], [278.5434265136719, 455.99761962890625, 367.9886474609375, 701.7740478515625], [1873.74072265625, 376.7908935546875, 1914.6002197265625, 594.060546875], [116.43455505371094, 514.5718994140625, 202.75718688964844, 743.6158447265625]]","[0.7995777726173401, 0.9209920763969421, 0.647818922996521, 0.6479077339172363, 0.579806387424469, 0.7553044557571411, 0.48380324244499207]","[[1766.437744140625, 741.3595581054688], [87.214919090271, 901.2013549804688], [1345.714111328125, 658.4078979492188], [1303.0173950195312, 663.8629760742188], [323.2660369873047, 701.7740478515625], [1894.1704711914062, 594.060546875], [159.5958709716797, 743.6158447265625]]",321597440,306589696,321597440,640,yolo26s_640_ncnn_model,MOT17-09
