frame_id,inference_ms,n_detections,track_ids,bboxes_xyxy,confs,footpoints,mem_total_bytes,mem_delta_bytes,mem_bytes,imgsz,model,seq
1,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1338.772705078125, 434.641845703125, 1505.079345703125, 788.5484619140625], [1444.9913330078125, 432.1891784667969, 1600.9666748046875, 767.61474609375], [445.65350341796875, 439.278564453125, 558.398193359375, 724.65283203125], [582.3084716796875, 444.1029052734375, 675.580078125, 705.101806640625], [1256.3720703125, 442.85015869140625, 1291.4603271484375, 546.547119140625], [732.452880859375, 465.33197021484375, 766.6442260742188, 568.1969604492188], [1087.538818359375, 456.15643310546875, 1132.0953369140625, 552.3071899414062]]","[0.8908209800720215, 0.8455776572227478, 0.8212355971336365, 0.5550666451454163, 0.46063458919525146, 0.45533859729766846, 0.2583305537700653]","[[1421.926025390625, 788.5484619140625], [1522.97900390625, 767.61474609375], [502.0258483886719, 724.65283203125], [628.9442749023438, 705.101806640625], [1273.9161987304688, 546.547119140625], [749.5485534667969, 568.1969604492188], [1109.8170776367188, 552.3071899414062]]",896811008,881704960,896811008,384,yolo26m.pt,MOT17-02
2,,6,"[1, 2, 3, 4, 5, 6]","[[1343.2733154296875, 430.1103210449219, 1513.406494140625, 792.153076171875], [1448.235595703125, 436.7718811035156, 1603.0311279296875, 770.0384521484375], [446.1117248535156, 437.7332458496094, 559.8587646484375, 725.5731811523438], [581.9827270507812, 445.18988037109375, 674.6862182617188, 704.6115112304688], [1256.193115234375, 441.67327880859375, 1291.61181640625, 546.3862915039062], [733.9976196289062, 468.42724609375, 767.09228515625, 567.9520263671875]]","[0.8881180286407471, 0.8390680551528931, 0.8448294401168823, 0.35655978322029114, 0.49749755859375, 0.5200664401054382]","[[1428.3399047851562, 792.153076171875], [1525.6333618164062, 770.0384521484375], [502.98524475097656, 725.5731811523438], [628.33447265625, 704.6115112304688], [1273.9024658203125, 546.3862915039062], [750.5449523925781, 567.9520263671875]]",896811008,881704960,896811008,384,yolo26m.pt,MOT17-02
3,,7,"[1, 2, 3, 4, 5, 6, 8]","[[1343.8680419921875, 422.8063049316406, 1520.0462646484375, 797.9511108398438], [1454.24267578125, 434.3721618652344, 1610.70947265625, 771.9278564453125], [449.24993896484375, 437.73419189453125, 562.812744140625, 725.2764282226562], [582.5305786132812, 444.02447509765625, 675.7130737304688, 704.69677734375], [1256.5487060546875, 442.05438232421875, 1291.77880859375, 546.2899169921875], [735.6478881835938, 471.7880859375, 767.565673828125, 567.5029296875], [688.09130859375, 468.70513916015625, 732.0240478515625, 604.2083129882812]]","[0.904112696647644, 0.8728211522102356, 0.8380324244499207, 0.6132693886756897, 0.40669581294059753, 0.5507349967956543, 0.3425000309944153]","[[1431.9571533203125, 797.9511108398438], [1532.47607421875, 771.9278564453125], [506.0313415527344, 725.2764282226562], [629.121826171875, 704.69677734375], [1274.1637573242188, 546.2899169921875], [751.6067810058594, 567.5029296875], [710.0576782226562, 604.2083129882812]]",896811008,881704960,896811008,384,yolo26m.pt,MOT17-02
4,,7,"[1, 2, 3, 4, 5, 6, 8]","[[1346.1181640625, 417.6443786621094, 1525.3447265625, 799.3162841796875], [1457.3841552734375, 430.7906494140625, 1614.7022705078125, 772.490234375], [452.42230224609375, 437.8065490722656, 565.8045654296875, 725.2333984375], [582.7515258789062, 446.0987854003906, 675.1097412109375, 704.1851196289062], [1257.0506591796875, 442.9566650390625, 1291.980224609375, 546.33056640625], [735.9973754882812, 472.91748046875, 767.4540405273438, 566.9464721679688], [689.54638671875, 473.866455078125, 731.8031616210938, 603.9434204101562]]","[0.9077320694923401, 0.82222980260849, 0.8237654566764832, 0.7047833800315857, 0.5180090069770813, 0.49668699502944946, 0.3631211221218109]","[[1435.7314453125, 799.3162841796875], [1536.043212890625, 772.490234375], [509.1134338378906, 725.2333984375], [628.9306335449219, 704.1851196289062], [1274.5154418945312, 546.33056640625], [751.7257080078125, 566.9464721679688], [710.6747741699219, 603.9434204101562]]",896811008,881704960,896811008,384,yolo26m.pt,MOT17-02
5,,7,"[1, 2, 3, 4, 5, 6, 8]","[[1350.657958984375, 415.78204345703125, 1530.910400390625, 799.2125244140625], [1465.2760009765625, 436.5361633300781, 1618.05615234375, 772.5471801757812], [449.7939147949219, 437.9964904785156, 563.37353515625, 725.2181396484375], [582.5774536132812, 446.6502990722656, 674.4202270507812, 703.0548706054688], [1257.060546875, 443.16656494140625, 1291.8623046875, 546.0411376953125], [736.3681030273438, 473.0826721191406, 767.779296875, 566.5465698242188], [688.95654296875, 471.48834228515625, 731.9111938476562, 603.6744384765625]]","[0.9233506917953491, 0.7876392602920532, 0.8493461608886719, 0.6965128183364868, 0.4843829572200775, 0.4997830092906952, 0.2627396583557129]","[[1440.7841796875, 799.2125244140625], [1541.6660766601562, 772.5471801757812], [506.58372497558594, 725.2181396484375], [628.4988403320312, 703.0548706054688], [1274.46142578125, 546.0411376953125], [752.0736999511719, 566.5465698242188], [710.4338684082031, 603.6744384765625]]",896811008,881704960,896811008,384,yolo26m.pt,MOT17-02
6,,6,"[1, 2, 3, 4, 5, 6]","[[1354.1337890625, 415.4096374511719, 1534.0562744140625, 799.0830688476562], [1468.9716796875, 433.7607727050781, 1620.60009765625, 772.72265625], [448.6007995605469, 438.1629333496094, 562.9470825195312, 725.9992065429688], [581.7803955078125, 446.741943359375, 673.8505859375, 703.7623291015625], [1257.0263671875, 444.00311279296875, 1291.5888671875, 546.2037963867188], [736.4849243164062, 473.174072265625, 768.1139526367188, 566.7305908203125]]","[0.9148640632629395, 0.7887100577354431, 0.861910343170166, 0.7231851816177368, 0.5164313912391663, 0.5872262120246887]","[[1444.0950317382812, 799.0830688476562], [1544.785888671875, 772.72265625], [505.77394104003906, 725.9992065429688], [627.8154907226562, 703.7623291015625], [1274.3076171875, 546.2037963867188], [752.2994384765625, 566.7305908203125]]",896811008,881704960,896811008,384,yolo26m.pt,MOT17-02
7,,7,"[1, 2, 3, 4, 5, 6, 10]","[[1359.9573974609375, 413.0191650390625, 1539.38720703125, 798.652587890625], [1472.1302490234375, 429.16473388671875, 1623.413818359375, 772.6788330078125], [448.3497009277344, 439.9530944824219, 562.8818969726562, 726.205078125], [581.5454711914062, 445.8773193359375, 673.8793334960938, 703.6055908203125], [1256.559326171875, 442.30133056640625, 1291.696044921875, 546.617431640625], [735.7855834960938, 473.2536315917969, 767.7997436523438, 567.3536987304688], [663.0921630859375, 457.4107971191406, 723.3375854492188, 608.794677734375]]","[0.9252235889434814, 0.8356921076774597, 0.871757447719574, 0.6884911060333252, 0.46855103969573975, 0.6711866855621338, 0.39974457025527954]","[[1449.6723022460938, 798.652587890625], [1547.7720336914062, 772.6788330078125], [505.6157989501953, 726.205078125], [627.71240234375, 703.6055908203125], [1274.127685546875, 546.617431640625], [751.7926635742188, 567.3536987304688], [693.2148742675781, 608.794677734375]]",896811008,881704960,896811008,384,yolo26m.pt,MOT17-02
8,,7,"[1, 2, 3, 4, 5, 6, 10]","[[1367.7508544921875, 411.5190734863281, 1545.7132568359375, 799.3347778320312], [1475.336181640625, 426.6575927734375, 1624.451416015625, 772.0348510742188], [448.03326416015625, 439.605224609375, 563.3925170898438, 725.7777709960938], [581.5779418945312, 445.1800537109375, 674.1939086914062, 703.5955200195312], [1256.261962890625, 441.555908203125, 1291.600830078125, 546.7499389648438], [735.346435546875, 468.9535827636719, 769.287353515625, 568.1082763671875], [661.2957763671875, 456.56536865234375, 723.4861450195312, 613.1181030273438]]","[0.9070655107498169, 0.8250306248664856, 0.8667579293251038, 0.6757584810256958, 0.44020888209342957, 0.6461543440818787, 0.3817596137523651]","[[1456.7320556640625, 799.3347778320312], [1549.893798828125, 772.0348510742188], [505.712890625, 725.7777709960938], [627.8859252929688, 703.5955200195312], [1273.931396484375, 546.7499389648438], [752.31689453125, 568.1082763671875], [692.3909606933594, 613.1181030273438]]",896811008,881704960,896811008,384,yolo26m.pt,MOT17-02
9,,7,"[1, 2, 3, 4, 5, 6, 10]","[[1378.1024169921875, 408.38665771484375, 1554.0233154296875, 799.2680053710938], [1480.074462890625, 424.5361633300781, 1626.524658203125, 770.3792114257812], [448.704345703125, 439.5885009765625, 564.9344482421875, 725.6852416992188], [581.7986450195312, 444.902587890625, 674.4866333007812, 703.59423828125], [1256.203369140625, 440.8331604003906, 1291.9332275390625, 547.0944213867188], [734.3162231445312, 469.1988220214844, 768.0347290039062, 567.6325073242188], [657.0955200195312, 454.6343688964844, 725.1935424804688, 626.6847534179688]]","[0.8825639486312866, 0.8147220015525818, 0.8756024837493896, 0.670200765132904, 0.4839101731777191, 0.7187829613685608, 0.27563783526420593]","[[1466.0628662109375, 799.2680053710938], [1553.299560546875, 770.3792114257812], [506.81939697265625, 725.6852416992188], [628.1426391601562, 703.59423828125], [1274.0682983398438, 547.0944213867188], [751.1754760742188, 567.6325073242188], [691.14453125, 626.6847534179688]]",896811008,881704960,896811008,384,yolo26m.pt,MOT17-02
10,,8,"[1, 2, 3, 4, 5, 6, 10, 13]","[[1390.15576171875, 406.1712951660156, 1563.1025390625, 799.4334716796875], [1487.4627685546875, 422.8748474121094, 1632.1402587890625, 771.4766845703125], [450.0591125488281, 441.2842102050781, 566.508056640625, 725.9468383789062], [581.9249267578125, 445.06390380859375, 674.7916870117188, 704.1458129882812], [1256.18408203125, 439.795654296875, 1292.3712158203125, 547.3143310546875], [733.9793090820312, 468.95941162109375, 767.6951293945312, 567.1989135742188], [652.808349609375, 453.6161804199219, 724.4323120117188, 635.818359375], [1375.4383544921875, 434.668701171875, 1423.317138671875, 562.8593139648438]]","[0.8809188604354858, 0.8314794898033142, 0.8830962181091309, 0.7228475213050842, 0.49584993720054626, 0.6583579182624817, 0.27005964517593384, 0.3640647530555725]","[[1476.629150390625, 799.4334716796875], [1559.801513671875, 771.4766845703125], [508.28358459472656, 725.9468383789062], [628.3583068847656, 704.1458129882812], [1274.2776489257812, 547.3143310546875], [750.8372192382812, 567.1989135742188], [688.6203308105469, 635.818359375], [1399.3777465820312, 562.8593139648438]]",896811008,881704960,896811008,384,yolo26m.pt,MOT17-02
