frame_id,inference_ms,n_detections,track_ids,bboxes_xyxy,confs,footpoints,mem_bytes,imgsz,model,seq
1,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1336.82568359375, 424.03546142578125, 1497.288818359375, 776.380126953125], [581.4769287109375, 444.11444091796875, 677.6138305664062, 709.634521484375], [1439.460693359375, 445.1993408203125, 1601.0550537109375, 766.1993408203125], [435.58428955078125, 452.93121337890625, 549.5565185546875, 723.1865234375], [1256.0184326171875, 446.1513671875, 1298.4608154296875, 546.1688842773438], [731.85400390625, 470.44293212890625, 763.9873657226562, 563.3959350585938], [727.0079345703125, 472.22760009765625, 760.2234497070312, 568.904296875]]","[0.8466605544090271, 0.8339022397994995, 0.6656803488731384, 0.537318766117096, 0.35975152254104614, 0.3047487437725067, 0.26619628071784973]","[[1417.0572509765625, 776.380126953125], [629.5453796386719, 709.634521484375], [1520.2578735351562, 766.1993408203125], [492.5704040527344, 723.1865234375], [1277.2396240234375, 546.1688842773438], [747.9206848144531, 563.3959350585938], [743.6156921386719, 568.904296875]]",88142848,512,yolo26n.pt,MOT17-02
2,,6,"[1, 2, 3, 4, 5, 6]","[[1345.83056640625, 429.63421630859375, 1503.29052734375, 775.0025024414062], [580.8483276367188, 442.78460693359375, 678.0934448242188, 711.4473266601562], [1447.4713134765625, 457.3140869140625, 1604.3642578125, 769.0802001953125], [438.76824951171875, 453.0252380371094, 553.1969604492188, 724.470458984375], [1254.8165283203125, 444.5466613769531, 1298.1549072265625, 546.7547607421875], [733.098876953125, 469.14312744140625, 766.0031127929688, 564.3995971679688]]","[0.8505332469940186, 0.8190336227416992, 0.5907040238380432, 0.539530336856842, 0.36008933186531067, 0.333573579788208]","[[1424.560546875, 775.0025024414062], [629.4708862304688, 711.4473266601562], [1525.9177856445312, 769.0802001953125], [495.98260498046875, 724.470458984375], [1276.4857177734375, 546.7547607421875], [749.5509948730469, 564.3995971679688]]",88142848,512,yolo26n.pt,MOT17-02
3,,6,"[1, 2, 3, 4, 5, 6]","[[1350.875, 438.41339111328125, 1507.9017333984375, 781.7463989257812], [580.688232421875, 442.003173828125, 678.3712158203125, 711.8988037109375], [1453.4329833984375, 451.5084533691406, 1612.2396240234375, 768.1301879882812], [433.9703063964844, 450.7194519042969, 549.6260375976562, 724.62890625], [1255.09716796875, 444.1369323730469, 1298.5048828125, 546.5830688476562], [733.295166015625, 469.202880859375, 766.1500854492188, 564.4472045898438]]","[0.8770784139633179, 0.8213514685630798, 0.6596841812133789, 0.6168544888496399, 0.2995925545692444, 0.4087510108947754]","[[1429.3883666992188, 781.7463989257812], [629.5297241210938, 711.8988037109375], [1532.8363037109375, 768.1301879882812], [491.7981719970703, 724.62890625], [1276.801025390625, 546.5830688476562], [749.7226257324219, 564.4472045898438]]",88142848,512,yolo26n.pt,MOT17-02
4,,5,"[1, 2, 3, 4, 6]","[[1353.459228515625, 435.7707824707031, 1515.5882568359375, 789.3866577148438], [580.4505615234375, 441.9133605957031, 678.474365234375, 712.6549072265625], [1456.4212646484375, 440.17950439453125, 1619.8631591796875, 768.9104614257812], [436.72174072265625, 448.165283203125, 553.0775146484375, 723.3008422851562], [733.5877685546875, 469.2424621582031, 766.4198608398438, 564.5219116210938]]","[0.8374996781349182, 0.823016881942749, 0.7156652808189392, 0.6828247308731079, 0.417057603597641]","[[1434.5237426757812, 789.3866577148438], [629.4624633789062, 712.6549072265625], [1538.1422119140625, 768.9104614257812], [494.8996276855469, 723.3008422851562], [750.0038146972656, 564.5219116210938]]",88142848,512,yolo26n.pt,MOT17-02
5,,5,"[1, 2, 3, 4, 6]","[[1354.270263671875, 430.8941650390625, 1521.197265625, 794.661865234375], [579.6104736328125, 441.68023681640625, 677.8761596679688, 713.2030029296875], [1462.833984375, 440.9639587402344, 1625.0499267578125, 771.2925415039062], [447.2831726074219, 450.7395935058594, 561.8958740234375, 722.3572387695312], [733.918701171875, 469.7167663574219, 766.7997436523438, 565.39404296875]]","[0.8444380760192871, 0.8235706090927124, 0.7098912000656128, 0.5706580281257629, 0.39618608355522156]","[[1437.7337646484375, 794.661865234375], [628.7433166503906, 713.2030029296875], [1543.9419555664062, 771.2925415039062], [504.5895233154297, 722.3572387695312], [750.3592224121094, 565.39404296875]]",88142848,512,yolo26n.pt,MOT17-02
6,,4,"[1, 2, 4, 6]","[[1355.7972412109375, 423.41748046875, 1526.92529296875, 798.0379028320312], [578.4813232421875, 441.8468933105469, 676.4893188476562, 712.9381713867188], [453.4244689941406, 453.44573974609375, 565.04345703125, 719.1314697265625], [734.4725952148438, 471.88372802734375, 765.9810791015625, 563.9058227539062]]","[0.8547693490982056, 0.8340334892272949, 0.5985991358757019, 0.3449690639972687]","[[1441.3612670898438, 798.0379028320312], [627.4853210449219, 712.9381713867188], [509.2339630126953, 719.1314697265625], [750.2268371582031, 563.9058227539062]]",88142848,512,yolo26n.pt,MOT17-02
7,,6,"[1, 2, 4, 6, 5, 3]","[[1361.58154296875, 417.8033447265625, 1534.39697265625, 798.5195922851562], [578.2926635742188, 442.3401184082031, 676.0515747070312, 713.1633911132812], [458.00274658203125, 452.8410949707031, 568.943359375, 718.4279174804688], [735.087890625, 471.6501770019531, 766.3123168945312, 563.509765625], [1255.1046142578125, 444.97161865234375, 1298.1766357421875, 547.0629272460938], [1475.6627197265625, 446.9054870605469, 1632.2823486328125, 771.9459228515625]]","[0.8851898908615112, 0.8305041193962097, 0.6459144949913025, 0.3863304853439331, 0.26610028743743896, 0.6777052879333496]","[[1447.9892578125, 798.5195922851562], [627.172119140625, 713.1633911132812], [513.4730529785156, 718.4279174804688], [750.7001037597656, 563.509765625], [1276.640625, 547.0629272460938], [1553.9725341796875, 771.9459228515625]]",88142848,512,yolo26n.pt,MOT17-02
8,,6,"[1, 2, 4, 6, 5, 3]","[[1369.2071533203125, 416.3256530761719, 1541.013671875, 799.109619140625], [578.599609375, 443.0387268066406, 675.59228515625, 712.1788940429688], [459.3575134277344, 451.6273498535156, 569.678466796875, 717.8394775390625], [735.6763916015625, 471.6864318847656, 766.2725219726562, 562.3109741210938], [1255.3238525390625, 445.456787109375, 1298.131103515625, 547.2662353515625], [1479.1968994140625, 436.2442321777344, 1636.7891845703125, 772.269775390625]]","[0.8631510734558105, 0.831305205821991, 0.7196040153503418, 0.3775513172149658, 0.33908316493034363, 0.7535401582717896]","[[1455.1104125976562, 799.109619140625], [627.095947265625, 712.1788940429688], [514.5179901123047, 717.8394775390625], [750.9744567871094, 562.3109741210938], [1276.7274780273438, 547.2662353515625], [1557.9930419921875, 772.269775390625]]",88142848,512,yolo26n.pt,MOT17-02
9,,6,"[1, 2, 4, 6, 5, 3]","[[1381.1600341796875, 413.0056457519531, 1550.3267822265625, 797.0527954101562], [578.169921875, 443.5037841796875, 674.4880981445312, 711.5961303710938], [462.05633544921875, 451.36102294921875, 570.973388671875, 716.4917602539062], [735.8787231445312, 470.9294738769531, 766.6318969726562, 562.6771850585938], [1255.3848876953125, 446.619873046875, 1297.7947998046875, 547.5629272460938], [1482.1153564453125, 426.2478942871094, 1639.6690673828125, 771.5635375976562]]","[0.8177316188812256, 0.8278993964195251, 0.7285433411598206, 0.39690452814102173, 0.30821627378463745, 0.795576810836792]","[[1465.743408203125, 797.0527954101562], [626.3290100097656, 711.5961303710938], [516.5148620605469, 716.4917602539062], [751.2553100585938, 562.6771850585938], [1276.58984375, 547.5629272460938], [1560.8922119140625, 771.5635375976562]]",88142848,512,yolo26n.pt,MOT17-02
10,,6,"[1, 2, 4, 6, 5, 3]","[[1392.6439208984375, 412.0175476074219, 1556.994873046875, 792.6824951171875], [578.6248779296875, 443.4166259765625, 674.5940551757812, 711.1010131835938], [461.6814270019531, 450.2351989746094, 571.0282592773438, 717.7620239257812], [735.9498901367188, 470.2676696777344, 767.012451171875, 563.6056518554688], [1256.1533203125, 447.5118103027344, 1298.280517578125, 547.5183715820312], [1483.9481201171875, 421.4186706542969, 1640.6373291015625, 773.6085205078125]]","[0.8599164485931396, 0.8418831825256348, 0.675626277923584, 0.38699644804000854, 0.2879470884799957, 0.7786951661109924]","[[1474.8193969726562, 792.6824951171875], [626.6094665527344, 711.1010131835938], [516.3548431396484, 717.7620239257812], [751.4811706542969, 563.6056518554688], [1277.2169189453125, 547.5183715820312], [1562.292724609375, 773.6085205078125]]",88142848,512,yolo26n.pt,MOT17-02
