frame_id,inference_ms,n_detections,track_ids,bboxes_xyxy,confs,footpoints,mem_total_bytes,mem_delta_bytes,mem_bytes,imgsz,model,seq
1,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1337.898681640625, 417.6489562988281, 1502.38671875, 777.082763671875], [584.000732421875, 443.2336730957031, 676.6874389648438, 708.572265625], [439.41229248046875, 445.9440002441406, 552.6535034179688, 717.7381591796875], [730.2823486328125, 454.5380859375, 766.0536499023438, 567.3177490234375], [1454.62744140625, 429.88287353515625, 1596.02587890625, 766.0428466796875], [916.1281127929688, 431.598876953125, 977.3117065429688, 587.1202392578125], [1304.17724609375, 417.57354736328125, 1344.710205078125, 546.602783203125]]","[0.867156445980072, 0.8481207489967346, 0.7795888781547546, 0.633878767490387, 0.44690456986427307, 0.39388272166252136, 0.25148797035217285]","[[1420.1427001953125, 777.082763671875], [630.3440856933594, 708.572265625], [496.03289794921875, 717.7381591796875], [748.1679992675781, 567.3177490234375], [1525.32666015625, 766.0428466796875], [946.7199096679688, 587.1202392578125], [1324.4437255859375, 546.602783203125]]",847888384,832823296,847888384,640,yolo26n.pt,MOT17-02
2,,6,"[1, 2, 3, 4, 5, 6]","[[1343.3565673828125, 417.806640625, 1508.18505859375, 777.9832763671875], [584.5634765625, 442.6449890136719, 677.1016235351562, 707.5266723632812], [439.3685607910156, 445.3507080078125, 553.2225341796875, 718.43505859375], [731.0450439453125, 456.119384765625, 766.5410766601562, 567.9456787109375], [1455.2431640625, 436.0165100097656, 1595.4852294921875, 769.13720703125], [915.7935791015625, 432.0097961425781, 977.0533447265625, 587.6965942382812]]","[0.8827325105667114, 0.8522335290908813, 0.788866400718689, 0.5954704880714417, 0.7057070136070251, 0.3995974659919739]","[[1425.7708129882812, 777.9832763671875], [630.8325500488281, 707.5266723632812], [496.29554748535156, 718.43505859375], [748.7930603027344, 567.9456787109375], [1525.3641967773438, 769.13720703125], [946.4234619140625, 587.6965942382812]]",847888384,832823296,847888384,640,yolo26n.pt,MOT17-02
3,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1347.0076904296875, 423.16021728515625, 1516.115966796875, 792.2323608398438], [585.0917358398438, 442.71307373046875, 677.5076293945312, 707.0795288085938], [439.0289611816406, 443.8936767578125, 553.8981323242188, 719.2140502929688], [731.6672973632812, 457.7814636230469, 766.2557373046875, 566.4459228515625], [1468.3203125, 441.795654296875, 1606.084716796875, 769.3026123046875], [915.8470458984375, 432.585693359375, 976.673828125, 587.041748046875], [1304.87353515625, 416.6022644042969, 1345.591552734375, 546.1773071289062]]","[0.8761079907417297, 0.8491808176040649, 0.7942687273025513, 0.5738335251808167, 0.7535548210144043, 0.3891746699810028, 0.28974825143814087]","[[1431.5618286132812, 792.2323608398438], [631.2996826171875, 707.0795288085938], [496.4635467529297, 719.2140502929688], [748.9615173339844, 566.4459228515625], [1537.2025146484375, 769.3026123046875], [946.2604370117188, 587.041748046875], [1325.2325439453125, 546.1773071289062]]",847888384,832823296,847888384,640,yolo26n.pt,MOT17-02
4,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1350.786376953125, 421.0707702636719, 1523.7586669921875, 798.3497314453125], [584.6256713867188, 443.4466552734375, 677.3012084960938, 708.47509765625], [440.23870849609375, 442.9222106933594, 555.7029418945312, 719.17822265625], [731.81201171875, 456.92529296875, 767.0301513671875, 567.4188842773438], [1473.40185546875, 435.6278991699219, 1612.4591064453125, 767.7479248046875], [916.283935546875, 431.96832275390625, 977.2658081054688, 586.6995849609375], [1304.6741943359375, 415.845947265625, 1345.6600341796875, 546.2871704101562]]","[0.868171751499176, 0.848709762096405, 0.8234341144561768, 0.5650109648704529, 0.7088972926139832, 0.39826199412345886, 0.2625756561756134]","[[1437.2725219726562, 798.3497314453125], [630.9634399414062, 708.47509765625], [497.9708251953125, 719.17822265625], [749.4210815429688, 567.4188842773438], [1542.9304809570312, 767.7479248046875], [946.7748718261719, 586.6995849609375], [1325.1671142578125, 546.2871704101562]]",847888384,832823296,847888384,640,yolo26n.pt,MOT17-02
5,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1353.055419921875, 420.7109375, 1529.1470947265625, 805.0274047851562], [584.5717163085938, 443.705322265625, 677.1554565429688, 708.3477172851562], [442.7008056640625, 442.99090576171875, 558.2941284179688, 718.5778198242188], [732.0884399414062, 457.02020263671875, 767.2047119140625, 567.0737915039062], [1474.9559326171875, 430.72967529296875, 1614.911376953125, 767.8666381835938], [916.0847778320312, 431.1993103027344, 977.3726196289062, 586.5452880859375], [1304.459716796875, 415.9255676269531, 1345.458251953125, 546.368896484375]]","[0.904895544052124, 0.8516954183578491, 0.7776130437850952, 0.5494024157524109, 0.7728256583213806, 0.3763372302055359, 0.25297605991363525]","[[1441.1012573242188, 805.0274047851562], [630.8635864257812, 708.3477172851562], [500.4974670410156, 718.5778198242188], [749.6465759277344, 567.0737915039062], [1544.9336547851562, 767.8666381835938], [946.7286987304688, 586.5452880859375], [1324.958984375, 546.368896484375]]",847888384,832823296,847888384,640,yolo26n.pt,MOT17-02
6,,6,"[1, 2, 3, 4, 5, 6]","[[1357.161865234375, 420.10589599609375, 1533.548583984375, 805.8472290039062], [584.4973754882812, 443.6871337890625, 677.0867309570312, 708.2979736328125], [446.00445556640625, 443.6355285644531, 562.0479125976562, 719.408203125], [732.26220703125, 456.9266357421875, 767.4324951171875, 567.192138671875], [1479.6939697265625, 428.3967590332031, 1619.294677734375, 769.0868530273438], [915.77294921875, 430.49676513671875, 977.6193237304688, 587.0779418945312]]","[0.9083773493766785, 0.8506994843482971, 0.7386209964752197, 0.5563852190971375, 0.7808176279067993, 0.40728965401649475]","[[1445.355224609375, 805.8472290039062], [630.7920532226562, 708.2979736328125], [504.02618408203125, 719.408203125], [749.8473510742188, 567.192138671875], [1549.4943237304688, 769.0868530273438], [946.6961364746094, 587.0779418945312]]",847888384,832823296,847888384,640,yolo26n.pt,MOT17-02
7,,6,"[1, 2, 3, 4, 5, 6]","[[1361.95556640625, 418.8042297363281, 1537.7926025390625, 805.7971801757812], [584.7925415039062, 443.57525634765625, 677.2300415039062, 707.8073120117188], [445.115234375, 445.4156799316406, 561.4633178710938, 720.1885986328125], [732.5243530273438, 457.621337890625, 767.5390625, 567.5978393554688], [1484.8712158203125, 432.3722839355469, 1621.4803466796875, 770.6565551757812], [914.9149780273438, 430.57568359375, 976.846923828125, 587.2868041992188]]","[0.9087051749229431, 0.8538274765014648, 0.773156464099884, 0.547988772392273, 0.7925502061843872, 0.36158984899520874]","[[1449.8740844726562, 805.7971801757812], [631.0112915039062, 707.8073120117188], [503.2892761230469, 720.1885986328125], [750.0317077636719, 567.5978393554688], [1553.17578125, 770.6565551757812], [945.8809509277344, 587.2868041992188]]",847888384,832823296,847888384,640,yolo26n.pt,MOT17-02
8,,8,"[1, 2, 3, 4, 5, 6, 8, 9]","[[1371.814697265625, 416.107666015625, 1545.739013671875, 804.3065795898438], [583.99365234375, 443.0966796875, 677.0263061523438, 709.3082275390625], [446.1312561035156, 444.9313049316406, 562.994140625, 719.6686401367188], [732.9954833984375, 457.019775390625, 767.9500122070312, 566.908447265625], [1487.6224365234375, 426.2392272949219, 1624.5072021484375, 771.8812255859375], [914.1942749023438, 428.4815979003906, 976.8126220703125, 587.085693359375], [1828.0208740234375, 471.3196716308594, 1892.5364990234375, 650.5457763671875], [1258.5430908203125, 440.4010314941406, 1296.5357666015625, 548.25537109375]]","[0.8813560009002686, 0.8633888959884644, 0.7739303112030029, 0.5299243330955505, 0.835357129573822, 0.36742398142814636, 0.3413864076137543, 0.3616219758987427]","[[1458.77685546875, 804.3065795898438], [630.5099792480469, 709.3082275390625], [504.5626983642578, 719.6686401367188], [750.4727478027344, 566.908447265625], [1556.0648193359375, 771.8812255859375], [945.5034484863281, 587.085693359375], [1860.2786865234375, 650.5457763671875], [1277.5394287109375, 548.25537109375]]",847888384,832823296,847888384,640,yolo26n.pt,MOT17-02
9,,6,"[1, 2, 3, 4, 5, 9]","[[1381.3292236328125, 412.42529296875, 1553.2664794921875, 803.4719848632812], [583.5276489257812, 442.7075500488281, 676.9216918945312, 710.57666015625], [450.7798767089844, 445.3986511230469, 567.4929809570312, 720.0187377929688], [733.017333984375, 456.6055908203125, 768.3687744140625, 567.924072265625], [1491.7332763671875, 425.26177978515625, 1625.9638671875, 771.4400024414062], [1257.9969482421875, 439.34857177734375, 1296.134521484375, 547.6876220703125]]","[0.8603876829147339, 0.8640247583389282, 0.7994605302810669, 0.5388246774673462, 0.8346418738365173, 0.2884969413280487]","[[1467.2978515625, 803.4719848632812], [630.2246704101562, 710.57666015625], [509.1364288330078, 720.0187377929688], [750.6930541992188, 567.924072265625], [1558.8485717773438, 771.4400024414062], [1277.0657348632812, 547.6876220703125]]",847888384,832823296,847888384,640,yolo26n.pt,MOT17-02
10,,6,"[1, 2, 3, 4, 5, 9]","[[1394.64794921875, 414.5473327636719, 1558.8751220703125, 795.8012084960938], [583.8372192382812, 443.0268859863281, 677.1757202148438, 711.0706176757812], [452.4527282714844, 444.53582763671875, 569.5431518554688, 719.7111206054688], [733.09765625, 456.9136962890625, 768.3014526367188, 567.5327758789062], [1497.8880615234375, 419.0220947265625, 1633.26220703125, 772.2784423828125], [1258.783447265625, 441.7737121582031, 1296.09716796875, 547.6804809570312]]","[0.8686389327049255, 0.8689314126968384, 0.790865421295166, 0.4986541271209717, 0.6828747391700745, 0.2966085970401764]","[[1476.7615356445312, 795.8012084960938], [630.5064697265625, 711.0706176757812], [510.99794006347656, 719.7111206054688], [750.6995544433594, 567.5327758789062], [1565.5751342773438, 772.2784423828125], [1277.4403076171875, 547.6804809570312]]",847888384,832823296,847888384,640,yolo26n.pt,MOT17-02
