frame_id,inference_ms,n_detections,track_ids,bboxes_xyxy,confs,footpoints,mem_total_bytes,mem_delta_bytes,mem_bytes,imgsz,model,seq
1,,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]","[[1339.955078125, 418.25048828125, 1509.5731201171875, 789.7662353515625], [582.7259521484375, 442.37738037109375, 673.894287109375, 705.2481079101562], [437.61798095703125, 442.204833984375, 557.8366088867188, 724.0084228515625], [1439.6728515625, 434.40643310546875, 1601.706298828125, 768.449462890625], [732.1549072265625, 471.21826171875, 766.125244140625, 571.2288818359375], [687.9055786132812, 480.07110595703125, 730.8677368164062, 602.541748046875], [1255.5205078125, 443.6064453125, 1292.2220458984375, 546.8319091796875], [1016.9733276367188, 434.34112548828125, 1056.270263671875, 530.724365234375], [936.715576171875, 433.51123046875, 970.6110229492188, 516.2979736328125], [1099.2225341796875, 441.0234375, 1136.9146728515625, 548.5242919921875], [1694.7210693359375, 431.60040283203125, 1784.0321044921875, 587.592041015625], [519.6026611328125, 463.89837646484375, 562.315673828125, 633.3505249023438], [912.8028564453125, 510.3768615722656, 979.8355102539062, 586.3067626953125]]","[0.9087501168251038, 0.9015275239944458, 0.8299252390861511, 0.7534287571907043, 0.6293224692344666, 0.5635407567024231, 0.49424028396606445, 0.43382686376571655, 0.3817749321460724, 0.31280913949012756, 0.30865463614463806, 0.2787494659423828, 0.2760935127735138]","[[1424.7640991210938, 789.7662353515625], [628.3101196289062, 705.2481079101562], [497.727294921875, 724.0084228515625], [1520.6895751953125, 768.449462890625], [749.1400756835938, 571.2288818359375], [709.3866577148438, 602.541748046875], [1273.8712768554688, 546.8319091796875], [1036.6217956542969, 530.724365234375], [953.6632995605469, 516.2979736328125], [1118.068603515625, 548.5242919921875], [1739.3765869140625, 587.592041015625], [540.9591674804688, 633.3505249023438], [946.3191833496094, 586.3067626953125]]",1015332864,1000259584,1015332864,448,yolo26x.pt,MOT17-02
2,,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[[1344.491943359375, 417.9381408691406, 1515.8485107421875, 793.1473388671875], [583.16455078125, 442.8678283691406, 674.101806640625, 705.0198364257812], [437.859619140625, 441.94000244140625, 558.1146850585938, 723.996337890625], [1441.197265625, 433.03961181640625, 1604.08349609375, 769.0839233398438], [732.9226684570312, 473.1976013183594, 765.8637084960938, 570.1489868164062], [689.1024780273438, 482.53704833984375, 731.3104858398438, 602.8192749023438], [1255.4683837890625, 442.780029296875, 1292.5196533203125, 546.9833374023438], [1017.7796020507812, 433.3219299316406, 1057.2935791015625, 530.3412475585938], [936.2855834960938, 433.9775390625, 969.9082641601562, 516.067626953125], [1098.4561767578125, 436.4016418457031, 1137.582763671875, 548.0775756835938]]","[0.9363678693771362, 0.9052582383155823, 0.8594132661819458, 0.7033156752586365, 0.5694149732589722, 0.2996510863304138, 0.48247480392456055, 0.43600115180015564, 0.3514871299266815, 0.37957310676574707]","[[1430.1702270507812, 793.1473388671875], [628.6331787109375, 705.0198364257812], [497.9871520996094, 723.996337890625], [1522.640380859375, 769.0839233398438], [749.3931884765625, 570.1489868164062], [710.2064819335938, 602.8192749023438], [1273.9940185546875, 546.9833374023438], [1037.5365905761719, 530.3412475585938], [953.096923828125, 516.067626953125], [1118.0194702148438, 548.0775756835938]]",1015332864,1000259584,1015332864,448,yolo26x.pt,MOT17-02
3,,10,"[1, 2, 3, 4, 5, 7, 8, 9, 10, 12]","[[1347.835693359375, 419.0591125488281, 1520.1156005859375, 795.7777099609375], [583.1170654296875, 442.6741638183594, 674.2095336914062, 705.223388671875], [438.0234680175781, 441.19390869140625, 558.5870971679688, 724.0726928710938], [1452.023193359375, 431.3832092285156, 1615.2188720703125, 768.96484375], [733.361328125, 473.06085205078125, 766.2041015625, 569.593994140625], [1255.6463623046875, 442.7039489746094, 1292.503662109375, 546.396728515625], [1017.3681030273438, 434.34954833984375, 1056.2877197265625, 529.896484375], [936.2276000976562, 434.3713073730469, 969.8124389648438, 516.311767578125], [1097.7781982421875, 434.3424072265625, 1137.9561767578125, 549.1135864257812], [519.5814208984375, 467.42828369140625, 563.496826171875, 641.9186401367188]]","[0.9090064764022827, 0.9129468202590942, 0.8622689843177795, 0.7881930470466614, 0.6468319892883301, 0.44618433713912964, 0.43257832527160645, 0.4182944893836975, 0.3456175625324249, 0.4633477032184601]","[[1433.9756469726562, 795.7777099609375], [628.6632995605469, 705.223388671875], [498.30528259277344, 724.0726928710938], [1533.6210327148438, 768.96484375], [749.78271484375, 569.593994140625], [1274.0750122070312, 546.396728515625], [1036.8279113769531, 529.896484375], [953.02001953125, 516.311767578125], [1117.8671875, 549.1135864257812], [541.5391235351562, 641.9186401367188]]",1015332864,1000259584,1015332864,448,yolo26x.pt,MOT17-02
4,,10,"[1, 2, 3, 4, 5, 7, 8, 9, 10, 12]","[[1349.6513671875, 418.9187927246094, 1523.3880615234375, 798.593994140625], [583.4031982421875, 442.2684631347656, 674.7355346679688, 705.446044921875], [441.13482666015625, 441.606201171875, 561.7108764648438, 724.1453857421875], [1453.6075439453125, 429.6059265136719, 1617.518798828125, 769.2557983398438], [734.0394897460938, 474.9288330078125, 766.0234375, 568.6500854492188], [1255.9984130859375, 443.1729431152344, 1292.5799560546875, 546.1717529296875], [1017.837890625, 432.3169250488281, 1057.410888671875, 529.6492919921875], [936.0040283203125, 434.4985656738281, 969.6253662109375, 516.4085083007812], [1098.2230224609375, 435.51531982421875, 1138.2193603515625, 549.8134765625], [519.9655151367188, 466.0029602050781, 565.0286865234375, 645.5206909179688]]","[0.9179677963256836, 0.9050474762916565, 0.8733184337615967, 0.6732527613639832, 0.5915291905403137, 0.4732934832572937, 0.3672091066837311, 0.3688505291938782, 0.3419729769229889, 0.5318341255187988]","[[1436.5197143554688, 798.593994140625], [629.0693664550781, 705.446044921875], [501.4228515625, 724.1453857421875], [1535.5631713867188, 769.2557983398438], [750.0314636230469, 568.6500854492188], [1274.2891845703125, 546.1717529296875], [1037.6243896484375, 529.6492919921875], [952.814697265625, 516.4085083007812], [1118.22119140625, 549.8134765625], [542.4971008300781, 645.5206909179688]]",1015332864,1000259584,1015332864,448,yolo26x.pt,MOT17-02
5,,10,"[1, 2, 3, 4, 5, 7, 8, 9, 10, 12]","[[1352.7269287109375, 416.3803405761719, 1528.3565673828125, 800.10009765625], [583.8547973632812, 441.95208740234375, 675.242431640625, 705.1781616210938], [440.9612121582031, 441.52734375, 561.756591796875, 724.3694458007812], [1452.8056640625, 426.1352233886719, 1618.6202392578125, 769.1780395507812], [734.0245361328125, 475.627685546875, 765.8012084960938, 568.4075317382812], [1255.757080078125, 443.5244445800781, 1292.179931640625, 546.2005004882812], [1018.0557861328125, 431.18450927734375, 1058.2271728515625, 530.3289794921875], [935.8375244140625, 434.52191162109375, 969.4362182617188, 516.2283325195312], [1098.7757568359375, 437.79638671875, 1138.178466796875, 550.40625], [518.8411865234375, 465.2457580566406, 565.3710327148438, 651.338623046875]]","[0.9126417636871338, 0.9051686525344849, 0.8809024095535278, 0.5891546010971069, 0.6344341039657593, 0.5157096982002258, 0.34688106179237366, 0.35547396540641785, 0.3729217052459717, 0.4534383714199066]","[[1440.541748046875, 800.10009765625], [629.5486145019531, 705.1781616210938], [501.35890197753906, 724.3694458007812], [1535.7129516601562, 769.1780395507812], [749.9128723144531, 568.4075317382812], [1273.968505859375, 546.2005004882812], [1038.1414794921875, 530.3289794921875], [952.6368713378906, 516.2283325195312], [1118.4771118164062, 550.40625], [542.1061096191406, 651.338623046875]]",1015332864,1000259584,1015332864,448,yolo26x.pt,MOT17-02
6,,10,"[1, 2, 3, 4, 5, 7, 8, 9, 10, 6]","[[1357.8797607421875, 416.04144287109375, 1533.71142578125, 800.610107421875], [583.8804931640625, 441.24237060546875, 675.4544067382812, 704.9277954101562], [441.215576171875, 441.7970886230469, 562.2418212890625, 724.6965942382812], [1465.392333984375, 425.5864562988281, 1629.573486328125, 769.42822265625], [733.8494873046875, 476.1274108886719, 766.1260986328125, 570.1071166992188], [1255.5400390625, 443.9391784667969, 1291.630126953125, 545.8900756835938], [1018.2302856445312, 432.0367431640625, 1058.03125, 530.5828857421875], [935.2900390625, 434.1026611328125, 969.3502197265625, 516.7794189453125], [1099.3961181640625, 440.7053527832031, 1137.9013671875, 550.69287109375], [693.1027221679688, 486.9117126464844, 733.3333740234375, 602.0291137695312]]","[0.9181088209152222, 0.8980098366737366, 0.8762040734291077, 0.7240356802940369, 0.644578218460083, 0.49297139048576355, 0.31335902214050293, 0.44054940342903137, 0.3830970823764801, 0.3848550319671631]","[[1445.7955932617188, 800.610107421875], [629.6674499511719, 704.9277954101562], [501.72869873046875, 724.6965942382812], [1547.48291015625, 769.42822265625], [749.98779296875, 570.1071166992188], [1273.5850830078125, 545.8900756835938], [1038.1307678222656, 530.5828857421875], [952.3201293945312, 516.7794189453125], [1118.6487426757812, 550.69287109375], [713.2180480957031, 602.0291137695312]]",1015332864,1000259584,1015332864,448,yolo26x.pt,MOT17-02
7,,10,"[1, 2, 3, 4, 5, 7, 8, 9, 10, 6]","[[1363.5521240234375, 414.05865478515625, 1539.0799560546875, 800.4960327148438], [583.75244140625, 440.94244384765625, 675.529052734375, 705.0162963867188], [440.9184265136719, 441.91021728515625, 562.3243408203125, 725.24951171875], [1470.1614990234375, 427.3924560546875, 1630.590576171875, 769.4796752929688], [733.4602661132812, 474.13916015625, 766.2211303710938, 569.221923828125], [1255.4334716796875, 443.13348388671875, 1291.71875, 545.8994140625], [1017.8983764648438, 432.57080078125, 1057.4970703125, 530.6231689453125], [935.2877197265625, 434.23046875, 969.3375244140625, 516.571044921875], [1098.013671875, 437.30499267578125, 1138.106201171875, 552.2338256835938], [692.6212158203125, 488.53228759765625, 732.5503540039062, 603.457275390625]]","[0.9230731129646301, 0.8963226079940796, 0.8905004858970642, 0.6763888001441956, 0.7061939835548401, 0.5176864266395569, 0.36367666721343994, 0.39778169989585876, 0.3388003408908844, 0.3789951801300049]","[[1451.3160400390625, 800.4960327148438], [629.6407470703125, 705.0162963867188], [501.6213836669922, 725.24951171875], [1550.3760375976562, 769.4796752929688], [749.8406982421875, 569.221923828125], [1273.5761108398438, 545.8994140625], [1037.6977233886719, 530.6231689453125], [952.3126220703125, 516.571044921875], [1118.0599365234375, 552.2338256835938], [712.5857849121094, 603.457275390625]]",1015332864,1000259584,1015332864,448,yolo26x.pt,MOT17-02
8,,11,"[1, 2, 3, 4, 5, 7, 8, 9, 10, 6, 13]","[[1372.0626220703125, 412.1993713378906, 1546.9547119140625, 801.588134765625], [583.6572265625, 441.1737060546875, 675.5701293945312, 705.0748901367188], [440.9705810546875, 442.22857666015625, 562.5393676757812, 725.0133666992188], [1482.0731201171875, 426.8827209472656, 1641.7664794921875, 769.718994140625], [732.885986328125, 471.15997314453125, 767.1117553710938, 570.4976196289062], [1255.2276611328125, 442.8924255371094, 1291.4158935546875, 545.701904296875], [1017.7655639648438, 432.4990539550781, 1057.0478515625, 529.816650390625], [934.9305419921875, 434.68646240234375, 969.0938110351562, 517.0806274414062], [1097.5244140625, 435.12530517578125, 1138.132568359375, 551.9287719726562], [691.7935791015625, 487.6612243652344, 732.012451171875, 603.75048828125], [915.0306396484375, 511.8196716308594, 980.7719116210938, 585.9270629882812]]","[0.843713104724884, 0.8992347121238708, 0.270023375749588, 0.764347493648529, 0.714167058467865, 0.520153820514679, 0.3675016760826111, 0.3714095652103424, 0.49311256408691406, 0.36741945147514343, 0.3018132150173187]","[[1459.5086669921875, 801.588134765625], [629.6136779785156, 705.0748901367188], [501.7549743652344, 725.0133666992188], [1561.9197998046875, 769.718994140625], [749.9988708496094, 570.4976196289062], [1273.32177734375, 545.701904296875], [1037.4067077636719, 529.816650390625], [952.0121765136719, 517.0806274414062], [1117.8284912109375, 551.9287719726562], [711.9030151367188, 603.75048828125], [947.9012756347656, 585.9270629882812]]",1015332864,1000259584,1015332864,448,yolo26x.pt,MOT17-02
9,,9,"[1, 2, 3, 4, 5, 7, 8, 9, 10]","[[1382.0262451171875, 410.5993957519531, 1554.92822265625, 801.846923828125], [584.1222534179688, 440.91168212890625, 676.3373413085938, 705.2386474609375], [440.64703369140625, 443.3572082519531, 562.1819458007812, 724.80810546875], [1488.9898681640625, 424.9156494140625, 1648.447998046875, 769.3988037109375], [732.3355102539062, 470.6035461425781, 767.5166015625, 572.8610229492188], [1254.1881103515625, 444.0673522949219, 1289.719970703125, 545.493896484375], [1017.7138671875, 433.2003173828125, 1056.258056640625, 528.8421020507812], [934.8634643554688, 434.8410949707031, 969.113525390625, 517.0556640625], [1097.28515625, 435.5515441894531, 1137.8858642578125, 552.6060791015625]]","[0.8905078768730164, 0.9047240614891052, 0.6629345417022705, 0.6070309281349182, 0.7288075089454651, 0.5273624062538147, 0.2599599063396454, 0.45212557911872864, 0.3531719446182251]","[[1468.4772338867188, 801.846923828125], [630.2297973632812, 705.2386474609375], [501.41448974609375, 724.80810546875], [1568.7189331054688, 769.3988037109375], [749.9260559082031, 572.8610229492188], [1271.9540405273438, 545.493896484375], [1036.9859619140625, 528.8421020507812], [951.9884948730469, 517.0556640625], [1117.5855102539062, 552.6060791015625]]",1015332864,1000259584,1015332864,448,yolo26x.pt,MOT17-02
10,,8,"[1, 2, 3, 4, 5, 7, 9, 10]","[[1391.719482421875, 408.82806396484375, 1561.38623046875, 801.961181640625], [584.9443969726562, 440.83538818359375, 677.634521484375, 705.7352905273438], [440.8905944824219, 444.1195373535156, 562.9208984375, 725.1973266601562], [1500.052001953125, 422.75750732421875, 1657.82373046875, 769.8286743164062], [731.928955078125, 468.6450500488281, 767.7877197265625, 573.0091552734375], [1254.0638427734375, 444.3036193847656, 1289.421142578125, 545.4542846679688], [934.5535888671875, 434.8490295410156, 968.9197998046875, 517.01806640625], [1097.7860107421875, 435.5801696777344, 1137.72265625, 550.9951782226562]]","[0.9019336700439453, 0.8955419659614563, 0.32199233770370483, 0.7631786465644836, 0.6949930787086487, 0.5697762370109558, 0.428283154964447, 0.3804037272930145]","[[1476.5528564453125, 801.961181640625], [631.2894592285156, 705.7352905273438], [501.90574645996094, 725.1973266601562], [1578.9378662109375, 769.8286743164062], [749.8583374023438, 573.0091552734375], [1271.7424926757812, 545.4542846679688], [951.7366943359375, 517.01806640625], [1117.7543334960938, 550.9951782226562]]",1015332864,1000259584,1015332864,448,yolo26x.pt,MOT17-02
