frame_id,inference_ms,n_detections,track_ids,bboxes_xyxy,confs,footpoints,mem_bytes,imgsz,model,seq
1,,14,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]","[[1338.697998046875, 416.4703369140625, 1507.126708984375, 790.517578125], [583.633544921875, 445.1396484375, 672.9714965820312, 707.43505859375], [439.87457275390625, 442.24896240234375, 548.6251831054688, 722.4131469726562], [1422.316162109375, 430.8515625, 1601.2958984375, 765.4742431640625], [730.7589111328125, 475.5741882324219, 765.0801391601562, 567.818359375], [1017.056884765625, 429.2227783203125, 1057.235595703125, 529.6258544921875], [1256.737548828125, 445.6494140625, 1291.9263916015625, 545.8179321289062], [937.069091796875, 433.755615234375, 972.1400756835938, 516.9164428710938], [508.3578796386719, 461.1552734375, 562.570556640625, 632.9459228515625], [1101.83642578125, 432.47662353515625, 1137.6529541015625, 550.2891845703125], [690.5438232421875, 480.58056640625, 730.6617431640625, 603.595947265625], [957.71630859375, 486.9248352050781, 1010.872314453125, 582.6240234375], [974.74267578125, 445.3099365234375, 1007.4765014648438, 512.609375], [662.3908081054688, 470.9715881347656, 706.5377807617188, 643.3822021484375]]","[0.9160447120666504, 0.9110558032989502, 0.864686131477356, 0.803389310836792, 0.757419228553772, 0.6261216998100281, 0.6046344637870789, 0.5691841840744019, 0.47251659631729126, 0.4206623435020447, 0.40962615609169006, 0.3665671646595001, 0.33399900794029236, 0.3237369954586029]","[[1422.912353515625, 790.517578125], [628.3025207519531, 707.43505859375], [494.2498779296875, 722.4131469726562], [1511.8060302734375, 765.4742431640625], [747.9195251464844, 567.818359375], [1037.146240234375, 529.6258544921875], [1274.3319702148438, 545.8179321289062], [954.6045837402344, 516.9164428710938], [535.4642181396484, 632.9459228515625], [1119.7446899414062, 550.2891845703125], [710.602783203125, 603.595947265625], [984.2943115234375, 582.6240234375], [991.1095886230469, 512.609375], [684.4642944335938, 643.3822021484375]]",636877824,640,yolo26x.pt,MOT17-02
2,,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]","[[1343.6500244140625, 416.7718811035156, 1511.80908203125, 790.1262817382812], [583.8469848632812, 445.7607727050781, 672.9137573242188, 707.1852416992188], [444.41473388671875, 441.4027099609375, 553.7891235351562, 722.6235961914062], [1421.3280029296875, 430.09478759765625, 1601.4974365234375, 767.0050659179688], [731.2730712890625, 474.8042297363281, 766.154052734375, 568.4844360351562], [1015.9097900390625, 429.1997375488281, 1056.3751220703125, 530.272216796875], [1256.6429443359375, 445.6061096191406, 1291.888671875, 546.0234985351562], [937.23876953125, 433.7115173339844, 972.1569213867188, 516.426513671875], [507.5623779296875, 461.7815246582031, 561.5137939453125, 632.947509765625], [1106.8262939453125, 447.8692321777344, 1138.0462646484375, 550.609619140625], [691.5050048828125, 480.1192321777344, 732.2749633789062, 605.3034057617188], [959.0089721679688, 487.22320556640625, 1010.955322265625, 580.7362670898438], [975.847900390625, 447.19775390625, 1006.343994140625, 509.7593994140625]]","[0.909907341003418, 0.9073548316955566, 0.8676708340644836, 0.7532588243484497, 0.7724695205688477, 0.5975368022918701, 0.5960782170295715, 0.5693448185920715, 0.3549189567565918, 0.28686797618865967, 0.41407790780067444, 0.3209882080554962, 0.26850083470344543]","[[1427.7295532226562, 790.1262817382812], [628.38037109375, 707.1852416992188], [499.1019287109375, 722.6235961914062], [1511.4127197265625, 767.0050659179688], [748.7135620117188, 568.4844360351562], [1036.1424560546875, 530.272216796875], [1274.2658081054688, 546.0234985351562], [954.6978454589844, 516.426513671875], [534.5380859375, 632.947509765625], [1122.436279296875, 550.609619140625], [711.8899841308594, 605.3034057617188], [984.9821472167969, 580.7362670898438], [991.095947265625, 509.7593994140625]]",636877824,640,yolo26x.pt,MOT17-02
3,,12,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 16]","[[1347.4530029296875, 417.9768981933594, 1517.99462890625, 796.244140625], [584.2522583007812, 445.8329772949219, 673.4015502929688, 707.3030395507812], [445.9433898925781, 442.76226806640625, 555.3984375, 723.1287231445312], [1424.252197265625, 430.3380432128906, 1605.539794921875, 769.398681640625], [731.47802734375, 475.0921630859375, 766.1923217773438, 568.195556640625], [1014.9795532226562, 428.5603332519531, 1055.8839111328125, 530.4545288085938], [1256.6260986328125, 445.6531982421875, 1291.7724609375, 545.9171752929688], [936.925537109375, 433.1410217285156, 972.1015014648438, 516.4669799804688], [506.37493896484375, 462.6824645996094, 563.5734252929688, 644.58642578125], [1103.259033203125, 438.580322265625, 1137.5220947265625, 551.2674560546875], [962.2595825195312, 486.94635009765625, 1011.355712890625, 575.326904296875], [911.7543334960938, 494.1943359375, 977.43896484375, 585.5242309570312]]","[0.9188263416290283, 0.8710987567901611, 0.8793820142745972, 0.7437549829483032, 0.7454531788825989, 0.6031762957572937, 0.600319504737854, 0.5670185685157776, 0.553783118724823, 0.32849764823913574, 0.2676989436149597, 0.37162262201309204]","[[1432.7238159179688, 796.244140625], [628.826904296875, 707.3030395507812], [500.67091369628906, 723.1287231445312], [1514.89599609375, 769.398681640625], [748.8351745605469, 568.195556640625], [1035.4317321777344, 530.4545288085938], [1274.1992797851562, 545.9171752929688], [954.5135192871094, 516.4669799804688], [534.9741821289062, 644.58642578125], [1120.3905639648438, 551.2674560546875], [986.8076477050781, 575.326904296875], [944.5966491699219, 585.5242309570312]]",636877824,640,yolo26x.pt,MOT17-02
4,,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 16, 14]","[[1350.7904052734375, 419.1402587890625, 1522.7237548828125, 800.2645874023438], [584.2089233398438, 445.6755065917969, 673.588134765625, 707.5912475585938], [446.6739196777344, 442.8521728515625, 556.6637573242188, 723.314208984375], [1428.6568603515625, 430.24859619140625, 1610.3314208984375, 770.1748657226562], [732.0661010742188, 474.8315734863281, 766.9451293945312, 568.2796630859375], [1013.5464477539062, 428.10760498046875, 1054.7196044921875, 530.06591796875], [1256.7220458984375, 445.7149353027344, 1291.787109375, 545.8973388671875], [937.207763671875, 433.6783752441406, 972.464111328125, 517.138916015625], [506.8399658203125, 463.5912780761719, 565.594482421875, 651.4976806640625], [1101.88623046875, 434.17425537109375, 1137.63037109375, 551.742431640625], [964.690673828125, 487.5898742675781, 1010.795166015625, 570.4456176757812], [911.6779174804688, 494.2685241699219, 977.4104614257812, 585.6430053710938], [652.9996337890625, 456.0047607421875, 701.8568115234375, 644.0816040039062]]","[0.9103987216949463, 0.9029067754745483, 0.8651946187019348, 0.7489839196205139, 0.7398141622543335, 0.5887921452522278, 0.6328914761543274, 0.5486409068107605, 0.5288100242614746, 0.383333295583725, 0.25730007886886597, 0.3195863366127014, 0.4792599678039551]","[[1436.757080078125, 800.2645874023438], [628.8985290527344, 707.5912475585938], [501.66883850097656, 723.314208984375], [1519.494140625, 770.1748657226562], [749.505615234375, 568.2796630859375], [1034.1330261230469, 530.06591796875], [1274.2545776367188, 545.8973388671875], [954.8359375, 517.138916015625], [536.2172241210938, 651.4976806640625], [1119.75830078125, 551.742431640625], [987.742919921875, 570.4456176757812], [944.544189453125, 585.6430053710938], [677.42822265625, 644.0816040039062]]",636877824,640,yolo26x.pt,MOT17-02
5,,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 16, 14]","[[1355.1689453125, 417.5837707519531, 1528.520751953125, 801.4105834960938], [583.99462890625, 445.6914367675781, 673.4081420898438, 707.4872436523438], [446.1904602050781, 441.4762878417969, 557.30078125, 723.252685546875], [1448.6177978515625, 428.60003662109375, 1629.88134765625, 770.3656005859375], [732.6005249023438, 475.7267150878906, 766.970703125, 567.71044921875], [1012.8092041015625, 428.2389221191406, 1054.05615234375, 529.6572265625], [1256.739501953125, 446.1208190917969, 1291.614501953125, 545.8759155273438], [937.2984008789062, 433.8879699707031, 972.3947143554688, 516.7810668945312], [506.8220520019531, 464.6216735839844, 566.3905029296875, 656.5421752929688], [1101.596923828125, 433.21173095703125, 1137.599853515625, 551.6060180664062], [964.9876098632812, 488.2260437011719, 1009.8867797851562, 568.6031494140625], [911.6922607421875, 493.4933166503906, 977.931884765625, 585.5347290039062], [652.9022827148438, 454.5925598144531, 702.8619995117188, 644.2005004882812]]","[0.9214507937431335, 0.8998414278030396, 0.8823184370994568, 0.6188839077949524, 0.7626668810844421, 0.6071118712425232, 0.6130781769752502, 0.5576971173286438, 0.507051944732666, 0.4002964198589325, 0.27207818627357483, 0.3040921092033386, 0.6683255434036255]","[[1441.8448486328125, 801.4105834960938], [628.7013854980469, 707.4872436523438], [501.74562072753906, 723.252685546875], [1539.2495727539062, 770.3656005859375], [749.7856140136719, 567.71044921875], [1033.4326782226562, 529.6572265625], [1274.177001953125, 545.8759155273438], [954.8465576171875, 516.7810668945312], [536.6062774658203, 656.5421752929688], [1119.598388671875, 551.6060180664062], [987.4371948242188, 568.6031494140625], [944.8120727539062, 585.5347290039062], [677.8821411132812, 644.2005004882812]]",636877824,640,yolo26x.pt,MOT17-02
6,,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 16, 14]","[[1359.39501953125, 417.1213073730469, 1532.7755126953125, 801.3075561523438], [584.2495727539062, 445.1896057128906, 673.9205322265625, 707.5595703125], [447.10858154296875, 440.61181640625, 559.5286865234375, 723.5613403320312], [1461.097412109375, 426.9402160644531, 1641.52978515625, 770.84423828125], [732.96923828125, 478.0222473144531, 766.735107421875, 568.1610107421875], [1012.8804321289062, 427.9603271484375, 1054.4769287109375, 529.342529296875], [1256.6431884765625, 446.26776123046875, 1291.353271484375, 545.8779296875], [936.9814453125, 433.7269592285156, 972.6285400390625, 517.8433837890625], [506.8896789550781, 464.5423889160156, 567.7442626953125, 662.4478759765625], [1101.5609130859375, 433.2110290527344, 1137.6060791015625, 551.7113647460938], [965.2508544921875, 487.71282958984375, 1010.4526977539062, 568.37646484375], [914.7192993164062, 501.961669921875, 975.2251586914062, 585.5302124023438], [652.0252075195312, 452.04473876953125, 703.4461669921875, 644.1993408203125]]","[0.9263280034065247, 0.9019651412963867, 0.8815608620643616, 0.47015810012817383, 0.7429317831993103, 0.5940414667129517, 0.5605595111846924, 0.6219518184661865, 0.43504273891448975, 0.3707398772239685, 0.2955385744571686, 0.2512892186641693, 0.6577672958374023]","[[1446.0852661132812, 801.3075561523438], [629.0850524902344, 707.5595703125], [503.3186340332031, 723.5613403320312], [1551.3135986328125, 770.84423828125], [749.8521728515625, 568.1610107421875], [1033.6786804199219, 529.342529296875], [1273.9982299804688, 545.8779296875], [954.8049926757812, 517.8433837890625], [537.3169708251953, 662.4478759765625], [1119.58349609375, 551.7113647460938], [987.8517761230469, 568.37646484375], [944.9722290039062, 585.5302124023438], [677.7356872558594, 644.1993408203125]]",636877824,640,yolo26x.pt,MOT17-02
7,,12,"[1, 2, 3, 4, 5, 6, 7, 8, 10, 12, 16, 14]","[[1366.3582763671875, 415.20257568359375, 1539.7066650390625, 801.3421630859375], [584.404296875, 445.51953125, 674.0946655273438, 707.6411743164062], [447.38360595703125, 440.44464111328125, 560.8949584960938, 723.7059936523438], [1467.5064697265625, 426.986328125, 1644.74462890625, 770.6968994140625], [732.5611572265625, 477.26025390625, 766.7943725585938, 568.5491333007812], [1013.0598754882812, 428.4759826660156, 1054.8033447265625, 529.0783081054688], [1256.7442626953125, 446.08404541015625, 1291.347412109375, 545.6945190429688], [936.5322265625, 433.9757995605469, 972.3272094726562, 518.2887573242188], [1101.7208251953125, 433.3655700683594, 1137.6522216796875, 551.5086059570312], [963.6767578125, 488.6203308105469, 1010.3512573242188, 571.5836791992188], [913.3716430664062, 497.6473388671875, 977.1009521484375, 585.4641723632812], [651.8383178710938, 453.101806640625, 704.2767944335938, 646.1497192382812]]","[0.9176986217498779, 0.8974087238311768, 0.8862008452415466, 0.7065206170082092, 0.7944558262825012, 0.6088575720787048, 0.5759760737419128, 0.6153628826141357, 0.40870511531829834, 0.33821266889572144, 0.26500317454338074, 0.7017453908920288]","[[1453.032470703125, 801.3421630859375], [629.2494812011719, 707.6411743164062], [504.1392822265625, 723.7059936523438], [1556.1255493164062, 770.6968994140625], [749.6777648925781, 568.5491333007812], [1033.9316101074219, 529.0783081054688], [1274.0458374023438, 545.6945190429688], [954.4297180175781, 518.2887573242188], [1119.6865234375, 551.5086059570312], [987.0140075683594, 571.5836791992188], [945.2362976074219, 585.4641723632812], [678.0575561523438, 646.1497192382812]]",636877824,640,yolo26x.pt,MOT17-02
8,,11,"[1, 2, 3, 4, 5, 6, 7, 8, 10, 12, 14]","[[1375.1280517578125, 413.3875427246094, 1547.51318359375, 801.0289916992188], [584.577392578125, 445.4527893066406, 674.367431640625, 707.39306640625], [447.39849853515625, 441.2754211425781, 561.4893188476562, 723.3641357421875], [1474.1671142578125, 424.7833251953125, 1649.91650390625, 770.8344116210938], [731.9369506835938, 474.15545654296875, 767.7620849609375, 569.88916015625], [1013.4364624023438, 428.70916748046875, 1055.3607177734375, 528.802978515625], [1255.42529296875, 446.48846435546875, 1289.80419921875, 545.9037475585938], [936.1522216796875, 434.16162109375, 971.6599731445312, 517.8046875], [1101.845458984375, 433.6374206542969, 1137.4620361328125, 550.58837890625], [960.4794921875, 488.8350524902344, 1010.6923828125, 577.8353271484375], [652.21630859375, 452.59661865234375, 705.7180786132812, 647.8717041015625]]","[0.9257171154022217, 0.8867628574371338, 0.88470458984375, 0.8374247550964355, 0.7373227477073669, 0.5541285872459412, 0.4854489266872406, 0.5477775931358337, 0.3224095106124878, 0.41823458671569824, 0.4575445055961609]","[[1461.3206176757812, 801.0289916992188], [629.472412109375, 707.39306640625], [504.44390869140625, 723.3641357421875], [1562.0418090820312, 770.8344116210938], [749.8495178222656, 569.88916015625], [1034.3985900878906, 528.802978515625], [1272.61474609375, 545.9037475585938], [953.9060974121094, 517.8046875], [1119.6537475585938, 550.58837890625], [985.5859375, 577.8353271484375], [678.9671936035156, 647.8717041015625]]",636877824,640,yolo26x.pt,MOT17-02
9,,12,"[1, 2, 3, 4, 5, 6, 7, 8, 10, 12, 14, 9]","[[1383.5257568359375, 410.8166198730469, 1554.2857666015625, 801.0339965820312], [584.2525634765625, 444.7200012207031, 674.4266967773438, 707.3859252929688], [447.013427734375, 441.2447814941406, 562.1633911132812, 723.234619140625], [1478.8380126953125, 423.3829040527344, 1651.989501953125, 770.2901000976562], [731.2525634765625, 471.6971130371094, 768.3140869140625, 571.25830078125], [1013.3368530273438, 429.2703857421875, 1055.8238525390625, 529.6964721679688], [1255.642822265625, 446.1142883300781, 1290.2330322265625, 545.8136596679688], [935.5684814453125, 434.41717529296875, 970.8270874023438, 517.7075805664062], [1102.1649169921875, 434.6324462890625, 1137.4007568359375, 550.4134521484375], [959.3060302734375, 487.97271728515625, 1011.0942993164062, 579.590087890625], [653.6329956054688, 452.9131164550781, 707.7308349609375, 647.8668212890625], [506.85418701171875, 463.5585632324219, 572.3712158203125, 680.905029296875]]","[0.9056078195571899, 0.8971367478370667, 0.8830458521842957, 0.8259478211402893, 0.7382625341415405, 0.5893169045448303, 0.6016715168952942, 0.5439193248748779, 0.304781973361969, 0.3566702604293823, 0.5967636108398438, 0.2990144193172455]","[[1468.90576171875, 801.0339965820312], [629.3396301269531, 707.3859252929688], [504.5884094238281, 723.234619140625], [1565.4137573242188, 770.2901000976562], [749.7833251953125, 571.25830078125], [1034.5803527832031, 529.6964721679688], [1272.9379272460938, 545.8136596679688], [953.1977844238281, 517.7075805664062], [1119.7828369140625, 550.4134521484375], [985.2001647949219, 579.590087890625], [680.6819152832031, 647.8668212890625], [539.6127014160156, 680.905029296875]]",636877824,640,yolo26x.pt,MOT17-02
10,,10,"[1, 2, 3, 4, 5, 6, 7, 8, 10, 14]","[[1393.285888671875, 408.73504638671875, 1561.1031494140625, 801.3866577148438], [584.1712646484375, 444.067138671875, 674.7382202148438, 707.5049438476562], [446.6004638671875, 441.6241760253906, 562.6823120117188, 723.3364868164062], [1489.4200439453125, 422.46783447265625, 1659.1910400390625, 771.2290649414062], [730.9791870117188, 471.2587890625, 768.3265380859375, 571.9928588867188], [1015.308837890625, 430.45556640625, 1057.3411865234375, 529.6986083984375], [1255.9224853515625, 446.0692138671875, 1290.6083984375, 545.7032470703125], [935.2484130859375, 434.28521728515625, 970.7437744140625, 518.3631591796875], [1102.0625, 434.9154357910156, 1137.3270263671875, 550.7955322265625], [655.6925048828125, 453.9312438964844, 709.9880981445312, 647.6266479492188]]","[0.8883879780769348, 0.896273672580719, 0.8795856833457947, 0.8215263485908508, 0.7729339599609375, 0.4615478515625, 0.6439483165740967, 0.5622708797454834, 0.2824920415878296, 0.5318759679794312]","[[1477.1945190429688, 801.3866577148438], [629.4547424316406, 707.5049438476562], [504.6413879394531, 723.3364868164062], [1574.3055419921875, 771.2290649414062], [749.6528625488281, 571.9928588867188], [1036.3250122070312, 529.6986083984375], [1273.2654418945312, 545.7032470703125], [952.99609375, 518.3631591796875], [1119.6947631835938, 550.7955322265625], [682.8403015136719, 647.6266479492188]]",636877824,640,yolo26x.pt,MOT17-02
