frame_id,inference_ms,n_detections,track_ids,bboxes_xyxy,confs,footpoints,mem_total_bytes,mem_delta_bytes,mem_bytes,imgsz,model,seq
1,,14,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]","[[370.2543029785156, 409.957275390625, 452.9690856933594, 648.6552734375], [103.24612426757812, 548.206298828125, 181.48605346679688, 796.5806274414062], [1357.2540283203125, 573.49560546875, 1445.5794677734375, 799.2395629882812], [1733.812255859375, 456.92529296875, 1804.8966064453125, 675.2215576171875], [0.1286773681640625, 878.328369140625, 41.89678192138672, 1079.475341796875], [1098.3720703125, 978.8438720703125, 1169.9669189453125, 1079.6558837890625], [266.71795654296875, 365.66461181640625, 324.2581481933594, 585.765380859375], [1043.77734375, 132.06643676757812, 1109.1099853515625, 314.9304504394531], [227.2001495361328, 399.313232421875, 291.09503173828125, 601.569091796875], [1790.0928955078125, 202.7708282470703, 1848.4486083984375, 389.37896728515625], [543.9698486328125, 145.7896728515625, 602.5534057617188, 325.9525146484375], [1102.703857421875, 209.34866333007812, 1159.1337890625, 388.01861572265625], [794.885986328125, 147.5098876953125, 855.045654296875, 321.24163818359375], [877.5540161132812, 123.64539337158203, 931.8035888671875, 301.15386962890625]]","[0.8428823351860046, 0.8309093117713928, 0.7733415961265564, 0.7491099238395691, 0.6481517553329468, 0.6378623247146606, 0.48303210735321045, 0.4420728385448456, 0.406755656003952, 0.3722909986972809, 0.36570000648498535, 0.3258240222930908, 0.27974316477775574, 0.25472527742385864]","[[411.6116943359375, 648.6552734375], [142.3660888671875, 796.5806274414062], [1401.416748046875, 799.2395629882812], [1769.3544311523438, 675.2215576171875], [21.01272964477539, 1079.475341796875], [1134.1694946289062, 1079.6558837890625], [295.48805236816406, 585.765380859375], [1076.4436645507812, 314.9304504394531], [259.14759063720703, 601.569091796875], [1819.270751953125, 389.37896728515625], [573.2616271972656, 325.9525146484375], [1130.9188232421875, 388.01861572265625], [824.9658203125, 321.24163818359375], [904.6788024902344, 301.15386962890625]]",918589440,903524352,918589440,576,yolo26l.pt,MOT17-04
2,,12,"[1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13]","[[370.957763671875, 409.331787109375, 454.0327453613281, 649.1495971679688], [103.17528533935547, 547.8123168945312, 181.46826171875, 796.3530883789062], [1357.0238037109375, 573.597412109375, 1445.230224609375, 799.0421142578125], [1733.97216796875, 457.18524169921875, 1805.206298828125, 675.8908081054688], [0.1478130966424942, 877.0935668945312, 42.17742156982422, 1079.488525390625], [1101.4969482421875, 978.4240112304688, 1173.2218017578125, 1079.4439697265625], [264.3511657714844, 364.5970153808594, 322.0221862792969, 584.970458984375], [1043.39697265625, 132.2154998779297, 1108.711669921875, 315.12872314453125], [1791.9439697265625, 203.36285400390625, 1850.228271484375, 389.5174560546875], [544.0855102539062, 146.28152465820312, 602.49267578125, 325.91290283203125], [1098.5999755859375, 208.50030517578125, 1155.0377197265625, 386.9989318847656], [794.4571533203125, 147.13882446289062, 854.5280151367188, 320.5809631347656]]","[0.8385628461837769, 0.8254042267799377, 0.7944658398628235, 0.7281025648117065, 0.6695760488510132, 0.6219239830970764, 0.48292276263237, 0.4555559754371643, 0.3351200520992279, 0.37226805090904236, 0.4657149314880371, 0.2514581084251404]","[[412.49525451660156, 649.1495971679688], [142.32177352905273, 796.3530883789062], [1401.1270141601562, 799.0421142578125], [1769.5892333984375, 675.8908081054688], [21.162617333233356, 1079.488525390625], [1137.359375, 1079.4439697265625], [293.1866760253906, 584.970458984375], [1076.0543212890625, 315.12872314453125], [1821.0861206054688, 389.5174560546875], [573.2890930175781, 325.91290283203125], [1126.81884765625, 386.9989318847656], [824.4925842285156, 320.5809631347656]]",918589440,903524352,918589440,576,yolo26l.pt,MOT17-04
3,,11,"[1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12]","[[371.586669921875, 409.00421142578125, 454.611328125, 648.7302856445312], [103.36956787109375, 548.1747436523438, 181.5376739501953, 796.3614501953125], [1357.144775390625, 573.6990966796875, 1445.33935546875, 799.107666015625], [1732.2269287109375, 457.1725158691406, 1802.6912841796875, 673.154541015625], [0.0, 875.6184692382812, 42.315338134765625, 1079.5030517578125], [1104.27685546875, 977.7061767578125, 1176.5953369140625, 1079.685791015625], [261.80322265625, 364.01983642578125, 319.7735595703125, 584.7618408203125], [1043.65380859375, 132.8379364013672, 1107.8677978515625, 312.786865234375], [1793.89111328125, 203.85305786132812, 1852.045654296875, 389.299072265625], [544.5220336914062, 146.58126831054688, 602.7683715820312, 325.7784423828125], [1093.6572265625, 208.5791015625, 1150.20703125, 386.7241516113281]]","[0.827896237373352, 0.826533317565918, 0.787437379360199, 0.7514837980270386, 0.7190304398536682, 0.6218311786651611, 0.5547741055488586, 0.476243257522583, 0.29669126868247986, 0.3704982399940491, 0.42322221398353577]","[[413.0989990234375, 648.7302856445312], [142.45362091064453, 796.3614501953125], [1401.2420654296875, 799.107666015625], [1767.4591064453125, 673.154541015625], [21.157669067382812, 1079.5030517578125], [1140.4360961914062, 1079.685791015625], [290.78839111328125, 584.7618408203125], [1075.7608032226562, 312.786865234375], [1822.9683837890625, 389.299072265625], [573.6452026367188, 325.7784423828125], [1121.93212890625, 386.7241516113281]]",918589440,903524352,918589440,576,yolo26l.pt,MOT17-04
4,,13,"[1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 14, 13]","[[372.05322265625, 408.5359802246094, 455.0436096191406, 648.1268310546875], [103.20587921142578, 548.112548828125, 181.36221313476562, 796.31298828125], [1357.26123046875, 573.9571533203125, 1445.441162109375, 799.2880859375], [1731.0550537109375, 457.10894775390625, 1801.693359375, 673.1239013671875], [0.0, 874.4673461914062, 42.55282974243164, 1079.7257080078125], [1107.267822265625, 977.0169067382812, 1180.0174560546875, 1079.8065185546875], [260.19775390625, 362.4736328125, 318.5660095214844, 584.0411376953125], [1043.314697265625, 133.465087890625, 1107.1953125, 312.62896728515625], [1796.2269287109375, 203.75869750976562, 1854.417724609375, 388.9612121582031], [544.6709594726562, 147.13746643066406, 602.7283935546875, 325.7669372558594], [1086.063720703125, 208.51243591308594, 1143.4315185546875, 387.0027160644531], [877.6531372070312, 126.72711944580078, 932.0050048828125, 304.45367431640625], [794.018798828125, 147.50177001953125, 854.0377197265625, 320.82696533203125]]","[0.8226692080497742, 0.8241770267486572, 0.7992026209831238, 0.7402946949005127, 0.7228414416313171, 0.6707403659820557, 0.5539170503616333, 0.4415128529071808, 0.3075164258480072, 0.3615337908267975, 0.4634722173213959, 0.25083860754966736, 0.2556839883327484]","[[413.5484161376953, 648.1268310546875], [142.2840461730957, 796.31298828125], [1401.3511962890625, 799.2880859375], [1766.3742065429688, 673.1239013671875], [21.27641487121582, 1079.7257080078125], [1143.6426391601562, 1079.8065185546875], [289.3818817138672, 584.0411376953125], [1075.2550048828125, 312.62896728515625], [1825.3223266601562, 388.9612121582031], [573.6996765136719, 325.7669372558594], [1114.7476196289062, 387.0027160644531], [904.8290710449219, 304.45367431640625], [824.0282592773438, 320.82696533203125]]",918589440,903524352,918589440,576,yolo26l.pt,MOT17-04
5,,13,"[1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 14, 13]","[[373.3606262207031, 408.0023193359375, 455.9677429199219, 646.4703979492188], [103.35279083251953, 548.2282104492188, 181.5150909423828, 796.5465698242188], [1357.682861328125, 574.2138061523438, 1445.7161865234375, 799.2103271484375], [1729.773193359375, 456.742431640625, 1800.5753173828125, 672.6456909179688], [0.0, 873.0282592773438, 42.83857345581055, 1079.5804443359375], [1110.4521484375, 976.2604370117188, 1183.44775390625, 1079.7257080078125], [259.1944580078125, 360.6627197265625, 317.1325988769531, 580.2825317382812], [1045.2099609375, 134.63751220703125, 1105.498779296875, 303.1897277832031], [1798.2288818359375, 203.2010498046875, 1856.729248046875, 388.8741760253906], [544.1084594726562, 147.2613067626953, 602.1398315429688, 326.0046081542969], [1079.63134765625, 209.1676025390625, 1138.0474853515625, 387.17236328125], [877.6975708007812, 127.07152557373047, 932.051513671875, 305.0998229980469], [793.6107788085938, 147.78421020507812, 853.6585693359375, 321.4078674316406]]","[0.8150692582130432, 0.8328098654747009, 0.7977413535118103, 0.7656773328781128, 0.7309593558311462, 0.6567268371582031, 0.500664472579956, 0.27568143606185913, 0.30029934644699097, 0.36903899908065796, 0.48233553767204285, 0.3061339259147644, 0.27055227756500244]","[[414.6641845703125, 646.4703979492188], [142.43394088745117, 796.5465698242188], [1401.6995239257812, 799.2103271484375], [1765.1742553710938, 672.6456909179688], [21.419286727905273, 1079.5804443359375], [1146.949951171875, 1079.7257080078125], [288.1635284423828, 580.2825317382812], [1075.3543701171875, 303.1897277832031], [1827.4790649414062, 388.8741760253906], [573.1241455078125, 326.0046081542969], [1108.8394165039062, 387.17236328125], [904.8745422363281, 305.0998229980469], [823.6346740722656, 321.4078674316406]]",918589440,903524352,918589440,576,yolo26l.pt,MOT17-04
6,,11,"[1, 2, 3, 4, 5, 6, 7, 10, 11, 14, 13]","[[374.4358825683594, 407.0959167480469, 456.6333923339844, 644.2997436523438], [103.32196807861328, 548.0742797851562, 181.4455108642578, 796.4366455078125], [1357.419921875, 573.9657592773438, 1445.631103515625, 799.4151000976562], [1728.79296875, 456.9786376953125, 1799.8524169921875, 673.0230102539062], [0.04570924490690231, 871.519287109375, 43.17396545410156, 1079.346923828125], [1113.1353759765625, 975.4263916015625, 1186.3829345703125, 1079.6334228515625], [258.1958312988281, 358.9681091308594, 315.571044921875, 576.4628295898438], [1800.3302001953125, 204.1455535888672, 1858.7188720703125, 389.29815673828125], [543.492919921875, 148.4979248046875, 601.537109375, 327.43829345703125], [878.3150024414062, 127.5468978881836, 932.9038696289062, 306.6958312988281], [793.8001098632812, 148.10610961914062, 853.6577758789062, 321.3609924316406]]","[0.826185941696167, 0.8408699035644531, 0.8160473108291626, 0.777073085308075, 0.7237608432769775, 0.6813051104545593, 0.4936906099319458, 0.30293071269989014, 0.3745560646057129, 0.3299725651741028, 0.2745570242404938]","[[415.5346374511719, 644.2997436523438], [142.38373947143555, 796.4366455078125], [1401.5255126953125, 799.4151000976562], [1764.3226928710938, 673.0230102539062], [21.609837349504232, 1079.346923828125], [1149.7591552734375, 1079.6334228515625], [286.88343811035156, 576.4628295898438], [1829.5245361328125, 389.29815673828125], [572.5150146484375, 327.43829345703125], [905.6094360351562, 306.6958312988281], [823.7289428710938, 321.3609924316406]]",918589440,903524352,918589440,576,yolo26l.pt,MOT17-04
7,,12,"[1, 2, 3, 4, 5, 6, 7, 10, 11, 14, 13, 12]","[[375.3714294433594, 405.7951354980469, 457.43438720703125, 642.348876953125], [103.56683349609375, 547.7095947265625, 181.6631317138672, 796.1820068359375], [1357.13623046875, 574.0048217773438, 1445.3118896484375, 799.261962890625], [1728.361083984375, 456.56591796875, 1798.940185546875, 670.0681762695312], [0.18136712908744812, 869.9904174804688, 43.6474609375, 1079.368408203125], [1115.86328125, 975.2996215820312, 1188.973876953125, 1079.7701416015625], [256.9589538574219, 357.62896728515625, 313.3435363769531, 570.762451171875], [1802.2869873046875, 205.40396118164062, 1860.496337890625, 389.71771240234375], [541.7536010742188, 149.71728515625, 600.5761108398438, 331.1390075683594], [880.7726440429688, 128.12008666992188, 935.5277709960938, 307.1747741699219], [794.0731201171875, 148.1758575439453, 853.93359375, 321.5732421875], [1072.586181640625, 208.50527954101562, 1133.4639892578125, 386.9521484375]]","[0.8249413371086121, 0.8372496962547302, 0.7997888922691345, 0.7637073993682861, 0.7167255878448486, 0.736350417137146, 0.4838167726993561, 0.31659555435180664, 0.368187814950943, 0.2503453493118286, 0.2697305977344513, 0.46801456809043884]","[[416.4029083251953, 642.348876953125], [142.61498260498047, 796.1820068359375], [1401.2240600585938, 799.261962890625], [1763.650634765625, 670.0681762695312], [21.914414033293724, 1079.368408203125], [1152.4185791015625, 1079.7701416015625], [285.1512451171875, 570.762451171875], [1831.3916625976562, 389.71771240234375], [571.1648559570312, 331.1390075683594], [908.1502075195312, 307.1747741699219], [824.0033569335938, 321.5732421875], [1103.0250854492188, 386.9521484375]]",918589440,903524352,918589440,576,yolo26l.pt,MOT17-04
8,,12,"[1, 2, 3, 4, 5, 6, 7, 10, 11, 13, 12, 8]","[[375.9800720214844, 403.751708984375, 458.24017333984375, 640.8546752929688], [103.83861541748047, 547.7997436523438, 181.85586547851562, 796.1461791992188], [1357.393310546875, 573.9197387695312, 1445.5311279296875, 799.1372680664062], [1727.616943359375, 457.11712646484375, 1797.7916259765625, 668.147216796875], [0.4084731638431549, 868.3146362304688, 44.29322052001953, 1079.4403076171875], [1119.3538818359375, 975.1080932617188, 1192.1629638671875, 1079.67724609375], [256.3730163574219, 356.296142578125, 311.4577331542969, 564.1151123046875], [1802.657958984375, 207.04751586914062, 1860.97021484375, 391.03857421875], [539.865234375, 151.70053100585938, 599.098876953125, 334.2322998046875], [793.9954223632812, 148.21652221679688, 853.8935546875, 321.8817443847656], [1068.8570556640625, 208.641845703125, 1132.0699462890625, 386.2215576171875], [1043.7838134765625, 135.7683563232422, 1100.052490234375, 291.39007568359375]]","[0.8271667957305908, 0.8486788272857666, 0.783035159111023, 0.7849841117858887, 0.7312067151069641, 0.7250505685806274, 0.3921877145767212, 0.30860477685928345, 0.4180077016353607, 0.2996302843093872, 0.4549911916255951, 0.25333353877067566]","[[417.11012268066406, 640.8546752929688], [142.84724044799805, 796.1461791992188], [1401.4622192382812, 799.1372680664062], [1762.7042846679688, 668.147216796875], [22.350846841931343, 1079.4403076171875], [1155.7584228515625, 1079.67724609375], [283.9153747558594, 564.1151123046875], [1831.8140869140625, 391.03857421875], [569.4820556640625, 334.2322998046875], [823.9444885253906, 321.8817443847656], [1100.4635009765625, 386.2215576171875], [1071.9181518554688, 291.39007568359375]]",918589440,903524352,918589440,576,yolo26l.pt,MOT17-04
9,,12,"[1, 2, 3, 4, 5, 6, 10, 11, 13, 12, 9, 14]","[[376.8236389160156, 402.2635498046875, 458.9337463378906, 638.787353515625], [103.8059310913086, 547.5382690429688, 181.9233856201172, 796.3739624023438], [1357.32958984375, 574.2266845703125, 1445.3248291015625, 798.9136962890625], [1726.8328857421875, 456.9783935546875, 1797.2657470703125, 667.8861083984375], [0.5678311586380005, 866.7430419921875, 44.88426208496094, 1079.5877685546875], [1122.94970703125, 975.0634765625, 1195.2578125, 1079.452880859375], [1802.4447021484375, 209.01406860351562, 1861.6473388671875, 395.24554443359375], [539.4296875, 153.25927734375, 599.0906372070312, 336.9776611328125], [794.2888793945312, 148.9862823486328, 853.7498168945312, 321.331298828125], [1065.2784423828125, 208.97154235839844, 1131.0, 385.5812683105469], [223.02529907226562, 391.5731506347656, 286.35699462890625, 586.9246826171875], [886.4689331054688, 128.85235595703125, 942.3074340820312, 308.1807861328125]]","[0.8362452983856201, 0.845808207988739, 0.8166782855987549, 0.7882040143013, 0.7207876443862915, 0.7171695232391357, 0.35000643134117126, 0.395066499710083, 0.29134970903396606, 0.4379289150238037, 0.624070942401886, 0.400189071893692]","[[417.8786926269531, 638.787353515625], [142.8646583557129, 796.3739624023438], [1401.3272094726562, 798.9136962890625], [1762.04931640625, 667.8861083984375], [22.72604662179947, 1079.5877685546875], [1159.103759765625, 1079.452880859375], [1832.0460205078125, 395.24554443359375], [569.2601623535156, 336.9776611328125], [824.0193481445312, 321.331298828125], [1098.1392211914062, 385.5812683105469], [254.69114685058594, 586.9246826171875], [914.38818359375, 308.1807861328125]]",918589440,903524352,918589440,576,yolo26l.pt,MOT17-04
10,,12,"[1, 2, 3, 4, 5, 6, 10, 11, 13, 12, 9, 14]","[[377.1280822753906, 400.5481262207031, 459.1962890625, 636.73193359375], [104.07295989990234, 547.857666015625, 182.02821350097656, 796.2901611328125], [1357.2099609375, 574.2710571289062, 1445.2540283203125, 798.9152221679688], [1726.6328125, 457.1069030761719, 1796.9544677734375, 666.698486328125], [0.34833022952079773, 864.8414916992188, 45.08686065673828, 1079.6558837890625], [1126.4000244140625, 974.945068359375, 1198.22119140625, 1079.2900390625], [1803.2498779296875, 211.59194946289062, 1863.1104736328125, 398.08343505859375], [539.8079223632812, 154.379638671875, 599.7274169921875, 338.357177734375], [793.9124145507812, 148.9146270751953, 853.3342895507812, 321.69207763671875], [1062.0869140625, 208.5153350830078, 1130.7398681640625, 384.9807434082031], [221.42567443847656, 390.1708984375, 285.8758239746094, 583.95654296875], [888.8987426757812, 128.75660705566406, 945.69482421875, 307.7106628417969]]","[0.820746123790741, 0.8396076560020447, 0.8033713698387146, 0.7964462041854858, 0.7137592434883118, 0.6605351567268372, 0.3480781316757202, 0.35491982102394104, 0.27274560928344727, 0.4440822899341583, 0.6355116963386536, 0.3403772711753845]","[[418.1621856689453, 636.73193359375], [143.05058670043945, 796.2901611328125], [1401.2319946289062, 798.9152221679688], [1761.7936401367188, 666.698486328125], [22.71759544312954, 1079.6558837890625], [1162.3106079101562, 1079.2900390625], [1833.18017578125, 398.08343505859375], [569.7676696777344, 338.357177734375], [823.6233520507812, 321.69207763671875], [1096.4133911132812, 384.9807434082031], [253.65074920654297, 583.95654296875], [917.2967834472656, 307.7106628417969]]",918589440,903524352,918589440,576,yolo26l.pt,MOT17-04
