frame_id,inference_ms,n_detections,track_ids,bboxes_xyxy,confs,footpoints,mem_bytes,imgsz,model,seq
1,,11,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[[370.4654541015625, 410.6069030761719, 453.0749816894531, 647.865478515625], [103.12267303466797, 546.02001953125, 180.622802734375, 795.8659057617188], [1358.53759765625, 572.645751953125, 1445.16259765625, 799.1927490234375], [1098.235107421875, 979.2695922851562, 1168.959716796875, 1080.0], [1734.457275390625, 457.82452392578125, 1806.006103515625, 667.91943359375], [226.97708129882812, 400.42877197265625, 288.4685974121094, 601.7806396484375], [0.22809982299804688, 879.658935546875, 44.685890197753906, 1079.232177734375], [1045.336669921875, 132.76510620117188, 1109.705810546875, 314.5128173828125], [264.9078674316406, 365.29522705078125, 324.2743225097656, 587.0353393554688], [1104.003173828125, 208.69647216796875, 1159.0560302734375, 387.88446044921875], [1635.76220703125, 261.62847900390625, 1697.329345703125, 440.1878356933594]]","[0.8672284483909607, 0.8661482930183411, 0.8519150614738464, 0.7839312553405762, 0.6886723041534424, 0.5829421281814575, 0.5291089415550232, 0.4683239758014679, 0.43586304783821106, 0.42707234621047974, 0.35796695947647095]","[[411.7702178955078, 647.865478515625], [141.87273788452148, 795.8659057617188], [1401.85009765625, 799.1927490234375], [1133.597412109375, 1080.0], [1770.231689453125, 667.91943359375], [257.72283935546875, 601.7806396484375], [22.456995010375977, 1079.232177734375], [1077.521240234375, 314.5128173828125], [294.5910949707031, 587.0353393554688], [1131.5296020507812, 387.88446044921875], [1666.5457763671875, 440.1878356933594]]",1718566912,640,yolo26m.pt,MOT17-04
2,,11,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[[371.3409729003906, 410.22064208984375, 453.97479248046875, 647.611328125], [103.341796875, 546.5158081054688, 180.6527557373047, 795.7464599609375], [1358.530029296875, 572.6083374023438, 1444.955078125, 798.6800537109375], [1100.999267578125, 978.7119140625, 1172.059814453125, 1079.95361328125], [1734.6265869140625, 457.2148742675781, 1806.3369140625, 667.677978515625], [228.04168701171875, 399.6124267578125, 289.9302978515625, 602.1083984375], [0.0, 876.5945434570312, 44.62549591064453, 1078.94921875], [1045.0770263671875, 132.86822509765625, 1109.7249755859375, 315.4115295410156], [263.89337158203125, 365.5948181152344, 323.16796875, 587.0040893554688], [1098.9561767578125, 208.30712890625, 1154.2049560546875, 387.89605712890625], [1634.1160888671875, 260.4833679199219, 1697.05224609375, 443.07373046875]]","[0.8662838935852051, 0.8796480298042297, 0.8344747424125671, 0.7841545939445496, 0.7454778552055359, 0.6419374942779541, 0.5757005214691162, 0.4855136573314667, 0.4272046685218811, 0.45146963000297546, 0.45022836327552795]","[[412.6578826904297, 647.611328125], [141.99727630615234, 795.7464599609375], [1401.7425537109375, 798.6800537109375], [1136.529541015625, 1079.95361328125], [1770.4817504882812, 667.677978515625], [258.9859924316406, 602.1083984375], [22.312747955322266, 1078.94921875], [1077.4010009765625, 315.4115295410156], [293.5306701660156, 587.0040893554688], [1126.58056640625, 387.89605712890625], [1665.5841674804688, 443.07373046875]]",1724657664,640,yolo26m.pt,MOT17-04
3,,11,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[[371.950927734375, 409.6387939453125, 454.76824951171875, 647.6493530273438], [103.37542724609375, 546.7045288085938, 180.63011169433594, 795.7327880859375], [1358.6480712890625, 572.508056640625, 1445.0872802734375, 798.6636962890625], [1103.93212890625, 978.0165405273438, 1175.3720703125, 1079.92236328125], [1733.291259765625, 458.0509948730469, 1804.392333984375, 666.5565795898438], [228.75344848632812, 400.23095703125, 290.2765197753906, 601.085205078125], [0.0, 875.1904296875, 44.452396392822266, 1078.56640625], [1045.2298583984375, 132.78948974609375, 1108.67626953125, 311.9870300292969], [260.1962585449219, 363.7601623535156, 320.1059875488281, 586.8508911132812], [1091.545654296875, 208.29090881347656, 1147.3577880859375, 388.2203369140625], [1631.97607421875, 260.3475646972656, 1695.22412109375, 443.9465637207031]]","[0.8532257676124573, 0.8846397399902344, 0.8465707898139954, 0.7846229672431946, 0.7445729374885559, 0.5824383497238159, 0.6086349487304688, 0.4984865188598633, 0.4308668076992035, 0.43938741087913513, 0.4133099317550659]","[[413.3595886230469, 647.6493530273438], [142.00276947021484, 795.7327880859375], [1401.86767578125, 798.6636962890625], [1139.652099609375, 1079.92236328125], [1768.841796875, 666.5565795898438], [259.5149841308594, 601.085205078125], [22.226198196411133, 1078.56640625], [1076.9530639648438, 311.9870300292969], [290.151123046875, 586.8508911132812], [1119.4517211914062, 388.2203369140625], [1663.60009765625, 443.9465637207031]]",1724657664,640,yolo26m.pt,MOT17-04
4,,12,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 14]","[[372.284423828125, 409.2567138671875, 455.15777587890625, 647.5205078125], [103.26824188232422, 546.58154296875, 180.50169372558594, 795.5153198242188], [1358.8721923828125, 572.8353881835938, 1445.2440185546875, 798.83740234375], [1107.3712158203125, 977.4756469726562, 1179.166015625, 1079.9766845703125], [1731.308349609375, 458.4381408691406, 1802.171875, 665.9229736328125], [227.14170837402344, 397.8283996582031, 288.96160888671875, 599.216796875], [0.0, 874.4066772460938, 44.770713806152344, 1078.477294921875], [1045.087646484375, 132.7809295654297, 1107.6121826171875, 309.20648193359375], [257.3106689453125, 361.75653076171875, 317.8468933105469, 586.4140625], [1085.6070556640625, 208.47637939453125, 1142.0416259765625, 387.7778625488281], [1630.5850830078125, 260.076171875, 1693.4000244140625, 442.37689208984375], [1794.441162109375, 202.4385223388672, 1854.689697265625, 389.01641845703125]]","[0.860569953918457, 0.884307324886322, 0.8588104248046875, 0.7857325673103333, 0.7266791462898254, 0.5196129679679871, 0.6359595656394958, 0.4890192151069641, 0.4528735876083374, 0.6203092336654663, 0.46225592494010925, 0.3887183964252472]","[[413.7210998535156, 647.5205078125], [141.88496780395508, 795.5153198242188], [1402.05810546875, 798.83740234375], [1143.2686157226562, 1079.9766845703125], [1766.7401123046875, 665.9229736328125], [258.0516586303711, 599.216796875], [22.385356903076172, 1078.477294921875], [1076.3499145507812, 309.20648193359375], [287.5787811279297, 586.4140625], [1113.8243408203125, 387.7778625488281], [1661.9925537109375, 442.37689208984375], [1824.5654296875, 389.01641845703125]]",1724657664,640,yolo26m.pt,MOT17-04
5,,12,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 14]","[[373.4609375, 408.17132568359375, 456.3901062011719, 646.5968627929688], [103.15055847167969, 546.0820922851562, 180.5601043701172, 795.5762939453125], [1358.841064453125, 572.6460571289062, 1445.1805419921875, 798.6265258789062], [1110.2210693359375, 976.680908203125, 1182.4202880859375, 1079.9698486328125], [1730.4857177734375, 457.8375244140625, 1801.6197509765625, 665.6397094726562], [224.27236938476562, 395.7894287109375, 286.31597900390625, 597.6109619140625], [0.0, 873.4598999023438, 45.0814094543457, 1078.5439453125], [1045.943359375, 133.36534118652344, 1105.8636474609375, 301.8336486816406], [255.8767852783203, 360.11199951171875, 316.529052734375, 584.9395141601562], [1081.84033203125, 208.05128479003906, 1139.3394775390625, 387.3797912597656], [1629.251953125, 260.2403564453125, 1691.8111572265625, 441.7967529296875], [1795.6607666015625, 202.3191375732422, 1855.9622802734375, 389.20025634765625]]","[0.8498183488845825, 0.8752252459526062, 0.8511179089546204, 0.7346833348274231, 0.7547619938850403, 0.5301877856254578, 0.6712492108345032, 0.4666486084461212, 0.4641234874725342, 0.6519820094108582, 0.42365431785583496, 0.26121440529823303]","[[414.92552185058594, 646.5968627929688], [141.85533142089844, 795.5762939453125], [1402.0108032226562, 798.6265258789062], [1146.3206787109375, 1079.9698486328125], [1766.052734375, 665.6397094726562], [255.29417419433594, 597.6109619140625], [22.54070472717285, 1078.5439453125], [1075.9035034179688, 301.8336486816406], [286.20291900634766, 584.9395141601562], [1110.5899047851562, 387.3797912597656], [1660.5315551757812, 441.7967529296875], [1825.8115234375, 389.20025634765625]]",1724657664,640,yolo26m.pt,MOT17-04
6,,12,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 14]","[[374.4283447265625, 406.8969421386719, 457.1014709472656, 644.745361328125], [102.98955535888672, 545.871826171875, 180.43798828125, 795.5675048828125], [1358.8880615234375, 572.499267578125, 1445.1597900390625, 798.3643188476562], [1113.231201171875, 975.4318237304688, 1186.2274169921875, 1079.991943359375], [1728.376953125, 457.1692199707031, 1799.9962158203125, 665.9412841796875], [223.378173828125, 395.1485900878906, 285.6477355957031, 596.7014770507812], [0.0, 872.3199462890625, 45.40748596191406, 1078.4559326171875], [1046.210205078125, 134.27105712890625, 1104.8631591796875, 298.58563232421875], [255.72048950195312, 358.2511901855469, 314.7049255371094, 576.0673217773438], [1077.3648681640625, 207.89344787597656, 1136.3824462890625, 386.8828125], [1628.7762451171875, 259.7774353027344, 1691.1878662109375, 440.9391174316406], [1797.2701416015625, 203.3252410888672, 1857.284912109375, 389.655029296875]]","[0.8427467942237854, 0.878415048122406, 0.8329249620437622, 0.8069168329238892, 0.7892172336578369, 0.5146206617355347, 0.6510167121887207, 0.37484902143478394, 0.4286026358604431, 0.6771688461303711, 0.3762636184692383, 0.4402018189430237]","[[415.76490783691406, 644.745361328125], [141.71377182006836, 795.5675048828125], [1402.02392578125, 798.3643188476562], [1149.7293090820312, 1079.991943359375], [1764.1865844726562, 665.9412841796875], [254.51295471191406, 596.7014770507812], [22.70374298095703, 1078.4559326171875], [1075.5366821289062, 298.58563232421875], [285.21270751953125, 576.0673217773438], [1106.8736572265625, 386.8828125], [1659.9820556640625, 440.9391174316406], [1827.2775268554688, 389.655029296875]]",1724657664,640,yolo26m.pt,MOT17-04
7,,12,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 14]","[[375.5030822753906, 405.3092956542969, 458.2483215332031, 643.556640625], [103.343505859375, 546.0292358398438, 180.7716827392578, 795.6231689453125], [1358.69287109375, 572.6876831054688, 1444.8856201171875, 798.3701782226562], [1115.9237060546875, 974.6524658203125, 1189.226806640625, 1079.9996337890625], [1727.2740478515625, 456.7903137207031, 1799.0836181640625, 665.5966186523438], [221.91664123535156, 394.6135559082031, 284.005615234375, 594.635986328125], [0.0, 871.4161376953125, 45.66394805908203, 1078.4615478515625], [1045.882080078125, 135.05911254882812, 1102.6099853515625, 292.8252258300781], [255.45654296875, 356.4085693359375, 313.6199951171875, 570.083984375], [1072.236572265625, 208.0175323486328, 1133.3826904296875, 386.63250732421875], [1627.356689453125, 259.3328857421875, 1689.8406982421875, 440.5758972167969], [1798.9818115234375, 204.2057342529297, 1858.7271728515625, 390.2696533203125]]","[0.8473575711250305, 0.8798636794090271, 0.8518319725990295, 0.7837738990783691, 0.7694482803344727, 0.5353499054908752, 0.6450873613357544, 0.29098737239837646, 0.4615384042263031, 0.6603101491928101, 0.417577862739563, 0.4331130385398865]","[[416.8757019042969, 643.556640625], [142.0575942993164, 795.6231689453125], [1401.7892456054688, 798.3701782226562], [1152.5752563476562, 1079.9996337890625], [1763.1788330078125, 665.5966186523438], [252.96112823486328, 594.635986328125], [22.831974029541016, 1078.4615478515625], [1074.2460327148438, 292.8252258300781], [284.53826904296875, 570.083984375], [1102.8096313476562, 386.63250732421875], [1658.5986938476562, 440.5758972167969], [1828.8544921875, 390.2696533203125]]",1724657664,640,yolo26m.pt,MOT17-04
8,,12,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 14]","[[375.7921447753906, 403.0525817871094, 458.60577392578125, 641.6029663085938], [103.3990707397461, 545.9661865234375, 180.83445739746094, 795.66357421875], [1358.66943359375, 572.7344970703125, 1444.9715576171875, 798.7810668945312], [1119.0076904296875, 974.2688598632812, 1192.1910400390625, 1080.0], [1726.5491943359375, 455.995361328125, 1798.653564453125, 665.1905517578125], [221.17935180664062, 393.4759521484375, 283.7403259277344, 593.0311889648438], [0.17379148304462433, 869.610595703125, 46.399169921875, 1078.377197265625], [1044.9061279296875, 135.6400909423828, 1100.794921875, 289.2934265136719], [255.05210876464844, 355.18603515625, 312.1628723144531, 563.6099853515625], [1069.039794921875, 208.19143676757812, 1132.4595947265625, 386.1105041503906], [1626.0723876953125, 258.3367919921875, 1688.668701171875, 439.921142578125], [1799.587158203125, 206.25643920898438, 1858.9610595703125, 391.4783630371094]]","[0.8519988656044006, 0.8763919472694397, 0.8489883542060852, 0.7961629629135132, 0.7690602540969849, 0.49371087551116943, 0.650397002696991, 0.28779304027557373, 0.3619746267795563, 0.6691682934761047, 0.35776910185813904, 0.41607797145843506]","[[417.19895935058594, 641.6029663085938], [142.11676406860352, 795.66357421875], [1401.8204956054688, 798.7810668945312], [1155.599365234375, 1080.0], [1762.6013793945312, 665.1905517578125], [252.4598388671875, 593.0311889648438], [23.286480702459812, 1078.377197265625], [1072.8505249023438, 289.2934265136719], [283.6074905395508, 563.6099853515625], [1100.7496948242188, 386.1105041503906], [1657.3705444335938, 439.921142578125], [1829.2741088867188, 391.4783630371094]]",1724657664,640,yolo26m.pt,MOT17-04
9,,11,"[1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 14]","[[376.9377746582031, 401.6026611328125, 459.4117431640625, 639.1077880859375], [103.2544937133789, 545.6146850585938, 180.82225036621094, 795.8339233398438], [1358.6466064453125, 572.8880615234375, 1444.7098388671875, 798.32080078125], [1122.28076171875, 974.2134399414062, 1195.0433349609375, 1079.9364013671875], [1725.708740234375, 455.89801025390625, 1798.04833984375, 665.4509887695312], [219.7738037109375, 392.8448791503906, 282.2005615234375, 590.0472412109375], [0.14802755415439606, 867.0079345703125, 46.93815231323242, 1078.4093017578125], [1043.162841796875, 136.20785522460938, 1099.3419189453125, 288.86932373046875], [1066.485107421875, 208.66798400878906, 1132.1951904296875, 385.1872863769531], [1624.794677734375, 257.5408020019531, 1687.26953125, 438.9770812988281], [1799.8359375, 207.55995178222656, 1859.5604248046875, 394.005126953125]]","[0.8542668223381042, 0.8667650818824768, 0.8504311442375183, 0.7806951403617859, 0.7731326222419739, 0.5499444007873535, 0.7111175060272217, 0.37607625126838684, 0.6341283321380615, 0.3747330605983734, 0.4096528887748718]","[[418.1747589111328, 639.1077880859375], [142.03837203979492, 795.8339233398438], [1401.67822265625, 798.32080078125], [1158.6620483398438, 1079.9364013671875], [1761.8785400390625, 665.4509887695312], [250.9871826171875, 590.0472412109375], [23.54308993369341, 1078.4093017578125], [1071.2523803710938, 288.86932373046875], [1099.3401489257812, 385.1872863769531], [1656.0321044921875, 438.9770812988281], [1829.6981811523438, 394.005126953125]]",1724657664,640,yolo26m.pt,MOT17-04
10,,12,"[1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 14, 9]","[[377.69976806640625, 400.28778076171875, 459.90435791015625, 636.6447143554688], [103.28367614746094, 545.7545166015625, 180.7659912109375, 795.9140014648438], [1358.7318115234375, 572.9600830078125, 1444.906494140625, 798.6094970703125], [1125.99658203125, 973.9181518554688, 1198.41943359375, 1079.9776611328125], [1725.3408203125, 456.5500183105469, 1797.5860595703125, 665.5863037109375], [219.7731170654297, 391.46405029296875, 282.3841552734375, 586.3875122070312], [0.0, 864.462646484375, 46.93485641479492, 1078.5198974609375], [1041.8973388671875, 137.33969116210938, 1098.561279296875, 289.599853515625], [1062.9471435546875, 207.72178649902344, 1131.6441650390625, 384.5356750488281], [1623.04052734375, 256.7496032714844, 1686.0157470703125, 439.9921569824219], [1800.9976806640625, 210.56094360351562, 1860.502197265625, 395.6036071777344], [251.07420349121094, 353.28216552734375, 310.9158630371094, 570.79931640625]]","[0.8489527106285095, 0.8720521330833435, 0.855979859828949, 0.8094226717948914, 0.7723120450973511, 0.46716415882110596, 0.7114498615264893, 0.35170412063598633, 0.5866514444351196, 0.2984865605831146, 0.3968905806541443, 0.25519081950187683]","[[418.80206298828125, 636.6447143554688], [142.02483367919922, 795.9140014648438], [1401.8191528320312, 798.6094970703125], [1162.2080078125, 1079.9776611328125], [1761.4634399414062, 665.5863037109375], [251.0786361694336, 586.3875122070312], [23.46742820739746, 1078.5198974609375], [1070.2293090820312, 289.599853515625], [1097.295654296875, 384.5356750488281], [1654.5281372070312, 439.9921569824219], [1830.7499389648438, 395.6036071777344], [280.99503326416016, 570.79931640625]]",1724657664,640,yolo26m.pt,MOT17-04
