frame_id,inference_ms,n_detections,track_ids,bboxes_xyxy,confs,footpoints,mem_bytes,imgsz,model,seq
1,,15,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","[[369.6565856933594, 410.8825988769531, 453.8648376464844, 650.530517578125], [102.22062683105469, 546.889404296875, 181.8219757080078, 797.0588989257812], [1358.25, 571.3424072265625, 1433.5389404296875, 793.38525390625], [1097.954833984375, 979.2568969726562, 1170.02490234375, 1080.0], [1734.560302734375, 457.05120849609375, 1808.18212890625, 678.2734375], [0.11473464965820312, 879.0357666015625, 42.1865119934082, 1078.250244140625], [1045.19873046875, 132.64959716796875, 1108.66357421875, 318.91156005859375], [227.23342895507812, 400.88043212890625, 299.9449768066406, 600.2972412109375], [1101.7470703125, 208.7363739013672, 1159.3897705078125, 385.47088623046875], [265.1068420410156, 366.28997802734375, 327.8838195800781, 587.3727416992188], [787.30419921875, 146.36767578125, 855.8755493164062, 327.7517395019531], [1635.640625, 262.10028076171875, 1700.303466796875, 440.6687316894531], [545.9564208984375, 145.06259155273438, 602.7646484375, 327.8514404296875], [547.6981201171875, 144.0753173828125, 604.3299560546875, 327.8672180175781], [1787.90966796875, 201.5115509033203, 1848.43359375, 389.45452880859375]]","[0.8914958834648132, 0.8906722068786621, 0.8104084134101868, 0.8066958785057068, 0.7747162580490112, 0.7101583480834961, 0.6544873118400574, 0.644620418548584, 0.6396439671516418, 0.542383074760437, 0.4214266836643219, 0.3883858025074005, 0.3873947262763977, 0.34705889225006104, 0.2600199282169342]","[[411.7607116699219, 650.530517578125], [142.02130126953125, 797.0588989257812], [1395.8944702148438, 793.38525390625], [1133.9898681640625, 1080.0], [1771.3712158203125, 678.2734375], [21.150623321533203, 1078.250244140625], [1076.93115234375, 318.91156005859375], [263.5892028808594, 600.2972412109375], [1130.5684204101562, 385.47088623046875], [296.4953308105469, 587.3727416992188], [821.5898742675781, 327.7517395019531], [1667.9720458984375, 440.6687316894531], [574.3605346679688, 327.8514404296875], [576.0140380859375, 327.8672180175781], [1818.171630859375, 389.45452880859375]]",1690591232,576,yolo26s.pt,MOT17-04
2,,14,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15]","[[370.60980224609375, 410.0644226074219, 455.0707092285156, 650.5913696289062], [102.1498794555664, 547.3103637695312, 181.5957489013672, 796.9686279296875], [1357.4984130859375, 571.0267944335938, 1433.23974609375, 794.4330444335938], [1100.940185546875, 979.0333251953125, 1173.1544189453125, 1080.0], [1733.8779296875, 457.2568664550781, 1807.39404296875, 678.1126708984375], [0.3603696823120117, 877.9244384765625, 42.69974899291992, 1078.3531494140625], [1045.1143798828125, 132.699462890625, 1108.2530517578125, 318.0601806640625], [224.25660705566406, 400.3525390625, 297.02001953125, 600.140380859375], [1097.4542236328125, 208.26380920410156, 1154.7615966796875, 383.8382873535156], [263.4139404296875, 366.11175537109375, 326.30029296875, 587.7593383789062], [787.8966064453125, 146.2445526123047, 856.564697265625, 327.85394287109375], [1633.41650390625, 261.1246032714844, 1698.770263671875, 441.7488708496094], [545.6185302734375, 145.2320556640625, 602.3731079101562, 327.86102294921875], [1790.926025390625, 202.36756896972656, 1851.2738037109375, 389.8227233886719]]","[0.8773685097694397, 0.8927626609802246, 0.7925134897232056, 0.8206964731216431, 0.7893444299697876, 0.7786542177200317, 0.6494665741920471, 0.654332160949707, 0.6132917404174805, 0.5383222699165344, 0.40881669521331787, 0.4614582657814026, 0.40775617957115173, 0.35256457328796387]","[[412.8402557373047, 650.5913696289062], [141.8728141784668, 796.9686279296875], [1395.3690795898438, 794.4330444335938], [1137.0473022460938, 1080.0], [1770.635986328125, 678.1126708984375], [21.530059337615967, 1078.3531494140625], [1076.6837158203125, 318.0601806640625], [260.63831329345703, 600.140380859375], [1126.10791015625, 383.8382873535156], [294.85711669921875, 587.7593383789062], [822.2306518554688, 327.85394287109375], [1666.0933837890625, 441.7488708496094], [573.9958190917969, 327.86102294921875], [1821.0999145507812, 389.8227233886719]]",1696690176,576,yolo26s.pt,MOT17-04
3,,14,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15]","[[371.4231262207031, 409.9996337890625, 455.660888671875, 650.1173706054688], [102.4545669555664, 547.3676147460938, 181.89524841308594, 797.0127563476562], [1357.7816162109375, 571.3161010742188, 1433.27294921875, 793.9468383789062], [1104.180908203125, 978.5610961914062, 1176.6968994140625, 1080.0], [1732.628662109375, 457.21807861328125, 1805.712158203125, 676.557861328125], [0.33944252133369446, 876.1692504882812, 43.014427185058594, 1078.1416015625], [1044.560302734375, 132.97315979003906, 1107.4234619140625, 317.46484375], [224.096923828125, 399.7834777832031, 296.6476745605469, 598.9332275390625], [1090.33349609375, 207.8195343017578, 1148.6402587890625, 385.4715881347656], [260.8182373046875, 364.9630432128906, 323.6302185058594, 586.2833251953125], [788.4349365234375, 146.21005249023438, 856.1052856445312, 325.1492004394531], [1631.781982421875, 260.4217224121094, 1698.328857421875, 444.5833740234375], [545.4321899414062, 145.56939697265625, 601.9833984375, 327.6225891113281], [1792.66796875, 202.88528442382812, 1852.6202392578125, 389.3576965332031]]","[0.8862974643707275, 0.8955267667770386, 0.7915590405464172, 0.811877429485321, 0.7826992869377136, 0.7928767204284668, 0.5678441524505615, 0.6178824305534363, 0.5885249972343445, 0.5233741998672485, 0.4114738404750824, 0.3867216110229492, 0.39242276549339294, 0.3048367500305176]","[[413.54200744628906, 650.1173706054688], [142.17490768432617, 797.0127563476562], [1395.5272827148438, 793.9468383789062], [1140.4389038085938, 1080.0], [1769.17041015625, 676.557861328125], [21.676934853196144, 1078.1416015625], [1075.9918823242188, 317.46484375], [260.37229919433594, 598.9332275390625], [1119.4868774414062, 385.4715881347656], [292.22422790527344, 586.2833251953125], [822.2701110839844, 325.1492004394531], [1665.055419921875, 444.5833740234375], [573.7077941894531, 327.6225891113281], [1822.6441040039062, 389.3576965332031]]",1696690176,576,yolo26s.pt,MOT17-04
4,,14,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15]","[[371.8114929199219, 409.30419921875, 455.9676208496094, 649.4619140625], [102.3646240234375, 547.1242065429688, 181.75743103027344, 796.6161499023438], [1358.088623046875, 571.5477294921875, 1433.571533203125, 793.9800415039062], [1107.32568359375, 978.0258178710938, 1180.171630859375, 1080.0], [1732.567138671875, 456.78033447265625, 1803.958740234375, 670.5977172851562], [0.49125558137893677, 875.178466796875, 43.407535552978516, 1078.147705078125], [1044.2354736328125, 133.3068084716797, 1107.1201171875, 317.59967041015625], [223.6670379638672, 398.9854431152344, 296.65655517578125, 599.0518798828125], [1086.1429443359375, 207.61273193359375, 1145.181884765625, 386.1080017089844], [258.52886962890625, 362.8715515136719, 321.4718322753906, 584.6650390625], [787.31640625, 145.9822540283203, 855.5064697265625, 326.2388916015625], [1630.2471923828125, 259.8008117675781, 1696.6077880859375, 443.9440002441406], [544.837158203125, 146.17140197753906, 601.16455078125, 327.61883544921875], [1795.5035400390625, 203.26380920410156, 1855.25439453125, 389.3052062988281]]","[0.8957747220993042, 0.9004299640655518, 0.8214718699455261, 0.7885963916778564, 0.7968793511390686, 0.8158340454101562, 0.4988251030445099, 0.6449699401855469, 0.5750464797019958, 0.5273301005363464, 0.4350692331790924, 0.46541404724121094, 0.3799116015434265, 0.29173579812049866]","[[413.8895568847656, 649.4619140625], [142.06102752685547, 796.6161499023438], [1395.830078125, 793.9800415039062], [1143.7486572265625, 1080.0], [1768.262939453125, 670.5977172851562], [21.949395567178726, 1078.147705078125], [1075.6777954101562, 317.59967041015625], [260.1617965698242, 599.0518798828125], [1115.6624145507812, 386.1080017089844], [290.00035095214844, 584.6650390625], [821.4114379882812, 326.2388916015625], [1663.427490234375, 443.9440002441406], [573.0008544921875, 327.61883544921875], [1825.3789672851562, 389.3052062988281]]",1696690176,576,yolo26s.pt,MOT17-04
5,,14,"[1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 15, 17]","[[373.33673095703125, 408.8515319824219, 457.220947265625, 648.5062866210938], [102.33914947509766, 547.281982421875, 181.73095703125, 796.8458862304688], [1358.1239013671875, 571.443603515625, 1433.4168701171875, 793.2996215820312], [1110.28125, 976.9752197265625, 1183.6895751953125, 1080.0], [1730.3359375, 456.5127868652344, 1802.208251953125, 671.1168823242188], [0.820738673210144, 873.9824829101562, 44.07311248779297, 1078.19140625], [1044.7099609375, 133.86610412597656, 1106.783935546875, 315.0220947265625], [223.87283325195312, 398.14312744140625, 297.5369567871094, 599.0089111328125], [257.0862121582031, 361.7369689941406, 318.7644348144531, 579.0113525390625], [786.4959716796875, 146.05059814453125, 855.9279174804688, 329.3935852050781], [1629.4775390625, 259.5870056152344, 1695.5263671875, 443.3234558105469], [543.8232421875, 146.6688995361328, 599.8636474609375, 327.45037841796875], [1796.46875, 203.30780029296875, 1855.9757080078125, 388.7173156738281], [876.3041381835938, 128.4276123046875, 937.2262573242188, 307.4368591308594]]","[0.890312671661377, 0.8978466987609863, 0.8163102865219116, 0.8133464455604553, 0.7905825972557068, 0.833292543888092, 0.41031914949417114, 0.7245862483978271, 0.4841952919960022, 0.4682289958000183, 0.521842896938324, 0.41906464099884033, 0.42790183424949646, 0.3767964541912079]","[[415.2788391113281, 648.5062866210938], [142.03505325317383, 796.8458862304688], [1395.7703857421875, 793.2996215820312], [1146.9854125976562, 1080.0], [1766.2720947265625, 671.1168823242188], [22.446925580501556, 1078.19140625], [1075.7469482421875, 315.0220947265625], [260.70489501953125, 599.0089111328125], [287.9253234863281, 579.0113525390625], [821.2119445800781, 329.3935852050781], [1662.501953125, 443.3234558105469], [571.8434448242188, 327.45037841796875], [1826.2222290039062, 388.7173156738281], [906.7651977539062, 307.4368591308594]]",1696690176,576,yolo26s.pt,MOT17-04
6,,15,"[1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 15, 17, 9]","[[374.0832824707031, 407.6349182128906, 457.8160400390625, 646.9398193359375], [102.37496185302734, 547.3234252929688, 181.64266967773438, 796.6591796875], [1358.02685546875, 571.4263916015625, 1433.1976318359375, 792.7971801757812], [1113.607421875, 975.9974365234375, 1187.4390869140625, 1080.0], [1728.7816162109375, 455.913818359375, 1801.3037109375, 671.7445678710938], [0.9264611005783081, 872.8244018554688, 44.494991302490234, 1078.1285400390625], [1047.0006103515625, 134.89178466796875, 1104.5562744140625, 301.4960632324219], [222.82801818847656, 398.1810607910156, 296.5791931152344, 598.229248046875], [256.3237609863281, 359.849853515625, 317.421630859375, 575.2279663085938], [785.4146728515625, 146.40670776367188, 855.6507568359375, 331.8415222167969], [1628.3260498046875, 258.9858093261719, 1694.6790771484375, 444.0248107910156], [542.9953002929688, 147.5107421875, 599.1126098632812, 328.8209533691406], [1797.677490234375, 203.40182495117188, 1856.869384765625, 388.52197265625], [876.7958984375, 129.38768005371094, 937.5421142578125, 308.3423767089844], [1076.849853515625, 207.20729064941406, 1137.5107421875, 385.8258056640625]]","[0.8905416131019592, 0.8918192386627197, 0.8173000812530518, 0.827443540096283, 0.7281548380851746, 0.8170320987701416, 0.38424697518348694, 0.6877995729446411, 0.4545243978500366, 0.4447663426399231, 0.45411989092826843, 0.4249208867549896, 0.41977688670158386, 0.3393072783946991, 0.6493556499481201]","[[415.9496612548828, 646.9398193359375], [142.00881576538086, 796.6591796875], [1395.6122436523438, 792.7971801757812], [1150.5232543945312, 1080.0], [1765.0426635742188, 671.7445678710938], [22.71072620153427, 1078.1285400390625], [1075.7784423828125, 301.4960632324219], [259.70360565185547, 598.229248046875], [286.87269592285156, 575.2279663085938], [820.53271484375, 331.8415222167969], [1661.5025634765625, 444.0248107910156], [571.053955078125, 328.8209533691406], [1827.2734375, 388.52197265625], [907.1690063476562, 308.3423767089844], [1107.1802978515625, 385.8258056640625]]",1696690176,576,yolo26s.pt,MOT17-04
7,,15,"[1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 15, 17, 9]","[[375.08331298828125, 405.7160949707031, 458.807373046875, 644.9915771484375], [102.5944595336914, 547.3134155273438, 181.81100463867188, 796.7628784179688], [1358.2049560546875, 571.4373168945312, 1433.4061279296875, 792.8401489257812], [1116.8887939453125, 975.5657958984375, 1190.7115478515625, 1080.0], [1728.0311279296875, 455.5528564453125, 1800.038818359375, 668.8150024414062], [1.2027690410614014, 871.0289306640625, 45.365516662597656, 1078.477294921875], [1047.460205078125, 136.65155029296875, 1102.0977783203125, 293.133544921875], [222.0813446044922, 397.7210998535156, 295.5216064453125, 595.4984741210938], [253.74461364746094, 357.5931701660156, 314.67803955078125, 571.4695434570312], [785.673583984375, 146.30587768554688, 855.8538208007812, 331.5029602050781], [1626.573486328125, 258.96746826171875, 1692.5343017578125, 443.4356384277344], [541.6087036132812, 148.0261993408203, 598.1898803710938, 331.538818359375], [1797.926513671875, 203.44175720214844, 1857.078369140625, 389.03515625], [878.5531616210938, 129.04739379882812, 939.498046875, 309.0216369628906], [1072.0618896484375, 207.54275512695312, 1134.7685546875, 385.6991271972656]]","[0.8895183205604553, 0.8945225477218628, 0.8169537782669067, 0.8492440581321716, 0.7246378064155579, 0.7979463934898376, 0.3559836447238922, 0.5907139182090759, 0.47323644161224365, 0.41931283473968506, 0.4379723072052002, 0.4207511246204376, 0.445025235414505, 0.2732655704021454, 0.6773389577865601]","[[416.9453430175781, 644.9915771484375], [142.20273208618164, 796.7628784179688], [1395.8055419921875, 792.8401489257812], [1153.8001708984375, 1080.0], [1764.0349731445312, 668.8150024414062], [23.28414285182953, 1078.477294921875], [1074.7789916992188, 293.133544921875], [258.80147552490234, 595.4984741210938], [284.2113265991211, 571.4695434570312], [820.7637023925781, 331.5029602050781], [1659.5538940429688, 443.4356384277344], [569.8992919921875, 331.538818359375], [1827.50244140625, 389.03515625], [909.0256042480469, 309.0216369628906], [1103.4152221679688, 385.6991271972656]]",1696690176,576,yolo26s.pt,MOT17-04
8,,16,"[1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 15, 9, 21, 22]","[[375.6756286621094, 403.86651611328125, 459.301025390625, 643.031982421875], [102.83781433105469, 547.3082885742188, 181.9648895263672, 796.7991333007812], [1357.9901123046875, 571.1734619140625, 1432.940673828125, 791.6683959960938], [1119.73974609375, 975.0914916992188, 1193.53515625, 1080.0], [1726.726318359375, 455.4575500488281, 1798.1158447265625, 665.5247802734375], [1.3350461721420288, 869.345458984375, 46.030738830566406, 1078.537353515625], [1046.810546875, 138.90113830566406, 1100.2742919921875, 290.286376953125], [220.7745361328125, 397.0125732421875, 293.56903076171875, 591.6377563476562], [252.20562744140625, 356.9098815917969, 312.2090759277344, 566.9763793945312], [785.5037841796875, 146.491943359375, 855.687255859375, 331.4812927246094], [1625.712646484375, 258.83245849609375, 1691.7027587890625, 443.5086364746094], [540.6026000976562, 149.5630340576172, 597.4945068359375, 334.82769775390625], [1798.423828125, 204.67398071289062, 1857.25146484375, 389.5611877441406], [1068.4429931640625, 207.16970825195312, 1133.4866943359375, 385.1481018066406], [1040.26708984375, 136.93359375, 1104.5772705078125, 296.6749267578125], [267.75469970703125, 387.1971130371094, 314.8050231933594, 565.2114868164062]]","[0.8885142803192139, 0.8973966240882874, 0.8190361261367798, 0.8423992991447449, 0.7628796696662903, 0.79933100938797, 0.4152688682079315, 0.65425044298172, 0.31386199593544006, 0.41225212812423706, 0.4023560881614685, 0.4338681101799011, 0.4326234757900238, 0.7063615918159485, 0.3340119421482086, 0.36154305934906006]","[[417.4883270263672, 643.031982421875], [142.40135192871094, 796.7991333007812], [1395.4653930664062, 791.6683959960938], [1156.637451171875, 1080.0], [1762.4210815429688, 665.5247802734375], [23.682892501354218, 1078.537353515625], [1073.5424194335938, 290.286376953125], [257.1717834472656, 591.6377563476562], [282.2073516845703, 566.9763793945312], [820.5955200195312, 331.4812927246094], [1658.7077026367188, 443.5086364746094], [569.0485534667969, 334.82769775390625], [1827.837646484375, 389.5611877441406], [1100.96484375, 385.1481018066406], [1072.4221801757812, 296.6749267578125], [291.2798614501953, 565.2114868164062]]",1696690176,576,yolo26s.pt,MOT17-04
9,,16,"[1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 15, 9, 21, 17]","[[376.2542419433594, 401.9010925292969, 459.7880554199219, 640.9007568359375], [102.79943084716797, 546.807373046875, 182.04966735839844, 797.1002807617188], [1358.2061767578125, 571.3817138671875, 1432.8062744140625, 790.566162109375], [1122.6552734375, 974.843017578125, 1196.1536865234375, 1080.0], [1725.8751220703125, 455.2266845703125, 1797.550048828125, 665.14501953125], [1.0500342845916748, 867.77783203125, 46.20460891723633, 1078.6343994140625], [1045.3121337890625, 139.6873779296875, 1098.8253173828125, 289.42864990234375], [219.40478515625, 395.0359802246094, 291.878173828125, 587.48876953125], [249.03927612304688, 356.0251159667969, 310.4114990234375, 569.380859375], [785.2688598632812, 146.4448699951172, 855.6817016601562, 331.9393005371094], [1624.4378662109375, 258.49395751953125, 1690.0015869140625, 442.4480285644531], [539.8117065429688, 151.70989990234375, 596.7839965820312, 337.5439453125], [1799.0032958984375, 206.89068603515625, 1857.9508056640625, 392.2809143066406], [1064.9754638671875, 207.77732849121094, 1132.342041015625, 384.8788757324219], [1038.7493896484375, 137.39805603027344, 1103.5491943359375, 298.2290954589844], [886.155517578125, 128.51156616210938, 947.0479125976562, 306.7521057128906]]","[0.8874924778938293, 0.896994948387146, 0.8208678960800171, 0.8413920402526855, 0.7806244492530823, 0.7915326356887817, 0.25616323947906494, 0.6252329349517822, 0.2829732298851013, 0.37716493010520935, 0.37669456005096436, 0.4807714521884918, 0.4213300049304962, 0.7131474614143372, 0.3571632206439972, 0.30782294273376465]","[[418.0211486816406, 640.9007568359375], [142.4245491027832, 797.1002807617188], [1395.5062255859375, 790.566162109375], [1159.4044799804688, 1080.0], [1761.7125854492188, 665.14501953125], [23.627321600914, 1078.6343994140625], [1072.0687255859375, 289.42864990234375], [255.6414794921875, 587.48876953125], [279.7253875732422, 569.380859375], [820.4752807617188, 331.9393005371094], [1657.2197265625, 442.4480285644531], [568.2978515625, 337.5439453125], [1828.47705078125, 392.2809143066406], [1098.6587524414062, 384.8788757324219], [1071.1492919921875, 298.2290954589844], [916.6017150878906, 306.7521057128906]]",1696690176,576,yolo26s.pt,MOT17-04
10,,14,"[1, 2, 3, 4, 5, 6, 8, 11, 12, 13, 15, 9, 21, 17]","[[376.6024475097656, 400.6972961425781, 459.86273193359375, 638.8780517578125], [103.08201599121094, 547.4569702148438, 181.97425842285156, 796.8746337890625], [1357.7462158203125, 571.3949584960938, 1432.900390625, 792.2512817382812], [1125.4779052734375, 974.7167358398438, 1198.5738525390625, 1080.0], [1725.2747802734375, 455.2587890625, 1797.078369140625, 664.9168090820312], [0.5644834041595459, 865.843017578125, 46.065372467041016, 1078.23876953125], [216.94537353515625, 394.46978759765625, 288.9514465332031, 584.6024780273438], [784.989013671875, 146.37466430664062, 855.0122680664062, 331.0618591308594], [1623.44384765625, 257.3584289550781, 1689.179443359375, 442.0581359863281], [539.5879516601562, 153.06874084472656, 596.290771484375, 338.309814453125], [1799.4263916015625, 209.85446166992188, 1858.8038330078125, 395.5151062011719], [1061.8651123046875, 207.90724182128906, 1131.9560546875, 385.0830993652344], [1036.423583984375, 137.42056274414062, 1104.391357421875, 306.1495361328125], [889.048828125, 128.79473876953125, 950.3448486328125, 306.17755126953125]]","[0.8847405910491943, 0.8998594880104065, 0.8209008574485779, 0.854889988899231, 0.788375973701477, 0.7697818279266357, 0.6363158822059631, 0.3707718849182129, 0.3799980878829956, 0.45069530606269836, 0.40357211232185364, 0.7253051996231079, 0.3168382942676544, 0.3112747371196747]","[[418.2325897216797, 638.8780517578125], [142.52813720703125, 796.8746337890625], [1395.3233032226562, 792.2512817382812], [1162.02587890625, 1080.0], [1761.1765747070312, 664.9168090820312], [23.31492793560028, 1078.23876953125], [252.9484100341797, 584.6024780273438], [820.0006408691406, 331.0618591308594], [1656.3116455078125, 442.0581359863281], [567.9393615722656, 338.309814453125], [1829.1151123046875, 395.5151062011719], [1096.9105834960938, 385.0830993652344], [1070.407470703125, 306.1495361328125], [919.6968383789062, 306.17755126953125]]",1696690176,576,yolo26s.pt,MOT17-04
