frame_id,inference_ms,n_detections,track_ids,bboxes_xyxy,confs,footpoints,mem_bytes,imgsz,model,seq
1,,8,"[1, 2, 3, 4, 5, 6, 7, 8]","[[1695.9765625, 390.00445556640625, 1857.5350341796875, 727.943603515625], [1290.89990234375, 459.14520263671875, 1357.5450439453125, 660.0523071289062], [1256.557861328125, 540.1917724609375, 1314.3194580078125, 655.7604370117188], [248.64324951171875, 455.9810791015625, 354.6356201171875, 704.8240966796875], [0.6957855224609375, 339.8304443359375, 119.34049987792969, 904.1806640625], [1887.502685546875, 393.01324462890625, 1919.2562255859375, 570.513427734375], [121.8447036743164, 512.8262939453125, 213.93466186523438, 743.1539306640625], [35.059165954589844, 498.5448913574219, 119.61614227294922, 748.583984375]]","[0.934825599193573, 0.8060412406921387, 0.7779116034507751, 0.7457822561264038, 0.7043214440345764, 0.7020053863525391, 0.6214293837547302, 0.592073380947113]","[[1776.7557983398438, 727.943603515625], [1324.2224731445312, 660.0523071289062], [1285.4386596679688, 655.7604370117188], [301.6394348144531, 704.8240966796875], [60.01814270019531, 904.1806640625], [1903.3794555664062, 570.513427734375], [167.8896827697754, 743.1539306640625], [77.33765411376953, 748.583984375]]",233876480,640,yolo26l.pt,MOT17-09
2,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1691.84033203125, 387.8621520996094, 1854.501220703125, 728.0955810546875], [1292.767578125, 458.8190002441406, 1359.26953125, 659.4126586914062], [1258.709716796875, 540.5162353515625, 1316.5645751953125, 656.3607788085938], [256.0672912597656, 456.6166076660156, 361.6943664550781, 705.0599365234375], [1.871333122253418, 334.7772521972656, 121.44931030273438, 903.2595825195312], [1885.85546875, 390.7864074707031, 1917.696044921875, 568.3834838867188], [116.65426635742188, 506.6587219238281, 211.35728454589844, 743.632080078125]]","[0.9321343302726746, 0.8072044849395752, 0.7595415115356445, 0.7809141874313354, 0.7698413729667664, 0.6784688830375671, 0.6608487367630005]","[[1773.1707763671875, 728.0955810546875], [1326.0185546875, 659.4126586914062], [1287.6371459960938, 656.3607788085938], [308.8808288574219, 705.0599365234375], [61.6603217124939, 903.2595825195312], [1901.7757568359375, 568.3834838867188], [164.00577545166016, 743.632080078125]]",233876480,640,yolo26l.pt,MOT17-09
3,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1688.84765625, 387.38214111328125, 1851.81689453125, 728.1048583984375], [1293.5533447265625, 459.8711242675781, 1359.55029296875, 659.222412109375], [1259.1951904296875, 541.925537109375, 1316.527587890625, 656.9955444335938], [267.19561767578125, 456.9674072265625, 373.03314208984375, 704.9718627929688], [0.8073400855064392, 322.26605224609375, 123.23929595947266, 904.3167114257812], [1883.2203369140625, 387.7086486816406, 1917.2017822265625, 576.5658569335938], [116.47378540039062, 505.1745300292969, 211.579833984375, 743.5234985351562]]","[0.9237650632858276, 0.8126628398895264, 0.7637264728546143, 0.7741079926490784, 0.8164910078048706, 0.7016583681106567, 0.7346019148826599]","[[1770.332275390625, 728.1048583984375], [1326.5518188476562, 659.222412109375], [1287.8613891601562, 656.9955444335938], [320.1143798828125, 704.9718627929688], [62.02331802248955, 904.3167114257812], [1900.2110595703125, 576.5658569335938], [164.0268096923828, 743.5234985351562]]",233876480,640,yolo26l.pt,MOT17-09
4,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1686.2984619140625, 386.8031005859375, 1849.8277587890625, 728.648193359375], [1294.974853515625, 461.4463195800781, 1360.2099609375, 658.7958374023438], [1259.734619140625, 542.7938232421875, 1316.50341796875, 657.2640380859375], [258.65423583984375, 456.7239074707031, 364.9071960449219, 705.9491577148438], [2.0280847549438477, 274.42724609375, 134.32644653320312, 902.6445922851562], [1881.527587890625, 383.0289611816406, 1916.8846435546875, 578.5353393554688], [117.44419860839844, 504.77935791015625, 212.46636962890625, 743.6361083984375]]","[0.9247449040412903, 0.758363664150238, 0.7430108785629272, 0.7818939089775085, 0.8760693073272705, 0.702454686164856, 0.7813827395439148]","[[1768.0631103515625, 728.648193359375], [1327.5924072265625, 658.7958374023438], [1288.1190185546875, 657.2640380859375], [311.7807159423828, 705.9491577148438], [68.17726564407349, 902.6445922851562], [1899.2061157226562, 578.5353393554688], [164.95528411865234, 743.6361083984375]]",233876480,640,yolo26l.pt,MOT17-09
5,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1683.477294921875, 386.4757385253906, 1848.0943603515625, 731.1569213867188], [1297.1756591796875, 461.4718017578125, 1361.9688720703125, 658.1019287109375], [1261.81689453125, 541.0717163085938, 1318.84326171875, 657.3120727539062], [253.28384399414062, 456.86865234375, 359.6548767089844, 705.9320068359375], [5.202681064605713, 247.84042358398438, 143.483642578125, 901.7109985351562], [1880.5218505859375, 378.1862487792969, 1916.342529296875, 574.7002563476562], [117.54479217529297, 505.6322021484375, 211.99728393554688, 743.8450927734375]]","[0.9233848452568054, 0.7236418128013611, 0.7257839441299438, 0.8171235918998718, 0.888450562953949, 0.701163649559021, 0.7571651339530945]","[[1765.7858276367188, 731.1569213867188], [1329.572265625, 658.1019287109375], [1290.330078125, 657.3120727539062], [306.4693603515625, 705.9320068359375], [74.34316182136536, 901.7109985351562], [1898.4321899414062, 574.7002563476562], [164.77103805541992, 743.8450927734375]]",233876480,640,yolo26l.pt,MOT17-09
6,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1682.5157470703125, 386.5169982910156, 1847.9193115234375, 733.85498046875], [1298.809326171875, 459.9737548828125, 1364.2001953125, 658.9378662109375], [1264.072021484375, 540.3853759765625, 1320.7254638671875, 657.6012573242188], [256.4815673828125, 456.90576171875, 362.2645568847656, 705.7594604492188], [7.4248199462890625, 237.4540557861328, 148.39996337890625, 899.852783203125], [1879.1060791015625, 375.839111328125, 1916.454345703125, 579.2088012695312], [118.3537826538086, 506.04296875, 212.20269775390625, 743.6940307617188]]","[0.9197949171066284, 0.6930631399154663, 0.6874006986618042, 0.7976802587509155, 0.8808467984199524, 0.747825026512146, 0.7916460633277893]","[[1765.217529296875, 733.85498046875], [1331.5047607421875, 658.9378662109375], [1292.3987426757812, 657.6012573242188], [309.37306213378906, 705.7594604492188], [77.91239166259766, 899.852783203125], [1897.7802124023438, 579.2088012695312], [165.27824020385742, 743.6940307617188]]",233876480,640,yolo26l.pt,MOT17-09
7,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1682.0836181640625, 387.4093933105469, 1847.39697265625, 736.294677734375], [1301.15771484375, 458.70404052734375, 1367.3009033203125, 660.982421875], [1267.052001953125, 539.5528564453125, 1323.218505859375, 657.7686157226562], [258.79571533203125, 456.3329162597656, 363.9216003417969, 705.2860717773438], [7.724538803100586, 229.97821044921875, 151.66549682617188, 902.1141357421875], [1877.2890625, 374.0239562988281, 1915.885986328125, 581.8207397460938], [116.17105865478516, 514.7609252929688, 206.35438537597656, 744.1839599609375]]","[0.9100722074508667, 0.6787623763084412, 0.6586193442344666, 0.7854035496711731, 0.9222087264060974, 0.7919963002204895, 0.6455773711204529]","[[1764.7402954101562, 736.294677734375], [1334.2293090820312, 660.982421875], [1295.13525390625, 657.7686157226562], [311.35865783691406, 705.2860717773438], [79.69501781463623, 902.1141357421875], [1896.5875244140625, 581.8207397460938], [161.26272201538086, 744.1839599609375]]",233876480,640,yolo26l.pt,MOT17-09
8,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1682.84375, 388.19073486328125, 1847.2449951171875, 737.2568969726562], [1304.77392578125, 458.16943359375, 1370.853759765625, 660.1998901367188], [1269.747314453125, 538.9119262695312, 1325.061767578125, 657.8289184570312], [261.6839294433594, 455.9015197753906, 365.8493957519531, 705.1142578125], [8.700185775756836, 226.26132202148438, 154.54232788085938, 901.7119750976562], [1876.4207763671875, 374.522705078125, 1915.6845703125, 583.3033447265625], [114.82306671142578, 516.3709716796875, 203.49685668945312, 744.0291137695312]]","[0.9162389039993286, 0.7984950542449951, 0.5799661874771118, 0.842322051525116, 0.9356558918952942, 0.8096756935119629, 0.756716251373291]","[[1765.0443725585938, 737.2568969726562], [1337.8138427734375, 660.1998901367188], [1297.404541015625, 657.8289184570312], [313.76666259765625, 705.1142578125], [81.6212568283081, 901.7119750976562], [1896.0526733398438, 583.3033447265625], [159.15996170043945, 744.0291137695312]]",233876480,640,yolo26l.pt,MOT17-09
9,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1683.2838134765625, 389.3663024902344, 1846.89697265625, 738.9180908203125], [1307.57275390625, 458.76702880859375, 1373.2188720703125, 659.2963256835938], [1271.814697265625, 538.0261840820312, 1326.6416015625, 658.3914794921875], [266.13671875, 456.2645263671875, 368.46826171875, 704.9814453125], [12.046152114868164, 224.0406951904297, 160.25909423828125, 901.2556762695312], [1875.43505859375, 374.3724365234375, 1915.5848388671875, 585.0277099609375], [115.43152618408203, 516.3954467773438, 203.15176391601562, 744.1306762695312]]","[0.923403799533844, 0.8111705183982849, 0.6514050960540771, 0.7662211656570435, 0.9313564300537109, 0.8028327226638794, 0.7186052203178406]","[[1765.0903930664062, 738.9180908203125], [1340.3958129882812, 659.2963256835938], [1299.2281494140625, 658.3914794921875], [317.302490234375, 704.9814453125], [86.1526231765747, 901.2556762695312], [1895.5099487304688, 585.0277099609375], [159.29164505004883, 744.1306762695312]]",233876480,640,yolo26l.pt,MOT17-09
10,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1682.43017578125, 389.9788513183594, 1845.5479736328125, 741.0999755859375], [1312.6553955078125, 458.632080078125, 1379.2152099609375, 659.4595947265625], [1274.8978271484375, 539.3681640625, 1328.4752197265625, 659.02099609375], [272.8849792480469, 456.8814392089844, 371.9718933105469, 703.3836669921875], [13.548964500427246, 223.81063842773438, 163.9309539794922, 901.035400390625], [1873.7269287109375, 377.9872131347656, 1915.561767578125, 594.5291137695312], [116.73206329345703, 520.387939453125, 202.0200958251953, 744.0669555664062]]","[0.9185834527015686, 0.6944581270217896, 0.643608033657074, 0.39249077439308167, 0.7534047961235046, 0.7750309705734253, 0.5865024924278259]","[[1763.9890747070312, 741.0999755859375], [1345.935302734375, 659.4595947265625], [1301.6865234375, 659.02099609375], [322.4284362792969, 703.3836669921875], [88.73995923995972, 901.035400390625], [1894.6443481445312, 594.5291137695312], [159.37607955932617, 744.0669555664062]]",233876480,640,yolo26l.pt,MOT17-09
