frame_id,inference_ms,n_detections,track_ids,bboxes_xyxy,confs,footpoints,mem_total_bytes,mem_delta_bytes,mem_bytes,imgsz,model,seq
1,,8,"[1, 2, 3, 4, 5, 6, 7, 8]","[[1689.612060546875, 387.1685791015625, 1867.5419921875, 727.763916015625], [254.87677001953125, 456.662109375, 353.52301025390625, 702.954833984375], [0.7025909423828125, 336.5379638671875, 115.99473571777344, 901.23095703125], [1881.457763671875, 391.6827392578125, 1919.1373291015625, 568.30712890625], [1254.6171875, 539.16455078125, 1312.3267822265625, 657.2968139648438], [108.17120361328125, 497.93817138671875, 211.42782592773438, 743.3137817382812], [1281.3668212890625, 459.95050048828125, 1359.3560791015625, 653.7635498046875], [1287.4022216796875, 460.953857421875, 1354.8702392578125, 655.3944091796875]]","[0.8488180041313171, 0.7561371326446533, 0.6703866124153137, 0.6295379996299744, 0.6004913449287415, 0.5650318264961243, 0.37523841857910156, 0.34105098247528076]","[[1778.5770263671875, 727.763916015625], [304.19989013671875, 702.954833984375], [58.348663330078125, 901.23095703125], [1900.2975463867188, 568.30712890625], [1283.4719848632812, 657.2968139648438], [159.7995147705078, 743.3137817382812], [1320.3614501953125, 653.7635498046875], [1321.13623046875, 655.3944091796875]]",871227392,856170496,871227392,512,yolo26s.pt,MOT17-09
2,,7,"[1, 2, 3, 4, 5, 6, 8]","[[1683.4522705078125, 386.9250793457031, 1861.806396484375, 728.2388916015625], [260.4334716796875, 457.1177978515625, 358.19482421875, 701.6327514648438], [1.5610381364822388, 330.6609191894531, 118.0186996459961, 900.8659057617188], [1879.6700439453125, 389.5908203125, 1918.2562255859375, 570.2857055664062], [1257.0152587890625, 540.8795776367188, 1314.3555908203125, 658.1480712890625], [110.38790893554688, 499.149658203125, 212.77914428710938, 742.9262084960938], [1292.5819091796875, 465.4623718261719, 1357.5350341796875, 652.1109619140625]]","[0.8877737522125244, 0.7844151854515076, 0.5912925601005554, 0.6447256803512573, 0.5289530754089355, 0.5167538523674011, 0.6097204685211182]","[[1772.6293334960938, 728.2388916015625], [309.31414794921875, 701.6327514648438], [59.789868891239166, 900.8659057617188], [1898.963134765625, 570.2857055664062], [1285.6854248046875, 658.1480712890625], [161.58352661132812, 742.9262084960938], [1325.0584716796875, 652.1109619140625]]",871227392,856170496,871227392,512,yolo26s.pt,MOT17-09
3,,8,"[1, 2, 3, 4, 5, 6, 8, 7]","[[1679.810546875, 387.730224609375, 1857.8455810546875, 728.6431274414062], [264.2767333984375, 457.740234375, 361.3403625488281, 701.2529907226562], [2.370574951171875, 322.1438903808594, 120.72037506103516, 900.9391479492188], [1878.265869140625, 388.0242004394531, 1917.417724609375, 570.8621215820312], [1257.3492431640625, 538.4728393554688, 1316.3043212890625, 659.1312255859375], [110.61005401611328, 502.3992004394531, 211.38311767578125, 742.8688354492188], [1293.8328857421875, 464.5517578125, 1359.2001953125, 651.9444580078125], [1287.3739013671875, 458.9776611328125, 1365.791015625, 654.7020263671875]]","[0.8748065829277039, 0.7741657495498657, 0.6124151349067688, 0.6086220145225525, 0.6505652070045471, 0.505622148513794, 0.6111872792243958, 0.25773370265960693]","[[1768.8280639648438, 728.6431274414062], [312.8085479736328, 701.2529907226562], [61.545475006103516, 900.9391479492188], [1897.841796875, 570.8621215820312], [1286.8267822265625, 659.1312255859375], [160.99658584594727, 742.8688354492188], [1326.5165405273438, 651.9444580078125], [1326.5824584960938, 654.7020263671875]]",871227392,856170496,871227392,512,yolo26s.pt,MOT17-09
4,,7,"[1, 2, 3, 4, 5, 6, 8]","[[1676.6456298828125, 387.61572265625, 1854.7227783203125, 729.3391723632812], [264.1599426269531, 458.05792236328125, 361.1318054199219, 702.013671875], [5.895983695983887, 299.7522277832031, 129.35203552246094, 901.0299072265625], [1878.09326171875, 385.7713928222656, 1917.6322021484375, 569.9778442382812], [1259.856689453125, 539.4537353515625, 1318.0068359375, 658.7266235351562], [111.86260986328125, 503.74713134765625, 211.7008819580078, 742.8286743164062], [1293.0260009765625, 463.5633544921875, 1359.0155029296875, 652.3645629882812]]","[0.8464597463607788, 0.7631106972694397, 0.8702993988990784, 0.6155932545661926, 0.46548378467559814, 0.6276124715805054, 0.6612210273742676]","[[1765.6842041015625, 729.3391723632812], [312.6458740234375, 702.013671875], [67.62400960922241, 901.0299072265625], [1897.8627319335938, 569.9778442382812], [1288.9317626953125, 658.7266235351562], [161.78174591064453, 742.8286743164062], [1326.020751953125, 652.3645629882812]]",871227392,856170496,871227392,512,yolo26s.pt,MOT17-09
5,,7,"[1, 2, 3, 4, 6, 8, 7]","[[1675.98583984375, 387.2933349609375, 1855.5584716796875, 732.92822265625], [262.28009033203125, 459.32696533203125, 359.70880126953125, 704.5992431640625], [7.024165630340576, 261.49652099609375, 138.94427490234375, 900.8695678710938], [1877.2388916015625, 381.4248962402344, 1918.057861328125, 571.2530517578125], [112.44438171386719, 508.31097412109375, 210.250244140625, 743.4708862304688], [1293.41943359375, 461.0585632324219, 1360.3509521484375, 653.6555786132812], [1293.4464111328125, 459.63677978515625, 1370.9149169921875, 654.4267578125]]","[0.8237286806106567, 0.7571608424186707, 0.9083476662635803, 0.636446475982666, 0.40398767590522766, 0.5889075994491577, 0.3919519782066345]","[[1765.7721557617188, 732.92822265625], [310.99444580078125, 704.5992431640625], [72.98422026634216, 900.8695678710938], [1897.6483764648438, 571.2530517578125], [161.3473129272461, 743.4708862304688], [1326.8851928710938, 653.6555786132812], [1332.1806640625, 654.4267578125]]",871227392,856170496,871227392,512,yolo26s.pt,MOT17-09
6,,6,"[1, 2, 3, 4, 8, 7]","[[1675.06201171875, 386.7977294921875, 1855.2799072265625, 735.42431640625], [262.79449462890625, 460.1542053222656, 360.24700927734375, 706.0689086914062], [10.58793830871582, 245.83746337890625, 147.20684814453125, 901.666015625], [1877.1571044921875, 379.344970703125, 1918.5447998046875, 571.6643676757812], [1294.2393798828125, 459.23370361328125, 1361.14013671875, 652.751708984375], [1296.5509033203125, 460.0348205566406, 1373.0047607421875, 653.63916015625]]","[0.8260204792022705, 0.7938867807388306, 0.9281076192855835, 0.6061602234840393, 0.656951904296875, 0.31473568081855774]","[[1765.1709594726562, 735.42431640625], [311.520751953125, 706.0689086914062], [78.89739322662354, 901.666015625], [1897.8509521484375, 571.6643676757812], [1327.6897583007812, 652.751708984375], [1334.77783203125, 653.63916015625]]",871227392,856170496,871227392,512,yolo26s.pt,MOT17-09
7,,8,"[1, 2, 3, 4, 8, 7, 5, 6]","[[1673.5484619140625, 387.5530700683594, 1853.37841796875, 737.9548950195312], [267.50665283203125, 460.6136169433594, 363.55316162109375, 705.3668212890625], [11.22376537322998, 233.85801696777344, 151.7823486328125, 902.0820922851562], [1874.2178955078125, 376.43804931640625, 1918.5645751953125, 582.1714477539062], [1295.6273193359375, 457.7452392578125, 1362.929931640625, 653.6109619140625], [1299.0118408203125, 459.6519470214844, 1375.0277099609375, 654.264404296875], [1268.021484375, 540.2211303710938, 1325.8973388671875, 660.8379516601562], [109.13882446289062, 509.1335754394531, 206.17547607421875, 744.16455078125]]","[0.818671703338623, 0.7457540035247803, 0.9266236424446106, 0.7489789128303528, 0.6231480240821838, 0.2908567190170288, 0.4916835427284241, 0.2514394521713257]","[[1763.4634399414062, 737.9548950195312], [315.5299072265625, 705.3668212890625], [81.50305700302124, 902.0820922851562], [1896.3912353515625, 582.1714477539062], [1329.2786254882812, 653.6109619140625], [1337.019775390625, 654.264404296875], [1296.9594116210938, 660.8379516601562], [157.6571502685547, 744.16455078125]]",871227392,856170496,871227392,512,yolo26s.pt,MOT17-09
8,,6,"[1, 2, 3, 4, 8, 7]","[[1675.8861083984375, 388.4151306152344, 1855.1741943359375, 740.4265747070312], [270.9444885253906, 459.52032470703125, 366.02581787109375, 705.0335693359375], [11.738924026489258, 229.0091552734375, 155.02301025390625, 902.6673583984375], [1872.697021484375, 374.78656005859375, 1918.8436279296875, 588.774658203125], [1300.0806884765625, 456.92071533203125, 1368.5367431640625, 655.9168090820312], [1301.17431640625, 458.8235168457031, 1377.8609619140625, 656.7437133789062]]","[0.828683078289032, 0.7641593217849731, 0.9386765956878662, 0.7649438977241516, 0.6584518551826477, 0.5861328840255737]","[[1765.5301513671875, 740.4265747070312], [318.4851531982422, 705.0335693359375], [83.38096714019775, 902.6673583984375], [1895.7703247070312, 588.774658203125], [1334.3087158203125, 655.9168090820312], [1339.5176391601562, 656.7437133789062]]",871227392,856170496,871227392,512,yolo26s.pt,MOT17-09
9,,7,"[1, 2, 3, 4, 8, 7, 5]","[[1672.87744140625, 388.8836364746094, 1850.2962646484375, 741.3878173828125], [274.0001525878906, 458.6548767089844, 367.59844970703125, 704.2229614257812], [12.138923645019531, 225.30105590820312, 158.0384979248047, 902.8981323242188], [1871.5384521484375, 372.794677734375, 1918.8214111328125, 591.8082275390625], [1305.6578369140625, 456.3449401855469, 1375.000732421875, 656.605712890625], [1304.862060546875, 458.21185302734375, 1381.9683837890625, 657.8652954101562], [1271.246826171875, 540.6423950195312, 1326.778076171875, 659.1199340820312]]","[0.8118880391120911, 0.7334492802619934, 0.9415850043296814, 0.7889732122421265, 0.6621844172477722, 0.6503126621246338, 0.44714412093162537]","[[1761.5868530273438, 741.3878173828125], [320.79930114746094, 704.2229614257812], [85.08871078491211, 902.8981323242188], [1895.179931640625, 591.8082275390625], [1340.3292846679688, 656.605712890625], [1343.4152221679688, 657.8652954101562], [1299.012451171875, 659.1199340820312]]",871227392,856170496,871227392,512,yolo26s.pt,MOT17-09
10,,7,"[1, 2, 3, 4, 8, 7, 5]","[[1668.6895751953125, 388.6707763671875, 1844.2427978515625, 743.1094360351562], [273.67608642578125, 457.18341064453125, 366.0920104980469, 702.8553466796875], [14.087072372436523, 224.9342803955078, 162.5618133544922, 903.5094604492188], [1870.5567626953125, 373.4259338378906, 1918.740966796875, 596.2861328125], [1308.6182861328125, 458.39678955078125, 1377.9466552734375, 657.0491333007812], [1307.2567138671875, 459.0321350097656, 1383.9447021484375, 657.6116333007812], [1273.759765625, 541.1580200195312, 1328.2833251953125, 660.1198120117188]]","[0.8413267135620117, 0.6405496001243591, 0.939516544342041, 0.8143315315246582, 0.6375144720077515, 0.6300042867660522, 0.4681661128997803]","[[1756.4661865234375, 743.1094360351562], [319.88404846191406, 702.8553466796875], [88.32444286346436, 903.5094604492188], [1894.6488647460938, 596.2861328125], [1343.282470703125, 657.0491333007812], [1345.6007080078125, 657.6116333007812], [1301.0215454101562, 660.1198120117188]]",871227392,856170496,871227392,512,yolo26s.pt,MOT17-09
