frame_id,inference_ms,postprocess_ms,n_detections,track_ids,bboxes_xyxy,confs,footpoints,mem_total_bytes,mem_delta_bytes,mem_bytes,imgsz,model,seq
1,,,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[[1339.154296875, 433.3247375488281, 1510.0750732421875, 789.031982421875], [583.391357421875, 444.1407470703125, 672.1954345703125, 706.97705078125], [1445.46875, 431.6739501953125, 1600.9161376953125, 768.18408203125], [438.3409423828125, 444.95111083984375, 558.2731323242188, 722.86865234375], [731.17578125, 471.9200134277344, 765.3457641601562, 568.1983642578125], [1017.8550415039062, 430.21197509765625, 1056.97314453125, 529.544921875], [1255.58544921875, 445.06231689453125, 1291.58984375, 546.135986328125], [935.8585205078125, 433.3817138671875, 973.9650268554688, 516.2943725585938], [687.4085693359375, 483.4242248535156, 730.5118408203125, 604.0208740234375], [656.8318481445312, 471.96771240234375, 707.4440307617188, 643.3547973632812]]","[0.902488112449646, 0.9004597067832947, 0.8827682137489319, 0.8708363175392151, 0.7389031648635864, 0.6188738346099854, 0.5862850546836853, 0.4733160734176636, 0.4539468288421631, 0.38354745507240295]","[[1424.6146850585938, 789.031982421875], [627.7933959960938, 706.97705078125], [1523.1924438476562, 768.18408203125], [498.3070373535156, 722.86865234375], [748.2607727050781, 568.1983642578125], [1037.4140930175781, 529.544921875], [1273.587646484375, 546.135986328125], [954.9117736816406, 516.2943725585938], [708.960205078125, 604.0208740234375], [682.137939453125, 643.3547973632812]]",1773260800,1761185792,1773260800,640,yolo26l.pt,MOT17-02
2,,,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[[1340.5947265625, 420.7739562988281, 1517.4239501953125, 788.976806640625], [583.808837890625, 444.4696350097656, 672.4458618164062, 706.736083984375], [1448.7080078125, 431.486572265625, 1603.9786376953125, 767.91552734375], [438.8692626953125, 443.9701232910156, 558.986572265625, 722.1942138671875], [731.3328247070312, 471.86590576171875, 765.7675170898438, 568.8838500976562], [1017.420166015625, 430.67108154296875, 1056.5343017578125, 529.9332885742188], [1255.6566162109375, 444.9819030761719, 1291.684326171875, 546.1934204101562], [936.072998046875, 433.4486999511719, 974.0880737304688, 516.1055297851562], [690.5802001953125, 484.8929138183594, 732.0901489257812, 601.125], [658.8693237304688, 472.4888610839844, 709.3057250976562, 642.9961547851562]]","[0.9239985942840576, 0.8986626863479614, 0.8910397291183472, 0.900964081287384, 0.7305565476417542, 0.6009904146194458, 0.5716961026191711, 0.48624148964881897, 0.29113829135894775, 0.3025760054588318]","[[1429.0093383789062, 788.976806640625], [628.1273498535156, 706.736083984375], [1526.3433227539062, 767.91552734375], [498.92791748046875, 722.1942138671875], [748.5501708984375, 568.8838500976562], [1036.9772338867188, 529.9332885742188], [1273.6704711914062, 546.1934204101562], [955.0805358886719, 516.1055297851562], [711.3351745605469, 601.125], [684.0875244140625, 642.9961547851562]]",1773260800,1761185792,1773260800,640,yolo26l.pt,MOT17-02
3,,,9,"[1, 2, 3, 4, 5, 6, 7, 8, 10]","[[1342.5003662109375, 418.64410400390625, 1523.2120361328125, 795.119873046875], [584.25146484375, 444.2763671875, 672.9183959960938, 706.2698364257812], [1454.720458984375, 430.80584716796875, 1610.7049560546875, 769.6591186523438], [439.4214782714844, 444.6452331542969, 559.3839111328125, 722.122802734375], [731.9442138671875, 471.9315490722656, 766.0807495117188, 568.0023803710938], [1017.3180541992188, 430.78143310546875, 1056.423583984375, 529.9600219726562], [1255.6221923828125, 445.188232421875, 1291.5072021484375, 546.146484375], [935.8687133789062, 433.23870849609375, 973.8703002929688, 515.8706665039062], [652.9453125, 460.7632141113281, 707.2720336914062, 643.9815673828125]]","[0.9264556169509888, 0.9050254225730896, 0.880641520023346, 0.8844337463378906, 0.6964611411094666, 0.560464084148407, 0.5824005603790283, 0.4462656080722809, 0.2962140738964081]","[[1432.856201171875, 795.119873046875], [628.5849304199219, 706.2698364257812], [1532.7127075195312, 769.6591186523438], [499.40269470214844, 722.122802734375], [749.0124816894531, 568.0023803710938], [1036.8708190917969, 529.9600219726562], [1273.564697265625, 546.146484375], [954.8695068359375, 515.8706665039062], [680.1086730957031, 643.9815673828125]]",1773260800,1761185792,1773260800,640,yolo26l.pt,MOT17-02
4,,,10,"[1, 2, 3, 4, 5, 6, 7, 8, 10, 12]","[[1346.1080322265625, 417.4427795410156, 1529.1068115234375, 799.1302490234375], [584.6619262695312, 444.17071533203125, 673.5355224609375, 706.3531494140625], [1462.4063720703125, 430.2309875488281, 1618.3067626953125, 769.9334106445312], [440.0242004394531, 442.3011779785156, 561.2559814453125, 722.5194702148438], [732.65478515625, 472.71063232421875, 766.4905395507812, 567.833740234375], [1016.9693603515625, 430.97344970703125, 1056.0020751953125, 529.759521484375], [1255.943359375, 444.9752197265625, 1291.8316650390625, 546.1094970703125], [935.6660766601562, 433.6182556152344, 973.2752685546875, 515.4176025390625], [649.3326416015625, 457.3699645996094, 705.0787353515625, 644.055908203125], [1100.339111328125, 432.5875549316406, 1137.7503662109375, 549.2011108398438]]","[0.9374880194664001, 0.89864581823349, 0.8690692186355591, 0.6077097654342651, 0.7102819085121155, 0.5193911194801331, 0.6112596392631531, 0.47387194633483887, 0.5542758703231812, 0.39820370078086853]","[[1437.607421875, 799.1302490234375], [629.0987243652344, 706.3531494140625], [1540.3565673828125, 769.9334106445312], [500.6400909423828, 722.5194702148438], [749.5726623535156, 567.833740234375], [1036.4857177734375, 529.759521484375], [1273.8875122070312, 546.1094970703125], [954.4706726074219, 515.4176025390625], [677.2056884765625, 644.055908203125], [1119.0447387695312, 549.2011108398438]]",1773260800,1761185792,1773260800,640,yolo26l.pt,MOT17-02
5,,,11,"[1, 2, 3, 4, 5, 6, 7, 8, 10, 12, 14]","[[1349.73583984375, 415.7433166503906, 1534.2635498046875, 801.3890991210938], [584.54345703125, 444.4937744140625, 673.475830078125, 706.3063354492188], [1470.36962890625, 428.4979553222656, 1626.633056640625, 770.5513916015625], [440.8210144042969, 442.7388000488281, 562.0701293945312, 722.3803100585938], [733.07666015625, 472.9548034667969, 766.5819702148438, 567.0039672851562], [1016.8141479492188, 430.98577880859375, 1055.8692626953125, 529.7029418945312], [1256.2701416015625, 445.1147155761719, 1292.044921875, 546.03076171875], [935.471435546875, 433.7702331542969, 972.9758911132812, 515.3042602539062], [649.0653076171875, 455.62744140625, 705.7035522460938, 643.9400634765625], [1100.4779052734375, 432.9853820800781, 1137.7791748046875, 549.2548828125], [1307.3309326171875, 431.94757080078125, 1343.114013671875, 545.6769409179688]]","[0.9338347911834717, 0.9026220440864563, 0.9001404047012329, 0.8939029574394226, 0.7298767566680908, 0.506142795085907, 0.6473764181137085, 0.5146675705909729, 0.7450315356254578, 0.4057239592075348, 0.3505004048347473]","[[1441.9996948242188, 801.3890991210938], [629.0096435546875, 706.3063354492188], [1548.5013427734375, 770.5513916015625], [501.44557189941406, 722.3803100585938], [749.8293151855469, 567.0039672851562], [1036.3417053222656, 529.7029418945312], [1274.1575317382812, 546.03076171875], [954.2236633300781, 515.3042602539062], [677.3844299316406, 643.9400634765625], [1119.1285400390625, 549.2548828125], [1325.2224731445312, 545.6769409179688]]",1773260800,1761185792,1773260800,640,yolo26l.pt,MOT17-02
6,,,11,"[1, 2, 3, 4, 5, 6, 7, 8, 10, 12, 14]","[[1354.819091796875, 415.9396667480469, 1538.9150390625, 801.7158813476562], [584.7958984375, 444.94140625, 673.91748046875, 706.5482788085938], [1479.408203125, 427.4324035644531, 1635.4249267578125, 770.5347290039062], [441.9007873535156, 442.868408203125, 563.8598022460938, 722.92333984375], [733.3165893554688, 473.1942443847656, 766.9496459960938, 567.4779663085938], [1017.0023803710938, 430.9642639160156, 1056.080810546875, 529.6638793945312], [1256.287353515625, 445.25604248046875, 1291.8714599609375, 545.9488525390625], [934.9873657226562, 433.75244140625, 972.6290283203125, 515.6686401367188], [648.721923828125, 456.00836181640625, 705.9605102539062, 644.5550537109375], [1100.638671875, 433.4247131347656, 1137.8504638671875, 549.4170532226562], [1307.4061279296875, 431.8363342285156, 1343.27880859375, 545.884521484375]]","[0.9387051463127136, 0.8951855897903442, 0.8736398816108704, 0.9014145731925964, 0.7327392101287842, 0.467744380235672, 0.666205883026123, 0.5080833435058594, 0.6392521262168884, 0.33908089995384216, 0.397244930267334]","[[1446.8670654296875, 801.7158813476562], [629.356689453125, 706.5482788085938], [1557.4165649414062, 770.5347290039062], [502.8802947998047, 722.92333984375], [750.1331176757812, 567.4779663085938], [1036.5415954589844, 529.6638793945312], [1274.0794067382812, 545.9488525390625], [953.8081970214844, 515.6686401367188], [677.3412170410156, 644.5550537109375], [1119.2445678710938, 549.4170532226562], [1325.3424682617188, 545.884521484375]]",1773260800,1761185792,1773260800,640,yolo26l.pt,MOT17-02
7,,,12,"[1, 2, 3, 4, 5, 6, 7, 8, 10, 12, 14, 15]","[[1361.522705078125, 414.90069580078125, 1544.250732421875, 800.9890747070312], [584.7365112304688, 444.79638671875, 674.1904907226562, 706.5526123046875], [1486.4781494140625, 428.2062072753906, 1641.25244140625, 770.064208984375], [442.7491455078125, 443.1639709472656, 565.3568725585938, 723.3806762695312], [733.2164916992188, 473.5676574707031, 766.8643188476562, 567.7294921875], [1016.0797729492188, 430.65362548828125, 1055.3638916015625, 529.3179321289062], [1256.428955078125, 445.0837097167969, 1291.96826171875, 545.8319091796875], [934.5441284179688, 434.01605224609375, 971.9759521484375, 515.5247192382812], [649.33837890625, 459.28460693359375, 706.338134765625, 645.8458862304688], [1100.351318359375, 432.20751953125, 1137.7623291015625, 548.7731323242188], [1307.0931396484375, 431.8382873535156, 1343.029052734375, 546.028564453125], [1368.552734375, 433.872314453125, 1412.0242919921875, 559.651123046875]]","[0.9384305477142334, 0.9026049375534058, 0.8070216774940491, 0.9067270755767822, 0.7357573509216309, 0.43535125255584717, 0.6393407583236694, 0.4851423501968384, 0.6320754885673523, 0.339061439037323, 0.34081998467445374, 0.3742087483406067]","[[1452.88671875, 800.9890747070312], [629.4635009765625, 706.5526123046875], [1563.8652954101562, 770.064208984375], [504.0530090332031, 723.3806762695312], [750.0404052734375, 567.7294921875], [1035.7218322753906, 529.3179321289062], [1274.1986083984375, 545.8319091796875], [953.2600402832031, 515.5247192382812], [677.8382568359375, 645.8458862304688], [1119.0568237304688, 548.7731323242188], [1325.0610961914062, 546.028564453125], [1390.2885131835938, 559.651123046875]]",1773260800,1761185792,1773260800,640,yolo26l.pt,MOT17-02
8,,,11,"[1, 2, 3, 4, 5, 6, 7, 8, 10, 12, 15]","[[1370.278076171875, 412.29632568359375, 1552.255859375, 801.7648315429688], [584.6934814453125, 444.7006530761719, 674.5755004882812, 706.7503051757812], [1488.9066162109375, 427.1543273925781, 1643.6807861328125, 770.4885864257812], [443.1390686035156, 443.42462158203125, 566.3169555664062, 723.63818359375], [732.911376953125, 472.7690734863281, 767.365234375, 569.1881713867188], [1015.9492797851562, 430.6670227050781, 1055.3707275390625, 529.0767211914062], [1255.9422607421875, 445.0202941894531, 1291.4073486328125, 545.8018798828125], [934.8494873046875, 434.30145263671875, 972.3194580078125, 515.9136352539062], [649.1210327148438, 457.1705322265625, 707.577880859375, 647.8606567382812], [1100.180908203125, 431.7611389160156, 1137.5587158203125, 548.1094360351562], [1371.6968994140625, 433.6061096191406, 1415.95556640625, 561.0728759765625]]","[0.9340623021125793, 0.893903911113739, 0.8446614146232605, 0.9110904335975647, 0.7059343457221985, 0.4524390995502472, 0.6114299893379211, 0.40521010756492615, 0.6081386804580688, 0.2668642997741699, 0.34131744503974915]","[[1461.2669677734375, 801.7648315429688], [629.6344909667969, 706.7503051757812], [1566.293701171875, 770.4885864257812], [504.72801208496094, 723.63818359375], [750.1383056640625, 569.1881713867188], [1035.6600036621094, 529.0767211914062], [1273.6748046875, 545.8018798828125], [953.58447265625, 515.9136352539062], [678.3494567871094, 647.8606567382812], [1118.8698120117188, 548.1094360351562], [1393.8262329101562, 561.0728759765625]]",1773260800,1761185792,1773260800,640,yolo26l.pt,MOT17-02
9,,,10,"[1, 2, 3, 4, 5, 6, 7, 8, 10, 14]","[[1378.9593505859375, 409.9376220703125, 1558.9715576171875, 802.183837890625], [585.0390014648438, 443.8839111328125, 675.5379028320312, 706.9430541992188], [1496.3212890625, 425.15234375, 1651.74560546875, 769.6869506835938], [443.6910705566406, 443.2284240722656, 567.472412109375, 723.469482421875], [732.2601928710938, 472.27374267578125, 766.94873046875, 569.4871826171875], [1015.503173828125, 431.0106201171875, 1055.25732421875, 529.5112915039062], [1255.567626953125, 445.2583923339844, 1291.0760498046875, 545.866455078125], [934.0767822265625, 434.3899230957031, 971.4166870117188, 515.9799194335938], [648.832763671875, 456.3179626464844, 708.3544921875, 649.569580078125], [1307.04443359375, 431.84869384765625, 1342.964111328125, 545.9761962890625]]","[0.9181469082832336, 0.8932052850723267, 0.8683308362960815, 0.8933612108230591, 0.7113509774208069, 0.5964694023132324, 0.6803532838821411, 0.5356298089027405, 0.3127868175506592, 0.2664148509502411]","[[1468.9654541015625, 802.183837890625], [630.2884521484375, 706.9430541992188], [1574.033447265625, 769.6869506835938], [505.5817413330078, 723.469482421875], [749.6044616699219, 569.4871826171875], [1035.3802490234375, 529.5112915039062], [1273.3218383789062, 545.866455078125], [952.7467346191406, 515.9799194335938], [678.5936279296875, 649.569580078125], [1325.0042724609375, 545.9761962890625]]",1773260800,1761185792,1773260800,640,yolo26l.pt,MOT17-02
10,,,11,"[1, 2, 3, 4, 5, 6, 7, 8, 10, 14, 15]","[[1388.7493896484375, 408.7183532714844, 1564.4935302734375, 801.4346313476562], [584.9853515625, 443.64300537109375, 676.0140991210938, 707.1627197265625], [1510.0166015625, 422.76385498046875, 1666.0657958984375, 770.0140380859375], [444.0666198730469, 443.21099853515625, 568.4512329101562, 723.5610961914062], [731.7552490234375, 472.0619812011719, 766.8870849609375, 570.6658935546875], [1016.8342895507812, 431.6298522949219, 1056.52099609375, 529.8326416015625], [1255.633056640625, 445.3458557128906, 1291.12890625, 545.5767211914062], [933.4957885742188, 434.2112731933594, 970.9407348632812, 516.2659912109375], [651.06396484375, 457.4206848144531, 710.4862060546875, 649.9694213867188], [1307.1353759765625, 432.05255126953125, 1342.956298828125, 545.935791015625], [1379.3909912109375, 432.5330505371094, 1424.3447265625, 561.1840209960938]]","[0.9061532616615295, 0.89351886510849, 0.8526479601860046, 0.9074008464813232, 0.7516158223152161, 0.4915216863155365, 0.6877891421318054, 0.5613794922828674, 0.359148770570755, 0.3330383002758026, 0.361198365688324]","[[1476.6214599609375, 801.4346313476562], [630.4997253417969, 707.1627197265625], [1588.0411987304688, 770.0140380859375], [506.25892639160156, 723.5610961914062], [749.3211669921875, 570.6658935546875], [1036.6776428222656, 529.8326416015625], [1273.3809814453125, 545.5767211914062], [952.21826171875, 516.2659912109375], [680.7750854492188, 649.9694213867188], [1325.0458374023438, 545.935791015625], [1401.8678588867188, 561.1840209960938]]",1773260800,1761185792,1773260800,640,yolo26l.pt,MOT17-02
