frame_id,inference_ms,postprocess_ms,n_detections,track_ids,bboxes_xyxy,confs,footpoints,mem_total_bytes,mem_delta_bytes,mem_bytes,imgsz,model,seq
1,,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1337.8984375, 417.6700439453125, 1502.37158203125, 777.0782470703125], [584.001953125, 443.2381591796875, 676.6998291015625, 708.586181640625], [439.4046630859375, 445.9586486816406, 552.653564453125, 717.7484130859375], [730.278564453125, 454.54150390625, 766.0603637695312, 567.3143310546875], [1454.63134765625, 429.8846435546875, 1596.02587890625, 766.042724609375], [916.13232421875, 431.604736328125, 977.317626953125, 587.121826171875], [1304.183837890625, 417.5794677734375, 1344.7061767578125, 546.600341796875]]","[0.867063045501709, 0.8480098247528076, 0.7793002128601074, 0.6343885064125061, 0.4470250904560089, 0.3933864235877991, 0.25137174129486084]","[[1420.135009765625, 777.0782470703125], [630.3508911132812, 708.586181640625], [496.02911376953125, 717.7484130859375], [748.1694641113281, 567.3143310546875], [1525.32861328125, 766.042724609375], [946.7249755859375, 587.121826171875], [1324.4450073242188, 546.600341796875]]",1702952960,1690902528,1702952960,640,yolo26n.pt,MOT17-02
2,,,6,"[1, 2, 3, 4, 5, 6]","[[1343.3668212890625, 417.8148498535156, 1508.187255859375, 777.9800415039062], [584.5662231445312, 442.656982421875, 677.1064453125, 707.5217895507812], [439.3644104003906, 445.3743591308594, 553.2265014648438, 718.455322265625], [731.0427856445312, 456.14398193359375, 766.54150390625, 567.9402465820312], [1455.23291015625, 436.01641845703125, 1595.475341796875, 769.1436157226562], [915.8020629882812, 432.0142517089844, 977.0631713867188, 587.6958618164062]]","[0.8827067017555237, 0.8522791862487793, 0.7886636257171631, 0.5952765941619873, 0.7055526971817017, 0.398628294467926]","[[1425.7770385742188, 777.9800415039062], [630.8363342285156, 707.5217895507812], [496.2954559326172, 718.455322265625], [748.7921447753906, 567.9402465820312], [1525.3541259765625, 769.1436157226562], [946.4326171875, 587.6958618164062]]",1702952960,1690902528,1702952960,640,yolo26n.pt,MOT17-02
3,,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1347.0299072265625, 423.18939208984375, 1516.1175537109375, 792.2201538085938], [585.09375, 442.7229309082031, 677.5159301757812, 707.0848999023438], [439.02728271484375, 443.9088439941406, 553.9021606445312, 719.2191772460938], [731.6624755859375, 457.78045654296875, 766.2594604492188, 566.4353637695312], [1468.32666015625, 441.82904052734375, 1606.07861328125, 769.3109130859375], [915.8582763671875, 432.5927429199219, 976.6853637695312, 587.0422973632812], [1304.877197265625, 416.59783935546875, 1345.5904541015625, 546.1837158203125]]","[0.8759353756904602, 0.8489977717399597, 0.7942824959754944, 0.5745043754577637, 0.7534511089324951, 0.387942910194397, 0.28941357135772705]","[[1431.57373046875, 792.2201538085938], [631.3048400878906, 707.0848999023438], [496.4647216796875, 719.2191772460938], [748.9609680175781, 566.4353637695312], [1537.20263671875, 769.3109130859375], [946.2718200683594, 587.0422973632812], [1325.2338256835938, 546.1837158203125]]",1702952960,1690902528,1702952960,640,yolo26n.pt,MOT17-02
4,,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1350.79833984375, 421.0740661621094, 1523.769775390625, 798.352783203125], [584.62548828125, 443.4530029296875, 677.3116455078125, 708.4901733398438], [440.2321472167969, 442.9333801269531, 555.7025146484375, 719.18115234375], [731.810791015625, 456.93927001953125, 767.0343017578125, 567.4125366210938], [1473.408935546875, 435.66339111328125, 1612.457275390625, 767.7633666992188], [916.292724609375, 431.9748840332031, 977.2730712890625, 586.6956787109375], [1304.6806640625, 415.8388671875, 1345.66064453125, 546.2874755859375]]","[0.868293046951294, 0.8487589359283447, 0.8234814405441284, 0.5649298429489136, 0.7074750065803528, 0.39720213413238525, 0.2626648545265198]","[[1437.2840576171875, 798.352783203125], [630.9685668945312, 708.4901733398438], [497.9673309326172, 719.18115234375], [749.4225463867188, 567.4125366210938], [1542.93310546875, 767.7633666992188], [946.7828979492188, 586.6956787109375], [1325.170654296875, 546.2874755859375]]",1702952960,1690902528,1702952960,640,yolo26n.pt,MOT17-02
5,,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1353.0601806640625, 420.697509765625, 1529.1566162109375, 805.0264282226562], [584.5692138671875, 443.7008972167969, 677.1670532226562, 708.3632202148438], [442.6968078613281, 442.9968566894531, 558.2959594726562, 718.5772094726562], [732.0880126953125, 457.0366516113281, 767.2085571289062, 567.0673828125], [1474.9669189453125, 430.7507629394531, 1614.913818359375, 767.8673095703125], [916.0923461914062, 431.2049560546875, 977.378662109375, 586.5413818359375], [1304.4664306640625, 415.9327087402344, 1345.454345703125, 546.36962890625]]","[0.9049248099327087, 0.8517330288887024, 0.7776659727096558, 0.5499206185340881, 0.7727969884872437, 0.3754631280899048, 0.25376835465431213]","[[1441.1083984375, 805.0264282226562], [630.8681335449219, 708.3632202148438], [500.4963836669922, 718.5772094726562], [749.6482849121094, 567.0673828125], [1544.9403686523438, 767.8673095703125], [946.7355041503906, 586.5413818359375], [1324.9603881835938, 546.36962890625]]",1702952960,1690902528,1702952960,640,yolo26n.pt,MOT17-02
6,,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1357.1676025390625, 420.1007385253906, 1533.555908203125, 805.8470458984375], [584.4960327148438, 443.685546875, 677.095703125, 708.3058471679688], [445.9809265136719, 443.64849853515625, 562.0350341796875, 719.4210815429688], [732.25927734375, 456.9408874511719, 767.4339599609375, 567.1836547851562], [1479.70703125, 428.4264221191406, 1619.296630859375, 769.0867309570312], [915.7776489257812, 430.50177001953125, 977.620361328125, 587.0702514648438], [1303.918701171875, 415.8360290527344, 1345.056884765625, 546.8390502929688]]","[0.9082874059677124, 0.8507797718048096, 0.7388833165168762, 0.5564777255058289, 0.7808040380477905, 0.4066867232322693, 0.25010138750076294]","[[1445.3617553710938, 805.8470458984375], [630.7958679199219, 708.3058471679688], [504.0079803466797, 719.4210815429688], [749.8466186523438, 567.1836547851562], [1549.5018310546875, 769.0867309570312], [946.6990051269531, 587.0702514648438], [1324.48779296875, 546.8390502929688]]",1702952960,1690902528,1702952960,640,yolo26n.pt,MOT17-02
7,,,6,"[1, 2, 3, 4, 5, 6]","[[1361.9615478515625, 418.8125915527344, 1537.796875, 805.8014526367188], [584.791259765625, 443.5788879394531, 677.2374267578125, 707.815673828125], [445.0953063964844, 445.4299011230469, 561.455078125, 720.2023315429688], [732.5186157226562, 457.63079833984375, 767.5399169921875, 567.5923461914062], [1484.88330078125, 432.4064636230469, 1621.480712890625, 770.6572265625], [914.9146728515625, 430.5789794921875, 976.8447875976562, 587.2833862304688]]","[0.9087055325508118, 0.8537008762359619, 0.7734764814376831, 0.5488824844360352, 0.7923740148544312, 0.36108729243278503]","[[1449.8792114257812, 805.8014526367188], [631.0143432617188, 707.815673828125], [503.2751922607422, 720.2023315429688], [750.0292663574219, 567.5923461914062], [1553.1820068359375, 770.6572265625], [945.8797302246094, 587.2833862304688]]",1702952960,1690902528,1702952960,640,yolo26n.pt,MOT17-02
8,,,8,"[1, 2, 3, 4, 5, 6, 8, 9]","[[1371.82275390625, 416.12298583984375, 1545.7421875, 804.3117065429688], [583.9949951171875, 443.102783203125, 677.036865234375, 709.3206787109375], [446.1294250488281, 444.9689636230469, 562.9903564453125, 719.673583984375], [732.9902954101562, 457.02752685546875, 767.9492797851562, 566.8945922851562], [1487.6171875, 426.2463684082031, 1624.5048828125, 771.8882446289062], [914.1984252929688, 428.4928283691406, 976.8106079101562, 587.0792846679688], [1828.0341796875, 471.38690185546875, 1892.5323486328125, 650.537841796875], [1258.543701171875, 440.4259033203125, 1296.5386962890625, 548.2578125]]","[0.8812611103057861, 0.8635030388832092, 0.7740991115570068, 0.5305873155593872, 0.8354371190071106, 0.3670301139354706, 0.34139901399612427, 0.3617009222507477]","[[1458.782470703125, 804.3117065429688], [630.5159301757812, 709.3206787109375], [504.5598907470703, 719.673583984375], [750.4697875976562, 566.8945922851562], [1556.06103515625, 771.8882446289062], [945.5045166015625, 587.0792846679688], [1860.2832641601562, 650.537841796875], [1277.5411987304688, 548.2578125]]",1702952960,1690902528,1702952960,640,yolo26n.pt,MOT17-02
9,,,6,"[1, 2, 3, 4, 5, 9]","[[1381.3353271484375, 412.43316650390625, 1553.2703857421875, 803.473388671875], [583.5300903320312, 442.7167053222656, 676.9298095703125, 710.5825805664062], [450.77471923828125, 445.4190673828125, 567.4911499023438, 720.0201416015625], [733.012451171875, 456.611083984375, 768.3720092773438, 567.9214477539062], [1491.729736328125, 425.26220703125, 1625.963623046875, 771.4429321289062], [1258.00244140625, 439.385986328125, 1296.1368408203125, 547.6866455078125]]","[0.8603593111038208, 0.8640457391738892, 0.7992212772369385, 0.5384495258331299, 0.8348052501678467, 0.2883641719818115]","[[1467.3028564453125, 803.473388671875], [630.2299499511719, 710.5825805664062], [509.1329345703125, 720.0201416015625], [750.6922302246094, 567.9214477539062], [1558.8466796875, 771.4429321289062], [1277.0696411132812, 547.6866455078125]]",1702952960,1690902528,1702952960,640,yolo26n.pt,MOT17-02
10,,,6,"[1, 2, 3, 4, 5, 9]","[[1394.6580810546875, 414.5708923339844, 1558.87744140625, 795.8026733398438], [583.8397827148438, 443.0334167480469, 677.1838989257812, 711.073486328125], [452.46002197265625, 444.5513000488281, 569.5532836914062, 719.714111328125], [733.098388671875, 456.9296569824219, 768.3077392578125, 567.5353393554688], [1497.89306640625, 419.02679443359375, 1633.2659912109375, 772.279541015625], [1258.7896728515625, 441.79827880859375, 1296.1055908203125, 547.6819458007812]]","[0.8686324954032898, 0.8689040541648865, 0.7905328273773193, 0.4982255697250366, 0.6834438443183899, 0.29681527614593506]","[[1476.7677612304688, 795.8026733398438], [630.5118408203125, 711.073486328125], [511.00665283203125, 719.714111328125], [750.7030639648438, 567.5353393554688], [1565.5795288085938, 772.279541015625], [1277.4476318359375, 547.6819458007812]]",1702952960,1690902528,1702952960,640,yolo26n.pt,MOT17-02
