frame_id,inference_ms,n_detections,track_ids,bboxes_xyxy,confs,footpoints,mem_bytes,imgsz,model,seq
1,,3,"[6, 235, 272]","[[1344.7442626953125, 426.39361572265625, 1469.3843994140625, 744.7620239257812], [1839.7764892578125, 384.3144836425781, 1911.6676025390625, 668.6311645507812], [1456.8109130859375, 441.2077941894531, 1556.6226806640625, 729.7013549804688]]","[0.9180323481559753, 0.2639234960079193, 0.8798879384994507]","[[1407.0643310546875, 744.7620239257812], [1875.7220458984375, 668.6311645507812], [1506.716796875, 729.7013549804688]]",72400896,640,yolo26s.pt,MOT17-02
2,,10,"[6, 235, 272, 290, 291, 292, 293, 294, 296, 299]","[[1348.5311279296875, 421.8800354003906, 1489.4830322265625, 776.0348510742188], [1840.8629150390625, 387.13519287109375, 1911.6861572265625, 660.6765747070312], [1462.2122802734375, 435.48779296875, 1576.9293212890625, 756.41162109375], [439.9211730957031, 444.8357849121094, 558.6790161132812, 722.52392578125], [583.0546264648438, 444.0774230957031, 673.1998291015625, 708.9589233398438], [731.8506469726562, 470.0874938964844, 764.0177001953125, 568.5196533203125], [1254.98193359375, 443.27117919921875, 1293.22509765625, 545.9014892578125], [936.6510620117188, 433.31268310546875, 971.0958251953125, 514.9612426757812], [1019.6624755859375, 435.94189453125, 1056.402099609375, 529.6378173828125], [1080.0020751953125, 450.9054870605469, 1134.0704345703125, 592.2899169921875]]","[0.913490891456604, 0.3030211329460144, 0.8514243960380554, 0.911022424697876, 0.8542041778564453, 0.4187953472137451, 0.4778515696525574, 0.45831602811813354, 0.36895817518234253, 0.44887450337409973]","[[1419.007080078125, 776.0348510742188], [1876.2745361328125, 660.6765747070312], [1519.57080078125, 756.41162109375], [499.3000946044922, 722.52392578125], [628.1272277832031, 708.9589233398438], [747.9341735839844, 568.5196533203125], [1274.103515625, 545.9014892578125], [953.8734436035156, 514.9612426757812], [1038.0322875976562, 529.6378173828125], [1107.0362548828125, 592.2899169921875]]",72400896,640,yolo26s.pt,MOT17-02
3,,9,"[6, 272, 290, 291, 292, 293, 294, 296, 299]","[[1352.1885986328125, 419.2481384277344, 1504.046142578125, 794.5736694335938], [1469.2677001953125, 433.8899230957031, 1591.9599609375, 769.1678466796875], [440.821044921875, 445.4105224609375, 559.42138671875, 722.4254150390625], [583.4293212890625, 444.0334777832031, 673.49169921875, 708.4938354492188], [733.3796997070312, 471.7618713378906, 764.837890625, 567.8582153320312], [1255.0875244140625, 443.21710205078125, 1293.220703125, 545.6325073242188], [936.6903076171875, 433.86431884765625, 970.9161376953125, 514.9723510742188], [1019.5341796875, 434.41058349609375, 1056.6004638671875, 528.9624633789062], [1079.7669677734375, 451.1080322265625, 1134.0771484375, 592.9987182617188]]","[0.8976536393165588, 0.857454240322113, 0.9148208498954773, 0.8511426448822021, 0.4003673791885376, 0.49069318175315857, 0.43800780177116394, 0.39366427063941956, 0.4894029200077057]","[[1428.1173706054688, 794.5736694335938], [1530.6138305664062, 769.1678466796875], [500.1212158203125, 722.4254150390625], [628.4605102539062, 708.4938354492188], [749.1087951660156, 567.8582153320312], [1274.1541137695312, 545.6325073242188], [953.80322265625, 514.9723510742188], [1038.0673217773438, 528.9624633789062], [1106.9220581054688, 592.9987182617188]]",72400896,640,yolo26s.pt,MOT17-02
4,,9,"[6, 272, 290, 291, 292, 293, 294, 296, 299]","[[1355.1656494140625, 417.6390380859375, 1513.06201171875, 803.4834594726562], [1479.3450927734375, 428.3992004394531, 1605.91796875, 773.6810913085938], [440.93597412109375, 444.6629333496094, 560.287353515625, 723.0303344726562], [583.322509765625, 443.6873474121094, 673.5385131835938, 708.405517578125], [732.8684692382812, 464.7368469238281, 766.401123046875, 566.9781494140625], [1255.715087890625, 444.6596984863281, 1293.511962890625, 546.2044067382812], [936.4502563476562, 433.8840026855469, 970.6915893554688, 514.9695434570312], [1018.10986328125, 432.47003173828125, 1055.820556640625, 528.5346069335938], [1079.3525390625, 450.6310729980469, 1134.1146240234375, 593.3790283203125]]","[0.9115468263626099, 0.8667166233062744, 0.9197579026222229, 0.8530558347702026, 0.6326297521591187, 0.4957776963710785, 0.3839261531829834, 0.42052292823791504, 0.458786278963089]","[[1434.1138305664062, 803.4834594726562], [1542.6315307617188, 773.6810913085938], [500.6116638183594, 723.0303344726562], [628.4305114746094, 708.405517578125], [749.6347961425781, 566.9781494140625], [1274.613525390625, 546.2044067382812], [953.5709228515625, 514.9695434570312], [1036.9652099609375, 528.5346069335938], [1106.7335815429688, 593.3790283203125]]",72400896,640,yolo26s.pt,MOT17-02
5,,10,"[6, 272, 290, 291, 292, 293, 294, 296, 299, 303]","[[1357.385986328125, 416.31365966796875, 1519.03564453125, 807.6376953125], [1486.15673828125, 426.7974548339844, 1614.7606201171875, 775.0083618164062], [440.5717468261719, 445.5563659667969, 559.9166870117188, 723.2418212890625], [583.5921630859375, 443.81561279296875, 673.8806762695312, 708.4703979492188], [732.8010864257812, 463.5426330566406, 766.8809204101562, 567.2474365234375], [1256.1925048828125, 446.17388916015625, 1293.4547119140625, 546.2186889648438], [936.5734252929688, 433.945556640625, 970.7807006835938, 514.780029296875], [1017.0194091796875, 432.62396240234375, 1054.74658203125, 528.6728515625], [1079.4287109375, 450.5504150390625, 1134.2845458984375, 593.1919555664062], [650.6092529296875, 454.3580017089844, 720.9415283203125, 641.3026123046875]]","[0.8956876993179321, 0.8610695004463196, 0.921277642250061, 0.8493415713310242, 0.5960182547569275, 0.6087653636932373, 0.39478686451911926, 0.3655757009983063, 0.4491991400718689, 0.47599443793296814]","[[1438.2108154296875, 807.6376953125], [1550.4586791992188, 775.0083618164062], [500.2442169189453, 723.2418212890625], [628.7364196777344, 708.4703979492188], [749.8410034179688, 567.2474365234375], [1274.8236083984375, 546.2186889648438], [953.6770629882812, 514.780029296875], [1035.8829956054688, 528.6728515625], [1106.8566284179688, 593.1919555664062], [685.775390625, 641.3026123046875]]",72400896,640,yolo26s.pt,MOT17-02
6,,10,"[6, 272, 290, 291, 292, 293, 294, 296, 299, 303]","[[1361.5380859375, 415.39276123046875, 1525.0926513671875, 809.2159423828125], [1492.8968505859375, 425.0254211425781, 1623.243896484375, 774.6685791015625], [442.0372314453125, 446.7265930175781, 561.4515991210938, 723.4624633789062], [583.6138916015625, 443.68072509765625, 674.0572509765625, 708.5125732421875], [732.55419921875, 462.79473876953125, 767.2181396484375, 568.1008911132812], [1255.68310546875, 446.4120178222656, 1292.9039306640625, 546.4398803710938], [936.1138305664062, 433.8864440917969, 970.6214599609375, 515.4170532226562], [1016.8920288085938, 433.3102722167969, 1054.50048828125, 529.032958984375], [1079.6156005859375, 450.01202392578125, 1134.74853515625, 593.0814819335938], [647.854736328125, 453.2534484863281, 719.14990234375, 643.0626831054688]]","[0.8741743564605713, 0.8639166951179504, 0.9243262410163879, 0.8553197979927063, 0.5329291224479675, 0.5905702710151672, 0.40511539578437805, 0.3267374038696289, 0.35585227608680725, 0.5828461050987244]","[[1443.3153686523438, 809.2159423828125], [1558.0703735351562, 774.6685791015625], [501.7444152832031, 723.4624633789062], [628.8355712890625, 708.5125732421875], [749.8861694335938, 568.1008911132812], [1274.2935180664062, 546.4398803710938], [953.3676452636719, 515.4170532226562], [1035.6962585449219, 529.032958984375], [1107.1820678710938, 593.0814819335938], [683.5023193359375, 643.0626831054688]]",72400896,640,yolo26s.pt,MOT17-02
7,,10,"[6, 272, 290, 291, 292, 293, 294, 296, 299, 303]","[[1364.7333984375, 412.70745849609375, 1528.9315185546875, 808.1143188476562], [1495.928466796875, 423.16058349609375, 1627.4329833984375, 774.2053833007812], [442.64495849609375, 448.54119873046875, 561.91845703125, 723.7452392578125], [584.0670166015625, 443.0522766113281, 674.8811645507812, 708.50390625], [733.5480346679688, 469.817626953125, 766.28759765625, 568.8634033203125], [1255.38232421875, 443.82940673828125, 1293.2344970703125, 545.7359008789062], [934.7767333984375, 432.98919677734375, 970.7000732421875, 518.0676879882812], [1017.9082641601562, 432.7619934082031, 1055.5518798828125, 528.56396484375], [1079.49755859375, 450.4472961425781, 1134.9080810546875, 593.78662109375], [647.9815063476562, 452.5399475097656, 719.7203979492188, 643.9642333984375]]","[0.8743588328361511, 0.7406890392303467, 0.9256595969200134, 0.8594397306442261, 0.6398947238922119, 0.3344312906265259, 0.4260827302932739, 0.28566962480545044, 0.4607245922088623, 0.5518091320991516]","[[1446.8324584960938, 808.1143188476562], [1561.6807250976562, 774.2053833007812], [502.2817077636719, 723.7452392578125], [629.4740905761719, 708.50390625], [749.9178161621094, 568.8634033203125], [1274.3084106445312, 545.7359008789062], [952.7384033203125, 518.0676879882812], [1036.7300720214844, 528.56396484375], [1107.2028198242188, 593.78662109375], [683.8509521484375, 643.9642333984375]]",72400896,640,yolo26s.pt,MOT17-02
8,,10,"[6, 272, 290, 291, 292, 293, 294, 296, 299, 303]","[[1375.632568359375, 411.4759216308594, 1538.6182861328125, 807.9976806640625], [1494.028564453125, 423.05120849609375, 1624.6531982421875, 775.454833984375], [442.84771728515625, 449.1723327636719, 562.7194213867188, 724.25341796875], [584.0925903320312, 442.8940124511719, 675.2068481445312, 708.490234375], [734.0938720703125, 472.5718994140625, 766.4188842773438, 569.9119262695312], [1255.4036865234375, 443.9176330566406, 1293.3387451171875, 545.99609375], [934.4320678710938, 432.45654296875, 970.4485473632812, 518.1656494140625], [1019.07275390625, 435.86761474609375, 1055.347900390625, 528.02587890625], [1078.44091796875, 449.6976318359375, 1134.1619873046875, 593.306640625], [650.27099609375, 451.44525146484375, 721.0620727539062, 640.8583374023438]]","[0.8995222449302673, 0.7114784717559814, 0.9223187565803528, 0.8624389171600342, 0.6113855838775635, 0.4629218578338623, 0.422071635723114, 0.2557366192340851, 0.37988823652267456, 0.45383667945861816]","[[1457.1254272460938, 807.9976806640625], [1559.3408813476562, 775.454833984375], [502.7835693359375, 724.25341796875], [629.6497192382812, 708.490234375], [750.2563781738281, 569.9119262695312], [1274.3712158203125, 545.99609375], [952.4403076171875, 518.1656494140625], [1037.2103271484375, 528.02587890625], [1106.3014526367188, 593.306640625], [685.6665344238281, 640.8583374023438]]",72400896,640,yolo26s.pt,MOT17-02
9,,11,"[6, 272, 290, 291, 292, 293, 294, 296, 299, 303, 311]","[[1385.4486083984375, 408.9732360839844, 1547.0008544921875, 808.931396484375], [1498.0166015625, 420.3720703125, 1629.5494384765625, 774.859375], [442.94378662109375, 449.2771301269531, 563.5437622070312, 724.352294921875], [583.797607421875, 442.9032897949219, 674.9573364257812, 708.2944946289062], [733.4818725585938, 473.375, 765.8868408203125, 570.4596557617188], [1254.4544677734375, 442.7950744628906, 1292.6107177734375, 545.5166015625], [934.02392578125, 432.3137512207031, 969.8580322265625, 517.9650268554688], [1018.7935180664062, 439.19000244140625, 1054.0076904296875, 527.9622192382812], [1078.8792724609375, 448.8382263183594, 1134.69921875, 592.9387817382812], [650.1165771484375, 452.0584411621094, 721.7288208007812, 644.0673217773438], [1304.89599609375, 430.8873291015625, 1342.900390625, 545.9671020507812]]","[0.9227148294448853, 0.7134982943534851, 0.9225926399230957, 0.8613927960395813, 0.6274488568305969, 0.6731681823730469, 0.4293524920940399, 0.36054158210754395, 0.3910961151123047, 0.48875001072883606, 0.33462172746658325]","[[1466.2247314453125, 808.931396484375], [1563.7830200195312, 774.859375], [503.2437744140625, 724.352294921875], [629.3774719238281, 708.2944946289062], [749.6843566894531, 570.4596557617188], [1273.5325927734375, 545.5166015625], [951.9409790039062, 517.9650268554688], [1036.4006042480469, 527.9622192382812], [1106.7892456054688, 592.9387817382812], [685.9226989746094, 644.0673217773438], [1323.898193359375, 545.9671020507812]]",72400896,640,yolo26s.pt,MOT17-02
10,,12,"[6, 272, 290, 291, 292, 293, 294, 296, 299, 303, 311, 313]","[[1397.2166748046875, 411.8453674316406, 1553.731201171875, 807.9439697265625], [1510.5660400390625, 419.1804504394531, 1641.7105712890625, 775.0202026367188], [443.4125061035156, 447.01495361328125, 565.8199462890625, 724.5708618164062], [583.6896362304688, 442.9299011230469, 674.9598388671875, 708.406982421875], [733.65625, 476.4601135253906, 765.2529907226562, 570.37841796875], [1254.4163818359375, 442.6108093261719, 1292.6231689453125, 545.3695068359375], [934.3765258789062, 433.17041015625, 969.70068359375, 517.804931640625], [1019.4832763671875, 443.77996826171875, 1053.3294677734375, 528.0411987304688], [1078.841552734375, 449.0753173828125, 1134.6729736328125, 593.2840576171875], [649.7587890625, 452.48583984375, 721.8975219726562, 646.55078125], [1305.17724609375, 430.8273010253906, 1343.2977294921875, 546.26513671875], [1378.3187255859375, 435.1712646484375, 1425.736572265625, 562.0482177734375]]","[0.8550029397010803, 0.8305489420890808, 0.9254071116447449, 0.8632510900497437, 0.6288816332817078, 0.5941022038459778, 0.47968223690986633, 0.3045552968978882, 0.4378505051136017, 0.5633976459503174, 0.33440473675727844, 0.3534717857837677]","[[1475.4739379882812, 807.9439697265625], [1576.1383056640625, 775.0202026367188], [504.61622619628906, 724.5708618164062], [629.3247375488281, 708.406982421875], [749.4546203613281, 570.37841796875], [1273.519775390625, 545.3695068359375], [952.0386047363281, 517.804931640625], [1036.4063720703125, 528.0411987304688], [1106.7572631835938, 593.2840576171875], [685.8281555175781, 646.55078125], [1324.2374877929688, 546.26513671875], [1402.0276489257812, 562.0482177734375]]",72400896,640,yolo26s.pt,MOT17-02
