frame_id,inference_ms,postprocess_ms,n_detections,track_ids,bboxes_xyxy,confs,footpoints,mem_total_bytes,mem_delta_bytes,mem_bytes,imgsz,model,seq
1,,,12,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[[102.54171752929688, 547.5897827148438, 181.4388427734375, 796.7361450195312], [1359.153076171875, 570.6072998046875, 1443.836669921875, 798.1860961914062], [370.35699462890625, 410.2754211425781, 452.4588317871094, 648.593017578125], [1735.1492919921875, 458.5900573730469, 1805.6143798828125, 672.447021484375], [1098.912353515625, 978.8846435546875, 1169.3824462890625, 1079.7135009765625], [1044.309814453125, 132.74774169921875, 1109.0013427734375, 315.8692321777344], [226.95840454101562, 400.2392578125, 294.1877746582031, 603.82861328125], [268.9202880859375, 367.5440673828125, 327.00299072265625, 584.561279296875], [0.215972900390625, 881.4627685546875, 41.09140396118164, 1078.57080078125], [1635.2371826171875, 263.42724609375, 1697.5513916015625, 442.8450012207031], [544.7432861328125, 146.82009887695312, 602.2976684570312, 327.10003662109375], [793.5353393554688, 148.8287353515625, 854.5479125976562, 320.13092041015625]]","[0.8448454141616821, 0.8248407244682312, 0.7947417497634888, 0.6918048858642578, 0.6369827389717102, 0.5193227529525757, 0.4772363305091858, 0.4182053804397583, 0.4127761125564575, 0.33370843529701233, 0.30511388182640076, 0.2958712577819824]","[[141.9902801513672, 796.7361450195312], [1401.494873046875, 798.1860961914062], [411.4079132080078, 648.593017578125], [1770.3818359375, 672.447021484375], [1134.1473999023438, 1079.7135009765625], [1076.6555786132812, 315.8692321777344], [260.5730895996094, 603.82861328125], [297.9616394042969, 584.561279296875], [20.653688430786133, 1078.57080078125], [1666.394287109375, 442.8450012207031], [573.5204772949219, 327.10003662109375], [824.0416259765625, 320.13092041015625]]",1741697024,1729687552,1741697024,576,yolo26m.pt,MOT17-04
2,,,11,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[[102.45661926269531, 547.877197265625, 181.2201690673828, 796.5885620117188], [1358.964111328125, 571.0200805664062, 1443.5242919921875, 798.2683715820312], [371.4862365722656, 409.7161560058594, 453.6654052734375, 648.316162109375], [1734.82275390625, 457.93011474609375, 1805.6580810546875, 672.77392578125], [1101.5533447265625, 978.3883666992188, 1172.1944580078125, 1079.501953125], [1044.36328125, 132.77755737304688, 1109.19482421875, 316.45306396484375], [224.83331298828125, 400.111083984375, 291.91497802734375, 603.4089965820312], [266.6638488769531, 365.3160705566406, 325.3937072753906, 584.8574829101562], [0.5698171257972717, 879.4105224609375, 41.895626068115234, 1078.606201171875], [1634.025146484375, 263.3808288574219, 1696.6988525390625, 443.8798828125], [544.6586303710938, 146.8869171142578, 602.0743408203125, 326.7803039550781]]","[0.8396266102790833, 0.8245679140090942, 0.7769659161567688, 0.6950876712799072, 0.6777048707008362, 0.4913538992404938, 0.4402192234992981, 0.38582924008369446, 0.4715946614742279, 0.33339470624923706, 0.266039103269577]","[[141.83839416503906, 796.5885620117188], [1401.2442016601562, 798.2683715820312], [412.57582092285156, 648.316162109375], [1770.2404174804688, 672.77392578125], [1136.8739013671875, 1079.501953125], [1076.779052734375, 316.45306396484375], [258.3741455078125, 603.4089965820312], [296.0287780761719, 584.8574829101562], [21.232721596956253, 1078.606201171875], [1665.3619995117188, 443.8798828125], [573.3664855957031, 326.7803039550781]]",1741697024,1729687552,1741697024,576,yolo26m.pt,MOT17-04
3,,,10,"[1, 2, 3, 4, 5, 7, 8, 9, 10, 12]","[[102.5011215209961, 547.8030395507812, 181.24887084960938, 796.4584350585938], [1359.320556640625, 570.7916259765625, 1443.999267578125, 798.3598022460938], [372.4859924316406, 408.96832275390625, 454.8609619140625, 648.220947265625], [1733.0406494140625, 458.05963134765625, 1803.033447265625, 669.92236328125], [1104.3074951171875, 977.8260498046875, 1175.208740234375, 1079.412109375], [224.99253845214844, 399.69708251953125, 291.47357177734375, 600.97265625], [264.288818359375, 364.3288269042969, 323.1068420410156, 584.0046997070312], [0.24557377398014069, 876.5016479492188, 42.23148727416992, 1078.885498046875], [1632.1175537109375, 262.5057067871094, 1696.293212890625, 447.60308837890625], [793.3123168945312, 149.20718383789062, 854.4564819335938, 320.8521423339844]]","[0.8397178053855896, 0.8157427310943604, 0.7838476300239563, 0.7018554210662842, 0.6646508574485779, 0.45499756932258606, 0.3849916160106659, 0.46265751123428345, 0.2726637125015259, 0.26525864005088806]","[[141.87499618530273, 796.4584350585938], [1401.659912109375, 798.3598022460938], [413.67347717285156, 648.220947265625], [1768.0370483398438, 669.92236328125], [1139.7581176757812, 1079.412109375], [258.2330551147461, 600.97265625], [293.6978302001953, 584.0046997070312], [21.23853052407503, 1078.885498046875], [1664.2053833007812, 447.60308837890625], [823.8843994140625, 320.8521423339844]]",1741697024,1729687552,1741697024,576,yolo26m.pt,MOT17-04
4,,,11,"[1, 2, 3, 4, 5, 7, 8, 9, 10, 13, 6]","[[102.45575714111328, 547.8452758789062, 181.17697143554688, 796.3983154296875], [1359.3331298828125, 571.28857421875, 1443.8779296875, 798.4461059570312], [373.17608642578125, 408.1888122558594, 455.5823669433594, 647.5718383789062], [1732.1148681640625, 458.2972106933594, 1801.8917236328125, 668.915283203125], [1107.767333984375, 977.2216186523438, 1179.2432861328125, 1079.7373046875], [224.8973388671875, 398.6551513671875, 291.6846618652344, 600.4496459960938], [261.8326416015625, 363.2565612792969, 320.8371276855469, 583.5435180664062], [0.03702837973833084, 874.2107543945312, 42.474483489990234, 1078.8333740234375], [1631.119140625, 260.7706298828125, 1695.026123046875, 445.4287414550781], [0.13516224920749664, 874.5352783203125, 43.39564514160156, 1079.0302734375], [1043.623291015625, 133.7917938232422, 1107.3072509765625, 314.2479553222656]]","[0.845021665096283, 0.8308290839195251, 0.7882106900215149, 0.7024359703063965, 0.7023235559463501, 0.4261699914932251, 0.37610945105552673, 0.33677375316619873, 0.2907402813434601, 0.31834542751312256, 0.31012076139450073]","[[141.81636428833008, 796.3983154296875], [1401.6055297851562, 798.4461059570312], [414.3792266845703, 647.5718383789062], [1767.0032958984375, 668.915283203125], [1143.5053100585938, 1079.7373046875], [258.29100036621094, 600.4496459960938], [291.3348846435547, 583.5435180664062], [21.255755934864283, 1078.8333740234375], [1663.0726318359375, 445.4287414550781], [21.76540369540453, 1079.0302734375], [1075.4652709960938, 314.2479553222656]]",1741697024,1729687552,1741697024,576,yolo26m.pt,MOT17-04
5,,,10,"[1, 2, 3, 4, 5, 7, 8, 9, 6, 12]","[[102.46278381347656, 547.8578491210938, 181.2064208984375, 796.5345458984375], [1359.456298828125, 571.3914184570312, 1443.814453125, 797.9822387695312], [374.4529113769531, 407.9134216308594, 456.6022644042969, 646.515869140625], [1731.0513916015625, 458.293212890625, 1800.79248046875, 667.9752807617188], [1111.00634765625, 976.2593383789062, 1183.166748046875, 1079.919677734375], [222.97116088867188, 396.5868835449219, 289.3876953125, 596.7784423828125], [258.87042236328125, 361.7441101074219, 317.7709655761719, 581.5287475585938], [0.03682633116841316, 872.7933349609375, 42.7626953125, 1078.852783203125], [1045.091064453125, 134.2646026611328, 1105.993408203125, 306.4264831542969], [792.7865600585938, 148.92079162597656, 854.04052734375, 320.94256591796875]]","[0.8484117388725281, 0.8224045634269714, 0.8041734099388123, 0.6964375972747803, 0.7354615330696106, 0.4286925494670868, 0.329422265291214, 0.3092518150806427, 0.35320615768432617, 0.29643720388412476]","[[141.83460235595703, 796.5345458984375], [1401.6353759765625, 797.9822387695312], [415.527587890625, 646.515869140625], [1765.9219360351562, 667.9752807617188], [1147.0865478515625, 1079.919677734375], [256.17942810058594, 596.7784423828125], [288.32069396972656, 581.5287475585938], [21.399760821834207, 1078.852783203125], [1075.542236328125, 306.4264831542969], [823.4135437011719, 320.94256591796875]]",1741697024,1729687552,1741697024,576,yolo26m.pt,MOT17-04
6,,,11,"[1, 2, 3, 4, 5, 7, 8, 9, 6, 15, 12]","[[102.45890808105469, 547.8163452148438, 181.17579650878906, 796.520751953125], [1359.238037109375, 571.567138671875, 1443.57080078125, 798.0130615234375], [375.5184020996094, 406.4950866699219, 457.6842956542969, 645.1723022460938], [1729.9237060546875, 458.38104248046875, 1799.9652099609375, 668.0757446289062], [1113.9644775390625, 975.2564086914062, 1186.6156005859375, 1079.7523193359375], [220.923095703125, 395.6176452636719, 287.2469787597656, 595.3328857421875], [257.37445068359375, 359.3656005859375, 316.1031188964844, 578.1744995117188], [0.3179657757282257, 871.5010986328125, 43.24003219604492, 1078.37744140625], [1046.260498046875, 134.73135375976562, 1103.9228515625, 296.9625549316406], [1066.2470703125, 207.677978515625, 1148.547607421875, 386.99884033203125], [793.3841552734375, 149.33908081054688, 854.0498046875, 319.8531494140625]]","[0.8500988483428955, 0.8302693963050842, 0.8022764325141907, 0.7007470726966858, 0.710647702217102, 0.470565527677536, 0.384457528591156, 0.44898301362991333, 0.3282824754714966, 0.5655558109283447, 0.33824318647384644]","[[141.81735229492188, 796.520751953125], [1401.4044189453125, 798.0130615234375], [416.6013488769531, 645.1723022460938], [1764.9444580078125, 668.0757446289062], [1150.2900390625, 1079.7523193359375], [254.0850372314453, 595.3328857421875], [286.73878479003906, 578.1744995117188], [21.778998985886574, 1078.37744140625], [1075.0916748046875, 296.9625549316406], [1107.3973388671875, 386.99884033203125], [823.7169799804688, 319.8531494140625]]",1741697024,1729687552,1741697024,576,yolo26m.pt,MOT17-04
7,,,11,"[1, 2, 3, 4, 5, 7, 8, 9, 6, 15, 12]","[[102.6481704711914, 547.4812622070312, 181.41368103027344, 796.5196533203125], [1359.092041015625, 571.6354370117188, 1443.483154296875, 798.1434936523438], [376.5618591308594, 405.13446044921875, 458.58758544921875, 643.2376708984375], [1729.0435791015625, 457.79864501953125, 1799.288330078125, 667.125], [1116.9342041015625, 974.7943725585938, 1189.5384521484375, 1079.608642578125], [220.73907470703125, 393.7258605957031, 286.3362731933594, 590.0880126953125], [256.0478515625, 357.4961853027344, 313.8007507324219, 571.5919189453125], [0.6843541860580444, 870.2706909179688, 43.89690399169922, 1078.159423828125], [1045.29150390625, 135.72344970703125, 1101.5074462890625, 292.58575439453125], [1062.7166748046875, 206.80650329589844, 1145.666748046875, 386.9096984863281], [793.4332275390625, 149.7169952392578, 853.8634643554688, 319.668212890625]]","[0.8595108985900879, 0.8233190774917603, 0.8209874629974365, 0.6935175657272339, 0.7636156678199768, 0.5144475102424622, 0.43014267086982727, 0.4816707372665405, 0.32516932487487793, 0.5577389597892761, 0.3229568600654602]","[[142.03092575073242, 796.5196533203125], [1401.28759765625, 798.1434936523438], [417.57472229003906, 643.2376708984375], [1764.1659545898438, 667.125], [1153.236328125, 1079.608642578125], [253.5376739501953, 590.0880126953125], [284.92430114746094, 571.5919189453125], [22.29062908887863, 1078.159423828125], [1073.3994750976562, 292.58575439453125], [1104.1917114257812, 386.9096984863281], [823.6483459472656, 319.668212890625]]",1741697024,1729687552,1741697024,576,yolo26m.pt,MOT17-04
8,,,11,"[1, 2, 3, 4, 5, 7, 8, 9, 6, 15, 11]","[[102.94014739990234, 547.4876708984375, 181.6541748046875, 796.4562377929688], [1359.006103515625, 571.6179809570312, 1443.50146484375, 798.3263549804688], [376.8401184082031, 403.581787109375, 458.7402038574219, 641.2833251953125], [1728.13134765625, 458.28778076171875, 1798.326171875, 666.258544921875], [1120.012939453125, 974.4840698242188, 1192.5865478515625, 1079.7196044921875], [219.44329833984375, 392.4052734375, 284.1657409667969, 584.8112182617188], [254.8466796875, 356.30865478515625, 312.0928039550781, 567.3931884765625], [1.2531921863555908, 869.0037841796875, 44.92948913574219, 1078.2637939453125], [1044.3668212890625, 136.7450714111328, 1100.2713623046875, 291.0635681152344], [1060.3575439453125, 207.90435791015625, 1143.2113037109375, 386.7344055175781], [540.3361206054688, 150.2803192138672, 599.83447265625, 337.0966796875]]","[0.8603801131248474, 0.8243697285652161, 0.8088372349739075, 0.7225656509399414, 0.7551619410514832, 0.5282648801803589, 0.31514906883239746, 0.5618825554847717, 0.3620160222053528, 0.5638250112533569, 0.25355368852615356]","[[142.29716110229492, 796.4562377929688], [1401.2537841796875, 798.3263549804688], [417.7901611328125, 641.2833251953125], [1763.228759765625, 666.258544921875], [1156.2997436523438, 1079.7196044921875], [251.8045196533203, 584.8112182617188], [283.46974182128906, 567.3931884765625], [23.09134066104889, 1078.2637939453125], [1072.319091796875, 291.0635681152344], [1101.784423828125, 386.7344055175781], [570.0852966308594, 337.0966796875]]",1741697024,1729687552,1741697024,576,yolo26m.pt,MOT17-04
9,,,11,"[1, 2, 3, 4, 5, 7, 8, 9, 6, 15, 12]","[[102.83782958984375, 547.126953125, 181.6347198486328, 796.578857421875], [1359.0614013671875, 571.7943725585938, 1443.47265625, 798.0493774414062], [377.59521484375, 402.2129821777344, 459.1017761230469, 638.7440185546875], [1727.013671875, 458.5171813964844, 1797.6190185546875, 666.7388916015625], [1123.1708984375, 974.30712890625, 1195.4825439453125, 1079.75634765625], [220.58160400390625, 391.337158203125, 286.3983459472656, 585.2360229492188], [254.8227996826172, 356.8289794921875, 310.3651428222656, 559.6223754882812], [1.2730776071548462, 866.9774780273438, 45.51981735229492, 1078.2481689453125], [1043.03076171875, 137.77191162109375, 1099.4490966796875, 291.6761779785156], [1058.2100830078125, 208.5550537109375, 1141.131103515625, 386.0224914550781], [793.0979614257812, 149.47042846679688, 853.89990234375, 320.65423583984375]]","[0.8635913729667664, 0.838895857334137, 0.8291711211204529, 0.728486955165863, 0.754578709602356, 0.5718885064125061, 0.3247268497943878, 0.5922815799713135, 0.3413354456424713, 0.5106011033058167, 0.25656160712242126]","[[142.23627471923828, 796.578857421875], [1401.2670288085938, 798.0493774414062], [418.34849548339844, 638.7440185546875], [1762.3163452148438, 666.7388916015625], [1159.3267211914062, 1079.75634765625], [253.48997497558594, 585.2360229492188], [282.5939712524414, 559.6223754882812], [23.396447479724884, 1078.2481689453125], [1071.2399291992188, 291.6761779785156], [1099.6705932617188, 386.0224914550781], [823.4989318847656, 320.65423583984375]]",1741697024,1729687552,1741697024,576,yolo26m.pt,MOT17-04
10,,,11,"[1, 2, 3, 4, 5, 7, 8, 9, 6, 15, 12]","[[103.05458068847656, 547.1397705078125, 181.8097686767578, 796.5857543945312], [1359.1248779296875, 571.4850463867188, 1443.6826171875, 797.931884765625], [377.6632995605469, 400.7297668457031, 459.1591796875, 637.0075073242188], [1726.4544677734375, 458.4085693359375, 1797.319580078125, 666.76708984375], [1126.4483642578125, 974.13818359375, 1198.24609375, 1079.5289306640625], [220.11538696289062, 390.8059997558594, 286.3805847167969, 584.062255859375], [252.42495727539062, 355.4517822265625, 308.61724853515625, 558.6509399414062], [0.9270921349525452, 863.9064331054688, 45.87770462036133, 1078.1669921875], [1041.9857177734375, 138.8038330078125, 1098.6771240234375, 291.6824645996094], [1055.1903076171875, 208.00448608398438, 1139.2977294921875, 385.9315490722656], [793.0187377929688, 149.2428741455078, 853.6712036132812, 320.5032958984375]]","[0.859119176864624, 0.8316905498504639, 0.8114760518074036, 0.7646006345748901, 0.7960519790649414, 0.5265234708786011, 0.3019193112850189, 0.6240331530570984, 0.29494741559028625, 0.4822043478488922, 0.29383766651153564]","[[142.4321746826172, 796.5857543945312], [1401.4037475585938, 797.931884765625], [418.41123962402344, 637.0075073242188], [1761.8870239257812, 666.76708984375], [1162.3472290039062, 1079.5289306640625], [253.24798583984375, 584.062255859375], [280.52110290527344, 558.6509399414062], [23.402398377656937, 1078.1669921875], [1070.3314208984375, 291.6824645996094], [1097.2440185546875, 385.9315490722656], [823.344970703125, 320.5032958984375]]",1741697024,1729687552,1741697024,576,yolo26m.pt,MOT17-04
