frame_id,inference_ms,n_detections,track_ids,bboxes_xyxy,confs,footpoints,mem_bytes,imgsz,model,seq
1,,1,[833],"[[367.9302978515625, 428.27569580078125, 447.9789123535156, 624.0892333984375]]",[0.8504598736763],"[[407.95460510253906, 624.0892333984375]]",28400640,640,yolo26n.pt,MOT17-04
2,,11,"[833, 840, 841, 842, 843, 844, 845, 846, 847, 848, 852]","[[365.8446044921875, 414.97161865234375, 456.05389404296875, 639.4993896484375], [103.03475189208984, 546.0546875, 177.54652404785156, 791.0478515625], [1732.5283203125, 451.5366516113281, 1805.9114990234375, 672.9864501953125], [1356.1025390625, 570.195068359375, 1438.0911865234375, 787.7352294921875], [0.0, 878.0189819335938, 43.220394134521484, 1078.8978271484375], [225.07373046875, 398.5601501464844, 291.0985412597656, 598.85498046875], [1100.45556640625, 208.75723266601562, 1157.9500732421875, 389.8896484375], [1046.612060546875, 132.22293090820312, 1109.438232421875, 315.5129089355469], [790.1884155273438, 144.96383666992188, 853.8948364257812, 324.06573486328125], [504.4105529785156, 137.23947143554688, 555.6176147460938, 309.64617919921875], [548.527099609375, 150.08616638183594, 601.8967895507812, 330.49652099609375]]","[0.8567745685577393, 0.828896701335907, 0.7112887501716614, 0.7121531963348389, 0.442391037940979, 0.5649375915527344, 0.4818814694881439, 0.48030492663383484, 0.47013145685195923, 0.39735648036003113, 0.3263651430606842]","[[410.9492492675781, 639.4993896484375], [140.2906379699707, 791.0478515625], [1769.2199096679688, 672.9864501953125], [1397.0968627929688, 787.7352294921875], [21.610197067260742, 1078.8978271484375], [258.0861358642578, 598.85498046875], [1129.2028198242188, 389.8896484375], [1078.025146484375, 315.5129089355469], [822.0416259765625, 324.06573486328125], [530.0140838623047, 309.64617919921875], [575.2119445800781, 330.49652099609375]]",28400640,640,yolo26n.pt,MOT17-04
3,,11,"[833, 840, 841, 842, 843, 844, 845, 846, 847, 848, 852]","[[365.4950256347656, 408.37255859375, 459.9682922363281, 647.8190307617188], [103.48106384277344, 545.828369140625, 178.21498107910156, 791.562255859375], [1731.8118896484375, 451.95062255859375, 1805.192626953125, 673.380126953125], [1356.5125732421875, 570.1273193359375, 1438.1517333984375, 786.7193603515625], [0.0, 876.4055786132812, 43.14364242553711, 1078.5367431640625], [224.0309600830078, 397.2732238769531, 290.8268127441406, 599.7804565429688], [1096.23828125, 209.27377319335938, 1153.6717529296875, 389.7451477050781], [1046.40185546875, 132.0996551513672, 1108.6214599609375, 313.4546203613281], [789.8248291015625, 144.7095489501953, 853.5101928710938, 323.7070617675781], [503.9828186035156, 137.81617736816406, 554.4825439453125, 307.821533203125], [548.2557983398438, 150.99435424804688, 601.542236328125, 331.1239013671875]]","[0.8437654376029968, 0.7075205445289612, 0.7037598490715027, 0.7129437327384949, 0.39833033084869385, 0.545884370803833, 0.5655989050865173, 0.5140910744667053, 0.4517197906970978, 0.4055306613445282, 0.31408917903900146]","[[412.7316589355469, 647.8190307617188], [140.8480224609375, 791.562255859375], [1768.5022583007812, 673.380126953125], [1397.3321533203125, 786.7193603515625], [21.571821212768555, 1078.5367431640625], [257.4288864135742, 599.7804565429688], [1124.9550170898438, 389.7451477050781], [1077.5116577148438, 313.4546203613281], [821.6675109863281, 323.7070617675781], [529.2326812744141, 307.821533203125], [574.8990173339844, 331.1239013671875]]",28400640,640,yolo26n.pt,MOT17-04
4,,11,"[833, 840, 841, 842, 843, 844, 845, 846, 847, 848, 852]","[[365.6517028808594, 405.2253723144531, 460.9030456542969, 650.4906616210938], [103.15798950195312, 545.4833374023438, 178.00991821289062, 791.6796875], [1730.8228759765625, 451.9136657714844, 1803.3431396484375, 670.6166381835938], [1356.956298828125, 570.2723999023438, 1438.6942138671875, 786.9802856445312], [0.0, 875.9969482421875, 43.78185272216797, 1078.5877685546875], [223.3201141357422, 396.6246337890625, 290.6864929199219, 600.5009765625], [1091.0318603515625, 207.79995727539062, 1149.293701171875, 390.0999450683594], [1045.8267822265625, 132.50894165039062, 1108.0653076171875, 313.7710266113281], [789.8932495117188, 144.258056640625, 853.453857421875, 322.8993835449219], [502.4751892089844, 137.76889038085938, 552.9571533203125, 307.7369689941406], [547.8340454101562, 151.51759338378906, 600.8011474609375, 330.5849304199219]]","[0.852544367313385, 0.8210379481315613, 0.7246497869491577, 0.7151651382446289, 0.6353428959846497, 0.5335285067558289, 0.5923287868499756, 0.4305746257305145, 0.46510419249534607, 0.3502808213233948, 0.35819363594055176]","[[413.2773742675781, 650.4906616210938], [140.58395385742188, 791.6796875], [1767.0830078125, 670.6166381835938], [1397.8252563476562, 786.9802856445312], [21.890926361083984, 1078.5877685546875], [257.00330352783203, 600.5009765625], [1120.1627807617188, 390.0999450683594], [1076.946044921875, 313.7710266113281], [821.6735534667969, 322.8993835449219], [527.7161712646484, 307.7369689941406], [574.3175964355469, 330.5849304199219]]",28400640,640,yolo26n.pt,MOT17-04
5,,11,"[833, 840, 841, 842, 843, 844, 845, 847, 848, 852, 857]","[[367.1933288574219, 403.8204650878906, 461.71807861328125, 651.2007446289062], [102.87134552001953, 545.4650268554688, 177.6544189453125, 791.610595703125], [1729.85546875, 451.6627197265625, 1802.561279296875, 670.8114013671875], [1356.9957275390625, 570.2315673828125, 1437.871826171875, 784.40966796875], [0.14807727932929993, 874.5452270507812, 44.605316162109375, 1078.3157958984375], [224.27003479003906, 396.3791198730469, 291.56695556640625, 599.0906372070312], [1083.3858642578125, 209.10940551757812, 1141.762939453125, 389.03662109375], [790.0772094726562, 145.17190551757812, 853.21435546875, 322.4473876953125], [501.9723205566406, 138.4855194091797, 550.9943237304688, 303.10113525390625], [547.2008056640625, 151.8922119140625, 600.74658203125, 332.9106750488281], [269.1016845703125, 381.9625549316406, 319.59368896484375, 585.146728515625]]","[0.8611683249473572, 0.83066725730896, 0.759434163570404, 0.747211754322052, 0.652015745639801, 0.401189386844635, 0.6105133295059204, 0.4891569912433624, 0.2858372926712036, 0.31413742899894714, 0.33423981070518494]","[[414.45570373535156, 651.2007446289062], [140.26288223266602, 791.610595703125], [1766.2083740234375, 670.8114013671875], [1397.4337768554688, 784.40966796875], [22.376696720719337, 1078.3157958984375], [257.91849517822266, 599.0906372070312], [1112.5744018554688, 389.03662109375], [821.6457824707031, 322.4473876953125], [526.4833221435547, 303.10113525390625], [573.9736938476562, 332.9106750488281], [294.3476867675781, 585.146728515625]]",28400640,640,yolo26n.pt,MOT17-04
6,,11,"[833, 840, 841, 842, 843, 844, 845, 847, 848, 852, 857]","[[368.6894226074219, 402.8850402832031, 461.6993408203125, 649.7142944335938], [103.09394836425781, 545.6322021484375, 177.76077270507812, 791.5558471679688], [1728.9007568359375, 453.5767822265625, 1801.0540771484375, 670.6681518554688], [1357.47607421875, 570.2528076171875, 1438.0072021484375, 783.3406372070312], [0.4610719680786133, 872.4768676757812, 45.397029876708984, 1078.4349365234375], [223.70477294921875, 393.0923156738281, 292.24017333984375, 598.1644897460938], [1077.5628662109375, 208.9088897705078, 1137.2835693359375, 388.5912780761719], [789.1187744140625, 144.9249725341797, 852.5662231445312, 322.97503662109375], [502.07464599609375, 140.40829467773438, 550.520751953125, 302.74444580078125], [546.4535522460938, 153.0108184814453, 600.4094848632812, 335.4152526855469], [267.9775390625, 381.3057556152344, 318.22900390625, 583.8450927734375]]","[0.8513810634613037, 0.8268699645996094, 0.7617334723472595, 0.7541015148162842, 0.706768274307251, 0.34129878878593445, 0.6792553663253784, 0.5010228157043457, 0.366218239068985, 0.28539061546325684, 0.343932181596756]","[[415.1943817138672, 649.7142944335938], [140.42736053466797, 791.5558471679688], [1764.9774169921875, 670.6681518554688], [1397.7416381835938, 783.3406372070312], [22.9290509223938, 1078.4349365234375], [257.97247314453125, 598.1644897460938], [1107.4232177734375, 388.5912780761719], [820.8424987792969, 322.97503662109375], [526.2976989746094, 302.74444580078125], [573.4315185546875, 335.4152526855469], [293.103271484375, 583.8450927734375]]",28400640,640,yolo26n.pt,MOT17-04
7,,10,"[833, 840, 841, 842, 843, 844, 845, 847, 848, 857]","[[370.3622741699219, 401.7519226074219, 462.19329833984375, 648.3310546875], [103.08149719238281, 545.5464477539062, 177.53436279296875, 790.9364624023438], [1728.5576171875, 453.8034362792969, 1799.9305419921875, 667.9898071289062], [1357.524169921875, 570.4132080078125, 1437.929931640625, 782.8128051757812], [0.8343413472175598, 871.1285400390625, 46.1258430480957, 1078.5023193359375], [222.25990295410156, 395.57598876953125, 290.1124572753906, 597.1103515625], [1072.5203857421875, 208.13731384277344, 1134.54931640625, 388.6854248046875], [789.2849731445312, 144.967041015625, 852.8944702148438, 323.252197265625], [501.86602783203125, 142.06004333496094, 550.109375, 303.4004821777344], [267.6246337890625, 381.740234375, 315.6329040527344, 575.2344970703125]]","[0.8532125353813171, 0.8324350118637085, 0.7403771877288818, 0.7691176533699036, 0.6893109083175659, 0.299479603767395, 0.6510821580886841, 0.5210075974464417, 0.3850015699863434, 0.3789517283439636]","[[416.2777862548828, 648.3310546875], [140.30792999267578, 790.9364624023438], [1764.2440795898438, 667.9898071289062], [1397.72705078125, 782.8128051757812], [23.48009219765663, 1078.5023193359375], [256.1861801147461, 597.1103515625], [1103.5348510742188, 388.6854248046875], [821.0897216796875, 323.252197265625], [525.9877014160156, 303.4004821777344], [291.62876892089844, 575.2344970703125]]",28400640,640,yolo26n.pt,MOT17-04
8,,9,"[833, 840, 841, 842, 843, 845, 847, 848, 857]","[[371.9603271484375, 399.9120788574219, 462.3404846191406, 645.2247924804688], [103.64201354980469, 545.97119140625, 178.09384155273438, 791.397216796875], [1727.586181640625, 454.2268371582031, 1798.034912109375, 664.5572509765625], [1357.24853515625, 570.1333618164062, 1438.154296875, 783.7172241210938], [1.0294636487960815, 869.072021484375, 46.76986312866211, 1078.187744140625], [1070.58447265625, 210.4750518798828, 1134.085693359375, 388.4488220214844], [789.2935791015625, 145.48033142089844, 852.6614990234375, 322.7739562988281], [500.9756774902344, 141.9619903564453, 549.883056640625, 305.273681640625], [266.6174011230469, 380.8984680175781, 313.1203308105469, 568.0704956054688]]","[0.8501313924789429, 0.7868027091026306, 0.7575693726539612, 0.7449793815612793, 0.6586328148841858, 0.641314685344696, 0.4994948208332062, 0.3862881064414978, 0.31763002276420593]","[[417.15040588378906, 645.2247924804688], [140.86792755126953, 791.397216796875], [1762.810546875, 664.5572509765625], [1397.701416015625, 783.7172241210938], [23.899663388729095, 1078.187744140625], [1102.3350830078125, 388.4488220214844], [820.9775390625, 322.7739562988281], [525.4293670654297, 305.273681640625], [289.8688659667969, 568.0704956054688]]",28400640,640,yolo26n.pt,MOT17-04
9,,8,"[833, 840, 841, 842, 843, 845, 847, 852]","[[373.5787658691406, 399.1981506347656, 462.5807189941406, 642.6235961914062], [103.33325958251953, 545.7368774414062, 178.3459014892578, 792.7203979492188], [1726.5101318359375, 453.9919738769531, 1797.283447265625, 664.3944091796875], [1357.146240234375, 570.45263671875, 1438.0859375, 784.0010986328125], [0.8602581024169922, 866.8858032226562, 47.09755325317383, 1078.14111328125], [1068.5308837890625, 212.50521850585938, 1133.5657958984375, 386.91680908203125], [789.2847900390625, 145.5456085205078, 852.3802490234375, 321.69732666015625], [543.5297241210938, 151.2707061767578, 598.3192138671875, 337.6824035644531]]","[0.8505293726921082, 0.6225017309188843, 0.7554849982261658, 0.7437915205955505, 0.6024348735809326, 0.5820906758308411, 0.46377745270729065, 0.29924336075782776]","[[418.0797424316406, 642.6235961914062], [140.83958053588867, 792.7203979492188], [1761.8967895507812, 664.3944091796875], [1397.6160888671875, 784.0010986328125], [23.97890567779541, 1078.14111328125], [1101.04833984375, 386.91680908203125], [820.83251953125, 321.69732666015625], [570.9244689941406, 337.6824035644531]]",28400640,640,yolo26n.pt,MOT17-04
10,,9,"[833, 840, 841, 842, 843, 845, 847, 861, 852]","[[374.7792663574219, 398.2609558105469, 462.596923828125, 640.04248046875], [103.47534942626953, 545.60546875, 178.7127685546875, 792.9459228515625], [1726.1649169921875, 454.2323913574219, 1797.1060791015625, 664.4260864257812], [1356.870361328125, 569.765380859375, 1438.5087890625, 784.916015625], [0.7452701330184937, 864.2296142578125, 47.447776794433594, 1077.3968505859375], [1065.7047119140625, 213.67237854003906, 1132.7298583984375, 385.24505615234375], [789.0123901367188, 145.64479064941406, 852.481201171875, 322.67486572265625], [1128.3555908203125, 973.7437744140625, 1195.73046875, 1080.0], [542.3049926757812, 150.71160888671875, 597.3062133789062, 339.0894470214844]]","[0.8449190258979797, 0.7737966775894165, 0.7317021489143372, 0.7471092939376831, 0.641501784324646, 0.47566428780555725, 0.48333168029785156, 0.3775683343410492, 0.38274282217025757]","[[418.68809509277344, 640.04248046875], [141.09405899047852, 792.9459228515625], [1761.635498046875, 664.4260864257812], [1397.6895751953125, 784.916015625], [24.096523463726044, 1077.3968505859375], [1099.21728515625, 385.24505615234375], [820.7467956542969, 322.67486572265625], [1162.0430297851562, 1080.0], [569.8056030273438, 339.0894470214844]]",28400640,640,yolo26n.pt,MOT17-04
