frame_id,inference_ms,n_detections,track_ids,bboxes_xyxy,confs,footpoints,mem_bytes,imgsz,model,seq
1,,1,[941],"[[371.4056701660156, 428.5595397949219, 445.2847900390625, 624.2053833007812]]",[0.8189064264297485],"[[408.34523010253906, 624.2053833007812]]",551064064,576,yolo26x.pt,MOT17-04
2,,11,"[941, 998, 999, 1000, 1001, 1002, 1003, 1004, 1005, 1006, 1010]","[[369.573974609375, 416.8658142089844, 453.1015625, 640.2102661132812], [103.15007019042969, 546.2855834960938, 182.2914581298828, 795.4639892578125], [1735.274169921875, 458.80706787109375, 1806.2271728515625, 684.91748046875], [1045.18310546875, 131.64779663085938, 1108.690185546875, 314.2392272949219], [263.5057678222656, 363.995361328125, 322.9600524902344, 585.973388671875], [1098.96923828125, 208.7505340576172, 1154.4888916015625, 386.8492126464844], [1358.8056640625, 573.0639038085938, 1446.0301513671875, 798.0933227539062], [0.38824033737182617, 877.7984619140625, 43.148719787597656, 1079.552978515625], [1100.654296875, 978.1397705078125, 1172.4605712890625, 1079.5089111328125], [1790.5828857421875, 203.41165161132812, 1849.563720703125, 386.3541259765625], [1633.531494140625, 261.1159362792969, 1697.2989501953125, 440.946533203125]]","[0.8042528629302979, 0.7884775400161743, 0.7094399929046631, 0.5417038202285767, 0.48790213465690613, 0.4737062454223633, 0.6162750720977783, 0.4655241370201111, 0.4761809706687927, 0.35468557476997375, 0.4226144552230835]","[[411.3377685546875, 640.2102661132812], [142.72076416015625, 795.4639892578125], [1770.7506713867188, 684.91748046875], [1076.9366455078125, 314.2392272949219], [293.23291015625, 585.973388671875], [1126.7290649414062, 386.8492126464844], [1402.4179077148438, 798.0933227539062], [21.76848006248474, 1079.552978515625], [1136.5574340820312, 1079.5089111328125], [1820.0733032226562, 386.3541259765625], [1665.4152221679688, 440.946533203125]]",551064064,576,yolo26x.pt,MOT17-04
3,,12,"[941, 998, 999, 1000, 1001, 1002, 1003, 1004, 1005, 1006, 1010, 1011]","[[369.2500915527344, 410.83770751953125, 457.05450439453125, 647.6788330078125], [103.2972183227539, 546.5619506835938, 182.39239501953125, 795.6129150390625], [1733.89453125, 458.89776611328125, 1804.47998046875, 683.7037353515625], [1045.6878662109375, 132.20545959472656, 1107.3792724609375, 309.578125], [261.937255859375, 363.70404052734375, 321.2471923828125, 585.0181884765625], [1094.85986328125, 209.35179138183594, 1150.1705322265625, 386.2203369140625], [1359.0521240234375, 573.1358032226562, 1446.3873291015625, 798.4544677734375], [0.13199621438980103, 876.0783081054688, 43.26293182373047, 1079.6192626953125], [1103.947509765625, 977.7232055664062, 1175.9599609375, 1079.43017578125], [1792.058837890625, 204.01397705078125, 1850.8726806640625, 386.41351318359375], [1631.8035888671875, 260.2326354980469, 1696.5572509765625, 443.0075988769531], [544.8960571289062, 146.4490509033203, 601.5230712890625, 325.62701416015625]]","[0.8169817328453064, 0.7969136834144592, 0.6979480385780334, 0.5352991223335266, 0.5280055999755859, 0.48515042662620544, 0.8105509877204895, 0.5291141867637634, 0.5286113619804382, 0.37319251894950867, 0.4423600435256958, 0.3235433101654053]","[[413.1522979736328, 647.6788330078125], [142.84480667114258, 795.6129150390625], [1769.187255859375, 683.7037353515625], [1076.5335693359375, 309.578125], [291.59222412109375, 585.0181884765625], [1122.5151977539062, 386.2203369140625], [1402.7197265625, 798.4544677734375], [21.697464019060135, 1079.6192626953125], [1139.9537353515625, 1079.43017578125], [1821.4657592773438, 386.41351318359375], [1664.180419921875, 443.0075988769531], [573.2095642089844, 325.62701416015625]]",551064064,576,yolo26x.pt,MOT17-04
4,,12,"[941, 998, 999, 1000, 1001, 1002, 1003, 1004, 1005, 1006, 1010, 1011]","[[369.3445129394531, 408.0008850097656, 458.6383361816406, 650.5283203125], [103.11005401611328, 546.5120239257812, 182.18682861328125, 795.5362548828125], [1732.366943359375, 459.04022216796875, 1802.4415283203125, 681.97216796875], [1045.8804931640625, 132.90419006347656, 1106.1053466796875, 305.8857421875], [259.6201171875, 362.1195983886719, 319.5758056640625, 585.826416015625], [1089.098876953125, 208.84091186523438, 1144.897216796875, 386.0196838378906], [1358.9871826171875, 572.35107421875, 1446.0526123046875, 797.0391235351562], [0.034543734043836594, 874.5016479492188, 43.54977035522461, 1079.9207763671875], [1107.3056640625, 977.4719848632812, 1179.62158203125, 1079.7247314453125], [1794.955078125, 203.89547729492188, 1853.8990478515625, 386.706298828125], [1630.99267578125, 259.769775390625, 1695.2940673828125, 441.48187255859375], [545.189697265625, 148.0457305908203, 601.38623046875, 325.72076416015625]]","[0.8104923367500305, 0.8041468262672424, 0.6755179762840271, 0.5167995691299438, 0.43754348158836365, 0.49736955761909485, 0.3579610288143158, 0.5339177250862122, 0.47385555505752563, 0.3968668580055237, 0.3141195774078369, 0.29527634382247925]","[[413.9914245605469, 650.5283203125], [142.64844131469727, 795.5362548828125], [1767.4042358398438, 681.97216796875], [1075.992919921875, 305.8857421875], [289.59796142578125, 585.826416015625], [1116.998046875, 386.0196838378906], [1402.5198974609375, 797.0391235351562], [21.792157044634223, 1079.9207763671875], [1143.463623046875, 1079.7247314453125], [1824.4270629882812, 386.706298828125], [1663.1433715820312, 441.48187255859375], [573.2879638671875, 325.72076416015625]]",551064064,576,yolo26x.pt,MOT17-04
5,,12,"[941, 998, 999, 1000, 1001, 1002, 1003, 1004, 1005, 1006, 1010, 1011]","[[370.66387939453125, 406.7200927734375, 459.7178955078125, 650.0482177734375], [103.22622680664062, 546.52490234375, 182.3560028076172, 795.7633056640625], [1731.4576416015625, 458.6173400878906, 1799.7215576171875, 675.01611328125], [1046.0384521484375, 133.71543884277344, 1105.77587890625, 305.0409851074219], [257.987548828125, 361.2374572753906, 317.482666015625, 583.153564453125], [1082.486083984375, 209.00010681152344, 1139.383056640625, 386.8126525878906], [1358.93212890625, 573.1068115234375, 1445.9853515625, 797.7260131835938], [0.0, 873.0625610351562, 43.76029586791992, 1079.7305908203125], [1110.87841796875, 976.5654296875, 1183.668701171875, 1079.62890625], [1797.14013671875, 203.42230224609375, 1856.290283203125, 387.0552673339844], [1629.564453125, 259.1441955566406, 1693.552978515625, 440.24658203125], [545.1356811523438, 149.658447265625, 600.98681640625, 326.0083312988281]]","[0.8033908009529114, 0.8164474964141846, 0.632472574710846, 0.5254653692245483, 0.33869460225105286, 0.5429851412773132, 0.7022543549537659, 0.5869570970535278, 0.6261042952537537, 0.3835357427597046, 0.4461697041988373, 0.2681613862514496]","[[415.1908874511719, 650.0482177734375], [142.7911148071289, 795.7633056640625], [1765.589599609375, 675.01611328125], [1075.9071655273438, 305.0409851074219], [287.735107421875, 583.153564453125], [1110.9345703125, 386.8126525878906], [1402.458740234375, 797.7260131835938], [21.88014793395996, 1079.7305908203125], [1147.2735595703125, 1079.62890625], [1826.7152099609375, 387.0552673339844], [1661.5587158203125, 440.24658203125], [573.0612487792969, 326.0083312988281]]",551064064,576,yolo26x.pt,MOT17-04
6,,12,"[941, 998, 999, 1000, 1001, 1002, 1003, 1004, 1005, 1006, 1010, 1011]","[[371.8172912597656, 405.6668395996094, 460.29437255859375, 648.6588134765625], [103.29338836669922, 546.3020629882812, 182.42877197265625, 795.6126708984375], [1730.5169677734375, 458.04119873046875, 1798.234375, 671.8922119140625], [1046.165771484375, 134.72467041015625, 1103.938232421875, 299.919189453125], [256.7386474609375, 359.3011169433594, 316.2375183105469, 581.0070190429688], [1077.0540771484375, 208.60421752929688, 1135.7330322265625, 387.8572082519531], [1358.82421875, 573.1254272460938, 1446.022216796875, 798.1254272460938], [0.0, 871.6470947265625, 43.91978454589844, 1079.6053466796875], [1113.8553466796875, 975.9867553710938, 1186.97802734375, 1079.71142578125], [1798.5635986328125, 203.2838134765625, 1857.9998779296875, 388.2539367675781], [1627.7479248046875, 258.55633544921875, 1691.53759765625, 439.1697692871094], [544.2000732421875, 150.13894653320312, 600.5368041992188, 327.9020690917969]]","[0.8157453536987305, 0.7943577170372009, 0.7334445714950562, 0.34002062678337097, 0.29155275225639343, 0.5484123229980469, 0.8252041935920715, 0.5591179728507996, 0.586700439453125, 0.40563634037971497, 0.39725223183631897, 0.2746100425720215]","[[416.0558319091797, 648.6588134765625], [142.86108016967773, 795.6126708984375], [1764.3756713867188, 671.8922119140625], [1075.052001953125, 299.919189453125], [286.4880828857422, 581.0070190429688], [1106.3935546875, 387.8572082519531], [1402.4232177734375, 798.1254272460938], [21.95989227294922, 1079.6053466796875], [1150.4166870117188, 1079.71142578125], [1828.28173828125, 388.2539367675781], [1659.6427612304688, 439.1697692871094], [572.3684387207031, 327.9020690917969]]",551064064,576,yolo26x.pt,MOT17-04
7,,12,"[941, 998, 999, 1000, 1001, 1002, 1003, 1004, 1005, 1006, 1010, 1011]","[[372.5163269042969, 403.9907531738281, 460.7127685546875, 647.2810668945312], [103.43159484863281, 546.2079467773438, 182.5410919189453, 795.4660034179688], [1729.548828125, 457.25103759765625, 1797.1361083984375, 669.4977416992188], [1045.0985107421875, 135.0078582763672, 1102.1685791015625, 297.4794006347656], [256.05902099609375, 357.8700256347656, 313.2420654296875, 570.16259765625], [1072.74560546875, 208.0909423828125, 1133.466552734375, 388.0682373046875], [1358.4837646484375, 573.6209716796875, 1445.536376953125, 798.10009765625], [0.22765006124973297, 869.6812133789062, 44.656646728515625, 1079.5626220703125], [1116.7652587890625, 975.2422485351562, 1189.9984130859375, 1079.376708984375], [1799.4775390625, 204.32882690429688, 1858.5142822265625, 388.6749267578125], [1626.16455078125, 258.427001953125, 1689.9501953125, 439.17919921875], [543.2380981445312, 150.38771057128906, 600.6657104492188, 331.4281311035156]]","[0.8253206610679626, 0.8015766143798828, 0.7316948771476746, 0.3287089169025421, 0.31569164991378784, 0.5707087516784668, 0.686157763004303, 0.5459411144256592, 0.5912383794784546, 0.4242647588253021, 0.4472377300262451, 0.2902219891548157]","[[416.6145477294922, 647.2810668945312], [142.98634338378906, 795.4660034179688], [1763.3424682617188, 669.4977416992188], [1073.633544921875, 297.4794006347656], [284.6505432128906, 570.16259765625], [1103.1060791015625, 388.0682373046875], [1402.0100708007812, 798.10009765625], [22.44214839488268, 1079.5626220703125], [1153.3818359375, 1079.376708984375], [1828.9959106445312, 388.6749267578125], [1658.057373046875, 439.17919921875], [571.951904296875, 331.4281311035156]]",551064064,576,yolo26x.pt,MOT17-04
8,,11,"[941, 998, 999, 1000, 1001, 1002, 1003, 1004, 1005, 1006, 1010]","[[373.2912292480469, 402.19158935546875, 460.9605407714844, 645.1616821289062], [103.48778533935547, 545.9105224609375, 182.57138061523438, 795.2249755859375], [1728.720703125, 457.51123046875, 1796.343017578125, 668.46240234375], [1043.435791015625, 135.3408660888672, 1101.2657470703125, 298.9544677734375], [256.12945556640625, 355.9518737792969, 311.1476745605469, 558.8477172851562], [1068.774169921875, 207.9542999267578, 1131.640869140625, 387.7354431152344], [1358.3277587890625, 573.6866455078125, 1445.36865234375, 797.9140625], [0.5898711085319519, 867.6489868164062, 45.52839279174805, 1079.5958251953125], [1119.983154296875, 974.9398193359375, 1193.2747802734375, 1079.309326171875], [1800.477783203125, 206.6132049560547, 1859.301025390625, 390.3267517089844], [1624.7801513671875, 257.96759033203125, 1688.6986083984375, 439.0899658203125]]","[0.8087216019630432, 0.8023613095283508, 0.7107844352722168, 0.31050240993499756, 0.3256051540374756, 0.5571225881576538, 0.7069085836410522, 0.5591269135475159, 0.5776140689849854, 0.37979182600975037, 0.40148061513900757]","[[417.1258850097656, 645.1616821289062], [143.02958297729492, 795.2249755859375], [1762.5318603515625, 668.46240234375], [1072.3507690429688, 298.9544677734375], [283.63856506347656, 558.8477172851562], [1100.20751953125, 387.7354431152344], [1401.8482055664062, 797.9140625], [23.05913195014, 1079.5958251953125], [1156.6289672851562, 1079.309326171875], [1829.889404296875, 390.3267517089844], [1656.7393798828125, 439.0899658203125]]",551064064,576,yolo26x.pt,MOT17-04
9,,12,"[941, 998, 999, 1000, 1002, 1003, 1004, 1005, 1006, 1010, 1019, 1011]","[[374.53533935546875, 400.77410888671875, 461.37255859375, 642.2689208984375], [103.42512512207031, 545.491455078125, 182.66090393066406, 795.4426879882812], [1728.1915283203125, 457.4900817871094, 1796.0120849609375, 667.6155395507812], [1041.9737548828125, 136.15330505371094, 1100.1746826171875, 299.5218505859375], [1065.9033203125, 207.43299865722656, 1130.8128662109375, 386.1195373535156], [1358.21240234375, 573.54833984375, 1445.391357421875, 797.8867797851562], [0.7616594433784485, 865.830078125, 46.201263427734375, 1079.70361328125], [1123.242919921875, 974.6412963867188, 1196.404541015625, 1079.2608642578125], [1800.4385986328125, 208.93922424316406, 1859.6553955078125, 394.09442138671875], [1623.7314453125, 257.99603271484375, 1687.1431884765625, 438.07489013671875], [214.4447479248047, 389.7943420410156, 294.79736328125, 589.0988159179688], [541.5938720703125, 152.45803833007812, 600.34716796875, 337.4291076660156]]","[0.8288537263870239, 0.8168953061103821, 0.7399266958236694, 0.2992911636829376, 0.5107681751251221, 0.8175662159919739, 0.5725029110908508, 0.6041941046714783, 0.4289338290691376, 0.4671909511089325, 0.3806442618370056, 0.2992943525314331]","[[417.9539489746094, 642.2689208984375], [143.0430145263672, 795.4426879882812], [1762.101806640625, 667.6155395507812], [1071.07421875, 299.5218505859375], [1098.3580932617188, 386.1195373535156], [1401.8018798828125, 797.8867797851562], [23.48146143555641, 1079.70361328125], [1159.82373046875, 1079.2608642578125], [1830.0469970703125, 394.09442138671875], [1655.4373168945312, 438.07489013671875], [254.62105560302734, 589.0988159179688], [570.9705200195312, 337.4291076660156]]",551064064,576,yolo26x.pt,MOT17-04
10,,11,"[941, 998, 999, 1000, 1002, 1003, 1004, 1005, 1006, 1010, 1019]","[[375.1423645019531, 399.3410339355469, 461.17694091796875, 639.236328125], [103.72211456298828, 545.2953491210938, 182.9498291015625, 795.4752197265625], [1727.8955078125, 457.54327392578125, 1795.97998046875, 667.28857421875], [1039.6295166015625, 137.1466827392578, 1099.982666015625, 305.8379211425781], [1062.5848388671875, 207.02374267578125, 1129.8173828125, 385.0679931640625], [1358.289794921875, 573.5078735351562, 1445.4949951171875, 797.6534423828125], [0.652009904384613, 863.33740234375, 46.64261245727539, 1079.5157470703125], [1126.225341796875, 974.4315185546875, 1199.003662109375, 1079.279296875], [1801.0147705078125, 212.012451171875, 1860.26953125, 396.84088134765625], [1622.015380859375, 256.711669921875, 1686.0963134765625, 439.1623840332031], [212.92181396484375, 389.0434875488281, 291.9974365234375, 585.1101684570312]]","[0.8253124952316284, 0.8085116147994995, 0.7345311045646667, 0.29064059257507324, 0.45070645213127136, 0.5650648474693298, 0.5763631463050842, 0.6141305565834045, 0.3967965543270111, 0.47628891468048096, 0.36544516682624817]","[[418.15965270996094, 639.236328125], [143.3359718322754, 795.4752197265625], [1761.937744140625, 667.28857421875], [1069.8060913085938, 305.8379211425781], [1096.2011108398438, 385.0679931640625], [1401.8923950195312, 797.6534423828125], [23.647311180830002, 1079.5157470703125], [1162.614501953125, 1079.279296875], [1830.6421508789062, 396.84088134765625], [1654.0558471679688, 439.1623840332031], [252.45962524414062, 585.1101684570312]]",551064064,576,yolo26x.pt,MOT17-04
