frame_id,inference_ms,n_detections,track_ids,bboxes_xyxy,confs,footpoints,mem_bytes,imgsz,model,seq
1,,8,"[1, 2, 3, 4, 5, 6, 7, 8]","[[1698.10693359375, 389.9921875, 1857.2449951171875, 727.4630126953125], [0.43624114990234375, 342.3746337890625, 119.16775512695312, 902.215576171875], [1290.4876708984375, 461.25946044921875, 1356.1187744140625, 658.62939453125], [120.97161865234375, 505.6143493652344, 214.805419921875, 743.7113037109375], [1255.5902099609375, 538.7801513671875, 1314.2294921875, 655.5487670898438], [1886.8360595703125, 391.904541015625, 1919.1522216796875, 564.1127319335938], [253.139892578125, 455.4693603515625, 352.31219482421875, 702.0262451171875], [50.385231018066406, 511.0283508300781, 114.0977554321289, 746.8671875]]","[0.9381165504455566, 0.8552752137184143, 0.8387450575828552, 0.785478949546814, 0.7049443125724792, 0.6729791164398193, 0.5767803192138672, 0.49338993430137634]","[[1777.6759643554688, 727.4630126953125], [59.801998138427734, 902.215576171875], [1323.30322265625, 658.62939453125], [167.88851928710938, 743.7113037109375], [1284.9098510742188, 655.5487670898438], [1902.994140625, 564.1127319335938], [302.7260437011719, 702.0262451171875], [82.24149322509766, 746.8671875]]",302839808,576,yolo26l.pt,MOT17-09
2,,8,"[1, 2, 3, 4, 5, 6, 7, 8]","[[1692.301513671875, 388.6397399902344, 1852.1212158203125, 727.5565795898438], [1.2159075736999512, 336.7925109863281, 121.24101257324219, 902.5786743164062], [1293.6229248046875, 460.2581787109375, 1359.0447998046875, 656.89599609375], [119.53926086425781, 504.0113525390625, 214.12359619140625, 744.2435913085938], [1258.4075927734375, 539.6072998046875, 1316.888427734375, 656.1324462890625], [1885.6644287109375, 390.220703125, 1918.2320556640625, 563.546142578125], [258.2969970703125, 457.8457336425781, 357.4429931640625, 704.4430541992188], [51.69428634643555, 516.2255859375, 114.71720123291016, 749.1453247070312]]","[0.9316570162773132, 0.829013466835022, 0.8435905575752258, 0.758439302444458, 0.7541696429252625, 0.6765180230140686, 0.7768445014953613, 0.3582061529159546]","[[1772.2113647460938, 727.5565795898438], [61.22846007347107, 902.5786743164062], [1326.3338623046875, 656.89599609375], [166.83142852783203, 744.2435913085938], [1287.6480102539062, 656.1324462890625], [1901.9482421875, 563.546142578125], [307.8699951171875, 704.4430541992188], [83.20574378967285, 749.1453247070312]]",302839808,576,yolo26l.pt,MOT17-09
3,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1688.083984375, 388.3663330078125, 1848.188232421875, 727.8585205078125], [0.8845829963684082, 323.8547668457031, 123.29287719726562, 900.7852172851562], [1295.7222900390625, 459.14947509765625, 1361.2156982421875, 655.9443969726562], [118.50962829589844, 503.9566650390625, 212.77902221679688, 744.041748046875], [1258.824951171875, 541.374755859375, 1316.70654296875, 656.8717651367188], [1884.26611328125, 388.27471923828125, 1917.7694091796875, 566.133056640625], [261.5157165527344, 458.8463439941406, 360.52142333984375, 705.4822387695312]]","[0.9328814148902893, 0.8174680471420288, 0.869317889213562, 0.7500771880149841, 0.6691265106201172, 0.687360942363739, 0.528175950050354]","[[1768.1361083984375, 727.8585205078125], [62.08873009681702, 900.7852172851562], [1328.468994140625, 655.9443969726562], [165.64432525634766, 744.041748046875], [1287.7657470703125, 656.8717651367188], [1901.0177612304688, 566.133056640625], [311.01856994628906, 705.4822387695312]]",302839808,576,yolo26l.pt,MOT17-09
4,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1685.122314453125, 388.2314147949219, 1845.3829345703125, 728.1849365234375], [0.0, 272.864501953125, 128.81668090820312, 899.999755859375], [1296.897216796875, 458.3778076171875, 1362.4312744140625, 655.6517333984375], [118.4257583618164, 504.9197998046875, 212.05941772460938, 744.1851806640625], [1260.0552978515625, 540.8701171875, 1318.1446533203125, 657.23388671875], [1882.6868896484375, 386.069091796875, 1916.9876708984375, 567.2210083007812], [259.6734924316406, 458.7064514160156, 358.64862060546875, 705.2214965820312]]","[0.9290673136711121, 0.8923227190971375, 0.84632408618927, 0.793712317943573, 0.7841399312019348, 0.6673390865325928, 0.727087140083313]","[[1765.2526245117188, 728.1849365234375], [64.40834045410156, 899.999755859375], [1329.6642456054688, 655.6517333984375], [165.2425880432129, 744.1851806640625], [1289.0999755859375, 657.23388671875], [1899.8372802734375, 567.2210083007812], [309.1610565185547, 705.2214965820312]]",302839808,576,yolo26l.pt,MOT17-09
5,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1683.6397705078125, 387.88006591796875, 1845.4588623046875, 731.6588745117188], [1.64008367061615, 247.0292510986328, 140.32501220703125, 900.8407592773438], [1298.5843505859375, 458.19561767578125, 1364.2828369140625, 656.1358032226562], [119.98921203613281, 506.26116943359375, 212.86569213867188, 744.2733154296875], [1263.8790283203125, 542.4557495117188, 1320.6651611328125, 656.9453125], [1880.8331298828125, 378.83404541015625, 1916.720947265625, 567.2177124023438], [260.0561828613281, 457.8481750488281, 359.3311462402344, 705.5556030273438]]","[0.9326212406158447, 0.9169343709945679, 0.6625866889953613, 0.763900637626648, 0.7587885856628418, 0.6594582796096802, 0.6973767280578613]","[[1764.54931640625, 731.6588745117188], [70.9825479388237, 900.8407592773438], [1331.43359375, 656.1358032226562], [166.42745208740234, 744.2733154296875], [1292.2720947265625, 656.9453125], [1898.7770385742188, 567.2177124023438], [309.69366455078125, 705.5556030273438]]",302839808,576,yolo26l.pt,MOT17-09
6,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1683.5623779296875, 387.7239074707031, 1846.1458740234375, 734.1538696289062], [6.518335819244385, 235.73873901367188, 148.6620635986328, 901.4299926757812], [1299.9713134765625, 457.585693359375, 1365.941162109375, 656.9002075195312], [120.98516082763672, 506.93243408203125, 213.2878875732422, 744.5230102539062], [1266.1458740234375, 541.6782836914062, 1322.7550048828125, 657.014892578125], [1878.687744140625, 369.9414978027344, 1917.1331787109375, 570.8294677734375], [261.2759704589844, 458.9147644042969, 359.709716796875, 705.34765625]]","[0.9219508767127991, 0.9290271401405334, 0.8173823356628418, 0.7890515327453613, 0.7314956188201904, 0.6635209918022156, 0.6388907432556152]","[[1764.8541259765625, 734.1538696289062], [77.5901997089386, 901.4299926757812], [1332.9562377929688, 656.9002075195312], [167.13652420043945, 744.5230102539062], [1294.450439453125, 657.014892578125], [1897.9104614257812, 570.8294677734375], [310.4928436279297, 705.34765625]]",302839808,576,yolo26l.pt,MOT17-09
7,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1682.7774658203125, 388.09014892578125, 1845.462890625, 735.9166870117188], [8.453435897827148, 229.35340881347656, 153.2060546875, 902.1399536132812], [1301.232177734375, 455.2487487792969, 1368.443359375, 658.9134521484375], [120.01504516601562, 515.2279052734375, 208.67526245117188, 744.1952514648438], [1268.3489990234375, 539.8859252929688, 1325.02685546875, 657.0690307617188], [1875.6171875, 356.8506164550781, 1918.1812744140625, 579.0900268554688], [264.94793701171875, 459.2751770019531, 362.0716857910156, 704.0496215820312]]","[0.9169702529907227, 0.915033221244812, 0.8236777186393738, 0.6969651579856873, 0.7306308746337891, 0.8075945973396301, 0.2599034011363983]","[[1764.1201782226562, 735.9166870117188], [80.82974529266357, 902.1399536132812], [1334.8377685546875, 658.9134521484375], [164.34515380859375, 744.1952514648438], [1296.6879272460938, 657.0690307617188], [1896.8992309570312, 579.0900268554688], [313.5098114013672, 704.0496215820312]]",302839808,576,yolo26l.pt,MOT17-09
8,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1684.60986328125, 388.5692443847656, 1846.8896484375, 737.5718383789062], [9.641849517822266, 226.2032470703125, 156.61582946777344, 903.202880859375], [1303.010986328125, 455.29443359375, 1370.2203369140625, 659.0855712890625], [118.60518646240234, 514.65185546875, 206.88876342773438, 743.8983764648438], [1270.2259521484375, 539.9136962890625, 1325.8955078125, 657.5319213867188], [1874.2841796875, 353.5061950683594, 1918.4852294921875, 583.9725341796875], [266.50897216796875, 458.2782287597656, 363.14434814453125, 703.6950073242188]]","[0.9199650883674622, 0.9289525747299194, 0.8505094051361084, 0.7504162788391113, 0.695960521697998, 0.7979698181152344, 0.5772210359573364]","[[1765.749755859375, 737.5718383789062], [83.12883949279785, 903.202880859375], [1336.6156616210938, 659.0855712890625], [162.74697494506836, 743.8983764648438], [1298.0607299804688, 657.5319213867188], [1896.3847045898438, 583.9725341796875], [314.82666015625, 703.6950073242188]]",302839808,576,yolo26l.pt,MOT17-09
9,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1684.971435546875, 388.91058349609375, 1846.6204833984375, 739.1062622070312], [10.95079231262207, 224.25770568847656, 160.18325805664062, 904.1806640625], [1306.441650390625, 455.8637390136719, 1373.830078125, 658.9467163085938], [118.44351959228516, 513.864013671875, 206.38027954101562, 744.2039794921875], [1272.313232421875, 539.8714599609375, 1326.8182373046875, 657.7393188476562], [1872.9434814453125, 352.2349853515625, 1918.4844970703125, 589.1724853515625], [272.74798583984375, 458.619140625, 367.54473876953125, 703.443603515625]]","[0.9263229370117188, 0.9304160475730896, 0.860676646232605, 0.7707013487815857, 0.7169522643089294, 0.803523063659668, 0.7480159401893616]","[[1765.7959594726562, 739.1062622070312], [85.56702518463135, 904.1806640625], [1340.1358642578125, 658.9467163085938], [162.4118995666504, 744.2039794921875], [1299.5657348632812, 657.7393188476562], [1895.7139892578125, 589.1724853515625], [320.1463623046875, 703.443603515625]]",302839808,576,yolo26l.pt,MOT17-09
10,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1684.1727294921875, 389.1296081542969, 1845.573486328125, 741.492919921875], [12.821569442749023, 224.65167236328125, 163.85101318359375, 903.0589599609375], [1310.7388916015625, 457.8185119628906, 1378.0726318359375, 658.7732543945312], [119.38456726074219, 513.1480712890625, 206.694580078125, 743.9464111328125], [1275.1268310546875, 540.2615356445312, 1329.12548828125, 659.2294921875], [1871.3939208984375, 356.2811584472656, 1917.52392578125, 594.4189453125], [273.6098327636719, 456.57562255859375, 367.5907897949219, 703.1333618164062]]","[0.9135842323303223, 0.9396839141845703, 0.8228562474250793, 0.7572576403617859, 0.7184358835220337, 0.7895596623420715, 0.7657867074012756]","[[1764.8731079101562, 741.492919921875], [88.33629131317139, 903.0589599609375], [1344.40576171875, 658.7732543945312], [163.0395736694336, 743.9464111328125], [1302.1261596679688, 659.2294921875], [1894.4589233398438, 594.4189453125], [320.6003112792969, 703.1333618164062]]",302839808,576,yolo26l.pt,MOT17-09
