frame_id,inference_ms,n_detections,track_ids,bboxes_xyxy,confs,footpoints,mem_bytes,imgsz,model,seq
1,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1697.3857421875, 387.9407958984375, 1862.5921630859375, 727.135986328125], [0.5731735229492188, 339.7802734375, 116.1636734008789, 904.7833251953125], [1289.6923828125, 460.86517333984375, 1360.6070556640625, 657.6587524414062], [251.41497802734375, 454.9896545410156, 355.5811767578125, 704.6597900390625], [1255.0537109375, 538.3572998046875, 1312.9249267578125, 654.8543701171875], [122.06391906738281, 503.85540771484375, 212.715087890625, 744.3162841796875], [1885.47802734375, 393.7236328125, 1919.16259765625, 567.213623046875]]","[0.9121426939964294, 0.8726834058761597, 0.8069215416908264, 0.7669416666030884, 0.7505705952644348, 0.6790550351142883, 0.52785325050354]","[[1779.9889526367188, 727.135986328125], [58.36842346191406, 904.7833251953125], [1325.1497192382812, 657.6587524414062], [303.4980773925781, 704.6597900390625], [1283.9893188476562, 654.8543701171875], [167.3895034790039, 744.3162841796875], [1902.3203125, 567.213623046875]]",252639744,576,yolo26m.pt,MOT17-09
2,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1692.144775390625, 387.01751708984375, 1857.989990234375, 727.5282592773438], [1.8054519891738892, 337.281982421875, 117.92367553710938, 904.5928344726562], [1291.4696044921875, 461.2127685546875, 1362.1038818359375, 657.4642333984375], [256.41937255859375, 456.03289794921875, 360.57684326171875, 706.0736083984375], [1256.652587890625, 537.0512084960938, 1315.9813232421875, 656.59521484375], [120.26546478271484, 501.58026123046875, 211.88172912597656, 744.7459716796875], [1883.397216796875, 389.2756042480469, 1918.5137939453125, 569.9947509765625]]","[0.9028895497322083, 0.8917092084884644, 0.7008408308029175, 0.8346536159515381, 0.8086748123168945, 0.6679307818412781, 0.543209969997406]","[[1775.0673828125, 727.5282592773438], [59.86456376314163, 904.5928344726562], [1326.7867431640625, 657.4642333984375], [308.49810791015625, 706.0736083984375], [1286.3169555664062, 656.59521484375], [166.0735969543457, 744.7459716796875], [1900.9555053710938, 569.9947509765625]]",252639744,576,yolo26m.pt,MOT17-09
3,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1689.886962890625, 386.7311706542969, 1856.39501953125, 728.5689697265625], [1.8564772605895996, 325.15118408203125, 120.41368103027344, 904.0530395507812], [1292.36474609375, 460.3845520019531, 1363.011474609375, 657.1112670898438], [258.6190490722656, 456.65606689453125, 362.4803466796875, 706.4930419921875], [1257.605712890625, 538.9318237304688, 1316.4658203125, 657.8546142578125], [118.68499755859375, 499.6225891113281, 210.75755310058594, 744.5247802734375], [1882.040283203125, 385.9229431152344, 1918.3394775390625, 572.4843139648438]]","[0.895484983921051, 0.8803964257240295, 0.3660723567008972, 0.781373918056488, 0.8224847912788391, 0.766813337802887, 0.5576373338699341]","[[1773.1409912109375, 728.5689697265625], [61.13507914543152, 904.0530395507812], [1327.6881103515625, 657.1112670898438], [310.54969787597656, 706.4930419921875], [1287.0357666015625, 657.8546142578125], [164.72127532958984, 744.5247802734375], [1900.1898803710938, 572.4843139648438]]",252639744,576,yolo26m.pt,MOT17-09
4,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1688.5836181640625, 387.19317626953125, 1855.335693359375, 729.630126953125], [0.0, 274.0748596191406, 128.0464324951172, 904.8004760742188], [1293.1727294921875, 459.3777770996094, 1363.9046630859375, 657.1246337890625], [259.3348693847656, 456.79931640625, 362.9041442871094, 706.7003173828125], [1259.3826904296875, 540.8614501953125, 1317.34765625, 658.5553588867188], [118.78251647949219, 502.1114196777344, 209.84165954589844, 744.7974853515625], [1880.86474609375, 383.08111572265625, 1918.0714111328125, 573.8705444335938]]","[0.8844427466392517, 0.8697364330291748, 0.5828792452812195, 0.8111557960510254, 0.8234765529632568, 0.8051333427429199, 0.5443751811981201]","[[1771.9596557617188, 729.630126953125], [64.0232162475586, 904.8004760742188], [1328.5386962890625, 657.1246337890625], [311.1195068359375, 706.7003173828125], [1288.3651733398438, 658.5553588867188], [164.3120880126953, 744.7974853515625], [1899.4680786132812, 573.8705444335938]]",252639744,576,yolo26m.pt,MOT17-09
5,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1688.2760009765625, 386.3706359863281, 1856.4593505859375, 732.7838134765625], [4.6037163734436035, 247.1278839111328, 139.60142517089844, 903.9405517578125], [1295.048583984375, 459.0978088378906, 1365.9390869140625, 658.2620239257812], [259.5569763183594, 456.61279296875, 362.83843994140625, 706.71435546875], [1262.342041015625, 541.5369873046875, 1318.9884033203125, 657.7271728515625], [120.1204833984375, 504.42462158203125, 210.35769653320312, 745.3294677734375], [1880.6939697265625, 378.8131408691406, 1917.7313232421875, 568.00732421875]]","[0.8874637484550476, 0.8998976349830627, 0.40178796648979187, 0.806056559085846, 0.7795704007148743, 0.7612376809120178, 0.49933794140815735]","[[1772.36767578125, 732.7838134765625], [72.10257077217102, 903.9405517578125], [1330.4938354492188, 658.2620239257812], [311.1977081298828, 706.71435546875], [1290.6652221679688, 657.7271728515625], [165.2390899658203, 745.3294677734375], [1899.212646484375, 568.00732421875]]",252639744,576,yolo26m.pt,MOT17-09
6,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1685.788330078125, 386.06396484375, 1854.564208984375, 735.7987670898438], [5.464645862579346, 234.7000732421875, 143.62826538085938, 904.0804443359375], [1297.634521484375, 459.27569580078125, 1368.2210693359375, 658.7361450195312], [259.96929931640625, 456.4693908691406, 362.6083679199219, 706.1448974609375], [1265.71630859375, 542.0731811523438, 1321.148193359375, 657.2416381835938], [120.23330688476562, 504.9564208984375, 210.21876525878906, 745.7088012695312], [1878.216552734375, 363.8711853027344, 1919.474853515625, 575.228759765625]]","[0.8925552368164062, 0.9188603758811951, 0.5313647389411926, 0.7126354575157166, 0.7813791632652283, 0.7620026469230652, 0.5433858633041382]","[[1770.17626953125, 735.7987670898438], [74.54645562171936, 904.0804443359375], [1332.9277954101562, 658.7361450195312], [311.28883361816406, 706.1448974609375], [1293.4322509765625, 657.2416381835938], [165.22603607177734, 745.7088012695312], [1898.845703125, 575.228759765625]]",252639744,576,yolo26m.pt,MOT17-09
7,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1684.2882080078125, 386.7939758300781, 1851.951904296875, 736.5506591796875], [6.633256912231445, 228.4751739501953, 146.91323852539062, 904.09521484375], [1300.428955078125, 461.1715393066406, 1367.1392822265625, 650.872314453125], [263.56011962890625, 455.6018981933594, 365.1466064453125, 705.1198120117188], [1269.3983154296875, 540.52001953125, 1325.0330810546875, 657.9244995117188], [118.98869323730469, 506.6924743652344, 207.87225341796875, 745.514892578125], [1875.4727783203125, 351.3503112792969, 1920.0, 580.2201538085938]]","[0.8943772315979004, 0.9218609929084778, 0.4473322629928589, 0.7972132563591003, 0.7691594958305359, 0.6519926190376282, 0.7816938161849976]","[[1768.1200561523438, 736.5506591796875], [76.77324771881104, 904.09521484375], [1333.7841186523438, 650.872314453125], [314.3533630371094, 705.1198120117188], [1297.2156982421875, 657.9244995117188], [163.43047332763672, 745.514892578125], [1897.7363891601562, 580.2201538085938]]",252639744,576,yolo26m.pt,MOT17-09
8,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1683.1573486328125, 388.00390625, 1849.6229248046875, 738.3007202148438], [8.461920738220215, 225.27615356445312, 150.84007263183594, 905.1224365234375], [1302.880859375, 458.63189697265625, 1371.902099609375, 654.8602294921875], [266.0826110839844, 454.9263916015625, 366.5301818847656, 704.5563354492188], [1272.3782958984375, 539.8206176757812, 1327.445068359375, 657.9591674804688], [118.92074584960938, 509.0229797363281, 206.6082305908203, 745.6583862304688], [1873.72900390625, 347.12188720703125, 1919.736083984375, 583.6427001953125]]","[0.8929194808006287, 0.9209660291671753, 0.48509275913238525, 0.8022419214248657, 0.7455313801765442, 0.491610586643219, 0.7827329039573669]","[[1766.39013671875, 738.3007202148438], [79.65099668502808, 905.1224365234375], [1337.3914794921875, 654.8602294921875], [316.306396484375, 704.5563354492188], [1299.9116821289062, 657.9591674804688], [162.76448822021484, 745.6583862304688], [1896.7325439453125, 583.6427001953125]]",252639744,576,yolo26m.pt,MOT17-09
9,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1684.0933837890625, 389.08416748046875, 1849.029052734375, 739.3034057617188], [11.191264152526855, 224.36439514160156, 155.5933380126953, 905.4725952148438], [1305.6085205078125, 458.499755859375, 1375.518798828125, 656.6572875976562], [270.2512512207031, 455.2970275878906, 368.6779479980469, 703.7706298828125], [1273.753173828125, 539.9298706054688, 1328.176025390625, 659.0933837890625], [118.74822235107422, 510.4061279296875, 205.55374145507812, 746.0014038085938], [1872.0115966796875, 346.46527099609375, 1919.216552734375, 588.8361206054688]]","[0.8910736441612244, 0.9232353568077087, 0.7633081078529358, 0.7668777704238892, 0.7719894051551819, 0.5354167819023132, 0.7970142364501953]","[[1766.5612182617188, 739.3034057617188], [83.39230108261108, 905.4725952148438], [1340.5636596679688, 656.6572875976562], [319.464599609375, 703.7706298828125], [1300.964599609375, 659.0933837890625], [162.15098190307617, 746.0014038085938], [1895.6140747070312, 588.8361206054688]]",252639744,576,yolo26m.pt,MOT17-09
10,,7,"[1, 2, 3, 4, 5, 6, 7]","[[1680.529296875, 390.4140319824219, 1843.9071044921875, 741.4590454101562], [13.416620254516602, 224.30577087402344, 159.7075958251953, 903.7262573242188], [1310.24462890625, 458.9452209472656, 1381.022705078125, 658.0358276367188], [272.3330383300781, 455.68341064453125, 368.6220703125, 702.4091796875], [1276.2376708984375, 540.075927734375, 1330.3544921875, 660.5128173828125], [119.38296508789062, 511.4804382324219, 205.17465209960938, 745.8955688476562], [1870.449951171875, 348.04046630859375, 1918.744384765625, 595.3224487304688]]","[0.855853796005249, 0.9243444800376892, 0.7557560801506042, 0.7313711643218994, 0.7531228065490723, 0.5348497629165649, 0.7946014404296875]","[[1762.2182006835938, 741.4590454101562], [86.56210803985596, 903.7262573242188], [1345.6336669921875, 658.0358276367188], [320.47755432128906, 702.4091796875], [1303.2960815429688, 660.5128173828125], [162.27880859375, 745.8955688476562], [1894.59716796875, 595.3224487304688]]",252639744,576,yolo26m.pt,MOT17-09
